SHEWETH	SHEWETH	vvz	SHOWS	show	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
or	or	cc	or	or	0
at	at	p-acp	at	at	0
least	least	ds	least	least	0
assuring	assuring	vvg	assuring	assure	0
your	your	po22	your	your	0
Petitioners	Petitioners	n2	Petitioners	petitioner	0
,	,	,	,	,	0
That	That	cst	That	that	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
Act	Act	n1	Act	act	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
,	,	,	,	,	0
or	or	cc	or	or	0
concent	concent	n1	concent	consent	0
that	that	cst	that	that	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
Power	Power	n1	Power	power	0
or	or	cc	or	or	0
Person	Person	n1	Person	person	0
shall	shall	vmb	shall	shall	0
Impose	Impose	vvb	Impose	impose	0
any	any	d	any	any	0
Law	Law	n1	Law	law	0
or	or	cc	or	or	0
Tax	Tax	n1	Tax	tax	0
upon	upon	p-acp	upon	upon	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
Citizens	Citizens	n2	Citizens	citizen	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
whose	whose	rg-crq	whose	who	0
general	general	n1	general	general	0
Concern	Concern	vvb	Concern	concern	0
∣	∣	sy	∣	∣	0
ments	ments	n2	ments	ment	0
this	this	d	this	this	0
Court	Court	n1	Court	court	0
is	is	vbz	is	be	0
Intrusted	Intrusted	vvn	Entrusted	entrust	0
,	,	,	,	,	0
untill	untill	c-acp	until	until	0
the	the	dt	the	the	0
Authoritie	Authoritie	n1	Authority	authority	0
thereof	thereof	av	thereof	thereof	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
derived	derived	vvn	derived	derive	0
from	from	p-acp	from	from	0
a	a	dt	a	a	0
Full	Full	j	Full	full	0
and	and	cc	and	and	0
Free	Free	j	Free	free	0
Parliament	Parliament	n1	Parliament	parliament	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
rightfull	rightfull	j	rightful	rightful	0
Representatives	Representatives	n2	Representatives	representative	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
people	people	n1	people	people	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
whom	whom	ro-crq	whom	who	0
every	every	d	every	every	0
individual	individual	j-jn	individual	individual	0
doth	doth	vdz	does	do	0
consent	consent	vvi	consent	consent	0
.	.	.	.	.	1
By	By	p-acp	By	by	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
and	and	cc	and	and	0
which	which	r-crq	which	which	0
onlie	onlie	av-j	only	only	0
,	,	,	,	,	0
next	next	ord	next	next	0
under	under	p-acp	under	under	0
God	God	np1	God	God	0
,	,	,	,	,	0
Your	Your	po22	Your	your	0
Peti	Peti	n1	Peti	peti	0
∣	∣	sy	∣	∣	0
tioners	tioners	ng1	tioners	tioners	0
can	can	vmb	can	can	0
rationally	rationally	av-j	rationally	rational	0
hope	hope	vvi	hope	hope	0
their	their	po32	their	their	0
languishing	languishing	j-vvg	languishing	languish	0
Trades	Trades	n2	Trades	trade	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
revi	revi	fw-la	revi	revi	0
∣	∣	sy	∣	∣	0
ved	ved	n1	ved	ved	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
Hearts	Hearts	n2	Hearts	heart	0
and	and	cc	and	and	0
Purses	Purses	n2	Purses	purse	0
together	together	av	together	together	0
inlarged	inlarged	vvn	enlarged	enlarge	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
chearfull	chearfull	j	cheerful	cheerful	0
and	and	cc	and	and	0
liberal	liberal	j	liberal	liberal	0
Contribution	Contribution	n1	Contribution	contribution	0
towards	towards	p-acp	towards	towards	0
their	their	po32	their	their	0
lawfull	lawfull	j	lawful	lawful	0
Government	Government	n1	Government	government	0
and	and	cc	and	and	0
Protection	Protection	n1	Protection	protection	0
,	,	,	,	,	0
According	According	vvg	According	accord	0
to	to	p-acp	to	to	0
Magna	Magna	fw-la	Magna	magna	0
Charta	Charta	fw-la	Charta	charta	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Petition	Petition	vvb	Petition	petition	0
of	of	pp-f	of	of	0
Right	Right	n-jn	Right	right	0
.	.	.	.	.	1
And	And	cc	And	and	0
your	your	po22	your	your	0
Petitioners	Petitioners	n2	Petitioners	petitioner	0
shall	shall	vmb	shall	shall	0
ever	ever	av	ever	ever	0
pray	pray	vvi	pray	pray	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
This	This	np1	This	This	0
Petition	Petition	vvb	Petition	petition	0
was	was	vbds	was	be	0
presented	presented	vvn	presented	present	0
by	by	p-acp	by	by	0
divers	divers	j	diverse	diverse	0
Citizens	Citizens	n2	Citizens	citizen	0
of	of	pp-f	of	of	0
quallity	quallity	n1	quality	quality	0
the	the	dt	the	the	0
8th	8th	ord	8th	8th	0
of	of	pp-f	of	of	0
February	February	np1	February	February	0
,	,	,	,	,	0
1659.	1659.	crd	1659.	1659.	1
The	The	dt	The	the	0
Answer	Answer	n1	Answer	answer	0
whereunto	whereunto	c-crq	whereunto	whereunto	0
was	was	vbds	was	be	0
,	,	,	,	,	0
That	That	cst	That	that	0
the	the	dt	the	the	0
Court	Court	n1	Court	court	0
had	had	vhd	had	have	0
read	read	vvn	read	read	0
this	this	d	this	this	0
Petition	Petition	vvb	Petition	petition	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
take	take	vvi	take	take	0
the	the	dt	the	the	0
same	same	d	same	same	0
into	into	p-acp	into	into	0
Consideration	Consideration	n1	Consideration	consideration	0
so	so	av	so	so	0
far	far	av-j	far	far	0
as	as	c-acp	as	as	0
concerns	concerns	vvz	concerns	concern	0
this	this	d	this	this	0
Court	Court	n1	Court	court	0
:	:	:	:	:	0
And	And	cc	And	and	0
did	did	vdd	did	do	0
give	give	vvi	give	give	0
the	the	dt	the	the	0
Petitioners	Petitioners	n2	Petitioners	petitioner	0
the	the	dt	the	the	0
Thanks	Thanks	n2	Thanks	thank	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Court	Court	n1	Court	court	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
respects	respects	n2	respects	respect	0
and	and	cc	and	and	0
patience	patience	n1	patience	patience	0
.	.	.	.	.	1
