From	From	p-acp	From	from	0
Grace	Grace	n1	Grace	grace	0
and	and	cc	and	and	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
End	End	vvb	End	end	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Days	Days	n2	Days	day	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
being	being	vbg	being	be	0
livingly	livingly	av-j	livingly	living	0
engaged	engaged	vvn	engaged	engage	0
thereby	thereby	av	thereby	thereby	0
,	,	,	,	,	0
all	all	d	all	all	0
your	your	po22	your	your	0
appoint	appoint	vvi	appoint	appoint	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
Time	Time	n1	Time	time	0
to	to	pc-acp	to	to	0
serve	serve	vvi	serve	serve	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
wait	wait	vvi	wait	wait	0
,	,	,	,	,	0
till	till	c-acp	till	till	0
your	your	po22	your	your	0
Change	Change	n1	Change	change	0
come	come	vvb	come	come	0
:	:	:	:	:	0
That	That	cst	That	that	0
none	none	pix	none	none	0
may	may	vmb	may	may	0
neglect	neglect	vvi	neglect	neglect	0
that	that	d	that	that	0
true	true	j	true	true	0
Improvement	Improvement	n1	Improvement	improvement	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Times	Times	n2	Times	time	0
and	and	cc	and	and	0
Talents	Talents	n2	Talents	talent	0
,	,	,	,	,	0
that	that	cst	that	that	0
God	God	np1	God	God	0
has	has	vhz	has	have	0
afforded	afforded	vvn	afforded	afford	0
you	you	pn22	you	you	0
here	here	av	here	here	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
Eternal	Eternal	j	Eternal	eternal	0
Advantage	Advantage	n1	Advantage	advantage	0
hereafter	hereafter	av	hereafter	hereafter	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
Inheritance	Inheritance	n1	Inheritance	inheritance	0
and	and	cc	and	and	0
Life	Life	n1	Life	life	0
Immortal	Immortal	j	Immortal	immortal	0
,	,	,	,	,	0
that	that	cst	that	that	0
never	never	av-x	never	never	0
fades	fades	vvz	fades	fade	0
away	away	av	away	away	0
.	.	.	.	.	1
And	And	cc	And	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Flock	Flock	vvb	Flock	flock	0
and	and	cc	and	and	0
Heritage	Heritage	n1	Heritage	heritage	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
Jesus	Jesus	np1	Jesus	Jesus	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
has	has	vhz	has	have	0
purchased	purchased	vvn	purchased	purchase	0
and	and	cc	and	and	0
bought	bought	vvn	bought	buy	0
for	for	p-acp	for	for	0
himself	himself	px31	himself	himself	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
Price	Price	n1	Price	price	0
incorruptible	incorruptible	j	incorruptible	incorruptible	0
,	,	,	,	,	0
may	may	vmb	may	may	0
always	always	av	always	always	0
be	be	vbi	be	be	0
so	so	av	so	so	0
preserved	preserved	vvn	preserved	preserve	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
own	own	d	own	own	0
pure	pure	j	pure	pure	0
Love	Love	n1	Love	love	0
and	and	cc	and	and	0
Life	Life	n1	Life	life	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
grow	grow	vvi	grow	grow	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
¦	¦	sy	¦	¦	0
crease	crease	n1	crease	crease	0
,	,	,	,	,	0
and	and	cc	and	and	0
prosper	prosper	vvi	prosper	prosper	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
;	;	;	;	;	0
and	and	cc	and	and	0
thereby	thereby	av	thereby	thereby	0
be	be	vbi	be	be	0
kept	kept	vvn	kept	keep	0
in	in	p-acp	in	in	0
Love	Love	n1	Love	love	0
,	,	,	,	,	0
Ʋnity	Ʋnity	n1	Ʋnity	ʋnity	0
and	and	cc	and	and	0
Peace	Peace	n1	Peace	peace	0
with	with	p-acp	with	with	0
one	one	crd	one	one	0
another	another	j-jn	another	another	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
becomes	becomes	vvz	becomes	become	0
his	his	po31	his	his	0
true	true	j	true	true	0
and	and	cc	and	and	0
faithful	faithful	j	faithful	faithful	0
Follow	Follow	vvb	Follow	follow	0
∣	∣	sy	∣	∣	0
ers	ers	uh	ers	ers	0
,	,	,	,	,	0
is	is	vbz	is	be	0
that	that	d	that	that	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
our	our	po12	our	our	0
very	very	j	very	very	0
Hearts	Hearts	n2	Hearts	heart	0
and	and	cc	and	and	0
Souls	Souls	n2	Souls	soul	0
desire	desire	vvb	desire	desire	0
,	,	,	,	,	0
being	being	vbg	being	be	0
often	often	av	often	often	0
tru	tru	j	true	true	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
comforted	comforted	vvn	comforted	comfort	0
and	and	cc	and	and	0
enlarged	enlarged	vvn	enlarged	enlarge	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
living	living	j-vvg	living	live	0
sense	sense	n1	sense	sense	0
and	and	cc	and	and	0
feeling	feeling	n-vvg	feeling	feel	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
En	En	fw-fr	En	en	0
∣	∣	sy	∣	∣	0
crease	crease	n1	crease	crease	0
and	and	cc	and	and	0
Aboundings	Aboundings	n2-vvg	Aboundings	abounding	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
among	among	p-acp	among	among	0
faithful	faithful	j	faithful	faithful	0
Friends	Friends	n2	Friends	friend	0
and	and	cc	and	and	0
Brethren	Brethren	n2	Brothers	brethren	0
.	.	.	.	.	1
And	And	cc	And	and	0
Dear	Dear	j-jn	Dear	dear	0
Brethren	Brethren	n2	Brothers	brethren	0
and	and	cc	and	and	0
Sisters	Sisters	n2	Sisters	sister	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
this	this	d	this	this	0
our	our	po12	our	our	0
Tender	Tender	j	Tender	tender	0
Salutation	Salutation	n1	Salutation	salutation	0
,	,	,	,	,	0
We	We	pns12	We	we	0
are	are	vbr	are	be	0
concerned	concerned	vvn	concerned	concern	0
in	in	p-acp	in	in	0
Brotherly	Brotherly	j	Brotherly	brotherly	0
Love	Love	n1	Love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
true	true	j	true	true	0
Tender-heartedness	Tender-heartedness	n1	Tenderheartedness	tenderheartedness	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
add	add	vvi	add	add	0
and	and	cc	and	and	0
impart	impart	vvi	impart	impart	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
some	some	d	some	some	0
Account	Account	vvb	Account	account	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Decease	Decease	n1	Decease	decease	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Dear	Dear	n-jn	Dear	dear	0
and	and	cc	and	and	0
Elder	Elder	j-jn	Elder	elder	0
Brother	Brother	n1	Brother	brother	0
in	in	p-acp	in	in	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
namely	namely	av	namely	namely	0
,	,	,	,	,	0
his	his	po31	his	his	0
and	and	cc	and	and	0
his	his	po31	his	his	0
Church's	Church's	ng1	Church's	church	0
true	true	j	true	true	0
and	and	cc	and	and	0
faithful	faithful	j	faithful	faithful	0
Servant	Servant	n1	Servant	servant	0
and	and	cc	and	and	0
Minister	Minister	n1	Minister	minister	0
,	,	,	,	,	0
George	George	np1	George	George	0
Fox	Fox	n1	Fox	fox	0
;	;	;	;	;	0
whom	whom	ro-crq	whom	who	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
pleased	pleased	vvn	pleased	please	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
unto	unto	p-acp	unto	unto	0
himself	himself	px31	himself	himself	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
divers	divers	j	diverse	diverse	0
others	others	n2-jn	others	other	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
faith	faith	n1	faith	faith	0
∣	∣	sy	∣	∣	0
ful	ful	j	full	full	0
Servants	Servants	n2	Servants	servant	0
and	and	cc	and	and	0
Ministers	Ministers	n2	Ministers	minister	0
of	of	pp-f	of	of	0
late	late	j	late	late	0
Time	Time	n1	Time	time	0
;	;	;	;	;	0
who	who	r-crq	who	who	0
have	have	vhb	have	have	0
faithfully	faithfully	av-j	faithfully	faithful	0
served	served	vvn	served	serve	0
out	out	av	out	out	0
their	their	po32	their	their	0
Generation	Generation	n1	Generation	generation	0
,	,	,	,	,	0
and	and	cc	and	and	0
finished	finished	vvd	finished	finish	0
their	their	po32	their	their	0
Testimony	Testimony	n1	Testimony	testimony	0
and	and	cc	and	and	0
Course	Course	n1	Course	course	0
with	with	p-acp	with	with	0
Joy	Joy	n1	Joy	joy	0
and	and	cc	and	and	0
Peace	Peace	n1	Peace	peace	0
.	.	.	.	.	1
Howbeit	Howbeit	a-acp	Howbeit	howbeit	0
,	,	,	,	,	0
O	O	uh	Oh	oh	0
Dear	Dear	j-jn	Dear	dear	0
Brethren	Brethren	n2	Brothers	brethren	0
and	and	cc	and	and	0
Friends	Friends	n2	Friends	friend	0
!	!	!	!	!	0
that	that	cst	that	that	0
so	so	av	so	so	0
many	many	d	many	many	0
Worthies	Worthies	n2-j	Worthies	worthy	0
in	in	p-acp	in	in	0
Israel	Israel	np1	Israel	Israel	0
,	,	,	,	,	0
and	and	cc	and	and	0
serviceable	serviceable	j	serviceable	serviceable	0
Instruments	Instruments	n2	Instruments	instrument	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord's	Lord's	ng1	Lord's	lord	0
Hand	Hand	n1	Hand	hand	0
,	,	,	,	,	0
are	are	vbr	are	be	0
of	of	pp-f	of	of	0
late	late	j	late	late	0
taken	taken	vvn	taken	take	0
away	away	av	away	away	0
and	and	cc	and	and	0
removed	removed	vvn	removed	remove	0
from	from	p-acp	from	from	0
us	us	pno12	us	we	0
,	,	,	,	,	0
so	so	av	so	so	0
soon	soon	av	soon	soon	0
one	one	crd	one	one	0
after	after	p-acp	after	after	0
another	another	n-jn	another	another	0
,	,	,	,	,	0
appears	appears	vvz	appears	appear	0
a	a	dt	a	a	0
Dispensation	Dispensation	n1	Dispensation	dispensation	0
,	,	,	,	,	0
that	that	cst	that	that	0
deeply	deeply	av-jn	deeply	deep	0
and	and	cc	and	and	0
sorrowfully	sorrowfully	av-j	sorrowfully	sorrowful	0
affects	affects	vvz	affects	affect	0
us	us	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
many	many	d	many	many	0
more	more	dc	more	more	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
Hearts	Hearts	n2	Hearts	heart	0
are	are	vbr	are	be	0
upright	upright	j	upright	upright	0
and	and	cc	and	and	0
tender	tender	j	tender	tender	0
toward	toward	p-acp	towards	towards	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
one	one	pi	one	one	0
to	to	p-acp	to	to	0
another	another	j-jn	another	another	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Truth	Truth	n1	Truth	truth	0
.	.	.	.	.	1
The	The	dt	The	the	0
Consideration	Consideration	n1	Consideration	consideration	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Depth	Depth	n1	Depth	depth	0
,	,	,	,	,	0
Weight	Weight	n1	Weight	weight	0
and	and	cc	and	and	0
Meaning	Meaning	vvg	Meaning	mean	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
is	is	vbz	is	be	0
very	very	av	very	very	0
weighty	weighty	j	weighty	weighty	0
upon	upon	p-acp	upon	upon	0
our	our	po12	our	our	0
Spi	Spi	np1	Spi	Spi	0
∣	∣	sy	∣	∣	0
rits	rits	n2	rits	rite	0
,	,	,	,	,	0
though	though	cs	though	though	0
their	their	po32	their	their	0
precious	precious	j	precious	precious	0
Life	Life	n1	Life	life	0
and	and	cc	and	and	0
Testimony	Testimony	n1	Testimony	testimony	0
lives	lives	vvz	lives	live	0
with	with	p-acp	with	with	0
us	us	pno12	us	we	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
same	same	d	same	same	0
Body	Body	n1	Body	body	0
,	,	,	,	,	0
united	united	vvn	united	unite	0
to	to	p-acp	to	to	0
one	one	crd	one	one	0
Head	Head	n1	Head	head	0
,	,	,	,	,	0
even	even	av	even	even	0
Christ	Christ	np1	Christ	Christ	0
Jesus	Jesus	np1	Jesus	Jesus	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
still	still	av	still	still	0
,	,	,	,	,	0
and	and	cc	and	and	0
hope	hope	n1	hope	hope	0
,	,	,	,	,	0
ever	ever	av	ever	ever	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
secret	secret	j-jn	secret	secret	0
Comfort	Comfort	n1	Comfort	comfort	0
and	and	cc	and	and	0
Union	Union	n1	Union	union	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
has	has	vhz	has	have	0
removed	removed	vvn	removed	remove	0
,	,	,	,	,	0
and	and	cc	and	and	0
taken	taken	vvn	taken	take	0
to	to	p-acp	to	to	0
himself	himself	px31	himself	himself	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Earthly	Earthly	j	Earthly	earthly	0
Tabernacles	Tabernacles	n2	Tabernacles	tabernacle	0
and	and	cc	and	and	0
Houses	Houses	n2	Houses	house	0
,	,	,	,	,	0
into	into	p-acp	into	into	0
their	their	po32	their	their	0
Heavenly	Heavenly	j	Heavenly	heavenly	0
and	and	cc	and	and	0
Everlasting	Everlasting	j	Everlasting	everlasting	0
Mansions	Mansions	n2	Mansions	mansion	0
.	.	.	.	.	1
This	This	d	This	this	0
our	our	po12	our	our	0
said	said	j-vvn	said	say	0
Dear	Dear	j-jn	Dear	dear	0
Brother	Brother	n1	Brother	brother	0
,	,	,	,	,	0
George	George	np1	George	George	0
Fox	Fox	n1	Fox	fox	0
,	,	,	,	,	0
was	was	vbds	was	be	0
enabled	enabled	vvn	enabled	enable	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Lord's	Lord's	ng1	Lord's	lord	0
Power	Power	n1	Power	power	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
Preach	Preach	vvi	Preach	preach	0
the	the	dt	the	the	0
Truth	Truth	n1	Truth	truth	0
fully	fully	av-j	fully	full	0
and	and	cc	and	and	0
effectually	effectually	av-j	effectually	effectual	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Publick	Publick	j	Public	public	0
Meeting	Meeting	n1	Meeting	meeting	0
in	in	p-acp	in	in	0
White-Hart-Court	White-Hart-Court	n1	White-Hart-Court	white-hart-court	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Grace-Church-street	Grace-Church-street	n1	Grace-Church-street	grace-church-street	0
,	,	,	,	,	0
Lon	Lon	zz	Lon	lon	0
∣	∣	sy	∣	∣	0
don	don	n1	dONE	don	0
,	,	,	,	,	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
Eleventh	Eleventh	ord	Eleventh	eleven	0
Day	Day	n1	Day	day	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
instant	instant	n-jn	instant	instant	0
11th	11th	ord	11th	11th	0
Month	Month	n1	Month	month	0
,	,	,	,	,	0
1690	1690	crd	1690	1690	0
:	:	:	:	:	0
After	After	p-acp	After	after	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
said	said	vvd	said	say	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
glad	glad	j	glad	glad	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
here	here	av	here	here	0
;	;	;	;	;	0
now	now	av	now	now	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
clear	clear	j	clear	clear	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
fully	fully	av-j	fully	full	0
clear	clear	j	clear	clear	0
.	.	.	.	.	1
Then	Then	cs	Then	than	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
same	same	d	same	same	0
Day	Day	n1	Day	day	0
taken	taken	vvn	taken	take	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
Illness	Illness	n1	Illness	illness	0
or	or	cc	or	or	0
Indisposition	Indisposition	n1	Indisposition	indisposition	0
of	of	pp-f	of	of	0
Body	Body	n1	Body	body	0
,	,	,	,	,	0
more	more	av-dc	more	more	0
than	than	cs	than	than	0
usual	usual	j	usual	usual	0
;	;	;	;	;	0
and	and	cc	and	and	0
continued	continued	vvd	continued	continue	0
weak	weak	j	weak	weak	0
in	in	p-acp	in	in	0
Body	Body	n1	Body	body	0
for	for	p-acp	for	for	0
two	two	crd	two	two	0
days	days	n2	days	day	0
after	after	a-acp	after	after	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
our	our	po12	our	our	0
Friend	Friend	n1	Friend	friend	0
Henry	Henry	np1	Henry	Henry	0
Goldney's	Goldney's	npg1	Goldney's	goldney	0
House	House	n1	House	house	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
Court	Court	n1	Court	court	0
,	,	,	,	,	0
close	close	av-j	close	close	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Meeting-House	Meeting-House	n1	Meeting-House	meeting-house	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
much	much	d	much	much	0
Contentment	Contentment	n1	Contentment	contentment	0
and	and	cc	and	and	0
Peace	Peace	n1	Peace	peace	0
,	,	,	,	,	0
and	and	cc	and	and	0
very	very	av	very	very	0
sensible	sensible	j	sensible	sensible	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
last	last	ord	last	last	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
which	which	r-crq	which	which	0
time	time	n1	time	time	0
he	he	pns31	he	he	0
mentioned	mentioned	vvd	mentioned	mention	0
divers	divers	j	diverse	diverse	0
Friends	Friends	n2	Friends	friend	0
,	,	,	,	,	0
and	and	cc	and	and	0
sent	sent	vvd	sent	send	0
for	for	p-acp	for	for	0
some	some	d	some	some	0
in	in	p-acp	in	in	0
particular	particular	j	particular	particular	0
;	;	;	;	;	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
he	he	pns31	he	he	0
exprest	exprest	vvd	expressed	express	0
his	his	po31	his	his	0
Mind	Mind	n1	Mind	mind	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
spreading	spreading	j-vvg	spreading	spread	0
Friends	Friends	n2	Friends	friend	0
Books	Books	n2	Books	book	0
and	and	cc	and	and	0
Truth	Truth	n1	Truth	truth	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
Nations	Nations	n2	Nations	nation	0
thereof	thereof	av	thereof	thereof	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
his	his	po31	his	his	0
Spirit	Spirit	n1	Spirit	spirit	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord's	Lord's	ng1	Lord's	lord	0
Love	Love	n1	Love	love	0
and	and	cc	and	and	0
Power	Power	n1	Power	power	0
was	was	vbds	was	be	0
uni	uni	fw-la	uni	uni	0
∣	∣	sy	∣	∣	0
versally	versally	av-j	versally	versal	0
set	set	vvb	set	set	0
,	,	,	,	,	0
and	and	cc	and	and	0
bent	bent	vvn	bent	bend	0
for	for	p-acp	for	for	0
Truth	Truth	n1	Truth	truth	0
and	and	cc	and	and	0
Righteousness	Righteousness	n1	Righteousness	righteousness	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
making	making	n-vvg	making	make	0
known	known	vvn	known	know	0
the	the	pno32	thee	they	0
Way	Way	n1	Way	way	0
thereof	thereof	av	thereof	thereof	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Nations	Nations	n2	Nations	nation	0
and	and	cc	and	and	0
People	People	n1	People	people	0
afar	afar	av	afar	afar	0
off	off	a-acp	off	off	0
:	:	:	:	:	0
signi	signi	fw-la	signi	signi	0
∣	∣	sy	∣	∣	0
fying	fying	j	fying	fying	0
also	also	av	also	also	0
to	to	p-acp	to	to	0
some	some	d	some	some	0
Friends	Friends	n2	Friends	friend	0
,	,	,	,	,	0
That	That	cst	That	that	0
all	all	d	all	all	0
is	is	vbz	is	be	0
well	well	av	well	well	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Seed	Seed	n1	Seed	seed	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
reigns	reigns	vvz	reigns	reign	0
over	over	p-acp	over	over	0
all	all	d	all	all	0
,	,	,	,	,	0
and	and	cc	and	and	0
over	over	p-acp	over	over	0
Death	Death	n1	Death	death	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
.	.	.	.	.	1
That	That	cst	That	that	0
though	though	cs	though	though	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
weak	weak	j	weak	weak	0
in	in	p-acp	in	in	0
Body	Body	n1	Body	body	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Power	Power	n1	Power	power	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
is	is	vbz	is	be	0
over	over	p-acp	over	over	0
all	all	d	all	all	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Seed	Seed	n1	Seed	seed	0
reigns	reigns	vvz	reigns	reign	0
over	over	p-acp	over	over	0
all	all	d	all	all	0
dis	dis	d	dis	this	0
∣	∣	sy	∣	∣	0
orderly	orderly	j	orderly	orderly	0
Spirits	Spirits	n2	Spirits	spirit	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
his	his	po31	his	his	0
wonted	wonted	j	wonted	wont	0
sensible	sensible	j	sensible	sensible	0
Expressions	Expressions	n2	Expressions	expression	0
,	,	,	,	,	0
being	being	vbg	being	be	0
