RIghte	RIghte	av-jn	Right	right	0
it	it	pn31	it	it	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
so	so	av	so	so	0
needefull	needefull	j	needful	needful	0
and	and	cc	and	and	0
necessarie	necessarie	j	necessary	necessary	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
sortes	sortes	n2	sorts	sort	0
of	of	pp-f	of	of	0
Sea	Sea	n1	Sea	sea	0
men	men	n2	men	man	0
.	.	.	.	.	1
Therfore	Therfore	av	Therefore	therefore	0
at	at	p-acp	at	at	0
sundrie	sundrie	j	sundry	sundry	0
times	times	n2	times	time	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
had	had	vhn	had	have	0
leasure	leasure	n1	leisure	leisure	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
compyled	compyled	vvd	compiled	compile	0
and	and	cc	and	and	0
vvritten	vvritten	vvn	written	write	0
this	this	d	this	this	0
base	base	j	base	base	0
and	and	cc	and	and	0
simple	simple	j	simple	simple	0
vvorke	vvorke	n1	work	work	0
,	,	,	,	,	0
calling	calling	vvg	calling	call	0
to	to	p-acp	to	to	0
remembraunce	remembraunce	n1	remembrance	remembrance	0
the	the	dt	the	the	0
saying	saying	n-vvg	saying	say	0
of	of	pp-f	of	of	0
Plinie	Plinie	np1	Plinie	Pliny	0
,	,	,	,	,	0
vvho	vvho	r-crq	who	who	0
thought	thought	vvd	thought	think	0
all	all	d	all	all	0
that	that	cst	that	that	0
time	time	n1	time	time	0
lost	lost	vvd	lost	lose	0
vvhich	vvhich	r-crq	which	which	0
he	he	pns31	he	he	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
bestovve	bestovve	vvi	bestow	bestow	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
booke	booke	n1	book	book	0
:	:	:	:	:	0
I	I	pns11	I	i	0
beeing	beeing	vbg	being	be	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
most	most	av-ds	most	most	0
simple	simple	j	simple	simple	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
not	not	xx	not	not	0
∣	∣	sy	∣	∣	0
vvithstanding	vvithstanding	vvg	withstanding	withstand	0
this	this	d	this	this	0
enterprise	enterprise	n1	enterprise	enterprise	0
haue	haue	vhb	have	have	0
I	I	pns11	I	i	0
taken	taken	vvn	taken	take	0
in	in	p-acp	in	in	0
hande	hande	n1	hand	hand	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
publishe	publishe	vvi	publish	publish	0
this	this	d	this	this	0
simple	simple	j	simple	simple	0
booke	booke	n1	book	book	0
vnto	vnto	p-acp	unto	unto	0
all	all	d	all	all	0
men	men	n2	men	man	0
.	.	.	.	.	1
And	And	cc	And	and	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
,	,	,	,	,	0
all	all	d	all	all	0
my	my	po11	my	my	0
labours	labours	n2	labours	labour	0
be	be	vbb	be	be	0
due	due	j-jn	due	due	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
Honorable	Honorable	j	Honourable	honourable	0
Lordship	Lordship	n1	Lordship	lordship	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
bounden	bounden	vvn	bounden	bind	0
dutie	dutie	n1	duty	duty	0
I	I	pns11	I	i	0
preferre	preferre	vvb	prefer	prefer	0
it	it	pn31	it	it	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
Honor	Honor	n1	Honour	honour	0
,	,	,	,	,	0
hoping	hoping	vvg	hoping	hope	0
that	that	cst	that	that	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
vvill	vvill	vmb	will	will	0
voutchsafe	voutchsafe	vvi	vouchsafe	vouchsafe	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
parte	parte	n1	part	part	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
receyue	receyue	vvi	receive	receive	0
this	this	d	this	this	0
barbarous	barbarous	j	barbarous	barbarous	0
vvorke	vvorke	n1	work	work	0
,	,	,	,	,	0
more	more	av-dc	more	more	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
it	it	pn31	it	it	0
as	as	p-acp	as	as	0
my	my	po11	my	my	0
good	good	j	good	good	0
vvill	vvill	n1	will	will	0
(	(	(	(	(	0
vvhiches	vvhiches	n1	vvhiches	vvhiches	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
things	things	n2	things	thing	0
of	of	pp-f	of	of	0
much	much	d	much	much	0
more	more	dc	more	more	0
excellencie	excellencie	n1	excellency	excellency	0
)	)	)	)	)	0
than	than	cs	than	than	0
the	the	dt	the	the	0
fine	fine	n1	fine	fine	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
vvorke	vvorke	n1	work	work	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
but	but	p-acp	but	but	0
simple	simple	j	simple	simple	0
.	.	.	.	.	1
AÂnd	AÂnd	np1	AÂnd	AÂnd	0
so	so	av	so	so	0
shall	shall	vmb	shall	shall	0
I	I	pns11	I	i	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
be	be	vbi	be	be	0
satisfied	satisfied	vvn	satisfied	satisfy	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
further	further	av-jc	further	further	0
encoura	encoura	fw-es	encoura	encoura	0
∣	∣	sy	∣	∣	0
ged	ged	j	ged	ged	0
heereafeer	heereafeer	n1	heereafeer	heereafeer	0
to	to	pc-acp	to	to	0
trauell	trauell	vvi	travel	travel	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
simple	simple	j	simple	simple	0
gifte	gifte	n1	gift	gift	0
and	and	cc	and	and	0
talent	talent	n1	talon	talon	0
that	that	cst	that	that	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
giuen	giuen	vvn	given	give	0
vnto	vnto	p-acp	unto	unto	0
me	me	pno11	me	i	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
altogither	altogither	av	altogether	altogether	0
gathered	gathered	vvn	gathered	gather	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
other	other	j-jn	other	other	0
bokes	bokes	n2	books	book	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
part	part	n1	part	part	0
is	is	vbz	is	be	0
deuised	deuised	vvn	devised	devise	0
and	and	cc	and	and	0
practised	practised	vvn	practised	practise	0
by	by	p-acp	by	by	0
me	me	pno11	me	i	0
.	.	.	.	.	1
Therefore	Therefore	av	Therefore	therefore	0
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
my	my	po11	my	my	0
labours	labours	n2	labours	labour	0
(	(	(	(	(	0
suche	suche	d	such	such	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
)	)	)	)	)	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
hynder	hynder	vvi	hinder	hinder	0
the	the	dt	the	the	0
cunning	cunning	j-jn	cunning	cunning	0
and	and	cc	and	and	0
learned	learned	j	learned	learned	0
sorte	sorte	n1	sort	sort	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
further	further	jc	further	further	0
the	the	dt	the	the	0
late	late	j	late	late	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
ginners	ginners	n2	ginners	ginner	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
as	as	a-acp	as	as	0
yet	yet	av	yet	yet	0
not	not	xx	not	not	0
vvell	vvell	av	well	well	0
instructed	instructed	vvn	instructed	instruct	0
.	.	.	.	.	1
And	And	cc	And	and	0
thus	thus	av	thus	thus	0
I	I	pns11	I	i	0
ceasse	ceasse	vvb	cease	cease	0
to	to	pc-acp	to	to	0
trouble	trouble	vvi	trouble	trouble	0
your	your	po22	your	your	0
honorable	honorable	j	honourable	honourable	0
Lordeship	Lordeship	n1	Lordship	lordship	0
any	any	d	any	any	0
lon	lon	zz	lon	lon	0
∣	∣	sy	∣	∣	0
ger	ger	pno31	her	she	0
,	,	,	,	,	0
desiring	desiring	vvg	desiring	desire	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
this	this	d	this	this	0
simple	simple	j	simple	simple	0
thing	thing	n1	thing	thing	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
part	part	n1	part	part	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
true	true	j	true	true	0
token	token	n1	token	token	0
and	and	cc	and	and	0
signe	signe	n1	sign	sign	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
good	good	j	good	good	0
vvill	vvill	n1	will	will	0
,	,	,	,	,	0
beseeching	beseeching	vvg	beseeching	beseech	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
grace	grace	n1	grace	grace	0
to	to	pc-acp	to	to	0
prosper	prosper	vvi	prosper	prosper	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
in	in	p-acp	in	in	0
honor	honor	n1	honour	honour	0
and	and	cc	and	and	0
vertue	vertue	n1	virtue	virtue	0
,	,	,	,	,	0
vvith	vvith	p-acp	with	with	0
perfect	perfect	j	perfect	perfect	0
health	health	n1	health	health	0
.	.	.	.	.	1
Amen	Amen	uh-n	Amen	amen	0
.	.	.	.	.	1
