LOud	LOud	j	LOud	loud	0
heart	heart	n1	heart	heart	0
to	to	pc-acp	to	to	0
pray	pray	vvi	pray	pray	0
this	this	d	this	this	0
prayer	prayer	n1	prayer	prayer	0
to	to	p-acp	to	to	0
thee	thee	pno21	thee	thou	0
.	.	.	.	.	1
The	The	dt	The	the	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
mise	mise	n2	mice	mouse	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
ground	ground	n1	ground	ground	0
,	,	,	,	,	0
on	on	p-acp	on	on	0
which	which	r-crq	which	which	0
his	his	po31	his	his	0
prayer	prayer	n1	prayer	prayer	0
was	was	vbds	was	be	0
bottom'd	bottom'd	j	bottomed	bottomed	0
.	.	.	.	.	1
Take	Take	vvb	Take	take	0
off	off	a-acp	off	off	0
the	the	dt	the	the	0
promise	promise	n1	promise	promise	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
houses	houses	n2	houses	house	0
for	for	p-acp	for	for	0
time	time	n1	time	time	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
foundation	foundation	n1	foundation	foundation	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
prayers	prayers	n2	prayers	prayer	0
for	for	p-acp	for	for	0
posteritie	posteritie	n1	posterity	posterity	0
is	is	vbz	is	be	0
shaken	shaken	vvn	shaken	shake	0
.	.	.	.	.	1
This	This	d	This	this	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
endevour	endevour	n1	endeavour	endeavour	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
among	among	p-acp	among	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
that	that	cst	that	that	0
lye	lye	vvb	lie	lie	0
in	in	p-acp	in	in	0
wait	wait	vvi	wait	wait	0
to	to	pc-acp	to	to	0
deceive	deceive	vvi	deceive	deceive	0
,	,	,	,	,	0
scattering	scattering	vvg	scattering	scatter	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
dark	dark	j	dark	dark	0
such	such	d	such	such	0
doctrines	doctrines	n2	doctrines	doctrine	0
that	that	cst	that	that	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
beare	beare	vvi	bear	bear	0
the	the	dt	the	the	0
light	light	n1	light	light	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
occasioned	occasioned	vvn	occasioned	occasion	0
these	these	d	these	these	0
present	present	j	present	present	0
meditations	meditations	n2	meditations	meditation	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
once	once	a-acp	once	once	0
heard	heard	vvd	herd	hear	0
delivered	delivered	vvn	delivered	deliver	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
eares	eares	n2	ears	ear	0
,	,	,	,	,	0
and	and	cc	and	and	0
now	now	av	now	now	0
are	are	vbr	are	be	0
presented	presented	vvn	presented	present	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
advantage	advantage	n1	advantage	advantage	0
(	(	(	(	(	0
for	for	p-acp	for	for	0
more	more	av-dc	more	more	0
full	full	j	full	full	0
consideration	consideration	n1	consideration	consideration	0
)	)	)	)	)	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
eyes	eyes	n2	eyes	eye	0
:	:	:	:	:	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
encouragements	encouragements	n2	encouragements	encouragement	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
them	them	pno32	them	they	0
publike	publike	j	public	public	0
,	,	,	,	,	0
especially	especially	av-j	especially	especial	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
fruit	fruit	n1	fruit	fruit	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
which	which	r-crq	which	which	0
(	(	(	(	(	0
through	through	p-acp	through	through	0
Gods	Gods	npg1	Gods	God	0
mercy	mercy	n1	mercy	mercy	0
)	)	)	)	)	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
understood	understood	vvn	understood	understand	0
,	,	,	,	,	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
crowned	crowned	vvn	crowned	crown	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
way	way	n1	way	way	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
least	least	av-ds	least	least	0
expected	expected	j-vvn	expected	expect	0
,	,	,	,	,	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
of	of	pp-f	of	of	0
right	right	j-jn	right	right	0
your	your	po22	your	your	0
due	due	n-jn	endue	due	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
free-will	free-will	n1	freewill	freewill	0
offering	offering	vvg	offering	offer	0
then	then	av	then	then	0
tendered	tendered	vvd	tendered	tender	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
seek	seek	vvi	seek	seek	0
no	no	dx	no	no	0
other	other	j-jn	other	other	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
greater	greater	jc	greater	great	0
Patron	Patron	n1	Patron	patron	0
.	.	.	.	.	1
I	I	pns11	I	i	0
am	am	vbm	am	be	0
more	more	av-dc	more	more	0
ambitious	ambitious	j	ambitious	ambitious	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
happinesse	happinesse	n1	happiness	happiness	0
,	,	,	,	,	0
then	then	cs	then	than	0
the	the	dt	the	the	0
favour	favour	n1	favour	favour	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
placed	placed	vvn	placed	place	0
highest	highest	js	highest	high	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
served	served	vvn	served	serve	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
Christ	Christ	np1	Christ	Christ	0
a	a	dt	a	a	0
double	double	j-jn	double	double	0
apprentiship	apprentiship	n1	apprenticeship	apprenticeship	0
of	of	pp-f	of	of	0
yeares	yeares	n2	years	year	0
almost	almost	av	almost	almost	0
compleat	compleat	j	complete	complete	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
time	time	n1	time	time	0
hath	hath	vhz	hath	have	0
seemed	seemed	vvn	seemed	seem	0
to	to	p-acp	to	to	0
some	some	d	some	some	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
added	added	vvn	added	add	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
a	a	dt	a	a	0
third	third	ord	third	three	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
yeares	yeares	n2	years	year	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
dayes	dayes	n2	days	day	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
pilgrimage	pilgrimage	n1	pilgrimage	pilgrimage	0
;	;	;	;	;	0
This	This	d	This	this	0
is	is	vbz	is	be	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
the	the	dt	the	the	0
strongest	strongest	js	strongest	strong	0
engagement	engagement	n1	engagement	engagement	0
of	of	pp-f	of	of	0
affections	affections	n2	affections	affection	0
,	,	,	,	,	0
and	and	cc	and	and	0
shall	shall	vmb	shall	shall	0
so	so	av	so	so	0
remaine	remaine	vvi	remain	remain	0
.	.	.	.	.	1
If	If	cs	If	if	0
there	there	pc-acp	there	there	0
have	have	vhi	have	have	0
been	been	vbn	been	be	0
but	but	p-acp	but	but	0
one	one	crd	one	one	0
new	new	j	new	new	0
born	born	vvn	born	bear	0
,	,	,	,	,	0
or	or	cc	or	or	0
so	so	av	so	so	0
much	much	av-d	much	much	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
cubite	cubite	n1	cubit	cubit	0
added	added	vvn	added	add	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
stature	stature	n1	stature	stature	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
measure	measure	n1	measure	measure	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
fulnesse	fulnesse	n1	fullness	fullness	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
suffici	suffici	fw-fr	suffici	suffici	0
∣	∣	sy	∣	∣	0
ent	ent	fw-fr	ent	ent	0
;	;	;	;	;	0
And	And	cc	And	and	0
having	having	vhg	having	have	0
not	not	xx	not	not	0
another	another	j-jn	another	another	0
Legacie	Legacie	n1	Legacy	legacy	0
,	,	,	,	,	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
commend	commend	vvi	commend	commend	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
or	or	cc	or	or	0
rather	rather	av-c	rather	rather	0
you	you	pn22	you	you	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Word	Word	n1	Word	word	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
build	build	vvi	built	build	0
you	you	pn22	you	you	0
up	up	a-acp	up	up	0
,	,	,	,	,	0
and	and	cc	and	and	0
give	give	vvb	give	give	0
you	you	pn22	you	you	0
an	an	dt	and	a	0
inheritance	inheritance	n1	inheritance	inheritance	0
among	among	p-acp	among	among	0
all	all	d	all	all	0
them	them	pno32	them	they	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
sanctified	sanctified	vvn	sanctified	sanctify	0
;	;	;	;	;	0
still	still	av	still	still	0
praying	praying	vvg	praying	pray	0
that	that	cst	that	that	0
the	the	dt	the	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
that	that	cst	that	that	0
brought	brought	vvd	brought	bring	0
again	again	av	again	again	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
dead	dead	j	dead	dead	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
the	the	dt	the	the	0
great	great	j	great	great	0
Shepheard	Shepheard	n1	Shepherd	shepherd	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sheep	sheep	n1	sheep	sheep	0
,	,	,	,	,	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
bloud	bloud	n1	blood	blood	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
everlasting	everlasting	j	everlasting	everlasting	0
testament	testament	n1	testament	testament	0
,	,	,	,	,	0
make	make	vvb	make	make	0
you	you	pn22	you	you	0
perfect	perfect	j	perfect	perfect	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
good	good	j	good	good	0
works	works	n2	works	work	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
his	his	po31	his	his	0
will	will	n1	will	will	0
,	,	,	,	,	0
working	working	vvg	working	work	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
pleasant	pleasant	j	pleasant	pleasant	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
sight	sight	n1	sighed	sight	0
,	,	,	,	,	0
through	through	p-acp	through	through	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
be	be	vbb	be	be	0
praise	praise	n1	praise	praise	0
for	for	p-acp	for	for	0
ever	ever	av	ever	ever	0
and	and	cc	and	and	0
ever	ever	av	ever	ever	0
.	.	.	.	.	1
Amen	Amen	uh-n	Amen	amen	0
.	.	.	.	.	1
