CUstom	CUstom	n1	CUstom	custom	0
Authority	Authority	n1	Authority	authority	0
sufficient	sufficient	j	sufficient	sufficient	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
advance	advance	vvi	advance	advance	0
and	and	cc	and	and	0
set	set	vvi	set	set	0
forward	forward	av-j	forward	forward	0
a	a	dt	a	a	0
Work	Work	n1	Work	work	0
so	so	av	so	so	0
generally	generally	av-j	generally	general	0
beneficial	beneficial	j	beneficial	beneficial	0
;	;	;	;	;	0
beneficial	beneficial	j	beneficial	beneficial	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
neficial	neficial	j	neficial	neficial	0
to	to	pc-acp	to	to	0
all	all	av-d	all	all	0
Your	Your	po22	Your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Subjects	Subjects	n2-jn	Subject's	subject	0
,	,	,	,	,	0
beneficial	beneficial	j	beneficial	beneficial	0
to	to	p-acp	to	to	0
Strangers	Strangers	n2	Strangers	stranger	0
and	and	cc	and	and	0
Foreigners	Foreigners	n2	Foreigners	foreigner	0
of	of	pp-f	of	of	0
other	other	j-jn	other	other	0
Nations	Nations	n2	Nations	nation	0
;	;	;	;	;	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
constant	constant	j	constant	constant	0
considerable	considerable	j	considerable	considerable	0
annual	annual	j	annual	annual	0
Reve	Reve	np1	Reve	Reve	0
∣	∣	sy	∣	∣	0
nue	nue	n1	nue	nue	0
;	;	;	;	;	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
Your	Your	po22	Your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Subjects	Subjects	n2-jn	Subject's	subject	0
,	,	,	,	,	0
especially	especially	av-j	especially	especial	0
to	to	p-acp	to	to	0
those	those	d	those	those	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
meaner	meaner	jc	meaner	mean	0
rank	rank	n1	rank	rank	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
cheap	cheap	j	cheap	cheap	0
,	,	,	,	,	0
profitable	profitable	j	profitable	profitable	0
and	and	cc	and	and	0
easie	easie	j	easy	easy	0
way	way	n1	way	way	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
providing	providing	vvg	providing	provide	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
and	and	cc	and	and	0
maintaing	maintaing	vvg	maintaining	maintain	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Families	Families	n2	Families	family	0
;	;	;	;	;	0
to	to	p-acp	to	to	0
Foreigners	Foreigners	n2	Foreigners	foreigner	0
and	and	cc	and	and	0
Strangers	Strangers	n2	Strangers	stranger	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
Northern	Northern	j	Northern	northern	0
Climates	Climates	n2	Climates	climate	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
yearly	yearly	av-j	yearly	yearly	0
supplying	supplying	vvg	supplying	supply	0
and	and	cc	and	and	0
fur	fur	fw-ge	fur	fur	0
∣	∣	sy	∣	∣	0
nishing	nishing	n-vvg	nishing	nish	0
them	them	pno32	them	they	0
with	with	p-acp	with	with	0
Corn	Corn	n1	Corn	corn	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
may	may	vmb	may	may	0
hereafter	hereafter	av	hereafter	hereafter	0
be	be	vbi	be	be	0
spared	spared	vvn	spared	spare	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
Your	Your	po22	Your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Dominions	Dominions	n2	Dominions	dominion	0
.	.	.	.	.	1
See	See	vvb	See	see	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
therefore	therefore	av	therefore	therefore	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Benefit	Benefit	n1	Benefit	benefit	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Plantation	Plantation	n1	Plantation	plantation	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
so	so	av	so	so	0
great	great	j	great	great	0
,	,	,	,	,	0
be	be	vbb	be	be	0
pleased	pleased	vvn	pleased	please	0
,	,	,	,	,	0
most	most	av-ds	most	most	0
Mighty	Mighty	j	Mighty	mighty	0
Monarch	Monarch	n1	Monarch	monarch	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
vouchsafe	vouchsafe	vvi	vouchsafe	vouchsafe	0
it	it	pn31	it	it	0
Your	Your	po22	Your	your	0
Royal	Royal	j	Royal	royal	0
Approbation	Approbation	n1	Approbation	approbation	0
and	and	cc	and	and	0
Per	Per	fw-la	Per	per	0
∣	∣	sy	∣	∣	0
mission	mission	n1	mission	mission	0
;	;	;	;	;	0
it	it	pn31	it	it	0
being	being	vbg	being	be	0
a	a	dt	a	a	0
Work	Work	n1	Work	work	0
of	of	pp-f	of	of	0
Charity	Charity	n1	Charity	charity	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
large	large	j	large	large	0
an	an	dt	and	a	0
extent	extent	n1	extent	extent	0
,	,	,	,	,	0
that	that	cst	that	that	0
not	not	xx	not	not	0
a	a	dt	a	a	0
few	few	d	few	few	0
only	only	av-j	only	only	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
all	all	d	all	all	0
the	the	dt	the	the	0
Poor	Poor	j	Poor	poor	0
in	in	p-acp	in	in	0
gene	gene	zz	gene	gene	0
∣	∣	sy	∣	∣	0
ral	ral	n1	ral	ral	0
,	,	,	,	,	0
throughout	throughout	p-acp	throughout	throughout	0
these	these	d	these	these	0
Your	Your	po22	Your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Dominions	Dominions	n2	Dominions	dominion	0
,	,	,	,	,	0
will	will	vmb	will	will	0
receive	receive	vvi	receive	receive	0
benefit	benefit	n1	benefit	benefit	0
by	by	p-acp	by	by	0
it	it	pn31	it	it	0
,	,	,	,	,	0
will	will	vmb	will	will	0
so	so	av	so	so	0
well	well	av	well	well	0
be	be	vbi	be	be	0
provided	provided	vvn	provided	provide	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
that	that	cst	that	that	0
hereafter	hereafter	av	hereafter	hereafter	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
have	have	vhi	have	have	0
no	no	dx	no	no	0
cause	cause	n1	cause	cause	0
to	to	pc-acp	to	to	0
complain	complain	vvi	complain	complain	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Hardness	Hardness	n1	Hardness	hardness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Years	Years	n2	Years	year	0
,	,	,	,	,	0
or	or	cc	or	or	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Dearness	Dearness	n1	Dearness	dearness	0
of	of	pp-f	of	of	0
Corn	Corn	n1	Corn	corn	0
.	.	.	.	.	1
Besides	Besides	p-acp	Beside	beside	0
,	,	,	,	,	0
this	this	d	this	this	0
Project	Project	n1	Project	project	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
performed	performed	vvn	performed	perform	0
with	with	p-acp	with	with	0
very	very	av	very	very	0
little	little	j	little	little	0
Charge	Charge	n1	Charge	charge	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
short	short	j	short	short	0
time	time	n1	time	time	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
in	in	p-acp	in	in	0
two	two	crd	two	two	0
Years	Years	n2	Years	year	0
and	and	cc	and	and	0
an	an	dt	and	a	0
half	half	n-jn	half	half	0
,	,	,	,	,	0
the	the	dt	the	the	0
Plantations	Plantations	n2	Plantations	plantation	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
finished	finished	vvn	finished	finish	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
benefit	benefit	n1	benefit	benefit	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
and	and	cc	and	and	0
great	great	j	great	great	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Nation	Nation	n1	Nation	nation	0
;	;	;	;	;	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
three	three	crd	three	three	0
Years	Years	n2	Years	year	0
,	,	,	,	,	0
all	all	d	all	all	0
the	the	dt	the	the	0
Charges	Charges	n2	Charges	charge	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
only	only	av-j	only	only	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Planters	Planters	n2	Planters	planter	0
)	)	)	)	)	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
re-paid	re-paid	j	repaid	repaid	0
trebble	trebble	n1	treble	treble	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
,	,	,	,	,	0
leaving	leaving	vvg	leaving	leave	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
jesties	jesties	ng1	jesties	jesties	0
Wisdom	Wisdom	n1	Wisdom	wisdom	0
,	,	,	,	,	0
and	and	cc	and	and	0
Princely	Princely	j	Princely	princely	0
Consideration	Consideration	n1	Consideration	consideration	0
,	,	,	,	,	0
(	(	(	(	(	0
cra	cra	fw-la	cra	cra	0
∣	∣	sy	∣	∣	0
ving	ving	vhg	ving	ve	0
Your	Your	po22	Your	your	0
Gracious	Gracious	j	Gracious	gracious	0
Pardon	Pardon	n1	Pardon	pardon	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
Presumption	Presumption	n1	Presumption	presumption	0
)	)	)	)	)	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
hear	hear	vvi	hear	hear	0
humbly	humbly	av-j	humbly	humble	0
take	take	vvb	take	take	0
my	my	po11	my	my	0
leave	leave	n1	leave	leave	0
,	,	,	,	,	0
and	and	cc	and	and	0
remain	remain	vvi	remain	remain	0
,	,	,	,	,	1
