Honourable	Honourable	j	Honourable	honourable	0
∣	∣	sy	∣	∣	0
cense	cense	n1	cense	cense	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
bosome	bosome	n1	bosom	bosom	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
meat	meat	n1	meat	meat	0
offering	offering	vvg	offering	offer	0
upon	upon	p-acp	upon	upon	0
his	his	po31	his	his	0
shoulder	shoulder	n1	shoulder	shoulder	0
.	.	.	.	.	1
Eleazar	Eleazar	np1	Eleazar	Eleazar	0
was	was	vbds	was	be	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
figure	figure	n1	figure	figure	0
of	of	pp-f	of	of	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
the	the	dt	the	the	0
Highpriest	Highpriest	n1	Highpriest	highpriest	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Christi	Christi	np1	Christi	Christi	0
∣	∣	sy	∣	∣	0
an	an	dt	and	a	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
giveth	giveth	vvz	gives	give	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
Ioh.	Ioh.	np1	Ioh.	Ioh.	1
1.16	1.16	crd	1.16	1.16	0
.	.	.	.	.	1
Revel	Revel	vvb	Revel	revel	0
.	.	.	.	.	1
8.3	8.3	crd	8.3	8.3	0
.	.	.	.	.	1
1	1	crd	1	1	0
Timot	Timot	np1	Timot	Timot	0
2.5	2.5	crd	2.5	2.5	0
.	.	.	.	.	1
Ephes.	Ephes.	np1	Ephes.	Ephes.	0
5.26	5.26	crd	5.26	5.26	0
.	.	.	.	.	1
1	1	crd	1	1	0
Cor.	Cor.	np1	Cor.	Cor.	1
5.7	5.7	crd	5.7	5.7	0
.	.	.	.	.	0
the	the	dt	the	the	0
oyle	oyle	n1	oil	oil	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Spirit	Spirit	n1	Spirit	spirit	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
understanding	understanding	n1	understanding	understanding	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Scrip	Scrip	n1	Scrip	scrip	0
∣	∣	sy	∣	∣	0
tures	tures	av	tures	tures	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
putteth	putteth	vvz	putteth	put	0
the	the	dt	the	the	0
odours	odours	n2	odours	odour	0
of	of	pp-f	of	of	0
sweet	sweet	j	sweet	sweet	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
cense	cense	n1	cense	cense	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
prayers	prayers	n2	prayers	prayer	0
;	;	;	;	;	0
and	and	cc	and	and	0
lastly	lastly	ord	lastly	last	0
,	,	,	,	,	0
he	he	pns31	he	he	0
presenteth	presenteth	vvz	presents	present	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
pure	pure	j	pure	pure	0
meate-offering	meate-offering	j	meat-offering	meat-offering	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Father	Father	n1	Father	father	0
.	.	.	.	.	1
Next	Next	ord	Next	next	0
let	let	vvb	let	let	0
us	us	pno12	us	we	0
compare	compare	vvi	compare	compare	0
the	the	dt	the	the	0
people	people	n1	people	people	0
un	un	fw-fr	un	un	0
∣	∣	sy	∣	∣	0
der	der	zf	der	there	0
the	the	dt	the	the	0
Law	Law	n1	Law	law	0
with	with	p-acp	with	with	0
these	these	d	these	these	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
;	;	;	;	;	0
first	first	ord	first	first	0
,	,	,	,	,	0
their	their	po32	their	their	0
rites	rites	n2	rites	rite	0
were	were	vbdr	were	be	0
carnall	carnall	j	carnal	carnal	0
rites	rites	n2	rites	rite	0
,	,	,	,	,	0
consisting	consisting	vvg	consisting	consist	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
,	,	,	,	,	0
touch	touch	vvb	touch	touch	0
not	not	xx	not	not	0
,	,	,	,	,	0
taste	taste	vvb	taste	taste	0
not	not	xx	not	not	0
,	,	,	,	,	0
handle	handle	vvb	handle	handle	0
not	not	xx	not	not	0
,	,	,	,	,	0
and	and	cc	and	and	0
even	even	av	even	even	0
as	as	c-acp	as	as	0
Fathers	Fathers	n2	Father's	father	0
forbid	forbid	vvb	forbid	forbid	0
their	their	po32	their	their	0
little	little	j	little	little	0
children	children	n2	children	child	0
to	to	pc-acp	to	to	0
eate	eate	vvi	eat	eat	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
and	and	cc	and	and	0
such	such	d	such	such	0
things	things	n2	things	thing	0
,	,	,	,	,	0
or	or	cc	or	or	0
handle	handle	vvi	handle	handle	0
them	them	pno32	them	they	0
not	not	xx	not	not	0
,	,	,	,	,	0
they	they	pns32	they	they	0
specially	specially	av-j	specially	special	0
restraine	restraine	vvi	restrain	restrain	0
their	their	po32	their	their	0
basest	basest	js	basest	base	0
senses	senses	n2	senses	sense	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
when	when	c-crq	when	when	0
their	their	po32	their	their	0
sonnes	sonnes	n2	sons	son	0
are	are	vbr	are	be	0
come	come	vvn	come	come	0
to	to	p-acp	to	to	0
maturity	maturity	n1	maturity	maturity	0
and	and	cc	and	and	0
age	age	n1	age	age	0
,	,	,	,	,	0
they	they	pns32	they	they	0
forbid	forbid	vvb	forbid	forbid	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
hearken	hearken	vvi	harken	hearken	0
unto	unto	p-acp	unto	unto	0
evill	evill	j-jn	evil	evil	0
,	,	,	,	,	0
or	or	cc	or	or	0
looke	looke	vvi	look	look	0
unto	unto	p-acp	unto	unto	0
evill	evill	j-jn	evil	evil	0
,	,	,	,	,	0
they	they	pns32	they	they	0
restraine	restraine	vvb	restrain	restrain	0
their	their	po32	their	their	0
noble	noble	j	noble	noble	0
senses	senses	n2	senses	sense	0
especially	especially	av-j	especially	especial	0
;	;	;	;	;	0
so	so	av	so	so	0
because	because	c-acp	because	because	0
the	the	dt	the	the	0
Iewes	Iewes	np2	Iewes	Jew	0
were	were	vbdr	were	be	0
but	but	p-acp	but	but	0
infants	infants	n2	infants	infant	0
,	,	,	,	,	0
he	he	pns31	he	he	0
trained	trained	vvd	trained	train	0
thē	thē	pno32	them	they	0
up	up	a-acp	up	up	0
this	this	d	this	this	0
way	way	n1	way	way	0
,	,	,	,	,	0
forbidding	forbidding	vvg	forbidding	forbid	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
touch	touch	vvi	touch	touch	0
,	,	,	,	,	0
taste	taste	n1	taste	taste	0
,	,	,	,	,	0
or	or	cc	or	or	0
handle	handle	vvi	handle	handle	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
he	he	pns31	he	he	0
forbiddeth	forbiddeth	vvz	forbiddeth	forbid	0
the	the	dt	the	the	0
Christian	Christian	njp	Christian	christian	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
things	things	n2	things	thing	0
of	of	pp-f	of	of	0
greater	greater	jc	greater	great	0
moment	moment	n1	moment	moment	0
;	;	;	;	;	0
againe	againe	av	again	again	0
,	,	,	,	,	0
let	let	vvb	let	let	0
us	us	pno12	us	we	0
compare	compare	vvi	compare	compare	0
them	them	pno32	them	they	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
holinesse	holinesse	n1	holiness	holiness	0
;	;	;	;	;	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
Law	Law	n1	Law	law	0
,	,	,	,	,	0
holinesse	holinesse	n1	holiness	holiness	0
was	was	vbds	was	be	0
written	written	vvn	written	write	0
but	but	p-acp	but	but	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
forehead	forehead	n1	forehead	forehead	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Highpriest	Highpriest	n1	Highpriest	highpriest	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
,	,	,	,	,	0
the	the	dt	the	the	0
Pro	Pro	np1	Pro	Pro	0
∣	∣	sy	∣	∣	0
phet	phet	n1	phet	phet	0
Zachariah	Zachariah	np1	Zachariah	Zachariah	0
saith	saith	vvz	says	say	0
,	,	,	,	,	0
that	that	cst	that	that	0
holinesse	holinesse	n1	holiness	holiness	0
shall	shall	vmb	shall	shall	0
bee	bee	vbi	be	be	0
written	written	vvn	written	write	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
horse	horse	n1	horse	horse	0
bridles	bridles	vvz	bridles	bridle	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
signifie	signifie	vvi	signify	signify	0
the	the	dt	the	the	0
great	great	j	great	great	0
measure	measure	n1	measure	measure	0
of	of	pp-f	of	of	0
holinesse	holinesse	n1	holiness	holiness	0
that	that	cst	that	that	0
should	should	vmd	should	shall	0
bee	bee	vbi	be	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
.	.	.	.	.	1
Thirdly	Thirdly	ord	Thirdly	third	0
,	,	,	,	,	0
compare	compare	vvb	compare	compare	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
measure	measure	n1	measure	measure	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
love	love	n1	love	love	0
;	;	;	;	;	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
Law	Law	n1	Law	law	0
every	every	d	every	every	0
seventh	seventh	ord	seventh	seven	0
yeare	yeare	n1	year	year	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
to	to	pc-acp	to	to	0
let	let	vvi	let	let	0
their	their	po32	their	their	0
land	land	n1	land	land	0
rest	rest	n1	rest	rest	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
pardon	pardon	vvi	pardon	pardon	0
their	their	po32	their	their	0
deb	deb	n1	deb	deb	0
∣	∣	sy	∣	∣	0
tors	tors	n2	tors	tor	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
a	a	dt	a	a	0
full	full	j	full	full	0
remission	remission	n1	remission	remission	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
see	see	vvb	see	see	0
how	how	c-crq	how	how	0
farre	farre	av-j	far	far	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
exceedeth	exceedeth	vvz	exceeds	exceed	0
the	the	dt	the	the	0
Law	Law	n1	Law	law	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
,	,	,	,	,	0
Peter	Peter	np1	Peter	Peter	0
asked	asked	vvd	asked	ask	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
if	if	cs	if	if	0
he	he	pns31	he	he	0
should	should	vmd	should	shall	0
par	par	fw-la	par	par	0
∣	∣	sy	∣	∣	0
don	don	n1	dONE	don	0
his	his	po31	his	his	0
brother	brother	n1	brother	brother	0
seven	seven	crd	seven	seven	0
times	times	n2	times	time	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Iewes	Iewes	np2	Iewes	Jew	0
par	par	fw-fr	par	par	0
∣	∣	sy	∣	∣	0
doned	doned	vvn	doned	don	0
their	their	po32	their	their	0
debtors	debtors	n2	debtors	debtor	0
the	the	dt	the	the	0
seventh	seventh	ord	seventh	seven	0
yeare	yeare	n1	year	year	0
;	;	;	;	;	0
what	what	r-crq	what	what	0
answered	answered	vvd	answered	answer	0
Christ	Christ	np1	Christ	Christ	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
?	?	?	?	?	0
thou	thou	pns21	thou	thou	0
shalt	shalt	vm2	shalt	shall	0
not	not	xx	not	not	0
par	par	fw-la	par	par	0
∣	∣	sy	∣	∣	0
don	don	n1	dONE	don	0
seven	seven	crd	seven	seven	0
times	times	n2	times	time	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
seven	seven	crd	seven	seven	0
times	times	n2	times	time	0
seven	seven	crd	seven	seven	0
times	times	n2	times	time	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
seventy	seventy	crd	seventy	seventy	0
times	times	n2	times	time	0
seven	seven	crd	seven	seven	0
times	times	n2	times	time	0
;	;	;	;	;	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
farre	farre	av-j	far	far	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Iubile	Iubile	n1	Jubilee	jubilee	0
exceeded	exceeded	vvd	exceeded	exceed	0
the	the	dt	the	the	0
seventh	seventh	ord	seventh	seven	0
yeare	yeare	n1	year	year	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
farre	farre	av-j	far	far	0
shall	shall	vmb	shall	shall	0
your	your	po22	your	your	0
charity	charity	n1	charity	charity	0
exceede	exceede	vvi	exceed	exceed	0
the	the	dt	the	the	0
Iubile	Iubile	n1	Jubilee	jubilee	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
.	.	.	.	.	0
to	to	p-acp	to	to	0
seventy	seventy	crd	seventy	seventy	0
times	times	n2	times	time	0
seven	seven	crd	seven	seven	0
times	times	n2	times	time	0
.	.	.	.	.	1
Fourthly	Fourthly	ord	Fourthly	four	0
,	,	,	,	,	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
pare	pare	vvb	pare	pare	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
measure	measure	n1	measure	measure	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
know	know	vvb	know	know	0
∣	∣	sy	∣	∣	0
ledge	ledge	n1	ledge	ledge	0
;	;	;	;	;	0
their	their	po32	their	their	0
measure	measure	n1	measure	measure	0
