Worthy	Worthy	j	Worthy	worthy	0
you	you	pn22	you	you	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
taken	taken	vvn	taken	take	0
what	what	r-crq	what	what	0
care	care	n1	care	care	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
as	as	c-acp	as	as	0
becomes	becomes	vvz	becomes	become	0
a	a	dt	a	a	0
Chirur	Chirur	n1	Chirur	chirur	0
∣	∣	sy	∣	∣	0
geon	geon	n1	geon	geon	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
that	that	cst	that	that	0
will	will	vmb	will	will	0
practise	practise	vvi	practise	practise	0
by	by	p-acp	by	by	0
it	it	pn31	it	it	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
provided	provided	vvn	provided	provide	0
with	with	p-acp	with	with	0
Knowledge	Knowledge	n1	Knowledge	knowledge	0
to	to	pc-acp	to	to	0
help	help	vvi	help	help	0
Sick	Sick	j	Sick	sick	0
or	or	cc	or	or	0
wounded	wounded	j-vvn	wounded	wound	0
Sea	Sea	n1	Sea	sea	0
men	men	n2	men	man	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
occasion	occasion	n1	occasion	occasion	0
:	:	:	:	:	0
More	More	dc	More	more	0
espe	espe	fw-fr	espe	espe	0
∣	∣	sy	∣	∣	0
cially	cially	av-j	cially	cial	0
considering	considering	vvg	considering	consider	0
Your	Your	po22	Your	your	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
ture	ture	n1	ture	ture	0
and	and	cc	and	and	0
Piercing	Piercing	j-vvg	Piercing	pierce	0
Judgments	Judgments	n2	Judgments	judgement	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
present	present	vvb	present	present	0
it	it	pn31	it	it	0
:	:	:	:	:	0
I	I	pns11	I	i	0
wish	wish	vvb	wish	wish	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
have	have	vhi	have	have	0
done	done	vdn	done	do	0
it	it	pn31	it	it	0
better	better	jc	better	better	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
best	best	js	best	best	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
find	find	vvi	find	find	0
your	your	po22	your	your	0
Candid	Candid	j	Candid	candid	0
Reception	Reception	n1	Reception	reception	0
.	.	.	.	.	1
So	So	np1	So	So	0
wishing	wishing	vvg	wishing	wish	0
you	you	pn22	you	you	0
all	all	d	all	all	0
Health	Health	n1	Health	health	0
and	and	cc	and	and	0
Happiness	Happiness	n1	Happiness	happiness	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Subscribe	Subscribe	vvb	Subscribe	subscribe	0
my	my	po11	my	my	0
self	self	n1	self	self	1
