As	As	p-acp	As	as	0
lewdest	lewdest	js	lewdest	lewd	0
Calumnies	Calumnies	n2	Calumnies	calumny	0
that	that	cst	that	that	0
was	was	vbds	was	be	0
ever	ever	av	ever	ever	0
cast	cast	vvn	cast	cast	0
upon	upon	p-acp	upon	upon	0
our	our	po12	our	our	0
holy	holy	j	holy	holy	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
viz.	viz.	n1	viz.	viz.	0
That	That	cst	That	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
apt	apt	j	apt	apt	0
to	to	pc-acp	to	to	0
render	render	vvi	render	render	0
men	men	n2	men	man	0
Cowards	Cowards	n2	Cowards	coward	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
unsit	unsit	j	unsit	unfit	0
them	them	pno32	them	they	0
for	for	p-acp	for	for	0
great	great	j	great	great	0
and	and	cc	and	and	0
ha	ha	uh	would	ha	0
∣	∣	sy	∣	∣	0
zardous	zardous	j	zardous	zardous	0
undertakings	undertakings	n2-vvg	undertakings	undertake	0
.	.	.	.	.	1
How	How	c-crq	How	how	0
successfully	successfully	av-j	successfully	successful	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
effected	effected	vvn	effected	effect	0
it	it	pn31	it	it	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
obliged	obliged	vvn	obliged	oblige	0
me	me	pno11	me	i	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
Publication	Publication	n1	Publication	publication	0
to	to	pc-acp	to	to	0
leave	leave	vvi	leave	leave	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
judgment	judgment	n1	judgement	judgement	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
assure	assure	vvb	assure	assure	0
you	you	pn22	you	you	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
so	so	av	so	so	0
much	much	av-d	much	much	0
reverence	reverence	n1	reverence	reverence	0
,	,	,	,	,	0
that	that	cst	that	that	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
your	your	po22	your	your	0
Com	Com	np1	Com	Com	0
∣	∣	sy	∣	∣	0
mands	mands	vvz	mands	mand	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
many	many	d	many	many	0
Examples	Examples	n2	Examples	example	0
of	of	pp-f	of	of	0
Obedience	Obedience	n1	Obedience	obedience	0
before	before	p-acp	before	before	0
me	me	pno11	me	i	0
obliged	obliged	vvn	obliged	oblige	0
me	me	pno11	me	i	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
,	,	,	,	,	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
never	never	av-x	never	never	0
have	have	vhi	have	have	0
presumed	presumed	vvn	presumed	presume	0
to	to	pc-acp	to	to	0
concern	concern	vvi	concern	concern	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
,	,	,	,	,	0
espe	espe	fw-fr	espe	espe	0
∣	∣	sy	∣	∣	0
cially	cially	av-j	cially	cial	0
now	now	av	now	now	0
when	when	c-crq	when	when	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
so	so	av	so	so	0
continually	continually	av-j	continually	continual	0
Harassed	Harassed	vvn	Harassed	harass	0
with	with	p-acp	with	with	0
an	an	dt	and	a	0
Epidemical	Epidemical	j	Epidemical	epidemical	0
Itch	Itch	n1	Itch	itch	0
and	and	cc	and	and	0
Licence	Licence	n1	Licence	licence	0
of	of	pp-f	of	of	0
scribling	scribling	n-vvg	scribbling	scribble	0
;	;	;	;	;	0
and	and	cc	and	and	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
numerous	numerous	j	numerous	numerous	0
Appeals	Appeals	np1	Appeals	Appeals	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
every	every	d	every	every	0
day	day	n1	day	day	0
made	made	vvn	made	make	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
,	,	,	,	,	0
is	is	vbz	is	be	0
forced	forced	vvn	forced	force	0
to	to	pc-acp	to	to	0
keep	keep	vvi	keep	keep	0
Term	Term	n1	Term	term	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
Vaca	Vaca	np1	Vaca	Vaca	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
since	since	c-acp	since	since	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
needs	needs	av	needs	needs	0
have	have	vhi	have	have	0
it	it	pn31	it	it	0
published	published	vvn	published	publish	0
,	,	,	,	,	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
crave	crave	vvi	crave	crave	0
leave	leave	n1	leave	leave	0
to	to	pc-acp	to	to	0
tell	tell	vvi	tell	tell	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
finely	finely	av-j	finely	fine	0
drawn	drawn	vvn	drawn	draw	0
in	in	p-acp	in	in	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
approbation	approbation	n1	approbation	approbation	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
made	made	vvn	made	make	0
it	it	pn31	it	it	0
your	your	po22	your	your	0
own	own	d	own	own	0
,	,	,	,	,	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
become	become	vvn	become	become	0
accountable	accountable	j	accountable	accountable	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
the	the	dt	the	the	0
faults	faults	n2	faults	fault	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
:	:	:	:	:	0
So	So	av	So	so	0
that	that	cst	that	that	0
now	now	av	now	now	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
obliged	obliged	vvn	obliged	oblige	0
in	in	p-acp	in	in	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
Souldiers	Souldiers	n2	Soldiers	soldier	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
shelter	shelter	vvi	shelter	shelter	0
it	it	pn31	it	it	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
helpless	helpless	j	helpless	helpless	0
thing	thing	n1	thing	thing	0
,	,	,	,	,	0
that	that	cst	that	that	0
flees	flees	vvz	flees	flee	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
Protection	Protection	n1	Protection	protection	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
own	own	d	own	own	0
defence	defence	n1	defence	defence	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
Wise	Wise	j	Wise	wise	0
men	men	n2	men	man	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
vindicate	vindicate	vvi	vindicate	vindicate	0
it	it	pn31	it	it	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
retainer	retainer	n1	retainer	retainer	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
good	good	j	good	good	0
opinion	opinion	n1	opinion	opinion	0
;	;	;	;	;	0
this	this	d	this	this	0
you	you	pn22	you	you	0
get	get	vvb	get	get	0
by	by	p-acp	by	by	0
obliging	obliging	j-vvg	obliging	oblige	0
men	men	n2	men	man	0
to	to	pc-acp	to	to	0
appear	appear	vvi	appear	appear	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
world	world	n1	world	world	0
under	under	p-acp	under	under	0
your	your	po22	your	your	0
Patronage	Patronage	n1	Patronage	patronage	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
advise	advise	vvi	advice	advise	0
our	our	po12	our	our	0
carping	carping	j-vvg	carping	carp	0
Censurers	Censurers	n2	Censurers	censurer	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
a	a	dt	a	a	0
care	care	n1	care	care	0
what	what	r-crq	what	what	0
they	they	pns32	they	they	0
do	do	vdb	do	do	0
;	;	;	;	;	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
daring	daring	j-vvg	daring	dare	0
act	act	n1	act	act	0
to	to	pc-acp	to	to	0
affront	affront	vvi	affront	affront	0
the	the	dt	the	the	0
Iudgment	Iudgment	n1	Judgement	judgement	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
Artillery	Artillery	n1	Artillery	artillery	0
Com	Com	vvi	Come	come	0
∣	∣	sy	∣	∣	0
pany	pany	n1	pany	pany	0
,	,	,	,	,	0
and	and	cc	and	and	0
however	however	c-acp	however	however	0
he	he	pns31	he	he	0
that	that	cst	that	that	0
doth	doth	vdz	does	do	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
succeed	succeed	vvi	succeed	succeed	0
,	,	,	,	,	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
sure	sure	j	sure	sure	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
off	off	a-acp	off	off	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
scarr	scarr	n1	scarr	scar	0
upon	upon	p-acp	upon	upon	0
his	his	po31	his	his	0
reputation	reputation	n1	reputation	reputation	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
a	a	dt	a	a	0
great	great	j	great	great	0
deal	deal	n1	deal	deal	0
of	of	pp-f	of	of	0
Courage	Courage	n1	Courage	courage	0
indeed	indeed	av	indeed	indeed	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
very	very	av	very	very	0
little	little	j	little	little	0
Wit	Wit	n1	Wit	wit	0
.	.	.	.	.	1
And	And	cc	And	and	0
now	now	av	now	now	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
fenced	fenced	vvn	fenced	fence	0
it	it	pn31	it	it	0
about	about	a-acp	about	about	0
as	as	p-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
Authority	Authority	n1	Authority	authority	0
,	,	,	,	,	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
submit	submit	vvb	submit	submit	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
perusal	perusal	n1	perusal	perusal	0
,	,	,	,	,	0
and	and	cc	and	and	0
remain	remain	vvi	remain	remain	0
,	,	,	,	,	0
Right	Right	av-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
