LOuing	LOuing	vvg	Loving	love	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
seeking	seeking	vvg	seeking	seek	0
after	after	p-acp	after	after	0
grace	grace	n1	grace	grace	0
striue	striue	vvi	strive	strive	0
to	to	pc-acp	to	to	0
imitate	imitate	vvi	imitate	imitate	0
,	,	,	,	,	0
and	and	cc	and	and	0
expresse	expresse	vvi	express	express	0
that	that	d	that	that	0
in	in	p-acp	in	in	0
themselues	themselues	px32	themselves	themselves	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
behold	behold	vvb	behold	behold	0
,	,	,	,	,	0
and	and	cc	and	and	0
see	see	vvi	see	see	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
.	.	.	.	.	1
Flattery	Flattery	n1	Flattery	flattery	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
euer	euer	av	ever	ever	0
hated	hated	vvn	hated	hate	0
,	,	,	,	,	0
and	and	cc	and	and	0
accounted	accounted	vvd	accounted	account	0
it	it	pn31	it	it	0
the	the	dt	the	the	0
very	very	j	very	very	0
basery	basery	n1	basery	basery	0
of	of	pp-f	of	of	0
base	base	n1	base	base	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
it	it	pn31	it	it	0
dwels	dwels	vvz	dwells	dwell	0
no	no	dx	no	no	0
where	where	c-crq	where	where	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
base	base	j	base	base	0
beg	beg	vvb	beg	beg	0
∣	∣	sy	∣	∣	0
gerly	gerly	av-j	gerly	ger	0
,	,	,	,	,	0
and	and	cc	and	and	0
degenerate	degenerate	j	degenerate	degenerate	0
breast	breast	n1	breast	breast	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
plaine	plaine	j	plain	plain	0
Manife	Manife	n1	Manife	manife	0
∣	∣	sy	∣	∣	0
sto	sto	uh	sto	sto	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
as	as	c-acp	as	as	0
many	many	d	many	many	0
as	as	c-acp	as	as	0
know	know	vvb	know	know	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
mee	mee	pno11	me	i	0
that	that	cst	that	that	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
publike	publike	j	public	public	0
Motiues	Motiues	n2	Motives	motive	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
priuate	priuate	j	private	private	0
also	also	av	also	also	0
both	both	av-d	both	both	0
inuite	inuite	vvi	invite	invite	0
,	,	,	,	,	0
and	and	cc	and	and	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
force	force	vvb	force	force	0
me	me	pno11	me	i	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
tendering	tendering	vvg	tendering	tender	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
my	my	po11	my	my	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
or	or	cc	or	or	0
rather	rather	av-c	rather	rather	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
rendering	rendering	n-vvg	rendering	render	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
my	my	po11	my	my	0
thankfulnesse	thankfulnesse	n1	thankfulness	thankfulness	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
charity	charity	n1	charity	charity	0
extended	extended	vvn	extended	extend	0
,	,	,	,	,	0
both	both	av-d	both	both	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
dead	dead	j	dead	dead	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
liuing	liuing	n-vvg	living	live	0
.	.	.	.	.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
the	the	dt	the	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
heauen	heauen	n1	heaven	heaven	0
for	for	p-acp	for	for	0
Christ	Christ	np1	Christ	Christ	0
his	his	po31	his	his	0
sake	sake	n1	sake	sake	0
will	will	vmb	will	will	0
neuer	neuer	av-x	never	never	0
wipe	wipe	vvi	wipe	wipe	0
out	out	av	out	out	0
that	that	cst	that	that	0
Christian	Christian	np1	Christian	Christian	0
kindenesses	kindenesses	n2	kindnesses	kindness	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
shewed	shewed	vvn	showed	show	0
to	to	p-acp	to	to	0
both	both	d	both	both	0
.	.	.	.	.	1
Touching	Touching	vvg	Touching	touch	0
this	this	d	this	this	0
occurrence	occurrence	n1	occurrence	occurrence	0
,	,	,	,	,	0
you	you	pn22	you	you	0
see	see	vvb	see	see	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
frontispice	frontispice	n1	frontispice	frontispiece	0
what	what	r-crq	what	what	0
the	the	dt	the	the	0
summe	summe	n1	sum	sum	0
is	is	vbz	is	be	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
because	because	c-acp	because	because	0
it	it	pn31	it	it	0
gaue	gaue	vvd	gave	give	0
some	some	d	some	some	0
content	content	n1	content	content	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
sacred	sacred	j	sacred	sacred	0
Maiestie	Maiestie	n1	Majesty	majesty	0
;	;	;	;	;	0
and	and	cc	and	and	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
able	able	j	able	able	0
,	,	,	,	,	0
it	it	pn31	it	it	0
being	being	vbg	being	be	0
an	an	dt	and	a	0
itinerant	itinerant	j	itinerant	itinerant	0
Sermon	Sermon	n1	Sermon	sermon	0
so	so	av	so	so	0
fully	fully	av-j	fully	full	0
to	to	pc-acp	to	to	0
expresse	expresse	vvi	express	express	0
my	my	po11	my	my	0
self	self	n1	self	self	0
being	being	vbg	being	be	0
streightned	streightned	vvn	straighteneth	straighten	0
with	with	p-acp	with	with	0
shortnes	shortnes	n1	shortness	shortness	0
of	of	pp-f	of	of	0
time	time	n1	time	time	0
,	,	,	,	,	0
&	&	cc	&	and	0
for	for	p-acp	for	for	0
asmuch	asmuch	av	as	asmuch	0
as	as	c-acp	as	as	0
di	di	dt	di	the	0
∣	∣	sy	∣	∣	0
uers	uers	zz	uers	uers	0
desired	desired	vvn	desired	desire	0
(	(	(	(	(	0
because	because	c-acp	because	because	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
an	an	dt	and	a	0
vnusual	vnusual	j	unusual	unusual	0
Scripture	Scripture	n1	Scripture	scripture	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
handled	handled	vvn	handled	handle	0
)	)	)	)	)	0
that	that	cst	that	that	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
deliuered	deliuered	vvn	delivered	deliver	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
speed	speed	n1	speed	speed	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
voyce	voyce	n1	voice	voice	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
liuing	liuing	j-vvg	living	live	0
Man	Man	n1	Man	man	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
few	few	d	few	few	0
,	,	,	,	,	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
pub	pub	fw-la	pub	pub	0
∣	∣	sy	∣	∣	0
lished	lished	vvn	lished	lish	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
view	view	n1	view	view	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
contented	contented	vvn	contented	content	0
to	to	pc-acp	to	to	0
bury	bury	vvi	bury	bury	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
dead	dead	j	dead	dead	0
letter	letter	n1	letter	letter	0
,	,	,	,	,	0
and	and	cc	and	and	0
subiect	subiect	vvi	subject	subject	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
censure	censure	n1	censure	censure	0
of	of	pp-f	of	of	0
more	more	dc	more	more	0
then	then	cs	then	than	0
a	a	dt	a	a	0
good	good	j	good	good	0
many	many	d	many	many	0
curious	curious	j	curious	curious	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
cen	cen	n1	cen	cen	0
∣	∣	sy	∣	∣	0
sorious	sorious	j	sorious	sorious	0
age	age	n1	age	age	0
.	.	.	.	.	1
Especially	Especially	av-j	Especially	especial	0
hauing	hauing	vhg	having	have	0
considered	considered	vvn	considered	consider	0
that	that	cst	that	that	0
indeed	indeed	av	indeed	indeed	0
a	a	dt	a	a	0
mans	mans	ng1	men	man	0
liuely	liuely	j	lively	lively	0
voyce	voyce	n1	voice	voice	0
moueth	moueth	vvz	moves	move	0
much	much	d	much	much	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
a	a	dt	a	a	0
mans	mans	n2	men	man	0
wri	wri	fw-fr	wri	wri	0
∣	∣	sy	∣	∣	0
ting	ting	zf	ting	thing	0
teacheth	teacheth	vvz	teaches	teach	0
more	more	av-dc	more	more	0
.	.	.	.	.	1
Words	Words	n2	Words	word	0
spoken	spoken	vvn	spoken	speak	0
are	are	vbr	are	be	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
writings	writings	n2	writings	write	0
are	are	vbr	are	be	0
monuments	monuments	n2	monuments	monument	0
,	,	,	,	,	0
and	and	cc	and	and	0
memorials	memorials	n2	memorials	memorial	0
,	,	,	,	,	0
words	words	n2	words	word	0
reach	reach	vvb	reach	reach	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
neere	neere	j	near	near	0
,	,	,	,	,	0
writings	writings	n2	writings	write	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
farre	farre	av-j	far	far	0
off	off	a-acp	off	off	0
.	.	.	.	.	1
Words	Words	n2	Words	word	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
aliue	aliue	j	alive	alive	0
,	,	,	,	,	0
writings	writings	n2	writings	write	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
yet	yet	av	yet	yet	0
vborne	vborne	j	vborne	vborne	0
.	.	.	.	.	1
Speech	Speech	n1	Speech	speech	0
profiteth	profiteth	vvz	profiteth	profit	0
the	the	dt	the	the	0
auditorie	auditorie	j	auditory	auditory	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
we	we	pns12	we	we	0
speake	speake	vvb	speak	speak	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
writing	writing	n1	writing	writing	0
profiteth	profiteth	vvz	profiteth	profit	0
all	all	d	all	all	0
,	,	,	,	,	0
and	and	cc	and	and	0
he	he	pns31	he	he	0
that	that	cst	that	that	0
preacheth	preacheth	vvz	preacheth	preach	0
profiteth	profiteth	vvz	profiteth	profit	0
for	for	p-acp	for	for	0
an	an	dt	and	a	0
houre	houre	n1	hour	hour	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
he	he	pns31	he	he	0
that	that	cst	that	that	0
writeth	writeth	vvz	writeth	write	0
profiteth	profiteth	vvz	profiteth	profit	0
for	for	p-acp	for	for	0
euer	euer	av	ever	ever	0
.	.	.	.	.	1
These	These	np1	These	Theise	0
considera	considera	fw-la	considera	considera	0
∣	∣	sy	∣	∣	0
tions	tions	n1	tions	tions	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
perswaded	perswaded	vvd	persuaded	persuade	0
me	me	pno11	me	i	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
ouerture	ouerture	n1	overture	overture	0
.	.	.	.	.	1
And	And	cc	And	and	0
the	the	dt	the	the	0
best	best	js	best	best	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
vsuall	vsuall	j	usual	usual	0
by	by	p-acp	by	by	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
Ne	Ne	fw-fr	Ne	ne	0
sutor	sutor	n1	suitor	suitor	0
vltra	vltra	fw-la	vltra	ultra	0
crepidam	crepidam	fw-la	crepidam	crepidam	0
,	,	,	,	,	0
cannot	cannot	vmbx	cannot	can	0
iustly	iustly	av-j	justly	just	0
be	be	vbi	be	be	0
obtruded	obtruded	vvd	obtruded	obtrude	0
vpon	vpon	p-acp	upon	upon	0
me	me	pno11	me	i	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
I	I	pns11	I	i	0
being	being	vbg	being	be	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
scious	scious	j	scious	scious	0
to	to	pc-acp	to	to	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
of	of	pp-f	of	of	0
mine	mine	po11	mine	my	0
owne	owne	d	own	own	0
vnworthynesse	vnworthynesse	n1	unworthiness	unworthiness	0
med	med	vvn	med	m	0
∣	∣	sy	∣	∣	0
led	led	vvd	led	lead	0
not	not	xx	not	not	0
aboue	aboue	p-acp	above	above	0
my	my	po11	my	my	0
reach	reach	n1	reach	reach	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Kings	Kings	ng1	Kings	king	0
Sword	Sword	n1	Sword	sword	0
,	,	,	,	,	0
Robes	Robes	n2	Robes	robe	0
,	,	,	,	,	0
or	or	cc	or	or	0
Crowne	Crowne	n1	Crown	crown	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
as	as	c-acp	as	as	0
my	my	po11	my	my	0
text	text	n1	text	text	0
pointed	pointed	vvn	pointed	point	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
foot	foot	n1	foot	foot	0
,	,	,	,	,	0
so	so	av	so	so	0
there	there	a-acp	there	there	0
did	did	vdd	did	do	0
I	I	pns11	I	i	0
cast	cast	vvi	cast	cast	0
downe	downe	a-acp	down	down	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
feet	feet	n2	feet	foot	0
of	of	pp-f	of	of	0
Maie	Maie	np1	Maie	May	0
∣	∣	sy	∣	∣	0
stie	stie	n1	sty	sty	0
,	,	,	,	,	0
and	and	cc	and	and	0
tendered	tendered	vvd	tendered	tender	0
my	my	po11	my	my	0
seruice	seruice	n1	service	service	0
,	,	,	,	,	0
and	and	cc	and	and	0
dutie	dutie	n1	duty	duty	0
both	both	av-d	both	both	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
King	King	n1	King	king	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
submission	submission	n1	submission	submission	0
,	,	,	,	,	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
subiect	subiect	n-jn	subject	subject	0
,	,	,	,	,	0
and	and	cc	and	and	0
seruant	seruant	n1	servant	servant	0
;	;	;	;	;	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
.	.	.	.	.	1
Scof	Scof	np1	Scof	Scof	0
∣	∣	sy	∣	∣	0
fing	fing	vvi	fing	sing	0
Ismaelites	Ismaelites	np2	Ismaelites	ismaelite	0
,	,	,	,	,	0
mocking	mocking	vvg	mocking	mock	0
Esaitz	Esaitz	np1	Esaitz	Esaitz	0
,	,	,	,	,	0
maleuolent	maleuolent	j	malevolent	malevolent	0
Iebu	Iebu	np1	Iebu	Iebu	0
∣	∣	sy	∣	∣	0
sits	sits	vvz	sits	sit	0
,	,	,	,	,	0
vnbeleeuing	vnbeleeuing	vvg	unbelieving	unbelieve	0
Atheists	Atheists	n2	Atheists	atheist	0
,	,	,	,	,	0
and	and	cc	and	and	0
profane	profane	j	profane	profane	0
Achrists	Achrists	n2	Achrists	achrist	0
v	v	vmb	v	shall	0
∣	∣	sy	∣	∣	0
sually	sually	av-j	sually	sual	0
take	take	vvb	take	take	0
offence	offence	n1	offence	offence	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
plainenesse	plainenesse	n1	plainness	plainness	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
texts	texts	n2	texts	text	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
where	where	c-crq	where	where	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
Ghost	Ghost	n1	Ghost	ghost	0
speaketh	speaketh	vvz	speaks	speak	0
familiarly	familiarly	av-jn	familiarly	familiar	0
as	as	p-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
of	of	pp-f	of	of	0
set	set	j-vvn	set	set	0
purpose	purpose	n1	purpose	purpose	0
,	,	,	,	,	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
rather	rather	av-c	rather	rather	0
vndergoe	vndergoe	vvi	undergo	undergo	0
ten	ten	crd	ten	ten	0
thou	thou	pns21	thou	thou	0
∣	∣	sy	∣	∣	0
sand	sand	n1	sand	sand	0
scoffes	scoffes	n2	scoffs	scoff	0
,	,	,	,	,	0
and	and	cc	and	and	0
disgraces	disgraces	n2	disgraces	disgrace	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
miscreants	miscreants	n2	miscreants	miscreant	0
,	,	,	,	,	0
then	then	av	then	then	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
least	least	ds	least	least	0
decline	decline	vvi	decline	decline	0
the	the	dt	the	the	0
blessed	blessed	j-vvn	blessed	bless	0
intendment	intendment	n1	intendment	intendment	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
fallible	fallible	j	fallible	fallible	0
an	an	dt	and	a	0
inditor	inditor	n1	inditor	inditor	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
vndoubted	vndoubted	j	undoubted	undoubted	0
a	a	dt	a	a	0
pen-man	pen-man	n1	penman	penman	0
.	.	.	.	.	1
Such	Such	d	Such	such	0
giddy	giddy	j	giddy	giddy	0
spirits	spirits	n2	spirits	spirit	0
,	,	,	,	,	0
and	and	cc	and	and	0
dizzie	dizzie	j	dizzy	dizzy	0
braines	braines	n2	brains	brain	0
of	of	pp-f	of	of	0
foolish	foolish	j	foolish	foolish	0
∣	∣	sy	∣	∣	0
wise	wise	n1	wise	wise	0
worldlings	worldlings	n2	worldlings	worldling	0
may	may	vmb	may	may	0
as	as	a-acp	as	as	0
well	well	av	well	well	0
scoffe	scoffe	n1	scoff	scoff	0
at	at	p-acp	at	at	0
Gideons	Gideons	np1	Gideons	Gideons	0
wet	wet	vvd	wet	wet	0
,	,	,	,	,	0
and	and	cc	and	and	0
dry	dry	j	dry	dry	0
Fleece	Fleece	n1	Fleece	fleece	0
,	,	,	,	,	0
his	his	po31	his	his	0
barley	barley	n1	barley	barley	0
cake	cake	n1	cake	cake	0
,	,	,	,	,	0
his	his	po31	his	his	0
stratageme	stratageme	n1	stratagem	stratagem	0
ofIudg	ofIudg	np1	ofIudg	ofIudg	0
.	.	.	.	.	1
6.	6.	crd	6.	6.	0
39.	39.	crd	39.	39	0
40	40	crd	40	40	1
Iudg.	Iudg.	np1	Iudg.	Iudg.	0
.	.	.	.	.	1
13.	13.	crd	13.	13.	1
Iudg.	Iudg.	np1	Iudg.	Iudg.	0
.	.	.	.	.	1
16.	16.	crd	16.	16.	1
Iudg.	Iudg.	np1	Iudg.	Iudg.	0
15.	15.	crd	15.	15.	0
4.	4.	crd	4.	4.	1
Gen.	Gen.	np1	Gen.	Gen.	0
1.	1.	crd	1.	1.	0
1.	1.	crd	1.	1.	0
2.	2.	crd	2.	2.	1
Gen.	Gen.	np1	Gen.	Gen.	0
44	44	crd	44	44	0
12.	12.	crd	12.	12.	1
Gen.	Gen.	np1	Gen.	Gen.	0
49.	49.	crd	49.	49.	0
14.	14.	crd	14.	14.	1
Hosh.	Hosh.	np1	Hosh.	Hosh.	0
7.	7.	crd	7.	7.	0
v.	v.	n1	v.	v.	0
8.	8.	crd	8.	8.	1
Ios.	Ios.	np1	Ios.	Ios.	0
9.	9.	crd	9.	9	0
3.	3.	crd	3.	3.	0
trumpets	trumpets	n2	trumpets	trumpet	0
,	,	,	,	,	0
and	and	cc	and	and	0
