Noblest	Noblest	js	Noblest	noble	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
)	)	)	)	)	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
our	our	po12	our	our	0
Wisdom	Wisdom	n1	Wisdom	wisdom	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
a	a	dt	a	a	0
reference	reference	n1	reference	reference	0
for	for	p-acp	for	for	0
full	full	j	full	full	0
satisfaction	satisfaction	n1	satisfaction	satisfaction	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
great	great	j	great	great	0
Solemn	Solemn	j	Solemn	solemn	0
and	and	cc	and	and	0
Celebrious	Celebrious	j	Celebrious	celebrious	0
general	general	j	general	general	0
Assembly	Assembly	n1	Assembly	assembly	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
first-Born	first-Born	j	firstborn	first-born	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
all	all	d	all	all	0
such	such	d	such	such	0
references	references	n2	references	reference	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
called	called	vvn	called	call	0
and	and	cc	and	and	0
satisfyingly	satisfyingly	av-j	satisfyingly	satisfying	0
dis	dis	d	dis	this	0
∣	∣	sy	∣	∣	0
cussed	cussed	vvn	cussed	cuss	0
:	:	:	:	:	0
And	And	cc	And	and	0
seeing	seeing	vvg	seeing	see	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
thought	thought	vvn	thought	think	0
it	it	pn31	it	it	0
fit	fit	j	fit	fit	0
that	that	cst	that	that	0
some	some	d	some	some	0
relicts	relicts	n2	relicts	relic	0
of	of	pp-f	of	of	0
sin	sin	n1	since	sin	0
(	(	(	(	(	0
but	but	p-acp	but	but	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
auctorated	auctorated	vvn	auctorated	auctorate	0
of	of	pp-f	of	of	0
its	its	po31	its	its	0
ringe	ringe	n1	ring	ring	0
and	and	cc	and	and	0
dominion	dominion	n1	dominion	dominion	0
)	)	)	)	)	0
should	should	vmd	should	shall	0
indwell	indwell	vvi	indwell	indwell	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
spiritual	spiritual	j	spiritual	spiritual	0
constitution	constitution	n1	constitution	constitution	0
of	of	pp-f	of	of	0
sojourning-Saints	sojourning-Saints	n2	sojourning-Saints	sojourning-saint	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
mixture	mixture	n1	mixture	mixture	0
of	of	pp-f	of	of	0
Grace	Grace	n1	Grace	grace	0
and	and	cc	and	and	0
Corruption	Corruption	n1	Corruption	corruption	0
(	(	(	(	(	0
each	each	d	each	each	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
,	,	,	,	,	0
notwithstanding	notwithstanding	a-acp	notwithstanding	notwithstanding	0
,	,	,	,	,	0
retaining	retaining	vvg	retaining	retain	0
still	still	av	still	still	0
its	its	po31	its	its	0
own	own	d	own	own	0
natural	natural	j	natural	natural	0
irreconcileable	irreconcileable	j	irreconcileable	irreconcileable	0
Antipathy	Antipathy	n1	Antipathy	antipathy	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
and	and	cc	and	and	0
lusting	lusting	j-vvg	lusting	lust	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
gainst	gainst	p-acp	gainst	against	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
;	;	;	;	;	0
so	so	av	so	so	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
their	their	po32	their	their	0
actings	actings	n2	actings	acting	0
,	,	,	,	,	0
both	both	d	both	both	0
gracious	gracious	j	gracious	gracious	0
and	and	cc	and	and	0
sinful	sinful	j	sinful	sinful	0
,	,	,	,	,	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
still	still	av	still	still	0
divided	divided	vvn	divided	divide	0
;	;	;	;	;	0
and	and	cc	and	and	0
neither	neither	dx	neither	neither	0
one	one	pi	one	one	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
before	before	a-acp	before	before	0
Regenerating	Regenerating	vvg	Regenerating	regenerate	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
Glory	Glory	n1	Glory	glory	0
)	)	)	)	)	0
its	its	vbz	its	be	0
highly	highly	av-j	highly	high	0
congruous	congruous	j	congruous	congruous	0
and	and	cc	and	and	0
sutable	sutable	j	suitable	suitable	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
same	same	d	same	same	0
insnit	insnit	j	insnit	insnit	0
Wisdom	Wisdom	n1	Wisdom	wisdom	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
proportionable	proportionable	j	proportionable	proportionable	0
and	and	cc	and	and	0
cor	cor	fw-la	cor	cor	0
∣	∣	sy	∣	∣	0
respondent	respondent	j	respondent	respondent	0
mixture	mixture	n1	mixture	mixture	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
dispensations	dispensations	n2	dispensations	dispensation	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Providence	Providence	n1	Providence	providence	0
towards	towards	p-acp	towards	towards	0
them	them	pno32	them	they	0
while	while	n1	while	while	0
one	one	crd	one	one	0
this	this	d	this	this	0
side	side	n1	side	side	0
,	,	,	,	,	0
Heaven	Heaven	n1	Heaven	heaven	0
,	,	,	,	,	0
some	some	d	some	some	0
more	more	dc	more	more	0
smiling	smiling	j-vvg	smiling	smile	0
,	,	,	,	,	0
and	and	cc	and	and	0
some	some	d	some	some	0
more	more	dc	more	more	0
cross	cross	n1	cross	cross	0
:	:	:	:	:	0
the	the	dt	the	the	0
Flesh	Flesh	n1	Flesh	flesh	0
and	and	cc	and	and	0
Unregenerate	Unregenerate	j	Unregenerate	unregenerate	0
part	part	n1	part	part	0
requiring	requiring	vvg	requiring	require	0
crosses	crosses	n2	crosses	cross	0
to	to	pc-acp	to	to	0
whip	whip	vvi	whip	whip	0
it	it	pn31	it	it	0
up	up	a-acp	up	up	0
,	,	,	,	,	0
and	and	cc	and	and	0
drive	drive	vvi	drive	drive	0
it	it	pn31	it	it	0
forward	forward	av-j	forward	forward	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Spirit	Spirit	n1	Spirit	spirit	0
and	and	cc	and	and	0
Regenerate	Regenerate	vvn	Regenerate	regenerate	0
part	part	n1	part	part	0
calling	calling	vvg	calling	call	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
also	also	av	also	also	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
keepit	keepit	j	keepit	keepit	0
awake	awake	j	awake	awake	0
and	and	cc	and	and	0
on	on	p-acp	on	on	0
its	its	po31	its	its	0
guard	guard	n1	guard	guard	0
,	,	,	,	,	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
surprising	surprising	j-vvg	surprising	surprise	0
prejudice	prejudice	n1	prejudice	prejudice	0
and	and	cc	and	and	0
hurt	hurt	vvi	hurt	hurt	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
sustain	sustain	vvi	sustain	sustain	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
restless	restless	j	restless	restless	0
ill	ill	j-jn	ill	ill	0
Neighbour	Neighbour	n1	Neighbour	neighbour	0
,	,	,	,	,	0
and	and	cc	and	and	0
troublesome	troublesome	j	troublesome	troublesome	0
Companion	Companion	n1	Companion	companion	0
,	,	,	,	,	0
a	a	dt	a	a	0
Body	Body	n1	Body	body	0
of	of	pp-f	of	of	0
Death	Death	n1	Death	death	0
,	,	,	,	,	0
that	that	cst	that	that	0
cleaveth	cleaveth	vvz	cleaveth	cleave	0
close	close	av-j	close	close	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Girdle	Girdle	n1	Girdle	girdle	0
doth	doth	vdz	does	do	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Loins	Loins	n2	Loins	loin	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Man	Man	n1	Man	man	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
many	many	d	many	many	0
hours	hours	n2	hours	hour	0
,	,	,	,	,	0
let	let	vvb	let	let	0
be	be	vbi	be	be	0
days	days	n2	days	day	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
well	well	av	well	well	0
to	to	p-acp	to	to	0
an	an	dt	and	a	0
end	end	n1	end	end	0
:	:	:	:	:	0
When	When	c-crq	When	when	0
their	their	po32	their	their	0
Constitution	Constitution	n1	Constitution	constitution	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
eth	eth	zz	eth	eth	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
purely	purely	av-j	purely	pure	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
perfectly	perfectly	av-j	perfectly	perfect	0
defecat	defecat	n1	defecat	defecat	0
and	and	cc	and	and	0
refined	refined	j-vvn	refined	refine	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
the	the	dt	the	the	0
dreggy	dreggy	j	dreggy	dreggy	0
and	and	cc	and	and	0
drosy	drosy	n1	drosy	drosy	0
mixture	mixture	n1	mixture	mixture	0
of	of	pp-f	of	of	0
indwelling	indwelling	j-vvg	indwelling	indwel	0
Corruption	Corruption	n1	Corruption	corruption	0
then	then	av	then	then	0
will	will	vmb	will	will	0
their	their	po32	their	their	0
Lot	Lot	n1	Lot	lot	0
be	be	vbb	be	be	0
pure	pure	j	pure	pure	0
Solace	Solace	n1	Solace	solace	0
and	and	cc	and	and	0
Joy	Joy	n1	Joy	joy	0
,	,	,	,	,	0
even	even	av	even	even	0
perfection	perfection	n1	perfection	perfection	0
&	&	cc	&	and	0
perpetuity	perpetuity	n1	perpetuity	perpetuity	0
of	of	pp-f	of	of	0
Joy	Joy	n1	Joy	joy	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
the	the	dt	the	the	0
least	least	ds	least	least	0
mixture	mixture	n1	mixture	mixture	0
of	of	pp-f	of	of	0
Sorrow	Sorrow	n1	Sorrow	sorrow	0
or	or	cc	or	or	0
Trouble	Trouble	n1	Trouble	trouble	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
ever	ever	av	ever	ever	0
sort	sort	n1	sort	sort	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
till	till	c-acp	till	till	0
then	then	av	then	then	0
(	(	(	(	(	0
and	and	cc	and	and	0
Bles	Bles	vvi	Bles	bless	0
∣	∣	sy	∣	∣	0
sed	sed	fw-la	sed	sed	0
Eternally	Eternally	av-j	Eternally	eternal	0
be	be	vbi	be	be	0
God	God	n1	God	god	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
long	long	av-j	long	long	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
,	,	,	,	,	0
even	even	av	even	even	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
moment	moment	n1	moment	moment	0
)	)	)	)	)	0
Trouble	Trouble	vvb	Trouble	trouble	0
and	and	cc	and	and	0
Sorrow	Sorrow	n1	Sorrow	sorrow	0
,	,	,	,	,	0
less	less	av-dc	less	less	0
or	or	cc	or	or	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
will	will	vmb	will	will	0
wait	wait	vvi	wait	wait	0
on	on	p-acp	on	on	0
them	them	pno32	them	they	0
who	who	r-crq	who	who	0
through	through	p-acp	through	through	0
much	much	d	much	much	0
Tribula	Tribula	np1	Tribula	Tribula	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
must	must	vmb	must	must	0
enter	enter	vvi	enter	enter	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
▪	▪	▪	▪	▪	0
Yet	Yet	av	Yet	yet	0
on	on	p-acp	on	on	0
a	a	dt	a	a	0
just	just	j	just	just	0
reckoning	reckoning	n-vvg	reckoning	reckon	0
there	there	a-acp	there	there	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
no	no	dx	no	no	0
real	real	j	real	real	0
nor	nor	ccx	nor	nor	0
well	well	av	well	well	0
grounded	grounded	vvn	grounded	ground	0
Reason	Reason	n1	Reason	reason	0
of	of	pp-f	of	of	0
dissatisfaction	dissatisfaction	n1	dissatisfaction	dissatisfaction	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
wise	wise	j	wise	wise	0
disposal	disposal	n1	disposal	disposal	0
of	of	pp-f	of	of	0
Divine	Divine	j-jn	Divine	divine	0
Providence	Providence	n1	Providence	providence	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
He	He	pns31	He	he	0
never	never	av-x	never	never	0
afflicteth	afflicteth	vvz	afflicts	afflict	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
are	are	vbr	are	be	0
they	they	pns32	they	they	0
in	in	p-acp	in	in	0
heaviness	heaviness	n1	heaviness	heaviness	0
through	through	p-acp	through	through	0
one	one	crd	one	one	0
or	or	cc	or	or	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
or	or	cc	or	or	0
even	even	av	even	even	0
manifold	manifold	j	manifold	manifold	0
Temp	Temp	vvi	Temp	tempt	0
∣	∣	sy	∣	∣	0
tations	tations	n2	tations	tation	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
when	when	c-crq	when	when	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
Need	Need	n1	Need	need	0
,	,	,	,	,	0
and	and	cc	and	and	0
such	such	d	such	such	0
need	need	n1	need	need	0
that	that	cst	that	that	0
a	a	dt	a	a	0
few	few	d	few	few	0
serious	serious	j	serious	serious	0
refle	refle	n1	refle	refle	0
∣	∣	sy	∣	∣	0
ctions	ctions	ng1	ctions	ctions	0
will	will	vmb	will	will	0
constrain	constrain	vvi	constrain	constrain	0
the	the	dt	the	the	0
Patient	Patient	n1	Patient	patient	0
to	to	pc-acp	to	to	0
acknowledge	acknowledge	vvi	acknowledge	acknowledge	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
This	This	d	This	this	0
same	same	d	same	same	0
particular	particular	j	particular	particular	0
Cross	Cross	n1	Cross	cross	0
so	so	av	so	so	0
and	and	cc	and	and	0
so	so	av	so	so	0
circumstantiated	circumstantiated	vvn	circumstantiated	circumstantiate	0
,	,	,	,	,	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
well	well	av	well	well	0
have	have	vhi	have	have	0
been	been	vbn	been	be	0
wanted	wanted	vvn	wanted	want	0
without	without	p-acp	without	without	0
a	a	dt	a	a	0
greater	greater	jc	greater	great	0
prejudice	prejudice	n1	prejudice	prejudice	0
;	;	;	;	;	0
nay	nay	uh-x	nay	nay	0
,	,	,	,	,	0
considering	considering	vvg	considering	consider	0
the	the	dt	the	the	0
inseparable	inseparable	j	inseparable	inseparable	0
connection	connection	n1	connection	connection	0
that	that	cst	that	that	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Eternal	Eternal	j	Eternal	eternal	0
and	and	cc	and	and	0
Unalterable	Unalterable	j	Unalterable	unalterable	0
Decree	Decree	n1	Decree	decree	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
establi	establi	vvn	establi	establi	0
∣	∣	sy	∣	∣	0
shed	shed	vvb	shed	shed	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
the	the	dt	the	the	0
end	end	n1	end	end	0
and	and	cc	and	and	0
all	all	d	all	all	0
the	the	dt	the	the	0
means	means	n2	means	mean	0
that	that	cst	that	that	0
lead	lead	vvb	led	lead	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
;	;	;	;	;	0
When	When	c-crq	When	when	0
ever	ever	av	ever	ever	0
such	such	d	such	such	0
and	and	cc	and	and	0
such	such	d	such	such	0
a	a	dt	a	a	0
Cross	Cross	n1	Cross	cross	0
is	is	vbz	is	be	0
actually	actually	av-j	actually	actual	0
met	met	vvn	met	meet	0
with	with	p-acp	with	with	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
ground	ground	n1	ground	ground	0
to	to	pc-acp	to	to	0
think	think	vvi	think	think	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
as	as	a-acp	as	as	0
necessary	necessary	j	necessary	necessary	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Salvation	Salvation	n1	Salvation	salvation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Christians	Christians	np1	Christians	Christians	0
is	is	vbz	is	be	0
▪	▪	▪	▪	▪	0
that	that	cst	that	that	0
Cross	Cross	n1	Cross	cross	0
being	being	vbg	being	be	0
appointed	appointed	vvn	appointed	appoint	0
as	as	p-acp	as	as	0
one	one	crd	one	one	0
mean	mean	j	mean	mean	0
with	with	p-acp	with	with	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
purposed	purposed	j-vvn	purposed	purpose	0
end	end	n1	end	end	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
wit	wit	vvi	wit	wit	0
,	,	,	,	,	0
the	the	dt	the	the	0
Salva	Salva	np1	Salva	Salva	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
a	a	dt	a	a	0
Person	Person	n1	Person	person	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
one	one	crd	one	one	0
consideration	consideration	n1	consideration	consideration	0
(	(	(	(	(	0
That	That	cst	That	that	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
appointed	appointed	vvn	appointed	appoint	0
thereunto	thereunto	av	thereunto	thereunto	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Apostle	Apostle	n1	Apostle	apostle	0
,	,	,	,	,	0
writing	writing	vvg	writing	write	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Thessalonans	Thessalonans	njp2	Thessalonans	thessalonans	0
,	,	,	,	,	0
asserteth	asserteth	vvz	asserteth	assert	0
)	)	)	)	)	0
well	well	av	well	well	0
pondered	pondered	vvn	pondered	ponder	0
,	,	,	,	,	0
would	would	vmd	would	will	0
contribut	contribut	vvi	contribute	contribute	0
,	,	,	,	,	0
not	not	xx	not	not	0
a	a	dt	a	a	0
little	little	j	little	little	0
to	to	pc-acp	to	to	0
reconcile	reconcile	vvi	reconcile	reconcile	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
sadly	sadly	av-j	sadly	sad	0
Cros	Cros	np1	Cros	Cros	0
∣	∣	sy	∣	∣	0
sed	sed	zz	sed	sed	0
and	and	cc	and	and	0
afflicted	afflicted	j-vvn	afflicted	afflict	0
Children	Children	n2	Children	child	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
a	a	dt	a	a	0
great	great	j	great	great	0
deal	deal	n1	deal	deal	0
more	more	av-dc	more	more	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
respective	respective	j	respective	respective	0
Crosses	Crosses	n2	Crosses	cross	0
;	;	;	;	;	0
and	and	cc	and	and	0
would	would	vmd	would	will	0
make	make	vvi	make	make	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
taken	taken	vvn	taken	take	0
up	up	a-acp	up	up	0
and	and	cc	and	and	0
borne	borne	vvn	born	bear	0
more	more	av-dc	more	more	0
patient	patient	j	patient	patient	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
,	,	,	,	,	0
pleasantly	pleasantly	av-j	pleasantly	pleasant	0
,	,	,	,	,	0
and	and	cc	and	and	0
chearfully	chearfully	av-j	cheerfully	cheerful	0
;	;	;	;	;	0
and	and	cc	and	and	0
would	would	vmd	would	will	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
make	make	vvi	make	make	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
look	look	vvi	look	look	0
out	out	av	out	out	0
on	on	p-acp	on	on	0
them	them	pno32	them	they	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
less	less	av-dc	less	less	0
formidable	formidable	j	formidable	formidable	0
&	&	cc	&	and	0
more	more	av-dc	more	more	0
amiable	amiable	j	amiable	amiable	0
Aspect	Aspect	n1	Aspect	aspect	0
than	than	cs	than	than	0
ordinarily	ordinarily	av-j	ordinarily	ordinary	0
they	they	pns32	they	they	0
do	do	vdb	do	do	0
.	.	.	.	.	1
And	And	cc	And	and	0
since	since	a-acp	since	since	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
second	second	ord	second	second	0
place	place	n1	place	place	0
,	,	,	,	,	0
all	all	d	all	all	0
there	there	a-acp	there	there	0
Afflictions	Afflictions	n2	Afflictions	affliction	0
are	are	vbr	are	be	0
affli	affli	fw-fr	affli	affli	0
∣	∣	sy	∣	∣	0
ctions	ctions	n2	ctions	ction	0
only	only	av-j	only	only	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
present	present	j	present	present	0
time	time	n1	time	time	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
season	season	n1	season	season	0
,	,	,	,	,	0
and	and	cc	and	and	0
but	but	p-acp	but	but	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
moment	moment	n1	moment	moment	0
,	,	,	,	,	0
not	not	xx	not	not	0
protracted	protracted	vvn	protracted	protract	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
desert	desert	n1	desert	desert	0
one	one	crd	one	one	0
minute	minute	n1	minute	minute	0
beyond	beyond	p-acp	beyond	beyond	0
Death	Death	n1	Death	death	0
,	,	,	,	,	0
let	let	vvb	let	let	0
be	be	vbb	be	be	0
Eterni	Eterni	fw-la	Eterni	eterni	0
∣	∣	sy	∣	∣	0
ties	ties	vvz	ties	tie	0
length	length	n1	length	length	0
;	;	;	;	;	0
Since	Since	c-acp	Since	since	0
moreover	moreover	av	moreover	moreover	0
the	the	dt	the	the	0
heaviest	heaviest	js	heaviest	heavy	0
Loads	Loads	vvz	Loads	load	0
,	,	,	,	,	0
and	and	cc	and	and	0
greatest	greatest	js	greatest	great	0
measures	measures	n2	measures	measure	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
are	are	vbr	are	be	0
but	but	p-acp	but	but	0
light	light	n1	light	light	0
and	and	cc	and	and	0
moderate	moderate	j	moderate	moderate	0
Afflictions	Afflictions	n2	Afflictions	affliction	0
,	,	,	,	,	0
and	and	cc	and	and	0
His	His	po31	His	his	0
severest	severest	js	severest	severe	0
correct	correct	vvb	correct	correct	0
∣	∣	sy	∣	∣	0
ings	ings	n1	ings	ings	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
measure	measure	n1	measure	measure	0
with	with	p-acp	with	with	0
Judgment	Judgment	n1	Judgement	judgement	0
and	and	cc	and	and	0
Discretion	Discretion	n1	Discretion	discretion	0
;	;	;	;	;	0
He	He	pns31	He	he	0
stayeth	stayeth	vvz	stays	stay	0
his	his	po31	his	his	0
rough	rough	j	rough	rough	0
Wind	Wind	n1	Wind	wind	0
in	in	p-acp	in	in	0
