PErusing	PErusing	vvg	PErusing	peruse	0
Men	Men	n2	Men	man	0
practise	practise	vvb	practise	practise	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
euill	euill	j-jn	evil	evil	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
exercise	exercise	vvi	exercise	exercise	0
and	and	cc	and	and	0
encrease	encrease	vvi	increase	increase	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
good	good	j	good	good	0
seruants	seruants	n2	servants	servant	0
,	,	,	,	,	0
the	the	dt	the	the	0
small	small	j	small	small	0
talent	talent	n1	talon	talon	0
of	of	pp-f	of	of	0
knowledge	knowledge	n1	knowledge	knowledge	0
that	that	cst	that	that	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
mercy	mercy	n1	mercy	mercy	0
hath	hath	vhz	hath	have	0
geuen	geuen	vvn	given	give	0
me	me	pno11	me	i	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
the	the	dt	the	the	0
same	same	d	same	same	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
doone	doone	vdn	done	do	0
,	,	,	,	,	0
that	that	cst	that	that	0
those	those	d	those	those	0
godly	godly	j	godly	godly	0
dispo	dispo	n1	dispo	dispo	0
∣	∣	sy	∣	∣	0
sed	sed	fw-la	sed	sed	0
brethren	brethren	n2	brothers	brethren	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
abilitie	abilitie	n1	ability	ability	0
to	to	pc-acp	to	to	0
buie	buie	vvi	buy	buy	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Institutions	Institutions	n2	Institutions	institution	0
,	,	,	,	,	0
ha	ha	uh	would	ha	0
∣	∣	sy	∣	∣	0
uing	uing	zz	uing	uing	0
this	this	d	this	this	0
(	(	(	(	(	0
wherevnto	wherevnto	c-crq	whereunto	whereunto	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
added	added	vvn	added	add	0
the	the	dt	the	the	0
expositiō	expositiō	n1	exposition	exposition	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
places	places	n2	places	place	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
enimies	enimies	n2	enemies	enemy	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
trueth	trueth	n1	truth	truth	0
haue	haue	vhb	have	have	0
fals	fals	av-j	falls	false	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
corrupted	corrupted	j-vvn	corrupted	corrupt	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
mainteine	mainteine	vvi	maintain	maintain	0
their	their	po32	their	their	0
er	er	zz	er	er	0
∣	∣	sy	∣	∣	0
rours	rours	npg1-n	rours	rour	0
(	(	(	(	(	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
self	self	n1	self	self	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
verbatim	verbatim	av	verbatim	verbatim	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
lieth	lieth	vvz	lies	lie	0
in	in	p-acp	in	in	0
Caluin	Caluin	np1	Caluin	Caluin	0
)	)	)	)	)	0
may	may	vmb	may	may	0
enioy	enioy	vvi	enjoy	enjoy	0
&	&	cc	&	and	0
obteine	obteine	vvi	obtain	obtain	0
some	some	d	some	some	0
profite	profite	n1	profit	profit	0
thereof	thereof	av	thereof	thereof	0
.	.	.	.	.	1
And	And	cc	And	and	0
although	although	cs	although	although	0
we	we	pns12	we	we	0
haue	haue	vhb	have	have	0
much	much	av-d	much	much	0
to	to	pc-acp	to	to	0
praise	praise	vvi	praise	praise	0
God	God	np1	God	God	0
our	our	po12	our	our	0
heauenly	heauenly	j	heavenly	heavenly	0
Father	Father	n1	Father	father	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
great	great	j	great	great	0
blessings	blessings	n2	blessings	blessing	0
bestowed	bestowed	vvn	bestowed	bestow	0
vpō	vpō	p-acp	upon	upon	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
worthy	worthy	j	worthy	worthy	0
trauel	trauel	n1	travel	travel	0
of	of	pp-f	of	of	0
godly	godly	j	godly	godly	0
learned	learned	j	learned	learned	0
men	men	n2	men	man	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
setting	setting	vvg	setting	set	0
foorth	foorth	av	forth	forth	0
and	and	cc	and	and	0
transla	transla	uh	transla	transla	0
∣	∣	sy	∣	∣	0
ting	ting	uh	ting	ting	0
diuerse	diuerse	j	diverse	diverse	0
and	and	cc	and	and	0
learned	learned	j	learned	learned	0
bookes	bookes	n2	books	book	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
vulgar	vulgar	j	vulgar	vulgar	0
tongue	tongue	n1	tongue	tongue	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
encrea	encrea	n1	encrea	encrea	0
∣	∣	sy	∣	∣	0
sing	sing	vvb	sing	sing	0
of	of	a-acp	of	off	0
the	the	dt	the	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
almigh	almigh	n1	almigh	almigh	0
∣	∣	sy	∣	∣	0
tie	tie	vvb	tie	tie	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
,	,	,	,	,	0
that	that	cst	that	that	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
the	the	dt	the	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
tongues	tongues	n2	tongues	tongue	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
theyr	theyr	po32	their	their	0
great	great	j	great	great	0
profite	profite	n1	profit	profit	0
,	,	,	,	,	0
and	and	cc	and	and	0
singular	singular	j	singular	singular	0
comfort	comfort	n1	comfort	comfort	0
of	of	pp-f	of	of	0
al	al	d	all	all	0
godly	godly	j	godly	godly	0
men	men	n2	men	man	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
rather	rather	av-c	rather	rather	0
wish	wish	vvb	wish	wish	0
their	their	po32	their	their	0
knowledge	knowledge	n1	knowledge	knowledge	0
in	in	p-acp	in	in	0
Gods	Gods	npg1	Gods	God	0
worde	worde	n1	word	word	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
saluation	saluation	n1	salvation	salvation	0
,	,	,	,	,	0
than	than	cs	than	than	0
their	their	po32	their	their	0
conti	conti	fw-la	conti	conti	0
∣	∣	sy	∣	∣	0
nuall	nuall	n1	nuall	nuall	0
ignoraunce	ignoraunce	n1	ignorance	ignorance	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
eternall	eternall	j	eternal	eternal	0
damnation	damnation	n1	damnation	damnation	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
think	think	vvb	think	think	0
that	that	cst	that	that	0
this	this	d	this	this	0
E	E	sy	E	e	0
∣	∣	sy	∣	∣	0
pitomie	pitomie	n1	pitomie	pitomie	0
aswel	aswel	p-acp	aswell	aswell	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
breuitie	breuitie	n1	brevity	brevity	0
ther	ther	zz	ther	ther	0
∣	∣	sy	∣	∣	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
pithines	pithines	n1	pithines	pithines	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
will	will	vmb	will	will	0
doe	doe	vdi	do	do	0
good	good	j	good	good	0
vnto	vnto	p-acp	unto	unto	0
as	as	p-acp	as	as	0
many	many	d	many	many	0
as	as	c-acp	as	as	0
thirst	thirst	n1	thirst	thirst	0
af	af	pp-f	of	of	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
the	the	dt	the	the	0
true	true	j	true	true	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
Gods	Gods	ng1	Gods	god	0
sa	sa	uh	sa	sa	0
∣	∣	sy	∣	∣	0
cred	cred	j	cred	cred	0
word	word	n1	word	word	0
.	.	.	.	.	1
And	And	cc	And	and	0
albeit	albeit	cs	albeit	albeit	0
,	,	,	,	,	0
all	all	d	all	all	0
places	places	n2	places	place	0
of	of	pp-f	of	of	0
scripture	scripture	n1	scripture	scripture	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
there	there	a-acp	there	there	0
expounded	expounded	vvn	expounded	expound	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
such	such	d	such	such	0
places	places	n2	places	place	0
are	are	vbr	are	be	0
there	there	a-acp	there	there	0
opened	opened	vvn	opened	open	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
may	may	vmb	may	may	0
satisfie	satisfie	vvi	satisfy	satisfy	0
any	any	d	any	any	0
Christian	Christian	njp	Christian	christian	0
man	man	n1	man	man	0
to	to	pc-acp	to	to	0
cōfirme	cōfirme	vvi	confirm	confirm	0
his	his	po31	his	his	0
faith	faith	n1	faith	faith	0
by	by	p-acp	by	by	0
,	,	,	,	,	0
&	&	cc	&	and	0
such	such	d	such	such	0
light	light	n1	light	light	0
in	in	p-acp	in	in	0
thē	thē	pno32	them	they	0
shewed	shewed	vvd	showed	show	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
may	may	vmb	may	may	0
easily	easily	av-j	easily	easy	0
shew	shew	vvi	show	show	0
the	the	dt	the	the	0
way	way	n1	way	way	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
true	true	j	true	true	0
meaning	meaning	n1	meaning	meaning	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
other	other	j-jn	other	other	0
places	places	n2	places	place	0
,	,	,	,	,	0
not	not	xx	not	not	0
there	there	a-acp	there	there	0
contained	contained	vvn	contained	contain	0
.	.	.	.	.	1
Wherfore	Wherfore	c-crq	Wherefore	wherefore	0
right	right	av-jn	right	right	0
Honourable	Honourable	j	Honourable	honourable	0
and	and	cc	and	and	0
Reuerende	Reuerende	n-jn	Reverend	reverend	0
Father	Father	n1	Father	father	0
in	in	p-acp	in	in	0
Christe	Christe	np1	Christe	Christe	0
,	,	,	,	,	0
my	my	po11	my	my	0
humble	humble	j	humble	humble	0
sute	sute	n1	suit	suit	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
after	after	p-acp	after	after	0
this	this	d	this	this	0
booke	booke	n1	book	book	0
be	be	vbi	be	be	0
examined	examined	vvn	examined	examine	0
&	&	cc	&	and	0
wel	wel	av	well	well	0
liked	liked	vvd	liked	like	0
,	,	,	,	,	0
you	you	pn22	you	you	0
wold	wold	vmd	would	will	0
accept	accept	vvi	accept	accept	0
this	this	d	this	this	0
rude	rude	j	rude	rude	0
translation	translation	n1	translation	translation	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
naked	naked	j	naked	naked	0
growthes	growthes	n2	growths	growth	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
barreine	barreine	j	barreine	barreine	0
soile	soile	n1	soil	soil	0
,	,	,	,	,	0
and	and	cc	and	and	0
first	first	ord	first	first	0
fruits	fruits	n2	fruits	fruit	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
an	an	dt	and	a	0
enterprise	enterprise	n1	enterprise	enterprise	0
,	,	,	,	,	0
and	and	cc	and	and	0
passe	passe	vvi	pass	pass	0
it	it	pn31	it	it	0
vnder	vnder	p-acp	under	under	0
the	the	dt	the	the	0
warrant	warrant	n1	warrant	warrant	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Honours	Honours	ng1	Honours	honour	0
good	good	j	good	good	0
protection	protection	n1	protection	protection	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
only	only	j	only	only	0
name	name	n1	name	name	0
may	may	vmb	may	may	0
priuiledge	priuiledge	vvi	privilege	privilege	0
my	my	po11	my	my	0
cause	cause	n1	cause	cause	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
surceasing	surceasing	vvg	surceasing	surcease	0
to	to	p-acp	to	to	0
mo	mo	dc	more	more	0
∣	∣	sy	∣	∣	0
lest	lest	cs	lest	lest	0
your	your	po22	your	your	0
Honor	Honor	n1	Honour	honour	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
grosse	grosse	j	gross	gross	0
&	&	cc	&	and	0
tedious	tedious	j	tedious	tedious	0
stile	stile	n1	style	stile	0
,	,	,	,	,	0
I	I	pns11	I	i	0
pray	pray	vvb	pray	pray	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
direct	direct	vvi	direct	direct	0
and	and	cc	and	and	0
lead	lead	vvb	led	lead	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
godly	godly	j	godly	godly	0
course	course	n1	course	course	0
while	while	cs	while	while	0
life	life	n1	life	life	0
lasteth	lasteth	vvz	lasteth	last	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
Gods	Gods	ng1	Gods	god	0
honour	honour	n1	honour	honour	0
and	and	cc	and	and	0
glorie	glorie	n1	glory	glory	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
euer	euer	av	ever	ever	0
preserue	preserue	vvb	preserve	preserve	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
latter	latter	d	latter	latter	0
end	end	n1	end	end	0
,	,	,	,	,	0
and	and	cc	and	and	0
send	send	vvb	send	send	0
you	you	pn22	you	you	0
fe	fe	zz	fe	fe	0
∣	∣	sy	∣	∣	0
licitie	licitie	n1	licitie	licitie	0
in	in	p-acp	in	in	0
Christe	Christe	np1	Christe	Christe	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
euer	euer	av	ever	ever	0
to	to	p-acp	to	to	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
dure	dure	n1	dure	dure	0
.	.	.	.	.	1
From	From	p-acp	From	from	0
London	London	np1	London	London	0
the	the	dt	the	the	0
9.	9.	crd	9.	9	0
of	of	pp-f	of	of	0
August	August	np1	August	August	0
.	.	.	.	.	1
1579.	1579.	crd	1579.	1579.	1
