Deare	Deare	n1	Dear	deer	0
up	up	a-acp	up	up	0
,	,	,	,	,	0
and	and	cc	and	and	0
make	make	vvi	make	make	0
it	it	pn31	it	it	0
their	their	po32	their	their	0
aboad	aboad	n1	abode	abode	0
.	.	.	.	.	1
Vouchsafe	Vouchsafe	vvb	Vouchsafe	vouchsafe	0
your	your	po22	your	your	0
payns	payns	n2	pains	pain	0
to	to	pc-acp	to	to	0
read	read	vvi	read	read	0
them	them	pno32	them	they	0
I	I	pns11	I	i	0
beseech	beseech	vvb	beseech	beseech	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
token	token	n1	token	token	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
unfeigned	unfeigned	j	unfeigned	unfeigned	0
love	love	n1	love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
listen	listen	vvb	listen	listen	0
unto	unto	p-acp	unto	unto	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
interpretati	interpretati	n1	interpretati	interpretati	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
wil	wil	vmb	will	will	0
not	not	xx	not	not	0
faile	faile	vvi	fail	fail	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
light	light	n1	light	light	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
:	:	:	:	:	0
You	You	pn22	You	you	0
shall	shall	vmb	shall	shall	0
see	see	vvi	see	see	0
what	what	r-crq	what	what	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
food	food	n1	food	food	0
my	my	po11	my	my	0
soule	soule	n1	soul	soul	0
lives	lives	vvz	lives	live	0
by	by	p-acp	by	by	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
remote	remote	j	remote	remote	0
wildernesse	wildernesse	n1	wilderness	wilderness	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
doubt	doubt	vvb	doubt	doubt	0
not	not	xx	not	not	0
but	but	p-acp	but	but	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
relished	relished	vvn	relished	relish	0
by	by	p-acp	by	by	0
you	you	pn22	you	you	0
,	,	,	,	,	0
though	though	cs	though	though	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
populous	populous	j	populous	populous	0
Town	Town	n1	Town	town	0
or	or	cc	or	or	0
Citie	Citie	n1	City	city	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
the	the	dt	the	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
peace	peace	n1	peace	peace	0
fill	fill	vvb	fill	fill	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
peace	peace	n1	peace	peace	0
and	and	cc	and	and	0
joy	joy	n1	joy	joy	0
in	in	p-acp	in	in	0
believing	believing	vvg	believing	believe	0
,	,	,	,	,	0
Amen	Amen	uh-n	Amen	amen	0
.	.	.	.	.	1
So	So	np1	So	So	0
prayeth	prayeth	vvz	prayeth	pray	0
he	he	pns31	he	he	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
ever	ever	av	ever	ever	0
yours	yours	png22	yours	you	0
,	,	,	,	,	1
