Courteous	Courteous	j	Courteous	courteous	0
is	is	vbz	is	be	0
relishing	relishing	vvg	relishing	relish	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
that	that	cst	that	that	0
loveth	loveth	vvz	loves	love	0
the	the	dt	the	the	0
Garden	Garden	n1	Garden	garden	0
or	or	cc	or	or	0
the	the	dt	the	the	0
Gardener	Gardener	n1	Gardener	gardener	0
,	,	,	,	,	0
the	the	dt	the	the	0
Physitian	Physitian	n1	Physician	physician	0
of	of	pp-f	of	of	0
Souls	Souls	n2	Souls	soul	0
will	will	vmb	will	will	0
tell	tell	vvi	tell	tell	0
you	you	pn22	you	you	0
so	so	av	so	so	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
doe	doe	vdb	do	do	0
I	I	pns11	I	i	0
give	give	vvb	give	give	0
it	it	pn31	it	it	0
you	you	pn22	you	you	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
malice	malice	n1	malice	malice	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
you	you	pn22	you	you	0
harm	harm	n1	harm	harm	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
hoping	hoping	vvg	hoping	hope	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
work	work	vvi	work	work	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
yours	yours	png22	yours	you	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
:	:	:	:	:	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
take	take	vvb	take	take	0
it	it	pn31	it	it	0
any	any	d	any	any	0
otherwise	otherwise	av	otherwise	otherwise	0
;	;	;	;	;	0
the	the	dt	the	the	0
Garters	Garters	n2	Garters	garter	0
Motto	Motto	n1	Motto	motto	0
Jle	Jle	pns11|vmb	Jle	I|will	0
present	present	vvi	present	present	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
,	,	,	,	,	0
evil	evil	j-jn	evil	evil	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
that	that	d	that	that	0
evil	evil	n-jn	evil	evil	0
thinks	thinks	vvz	thinks	think	0
:	:	:	:	:	0
I	I	pns11	I	i	0
wish	wish	vvb	wish	wish	0
you	you	pn22	you	you	0
better	better	av-jc	better	better	0
then	then	cs	then	than	0
you	you	pn22	you	you	0
wish	wish	vvb	wish	wish	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
would	would	vmd	would	will	0
know	know	vvi	know	know	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
what	what	r-crq	what	what	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
you	you	pn22	you	you	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
,	,	,	,	,	0
The	The	dt	The	the	0
first	first	ord	first	first	0
you	you	pn22	you	you	0
know	know	vvb	know	know	0
,	,	,	,	,	0
the	the	dt	the	the	0
second	second	ord	second	second	0
God	God	np1	God	God	0
knows	knows	vvz	knows	know	0
,	,	,	,	,	0
the	the	dt	the	the	0
last	last	ord	last	last	0
all	all	d	all	all	0
Men	Men	n2	Men	man	0
knows	knows	vvz	knows	know	0
you	you	pn22	you	you	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
brought	brought	vvn	brought	bring	0
to	to	p-acp	to	to	0
Judgment	Judgment	n1	Judgement	judgement	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
we	we	pns12	we	we	0
all	all	d	all	all	0
shall	shall	vmb	shall	shall	0
heare	heare	vvi	hear	hear	0
but	but	p-acp	but	but	0
two	two	crd	two	two	0
Sentences	Sentences	n2	Sentences	sentence	0
:	:	:	:	:	0
come	come	vvb	come	come	0
or	or	cc	or	or	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
part	part	n1	part	part	0
.	.	.	.	.	1
And	And	cc	And	and	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
you	you	pn22	you	you	0
owe	owe	vvb	owe	owe	0
me	me	pno11	me	i	0
(	(	(	(	(	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
Author	Author	n1	Author	author	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
little	little	j	little	little	0
Booke	Booke	n1	Book	book	0
)	)	)	)	)	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
ill	ill	j-jn	ill	ill	0
will	will	n1	will	will	0
,	,	,	,	,	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
returne	returne	vvi	return	return	0
you	you	pn22	you	you	0
by	by	p-acp	by	by	0
bill	bill	n1	bill	bill	0
of	of	pp-f	of	of	0
Exchange	Exchange	n1	Exchange	exchange	0
,	,	,	,	,	0
this	this	d	this	this	0
wish	wish	n1	wish	wish	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
botom	botom	n1	bottom	bottom	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
both	both	av-d	both	both	0
deserve	deserve	vvi	deserve	deserve	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
the	the	dt	the	the	0
first	first	ord	first	first	0
sentence	sentence	n1	sentence	sentence	0
of	of	pp-f	of	of	0
come	come	vvb	come	come	0
you	you	pn22	you	you	0
Blessed	Blessed	vvn	Blessed	bless	0
,	,	,	,	,	0
de	de	fw-la	de	de	0
∣	∣	sy	∣	∣	0
serve	serve	vvb	serve	serve	0
it	it	pn31	it	it	0
through	through	p-acp	through	through	0
Christs	Christs	npg1	Christs	Christ	0
merits	merits	n2	merits	merit	0
,	,	,	,	,	0
and	and	cc	and	and	0
receive	receive	vvi	receive	receive	0
it	it	pn31	it	it	0
from	from	p-acp	from	from	0
his	his	po31	his	his	0
mouth	mouth	n1	mouth	mouth	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
Prayer	Prayer	n1	Prayer	prayer	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
which	which	r-crq	which	which	0
desires	desires	vvz	desires	desire	0
Mercy	Mercy	n1	Mercy	mercy	0
and	and	cc	and	and	0
Truth	Truth	n1	Truth	truth	0
to	to	pc-acp	to	to	0
meet	meet	vvi	meet	meet	0
together	together	av	together	together	0
,	,	,	,	,	0
and	and	cc	and	and	0
Righteousness	Righteousness	n1	Righteousness	righteousness	0
and	and	cc	and	and	0
Peace	Peace	n1	Peace	peace	0
to	to	pc-acp	to	to	0
kiss	kiss	vvi	kiss	kiss	0
each	each	d	each	each	0
other	other	n-jn	other	other	0
.	.	.	.	.	1
