RAther	RAther	av-c	RAther	rather	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
pretences	pretences	n2	pretences	pretence	0
of	of	pp-f	of	of	0
publicke	publicke	j	public	public	0
service	service	n1	service	service	0
,	,	,	,	,	0
reioycing	reioycing	vvg	rejoicing	rejoice	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
dark	dark	j	dark	dark	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
can	can	vmb	can	can	0
put	put	vvi	put	put	0
on	on	p-acp	on	on	0
our	our	po12	our	our	0
own	own	d	own	own	0
party	party	n1	party	party	0
to	to	pc-acp	to	to	0
prosecute	prosecute	vvi	prosecute	prosecute	0
one	one	pi	one	one	0
another	another	j-jn	another	another	0
,	,	,	,	,	0
triumphing	triumphing	vvg	triumphing	triumph	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
∣	∣	sy	∣	∣	0
selves	selves	n2	selves	self	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
can	can	vmb	can	can	0
make	make	vvi	make	make	0
us	us	pno12	us	we	0
lop	lop	vvi	lop	lop	0
off	off	a-acp	off	off	0
our	our	po12	our	our	0
owne	owne	d	own	own	0
branches	branches	n2	branches	branch	0
,	,	,	,	,	0
and	and	cc	and	and	0
act	act	n1	act	act	0
that	that	cst	that	that	0
upon	upon	p-acp	upon	upon	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
behalf	behalf	n1	behalf	behalf	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
themselves	themselves	px32	themselves	themselves	0
cannot	cannot	vmbx	cannot	can	0
do	do	vdi	do	do	0
upon	upon	p-acp	upon	upon	0
us	us	pno12	us	we	0
;	;	;	;	;	0
But	But	cc-acp	But	but	0
I	I	pns11	I	i	0
here	here	av	here	here	0
publish	publish	vvi	publish	publish	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
this	this	d	this	this	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
grand	grand	j	grand	grand	0
artifice	artifice	n1	artifice	artifice	0
,	,	,	,	,	0
and	and	cc	and	and	0
designe	designe	n1	design	design	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
enemy	enemy	n1	enemy	enemy	0
abroad	abroad	av	abroad	abroad	0
&	&	cc	&	and	0
now	now	av	now	now	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
time	time	n1	time	time	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
,	,	,	,	,	0
working	working	vvg	working	work	0
in	in	p-acp	in	in	0
secret	secret	j-jn	secret	secret	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
us	us	pno12	us	we	0
the	the	dt	the	the	0
sad	sad	j	sad	sad	0
and	and	cc	and	and	0
fatall	fatall	j	fatal	fatal	0
instru	instru	n2	instru	instru	0
∣	∣	sy	∣	∣	0
ments	ments	n2	ments	ment	0
of	of	pp-f	of	of	0
undoing	undoing	vvg	undoing	undo	0
and	and	cc	and	and	0
destroying	destroying	vvg	destroying	destroy	0
one	one	pi	one	one	0
another	another	j-jn	another	another	0
,	,	,	,	,	0
and	and	cc	and	and	0
dashing	dashing	vvg	dashing	dash	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
against	against	p-acp	against	against	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
wee	wee	pns12	we	we	0
shall	shall	vmb	shall	shall	0
discern	discern	vvi	discern	discern	0
and	and	cc	and	and	0
embrace	embrace	vvi	embrace	embrace	0
one	one	pi	one	one	0
an	an	dt	and	a	0
∣	∣	sy	∣	∣	0
other	other	j-jn	other	other	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
destruction	destruction	n1	destruction	destruction	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Stratagem	Stratagem	n1	Stratagem	stratagem	0
:	:	:	:	:	0
Let	Let	vvb	Let	let	0
us	us	pno12	us	we	0
put	put	vvi	put	put	0
on	on	p-acp	on	on	0
therefore	therefore	av	therefore	therefore	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
elect	elect	n-vvn	elect	elect	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
bowels	bowels	n2	bowels	bowel	0
of	of	pp-f	of	of	0
mercies	mercies	n2	mercies	mercy	0
▪	▪	▪	▪	▪	0
kindnesse	kindnesse	n1	kindness	kindness	0
,	,	,	,	,	0
forbearing	forbearing	vvg	forbearing	forbear	0
one	one	pi	one	one	0
another	another	j-jn	another	another	0
,	,	,	,	,	0
and	and	cc	and	and	0
forgiving	forgiving	j-vvg	forgiving	forgive	0
one	one	pi	one	one	0
another	another	j-jn	another	another	0
,	,	,	,	,	0
and	and	cc	and	and	0
above	above	p-acp	above	above	0
all	all	d	all	all	0
,	,	,	,	,	0
put	put	vvn	put	put	0
on	on	p-acp	on	on	0
charity	charity	n1	charity	charity	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
bond	bond	n1	bound	bond	0
of	of	pp-f	of	of	0
perfectnes	perfectnes	n1	perfectness	perfectness	0
.	.	.	.	.	1
Col.	Col.	np1	Col.	Col.	0
3.	3.	crd	3.	3.	0
12	12	crd	12	12	0
,	,	,	,	,	1
13	13	crd	13	13	0
,	,	,	,	,	0
14.	14.	crd	14.	14.	1
