FƲnerals	FƲnerals	ng1	FƲnerals	fʋnerals	0
Eyes	Eyes	n2	Eyes	eye	0
from	from	p-acp	from	from	0
their	their	po32	their	their	0
Sepulchre	Sepulchre	n1	Sepulchre	sepulchre	0
,	,	,	,	,	0
and	and	cc	and	and	0
divert	divert	vvi	divert	divert	0
them	them	pno32	them	they	0
with	with	p-acp	with	with	0
more	more	dc	more	more	0
pleasing	pleasing	j-vvg	pleasing	please	0
prospects	prospects	n2	prospects	prospect	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
ventured	ventured	vvn	ventured	venture	0
to	to	pc-acp	to	to	0
comply	comply	vvi	comply	comply	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
Requests	Requests	n2	Requests	request	0
in	in	p-acp	in	in	0
Publishing	Publishing	vvg	Publishing	publish	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
.	.	.	.	.	1
I	I	pns11	I	i	0
am	am	vbm	am	be	0
equal	equal	vvi	equal	equal	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
surprised	surprised	vvn	surprised	surprise	0
,	,	,	,	,	0
That	That	cst	That	that	0
you	you	pn22	you	you	0
should	should	vmd	should	shall	0
desire	desire	vvi	desire	desire	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
permit	permit	vvb	permit	permit	0
so	so	av	so	so	0
thin	thin	j	thin	thin	0
a	a	dt	a	a	0
Discourse	Discourse	n1	Discourse	discourse	0
to	to	pc-acp	to	to	0
appear	appear	vvi	appear	appear	0
abroad	abroad	av	abroad	abroad	0
.	.	.	.	.	1
I	I	pns11	I	i	0
expect	expect	vvb	expect	expect	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
Cen	Cen	j	Cen	cen	0
∣	∣	sy	∣	∣	0
sured	sured	vvn	sured	sure	0
for	for	p-acp	for	for	0
distributing	distributing	vvg	distributing	distribute	0
a	a	dt	a	a	0
Trifle	Trifle	n1	Trifle	trifle	0
amongst	amongst	p-acp	among	among	0
so	so	av	so	so	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
.	.	.	.	.	1
I	I	pns11	I	i	0
take	take	vvb	take	take	0
you	you	pn22	you	you	0
all	all	d	all	all	0
joyntly	joyntly	av-j	jointly	joint	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Dedication	Dedication	n1	Dedication	dedication	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
on	on	p-acp	on	on	0
this	this	d	this	this	0
occasion	occasion	n1	occasion	occasion	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
addressed	addressed	vvn	addressed	address	0
to	to	p-acp	to	to	0
one	one	crd	one	one	0
,	,	,	,	,	0
might	might	vmd	might	may	0
have	have	vhi	have	have	0
been	been	vbn	been	be	0
interpreted	interpreted	vvn	interpreted	interpret	0
a	a	dt	a	a	0
disregard	disregard	n1	disregard	disregard	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
;	;	;	;	;	0
Besides	Besides	a-acp	Beside	beside	0
,	,	,	,	,	0
it	it	pn31	it	it	0
being	being	vbg	being	be	0
Preached	Preached	vvn	Preached	preach	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
Order	Order	n1	Order	order	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
same	same	d	same	same	0
influ	influ	n1	influ	influ	0
∣	∣	sy	∣	∣	0
ence	ence	av	ence	ence	0
being	being	vbg	being	be	0
now	now	av	now	now	0
made	made	vvn	made	make	0
Publick	Publick	j	Public	public	0
,	,	,	,	,	0
I	I	pns11	I	i	0
engage	engage	vvb	engage	engage	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
countable	countable	j	countable	countable	0
with	with	p-acp	with	with	0
me	me	pno11	me	i	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
the	the	dt	the	the	0
rude	rude	j	rude	rude	0
strokes	strokes	n2	strokes	stroke	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
.	.	.	.	.	1
I	I	pns11	I	i	0
know	know	vvb	know	know	0
your	your	po22	your	your	0
design	design	n1	design	design	0
was	was	vbds	was	be	0
to	to	pc-acp	to	to	0
keep	keep	vvi	keep	keep	0
up	up	a-acp	up	up	0
his	his	po31	his	his	0
Memory	Memory	n1	Memory	memory	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
such	such	d	such	such	0
an	an	dt	and	a	0
hasty	hasty	j	hasty	hasty	0
Monument	Monument	n1	Monument	monument	0
Erected	Erected	vvn	Erected	erect	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
,	,	,	,	,	0
cannot	cannot	vmbx	cannot	can	0
long	long	vvi	long	long	0
preserve	preserve	vvb	preserve	preserve	0
it	it	pn31	it	it	0
;	;	;	;	;	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
neither	neither	dx	neither	neither	0
Art	Art	n1	Art	art	0
nor	nor	ccx	nor	nor	0
time	time	n1	time	time	0
to	to	pc-acp	to	to	0
build	build	vvi	built	build	0
one	one	pi	one	one	0
.	.	.	.	.	1
The	The	dt	The	the	0
Errand	Errand	n1	Errand	errand	0
this	this	d	this	this	0
Discourse	Discourse	n1	Discourse	discourse	0
comes	comes	vvz	comes	come	0
on	on	a-acp	on	on	0
,	,	,	,	,	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
desire	desire	vvi	desire	desire	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
remem	remem	fw-la	remem	remem	0
∣	∣	sy	∣	∣	0
ber	ber	zz	ber	ber	0
your	your	po22	your	your	0
Father	Father	n1	Father	father	0
;	;	;	;	;	0
It	It	pn31	It	it	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
rudeness	rudeness	n1	rudeness	rudeness	0
to	to	pc-acp	to	to	0
request	request	vvi	request	request	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
might	might	vmd	might	may	0
live	live	vvi	live	live	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
thoughts	thoughts	n2	thoughts	thought	0
;	;	;	;	;	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
sensible	sensible	j	sensible	sensible	0
,	,	,	,	,	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
do	do	vdi	do	do	0
that	that	d	that	that	0
without	without	p-acp	without	without	0
my	my	po11	my	my	0
being	being	n1	being	being	0
your	your	po22	your	your	0
Remembrancer	Remembrancer	n1	Remembrancer	remembrancer	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
beg	beg	vvb	beg	beg	0
,	,	,	,	,	0
That	That	cst	That	that	0
nothing	nothing	pix	nothing	nothing	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
Exemplary	Exemplary	j	Exemplary	exemplary	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
,	,	,	,	,	0
be	be	vbb	be	be	0
Buried	Buried	vvn	Buried	bury	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
sealed	sealed	vvd	sealed	seal	0
up	up	a-acp	up	up	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Grave	Grave	j	Grave	grave	0
;	;	;	;	;	0
That	That	cst	That	that	0
you	you	pn22	you	you	0
would	would	vmd	would	will	0
improve	improve	vvi	improve	improve	0
what	what	r-crq	what	what	0
was	was	vbds	was	be	0
delivered	delivered	vvn	delivered	deliver	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
Funeral	Funeral	n1	Funeral	funeral	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
best	best	js	best	best	0
Spiritual	Spiritual	j	Spiritual	spiritual	0
advantages	advantages	n2	advantages	advantage	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
live	live	vvi	live	live	0
as	as	p-acp	as	as	0
strangers	strangers	n2	strangers	stranger	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
World	World	n1	World	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
persons	persons	n2	persons	person	0
belonging	belonging	vvg	belonging	belong	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
better	better	jc	better	better	0
;	;	;	;	;	0
That	That	cst	That	that	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
prove	prove	vvi	prove	prove	0
effectual	effectual	j	effectual	effectual	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
furtherance	furtherance	n1	furtherance	furtherance	0
and	and	cc	and	and	0
joy	joy	n1	joy	joy	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
considerable	considerable	j	considerable	considerable	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
hearty	hearty	j	hearty	hearty	0
Prayers	Prayers	n2	Prayers	prayer	0
of	of	pp-f	of	of	1
