STEPHEN	STEPHEN	np1	STEPHEN	Stephen	0
an	an	dt	and	a	0
occa	occa	fw-it	occa	occa	0
∣	∣	sy	∣	∣	0
sion	sion	fw-la	sion	sion	0
,	,	,	,	,	0
both	both	av-d	both	both	0
to	to	pc-acp	to	to	0
blesse	blesse	vvi	bless	bless	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
remember	remember	vvi	remember	remember	0
you	you	pn22	you	you	0
&	&	cc	&	and	0
yours	yours	png22	yours	you	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
prayers	prayers	n2	prayers	prayer	0
.	.	.	.	.	1
I	I	pns11	I	i	0
do	do	vdb	do	do	0
acknowledge	acknowledge	vvi	acknowledge	acknowledge	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
bene	bene	vbn	be	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
vnto	vnto	p-acp	unto	unto	0
this	this	d	this	this	0
day	day	n1	day	day	0
you	you	pn22	you	you	0
do	do	vdb	do	do	0
remaine	remaine	vvi	remain	remain	0
,	,	,	,	,	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
faithfull	faithfull	j	faithful	faithful	0
friend	friend	n1	friend	friend	0
,	,	,	,	,	0
and	and	cc	and	and	0
bountifull	bountifull	j	bountiful	bountiful	0
benefactor	benefactor	n1	benefactor	benefactor	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
hitherto	hitherto	av	hitherto	hitherto	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
found	found	vvn	found	find	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
.	.	.	.	.	1
You	You	pn22	You	you	0
and	and	cc	and	and	0
your	your	po22	your	your	0
worthie	worthie	j	worthy	worthy	0
wife	wife	n1	wife	wife	0
now	now	av	now	now	0
deceassed	deceassed	j-vvn	deceased	decease	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
good	good	j	good	good	0
Shune	Shune	vvi	Shune	shun	0
∣	∣	sy	∣	∣	0
mites	mites	n2	mites	mite	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
gaue	gaue	vvd	gave	give	0
me	me	pno11	me	i	0
the	the	dt	the	the	0
first	first	ord	first	first	0
constant	constant	j	constant	constant	0
entertainement	entertainement	n1	entertainment	entertainment	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Citie	Citie	n1	City	city	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
care	care	n1	care	care	0
ouer	ouer	p-acp	over	over	0
me	me	pno11	me	i	0
hath	hath	vhz	hath	have	0
bene	bene	vbn	be	be	0
great	great	j	great	great	0
,	,	,	,	,	0
your	your	po22	your	your	0
saithful	saithful	j	saithful	saithful	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
true	true	j	true	true	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
bountie	bountie	n1	bounty	bounty	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
not	not	xx	not	not	0
little	little	j	little	little	0
.	.	.	.	.	1
I	I	pns11	I	i	0
am	am	vbm	am	be	0
perswaded	perswaded	vvn	persuaded	persuade	0
God	God	np1	God	God	0
will	will	vmb	will	will	0
blesse	blesse	vvi	bless	bless	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	d	that	that	0
Gods	Gods	n2	Gods	god	0
deare	deare	j-jn	deer	dear	0
people	people	n1	people	people	0
,	,	,	,	,	0
will	will	vmb	will	will	0
loue	loue	vvi	love	love	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
;	;	;	;	;	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
mine	mine	po11	mine	my	0
owne	owne	d	own	own	0
part	part	n1	part	part	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
still	still	av	still	still	0
remaine	remaine	vvi	remain	remain	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
debt	debt	n1	debt	debt	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
pray	pray	vvi	pray	pray	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
best	best	js	best	best	0
spi	spi	vvb	spi	spi	0
∣	∣	sy	∣	∣	0
rituall	rituall	j	ritual	ritual	0
good	good	j	good	good	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
.	.	.	.	.	1
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
depri	depri	fw-la	depri	depri	0
∣	∣	sy	∣	∣	0
ued	ued	zz	ued	ued	0
you	you	pn22	you	you	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
vertuous	vertuous	j	virtuous	virtuous	0
wife	wife	n1	wife	wife	0
,	,	,	,	,	0
and	and	cc	and	and	0
me	me	pno11	me	i	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
deare	deare	j-jn	deer	dear	0
friend	friend	n1	friend	friend	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
will	will	n1	will	will	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
is	is	vbz	is	be	0
good	good	j	good	good	0
and	and	cc	and	and	0
he	he	pns31	he	he	0
knoweth	knoweth	vvz	knoweth	know	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
best	best	js	best	best	0
.	.	.	.	.	1
Com	Com	np1	Com	Com	0
∣	∣	sy	∣	∣	0
fort	fort	n1	fort	fort	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
concerning	concerning	vvg	concerning	concern	0
her	her	po31	her	her	0
death	death	n1	death	death	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
sound	sound	j	found	sound	0
experience	experience	n1	experience	experience	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
had	had	vhd	had	have	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
godly	godly	j	godly	godly	0
and	and	cc	and	and	0
vertuous	vertuous	j	virtuous	virtuous	0
life	life	n1	life	life	0
:	:	:	:	:	0
and	and	cc	and	and	0
remem	remem	fw-la	remem	remem	0
∣	∣	sy	∣	∣	0
ber	ber	zz	ber	ber	0
with	with	p-acp	with	with	0
ioy	ioy	n1	joy	joy	0
,	,	,	,	,	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
drew	drew	vvd	drew	draw	0
teares	teares	n2	tears	tear	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
at	at	p-acp	at	at	0
her	her	po31	her	her	0
death	death	n1	death	death	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
wit	wit	vvi	wit	wit	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
a	a	dt	a	a	0
great	great	j	great	great	0
care	care	n1	care	care	0
she	she	pns31	she	she	0
had	had	vhd	had	have	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
soule	soule	n1	soul	soul	0
whilest	whilest	cs	whilst	while	0
she	she	pns31	she	she	0
liued	liued	vvd	lived	live	0
.	.	.	.	.	1
Remember	Remember	np1	Remember	Remember	0
also	also	av	also	also	0
with	with	p-acp	with	with	0
comfort	comfort	n1	comfort	comfort	0
those	those	d	those	those	0
excellent	excellent	j	excellent	excellent	0
marks	marks	n2	marks	mark	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
in	in	p-acp	in	in	0
her	her	pno31	her	she	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
saw	saw	vvd	saw	see	0
in	in	p-acp	in	in	0
her	her	pno31	her	she	0
,	,	,	,	,	0
and	and	cc	and	and	0
knew	knew	vvd	knew	know	0
in	in	p-acp	in	in	0
her	her	pno31	her	she	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
.	.	.	.	.	1
I	I	pns11	I	i	0
confesse	confesse	vvb	confess	confess	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
a	a	dt	a	a	0
great	great	j	great	great	0
misse	misse	n1	miss	miss	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
many	many	d	many	many	0
wayes	wayes	n2	ways	way	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
consideration	consideration	n1	consideration	consideration	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
vndoubted	vndoubted	j	undoubted	undoubted	0
happinesse	happinesse	n1	happiness	happiness	0
,	,	,	,	,	0
must	must	vmb	must	must	0
comfort	comfort	vvi	comfort	comfort	0
you	you	pn22	you	you	0
concerning	concerning	vvg	concerning	concern	0
that	that	d	that	that	0
misse	misse	n1	miss	miss	0
.	.	.	.	.	1
Labour	Labour	n1	Labour	labour	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
a	a	dt	a	a	0
good	good	j	good	good	0
vse	vse	n1	use	use	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
visitation	visitation	n1	visitation	visitation	0
and	and	cc	and	and	0
death	death	n1	death	death	0
;	;	;	;	;	0
let	let	vvb	let	let	0
it	it	pn31	it	it	0
moue	moue	vvi	move	move	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
renew	renew	vvi	renew	renew	0
your	your	po22	your	your	0
couenant	couenant	n1	covenant	covenant	0
with	with	p-acp	with	with	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
mindfull	mindfull	j	mindful	mindful	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
mortalitie	mortalitie	n1	mortality	mortality	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
prepare	prepare	vvi	prepare	prepare	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
due	due	j-jn	due	due	0
time	time	n1	time	time	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
worke	worke	vvi	work	work	0
out	out	av	out	out	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
saluation	saluation	n1	salvation	salvation	0
with	with	p-acp	with	with	0
feare	feare	n1	fear	fear	0
and	and	cc	and	and	0
trembling	trembling	j-vvg	trembling	tremble	0
.	.	.	.	.	1
Get	Get	vvb	Get	get	0
oyle	oyle	n1	oil	oil	0
into	into	p-acp	into	into	0
your	your	po22	your	your	0
vessell	vessell	n1	vessel	vessel	0
whilest	whilest	cs	whilst	while	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
time	time	n1	time	time	0
,	,	,	,	,	0
that	that	cst	that	that	0
so	so	av	so	so	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
ready	ready	j	ready	ready	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
Bridegroome	Bridegroome	n1	Bridegroom	bridegroom	0
cometh	cometh	vvz	comes	come	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
enter	enter	vvi	enter	enter	0
in	in	p-acp	in	in	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
.	.	.	.	.	1
And	And	cc	And	and	0
now	now	av	now	now	0
giue	giue	vvb	give	give	0
me	me	pno11	me	i	0
leaue	leaue	n1	leave	leave	0
to	to	pc-acp	to	to	0
speake	speake	vvi	speak	speak	0
a	a	dt	a	a	0
word	word	n1	word	word	0
or	or	cc	or	or	0
two	two	crd	two	two	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
beloued	beloued	j-vvn	beloved	belove	0
children	children	n2	children	child	0
.	.	.	.	.	1
You	You	pn22	You	you	0
M.	M.	n1	M.	m.	0
Iohn	Iohn	np1	Iohn	John	0
Iuxon	Iuxon	np1	Iuxon	Iuxon	0
the	the	dt	the	the	0
first	first	ord	first	first	0
borne	borne	vvn	born	bear	0
,	,	,	,	,	0
let	let	vvb	let	let	0
me	me	pno11	me	i	0
exhort	exhort	vvi	exhort	exhort	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
flie	flie	vvi	fly	fly	0
the	the	dt	the	the	0
lusts	lusts	n2	lustest	lust	0
and	and	cc	and	and	0
va	va	fw-fr	va	va	0
∣	∣	sy	∣	∣	0
nities	nities	n2	nities	nity	0
of	of	pp-f	of	of	0
youth	youth	n1	youth	youth	0
,	,	,	,	,	0
and	and	cc	and	and	0
giue	giue	vvb	give	give	0
your	your	po22	your	your	0
mind	mind	n1	mind	mind	0
vn	vn	fw-fr	vn	un	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
goodnesse	goodnesse	n1	goodness	goodness	0
:	:	:	:	:	0
remember	remember	vvb	remember	remember	0
your	your	po22	your	your	0
Creator	Creator	n1	Creator	creator	0
now	now	av	now	now	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
dayes	dayes	n2	days	day	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
youth	youth	n1	youth	youth	0
.	.	.	.	.	1
Learne	Learne	vvb	Learn	learn	0
with	with	p-acp	with	with	0
Timothy	Timothy	np1	Timothy	Timothy	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
the	the	dt	the	the	0
Scriptures	Scriptures	n2	Scriptures	scripture	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
child	child	n1	child	child	0
:	:	:	:	:	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
first	first	ord	first	first	0
borne	borne	vvn	born	bear	0
in	in	p-acp	in	in	0
age	age	n1	age	age	0
,	,	,	,	,	0
so	so	av	so	so	0
be	be	vbb	be	be	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
first	first	ord	first	first	0
borne	borne	vvn	born	bear	0
in	in	p-acp	in	in	0
grace	grace	n1	grace	grace	0
;	;	;	;	;	0
be	be	vbb	be	be	0
an	an	dt	and	a	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
ample	ample	j	ample	ample	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
children	children	n2	children	child	0
in	in	p-acp	in	in	0
vertue	vertue	n1	virtue	virtue	0
and	and	cc	and	and	0
stayednesse	stayednesse	n1	staidness	staidness	0
:	:	:	:	:	0
fulfill	fulfill	vvb	fulfil	fulfil	0
the	the	dt	the	the	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
phesies	phesies	n2	phesies	phesy	0
which	which	r-crq	which	which	0
go	go	vvb	go	go	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
tender	tender	j	tender	tender	0
fa	fa	zz	fa	fa	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
reioyceth	reioyceth	vvz	rejoices	rejoice	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
hopeth	hopeth	vvz	hopeth	hope	0
that	that	d	that	that	0
grace	grace	n1	grace	grace	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
measure	measure	n1	measure	measure	0
begunne	begunne	vvn	begun	begin	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
;	;	;	;	;	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
owne	owne	d	own	own	0
part	part	n1	part	part	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
therefore	therefore	av	therefore	therefore	0
be	be	vbb	be	be	0
you	you	pn22	you	you	0
good	good	j	good	good	0
.	.	.	.	.	1
Ad	Ad	fw-la	Ad	ad	0
you	you	pn22	you	you	0
M.	M.	n1	M.	m.	0
Thomas	Thomas	np1	Thomas	Thomas	0
Iuxon	Iuxon	jp	Juxon	juxon	0
,	,	,	,	,	0
let	let	vvb	let	let	0
me	me	pno11	me	i	0
admonish	admonish	vvi	admonish	admonish	0
you	you	pn22	you	you	0
,	,	,	,	,	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
turne	turne	vvi	turn	turn	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
into	into	p-acp	into	into	0
wantonnesse	wantonnesse	n1	wantonness	wantonness	0
:	:	:	:	:	0
vse	vse	vvb	use	use	0
that	that	cst	that	that	0
capa	capa	fw-la	capa	capa	0
∣	∣	sy	∣	∣	0
city	city	n1	city	city	0
which	which	q-crq	which	which	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
giuen	giuen	vvn	given	give	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
:	:	:	:	:	0
be	be	vbb	be	be	0
carefull	carefull	j	careful	careful	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
your	your	po22	your	your	0
minde	minde	n1	mind	mind	0
vnto	vnto	p-acp	unto	unto	0
learning	learning	n1	learning	learning	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
God	God	np1	God	God	0
:	:	:	:	:	0
be	be	vbb	be	be	0
obedient	obedient	j	obedient	obedient	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
parents	parents	n2	parents	parent	0
;	;	;	;	;	0
feare	feare	vvb	fear	fear	0
God	God	np1	God	God	0
and	and	cc	and	and	0
keepe	keepe	vvi	keep	keep	0
his	his	po31	his	his	0
commandements	commandements	n2	commandments	commandment	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
duty	duty	n1	duty	duty	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Salomon	Salomon	np1	Salomon	Salomon	0
saith	saith	vvz	says	say	0
,	,	,	,	,	0
Eccles.	Eccles.	np1	Eccles.	Eccles.	1
12.	12.	crd	12.	12.	1
And	And	cc	And	and	0
otherwise	otherwise	av	otherwise	otherwise	0
,	,	,	,	,	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
hearken	hearken	vvi	harken	hearken	0
vnto	vnto	p-acp	unto	unto	0
this	this	d	this	this	0
,	,	,	,	,	0
then	then	av	then	then	0
must	must	vmb	must	must	0
I	I	pns11	I	i	0
say	say	vvi	say	say	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
same	same	d	same	same	0
Salomon	Salomon	np1	Salomon	Salomon	0
:	:	:	:	:	0
Reiòyce	Reiòyce	vvb	Reiòyce	reiòyce	0
yong	yong	j	young	young	0
man	man	n1	man	man	0
in	in	p-acp	in	in	0
thy	thy	po21	thy	thy	0
youth	youth	n1	youth	youth	0
,	,	,	,	,	0
and	and	cc	and	and	0
let	let	vvb	let	let	0
thine	thine	po21	thine	thy	0
beart	beart	vvi|pn31	beart	bear|it	0
cheere	cheere	n1	cheer	cheer	0
thee	thee	pno21	thee	thou	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
dayes	dayes	n2	days	day	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
youth	youth	n1	youth	youth	0
,	,	,	,	,	0
and	and	cc	and	and	0
walke	walke	vvi	walk	walk	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
wayes	wayes	n2	ways	way	0
of	of	pp-f	of	of	0
thine	thine	po21	thine	thy	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
thine	thine	po21	thine	thy	0
eyes	eyes	n2	eyes	eye	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
know	know	vvb	know	know	0
thou	thou	pns21	thou	thou	0
,	,	,	,	,	0
that	that	cst	that	that	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
these	these	d	these	these	0
things	things	n2	things	thing	0
God	God	np1	God	God	0
will	will	vmb	will	will	0
bring	bring	vvi	bring	bring	0
thee	thee	pno21	thee	thou	0
into	into	p-acp	into	into	0
iudgement	iudgement	n1	judgement	judgement	0
.	.	.	.	.	1
Eccles.	Eccles.	np1	Eccles.	Eccles.	0
11.	11.	crd	11.	11.	0
9.	9.	crd	9.	9	1
And	And	cc	And	and	0
you	you	pn22	you	you	0
Mistris	Mistris	n1	Mistress	mistress	0
Elizabeth	Elizabeth	np1	Elizabeth	Elizabeth	0
Iuxon	Iuxon	jp	Juxon	juxon	0
,	,	,	,	,	0
let	let	vvb	let	let	0
me	me	pno11	me	i	0
put	put	vvi	put	put	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
mind	mind	n1	mind	mind	0
,	,	,	,	,	0
that	that	cst	that	that	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
beare	beare	vvb	bear	bear	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
vertuous	vertuous	j	virtuous	virtuous	0
mother	mother	n1	mother	mother	0
,	,	,	,	,	0
so	so	av	so	so	0
you	you	pn22	you	you	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
carefull	carefull	j	careful	careful	0
to	to	pc-acp	to	to	0
follow	follow	vvi	follow	follow	0
her	her	po31	her	her	0
god	god	n1	god	god	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
steps	steps	n2	steps	step	0
:	:	:	:	:	0
be	be	vbb	be	be	0
you	you	pn22	you	you	0
diligent	diligent	j	diligent	diligent	0
to	to	pc-acp	to	to	0
heare	heare	vvi	hear	hear	0
Gods	Gods	npg1	Gods	God	0
word	word	n1	word	word	0
preached	preached	vvd	preached	preach	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
reade	reade	vvi	read	read	0
the	the	dt	the	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
priuate	priuate	j-jn	private	private	0
euery	euery	d	every	every	0
day	day	n1	day	day	0
;	;	;	;	;	0
meditate	meditate	vvb	meditate	meditate	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
heare	heare	vvb	hear	hear	0
and	and	cc	and	and	0
reade	reade	vvi	read	read	0
,	,	,	,	,	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
care	care	n1	care	care	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
to	to	pc-acp	to	to	0
practise	practise	vvi	practise	practise	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
learne	learne	vvb	learn	learn	0
,	,	,	,	,	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
generall	generall	n1	general	general	0
and	and	cc	and	and	0
particular	particular	j	particular	particular	0
cal	cal	vvb	call	call	0
∣	∣	sy	∣	∣	0
ling	ling	n1	ling	ling	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
these	these	d	these	these	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
stops	stops	n2	stops	stop	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
worthy	worthy	j	worthy	worthy	0
mother	mother	n1	mother	mother	0
.	.	.	.	.	1
And	And	cc	And	and	0
you	you	pn22	you	you	0
Mistris	Mistris	n1	Mistress	mistress	0
Sarah	Sarah	np1	Sarah	Sarah	0
Iuxon	Iuxon	jp	Juxon	juxon	0
,	,	,	,	,	0
re	re	fw-it	re	re	0
∣	∣	sy	∣	∣	0
member	member	n1	member	member	0
also	also	av	also	also	0
after	after	p-acp	after	after	0
whom	whom	ro-crq	whom	who	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
named	named	vvn	nam	name	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
wit	wit	n1	wit	wit	0
,	,	,	,	,	0
after	after	c-acp	after	after	0
Sarah	Sarah	np1	Sarah	Sarah	0
the	the	dt	the	the	0
wife	wife	n1	wife	wife	0
of	of	pp-f	of	of	0
Abra	Abra	np1	Abra	Abra	0
∣	∣	sy	∣	∣	0
ham	ham	n1	ham	ham	0
.	.	.	.	.	1
Be	Be	vbb	Be	be	0
diligent	diligent	j	diligent	diligent	0
to	to	pc-acp	to	to	0
