Christian	Christian	np1	Christian	Christian	0
it	it	pn31	it	it	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
weakness	weakness	n1	weakness	weakness	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
let	let	vvi	let	let	0
your	your	po22	your	your	0
desires	desires	n2	desires	desire	0
have	have	vhb	have	have	0
this	this	d	this	this	0
effect	effect	n1	effect	effect	0
on	on	p-acp	on	on	0
me	me	pno11	me	i	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
fault	fault	n1	fault	fault	0
to	to	pc-acp	to	to	0
wish	wish	vvi	wish	wish	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
hope	hope	vvi	hope	hope	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
do	do	vdi	do	do	0
thee	thee	pno21	thee	thou	0
good	good	j	good	good	0
.	.	.	.	.	1
It	It	pn31	It	it	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
plain	plain	j	plain	plain	0
discourse	discourse	n1	discourse	discourse	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
mouth	mouth	n1	mouth	mouth	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
needful	needful	j	needful	needful	0
it	it	pn31	it	it	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
so	so	av	so	so	0
;	;	;	;	;	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
plain	plain	j	plain	plain	0
now	now	av	now	now	0
in	in	p-acp	in	in	0
paper	paper	n1	paper	paper	0
and	and	cc	and	and	0
Ink	Ink	n1	Ink	ink	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
desir'd	desir'd	vvn	desired	desire	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
preach'd	preach'd	vvd	preached	preach	0
:	:	:	:	:	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
somewhat	somewhat	av	somewhat	somewhat	0
more	more	av-dc	more	more	0
concise	concise	j	concise	concise	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
without	without	p-acp	without	without	0
reason	reason	n1	reason	reason	0
(	(	(	(	(	0
somewhat	somewhat	av	somewhat	somewhat	0
being	being	vbg	being	be	0
proper	proper	j	proper	proper	0
enough	enough	av-d	enough	enough	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Hearers	Hearers	n2	Hearers	hearer	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
less	less	av-dc	less	less	0
proper	proper	j	proper	proper	0
to	to	p-acp	to	to	0
Readers	Readers	n2	Readers	reader	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
knew	knew	vvd	knew	know	0
not	not	xx	not	not	0
those	those	d	those	those	0
circumstances	circumstances	n2	circumstances	circumstance	0
the	the	dt	the	the	0
Hearers	Hearers	n2	Hearers	hearer	0
were	were	vbdr	were	be	0
acquainted	acquainted	vvn	acquainted	acquaint	0
with	with	p-acp	with	with	0
)	)	)	)	)	0
.	.	.	.	.	1
And	And	cc	And	and	0
you	you	pn22	you	you	0
need	need	vvb	need	need	0
quarrel	quarrel	n1	quarrel	quarrel	0
the	the	dt	the	the	0
brevity	brevity	n1	brevity	brevity	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
no	no	av-dx	no	no	0
sooner	sooner	av-c	sooner	soon	0
than	than	cs	than	than	0
you	you	pn22	you	you	0
find	find	vvb	find	find	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
before	before	c-acp	before	before	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
willing	willing	j	willing	willing	0
.	.	.	.	.	1
I	I	pns11	I	i	0
am	am	vbm	am	be	0
sure	sure	j	sure	sure	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
an	an	dt	and	a	0
excellent	excellent	j	excellent	excellent	0
pattern	pattern	n1	pattern	pattern	0
of	of	pp-f	of	of	0
fidelity	fidelity	n1	fidelity	fidelity	0
and	and	cc	and	and	0
diligence	diligence	n1	diligence	diligence	0
in	in	p-acp	in	in	0
Gods	Gods	npg1	Gods	God	0
Family	Family	n1	Family	family	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
his	his	po31	his	his	0
life	life	n1	life	life	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
eye	eye	n1	eye	eye	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
death	death	n1	death	death	0
was	was	vbds	was	be	0
occasion	occasion	n1	occasion	occasion	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
discourse	discourse	n1	discourse	discourse	0
;	;	;	;	;	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
praeoccupate	praeoccupate	vvi	preoccupate	preoccupate	0
your	your	po22	your	your	0
Judgment	Judgment	n1	Judgement	judgement	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
well	well	av	well	well	0
commended	commended	vvn	commended	commend	0
the	the	dt	the	the	0
Duty	Duty	n1	Duty	duty	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
or	or	cc	or	or	0
encouraged	encouraged	vvd	encouraged	encourage	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
performance	performance	n1	performance	performance	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
I	I	pns11	I	i	0
pray	pray	vvb	pray	pray	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
a	a	dt	a	a	0
serious	serious	j	serious	serious	0
and	and	cc	and	and	0
heedful	heedful	j	heedful	heedful	0
Reading	Reading	n-vvg	Reading	read	0
:	:	:	:	:	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
pray	pray	vvb	pray	pray	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
would	would	vmd	would	will	0
give	give	vvi	give	give	0
you	you	pn22	you	you	0
such	such	d	such	such	0
a	a	dt	a	a	0
heart	heart	n1	heart	heart	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
requireth	requireth	vvz	requires	require	0
,	,	,	,	,	0
such	such	d	such	such	0
a	a	dt	a	a	0
life	life	n1	life	life	0
of	of	pp-f	of	of	0
holy	holy	j	holy	holy	0
care	care	n1	care	care	0
to	to	pc-acp	to	to	0
save	save	vvi	save	save	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
that	that	cst	that	that	0
God	God	np1	God	God	0
may	may	vmb	may	may	0
give	give	vvi	give	give	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
blessedness	blessedness	n1	blessedness	blessedness	0
of	of	pp-f	of	of	0
faithful	faithful	j	faithful	faithful	0
Ser	Ser	zz	Ser	ser	0
∣	∣	sy	∣	∣	0
vants	vants	vvz	vaunts	vaunt	0
in	in	p-acp	in	in	0
life	life	n1	life	life	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
death	death	n1	death	death	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
eternity	eternity	n1	eternity	eternity	0
.	.	.	.	.	1
That	That	cst	That	that	0
this	this	d	this	this	0
may	may	vmb	may	may	0
contribute	contribute	vvi	contribute	contribute	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
these	these	d	these	these	0
,	,	,	,	,	0
prayeth	prayeth	vvz	prayeth	pray	0
,	,	,	,	,	0
April	April	np1	April	April	0
20.	20.	crd	20.	20.	0
1677.	1677.	crd	1677.	1677.	1
