NOt	NOt	xx	NOt	not	0
wisedome	wisedome	n1	wisdom	wisdom	0
,	,	,	,	,	0
grauitie	grauitie	n1	gravity	gravity	0
,	,	,	,	,	0
learning	learning	n1	learning	learning	0
,	,	,	,	,	0
integritie	integritie	n1	integrity	integrity	0
,	,	,	,	,	0
&	&	cc	&	and	0
syncere	syncere	j	sincere	sincere	0
dealinge	dealinge	vvg	dealing	deal	0
,	,	,	,	,	0
aduaunced	aduaunced	vvd	advanced	advance	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
Iudge	Iudge	n1	Judge	judge	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
chiefe	chiefe	j-jn	chief	chief	0
Court	Court	n1	Court	court	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Realme	Realme	n1	Realm	realm	0
for	for	p-acp	for	for	0
common	common	j	common	common	0
plees	plees	j	pleasant	pleasant	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
good	good	j	good	good	0
seruice	seruice	n1	service	service	0
therein	therein	av	therein	therein	0
was	was	vbds	was	be	0
by	by	p-acp	by	by	0
iust	iust	j	just	just	0
de	de	fw-fr	de	de	0
∣	∣	sy	∣	∣	0
sert	sert	j	sert	sert	0
made	made	vvn	made	make	0
knight	knight	n1	knight	knight	0
,	,	,	,	,	0
and	and	cc	and	and	0
albeit	albeit	cs	albeit	albeit	0
that	that	cst	that	that	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
also	also	av	also	also	0
sythens	sythens	c-acp	sythens	since	0
that	that	d	that	that	0
tyme	tyme	n1	time	time	0
haue	haue	vhb	have	have	0
achieued	achieued	vvd	achieved	achieve	0
the	the	dt	the	the	0
place	place	n1	place	place	0
,	,	,	,	,	0
title	title	n1	title	title	0
and	and	cc	and	and	0
degree	degree	n1	degree	degree	0
of	of	pp-f	of	of	0
high	high	j	high	high	0
honour	honour	n1	honour	honour	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
iudgemēt	iudgemēt	n1	judgement	judgement	0
&	&	cc	&	and	0
calling	calling	n-vvg	calling	call	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Queenes	Queenes	ng1	Queens	queen	0
most	most	av-ds	most	most	0
excellent	excellent	j	excellent	excellent	0
maiesty	maiesty	n1	majesty	majesty	0
:	:	:	:	:	0
Yet	Yet	av	Yet	yet	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
printed	printed	vvn	printed	print	0
the	the	dt	the	the	0
Epistle	Epistle	n1	Epistle	epistle	0
dedicatorie	dedicatorie	j	dedicatory	dedicatory	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
woork	woork	vvi	work	work	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
termes	termes	n2	terms	term	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Authour	Authour	n1	Author	author	0
thereof	thereof	av	thereof	thereof	0
vsed	vsed	vvn	used	use	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
same	same	d	same	same	0
stile	stile	n1	style	stile	0
that	that	cst	that	that	0
your	your	po22	your	your	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
and	and	cc	and	and	0
he	he	pns31	he	he	0
both	both	d	both	both	0
then	then	av	then	then	0
had	had	vhd	had	have	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
dedicated	dedicated	vvd	dedicated	dedicate	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
woorke	woorke	n1	work	work	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Monu	Monu	np1	Monu	Monu	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
and	and	cc	and	and	0
token	token	n1	token	token	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
mutuall	mutuall	j	mutual	mutual	0
&	&	cc	&	and	0
long	long	av-j	long	long	0
continued	continued	vvd	continued	continue	0
amitie	amitie	n1	amity	amity	0
betwene	betwene	p-acp	between	between	0
you	you	pn22	you	you	0
:	:	:	:	:	0
moste	moste	av-ds	most	most	0
humbly	humbly	av-j	humbly	humble	0
praieng	praieng	vvg	praying	pray	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
to	to	pc-acp	to	to	0
accept	accept	vvi	accept	accept	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
parte	parte	n1	part	part	0
,	,	,	,	,	0
accordinge	accordinge	vvg	according	accord	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
accustomed	accustomed	j-vvn	accustomed	accustom	0
goodnes	goodnes	n1	goodness	goodness	0
,	,	,	,	,	0
this	this	d	this	this	0
my	my	po11	my	my	0
boldnes	boldnes	n1	boldness	boldness	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
pardon	pardon	vvi	pardon	pardon	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
This	This	d	This	this	0
20.	20.	crd	20.	20.	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
Nouember	Nouember	np1	Nouember	November	0
.	.	.	.	.	1
