excepted	excepted	j-vvn	excepted	except	0
eminent	eminent	j	eminent	eminent	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
kinde	kinde	n1	kind	kind	0
,	,	,	,	,	0
so	so	av	so	so	0
different	different	j	different	different	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
eminency	eminency	n1	eminency	eminency	0
,	,	,	,	,	0
are	are	vbr	are	be	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
distinguished	distinguished	vvn	distinguished	distinguish	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
own	own	d	own	own	0
character	character	n1	character	character	0
to	to	p-acp	to	to	0
Posterity	Posterity	n1	Posterity	posterity	0
.	.	.	.	.	1
Of	Of	pp-f	Of	of	0
these	these	d	these	these	0
,	,	,	,	,	0
the	the	dt	the	the	0
first	first	ord	first	first	0
a	a	dt	a	a	0
Judge	Judge	n1	Judge	judge	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
gravity	gravity	n1	gravity	gravity	0
and	and	cc	and	and	0
learning	learning	n1	learning	learning	0
famous	famous	j	famous	famous	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Generation	Generation	n1	Generation	generation	0
.	.	.	.	.	1
The	The	dt	The	the	0
second	second	ord	second	second	0
,	,	,	,	,	0
a	a	dt	a	a	0
worthy	worthy	j	worthy	worthy	0
Patriot	Patriot	n1	Patriot	patriot	0
,	,	,	,	,	0
and	and	cc	and	and	0
bountifull	bountifull	j	bountiful	bountiful	0
House-keeper	House-keeper	n1	Housekeeper	housekeeper	0
;	;	;	;	;	0
blessed	blessed	vvn	blessed	bless	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
numerous	numerous	j	numerous	numerous	0
Issue	Issue	n1	Issue	issue	0
,	,	,	,	,	0
his	his	po31	his	his	0
four	four	crd	four	four	0
younger	younger	jc	younger	young	0
Sonnes	Sonnes	n2	Sons	son	0
,	,	,	,	,	0
affording	affording	vvg	affording	afford	0
a	a	dt	a	a	0
Bishop	Bishop	n1	Bishop	bishop	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
;	;	;	;	;	0
a	a	dt	a	a	0
Judge	Judge	n1	Judge	judge	0
,	,	,	,	,	0
and	and	cc	and	and	0
Peer	Peer	vvb	Peer	peer	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
State	State	n1	State	state	0
;	;	;	;	;	0
a	a	dt	a	a	0
Commander	Commander	n1	Commander	commander	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Camp	Camp	n1	Camp	camp	0
,	,	,	,	,	0
and	and	cc	and	and	0
an	an	dt	and	a	0
Officer	Officer	n1	Officer	officer	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Court	Court	n1	Court	court	0
.	.	.	.	.	1
The	The	dt	The	the	0
third	third	ord	third	three	0
,	,	,	,	,	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
first	first	ord	first	first	0
Baron	Baron	n1	Baron	baron	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
House	House	n1	House	house	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
whose	whose	rg-crq	whose	who	0
worth	worth	n1	worth	worth	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
say	say	vvi	say	say	0
nothing	nothing	pix	nothing	nothing	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
never	never	av-x	never	never	0
say	say	vvi	say	say	0
enough	enough	av-d	enough	enough	0
.	.	.	.	.	1
The	The	dt	The	the	0
fourth	fourth	ord	fourth	four	0
,	,	,	,	,	0
your	your	po22	your	your	0
Honourable	Honourable	j	Honourable	honourable	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
cause	cause	n1	cause	cause	0
he	he	pns31	he	he	0
doth	doth	vdz	does	do	0
still	still	av	still	still	0
,	,	,	,	,	0
and	and	cc	and	and	0
may	may	vmb	may	may	0
he	he	pns31	he	he	0
long	long	av-j	long	long	0
,	,	,	,	,	0
survive	survive	vvb	survive	survive	0
;	;	;	;	;	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
∣	∣	sy	∣	∣	0
not	not	xx	not	not	0
doe	doe	vdi	do	do	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
merit	merit	n1	merit	merit	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
∣	∣	sy	∣	∣	0
out	out	av	out	out	0
doing	doing	vdg	doing	do	0
wrong	wrong	n-jn	wrong	wrong	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
dare	dare	vvb	dare	dare	0
not	not	xx	not	not	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
modesty	modesty	n1	modesty	modesty	0
.	.	.	.	.	1
You	You	pn22	You	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
fift	fift	ord	fift	five	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
direct	direct	j	direct	direct	0
Line	Line	n1	Line	line	0
;	;	;	;	;	0
and	and	cc	and	and	0
let	let	vvb	let	let	0
me	me	pno11	me	i	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
quaint	quaint	j	quaint	quaint	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
what	what	r-crq	what	what	0
the	the	dt	the	the	0
world	world	n1	world	world	0
expected	expected	vvd	expected	expect	0
,	,	,	,	,	0
(	(	(	(	(	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
requireth	requireth	vvz	requires	require	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
dignifie	dignifie	vvi	dignify	dignify	0
your	your	po22	your	your	0
self	self	n1	self	self	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
select	select	j	select	select	0
and	and	cc	and	and	0
peculiar	peculiar	j	peculiar	peculiar	0
desert	desert	n1	desert	desert	0
,	,	,	,	,	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
differenced	differenced	vvn	differenced	difference	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
Ancestours	Ancestours	n2	Ancestors	ancestor	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
memory	memory	n1	memory	memory	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
mis	mis	fw-fr	mis	mis	0
∣	∣	sy	∣	∣	0
taken	taken	vvi	taken	take	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Homonymie	Homonymie	n1	Homonymy	homonymy	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Christian	Christian	njp	Christian	christian	0
Names	Names	n2	Names	name	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
seemeth	seemeth	vvz	seems	seem	0
as	as	p-acp	as	as	0
improbable	improbable	j	improbable	improbable	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
a	a	dt	a	a	0
burn	burn	n1	burn	burn	0
∣	∣	sy	∣	∣	0
ning-Beacon	ning-Beacon	n1	ning-Beacon	ning-beacon	0
,	,	,	,	,	0
(	(	(	(	(	0
at	at	p-acp	at	at	0
a	a	dt	a	a	0
reasonable	reasonable	j	reasonable	reasonable	0
distance	distance	n1	distance	distance	0
)	)	)	)	)	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
beheld	beheld	vvn	beheld	behold	0
;	;	;	;	;	0
such	such	d	such	such	0
the	the	dt	the	the	0
brightnesse	brightnesse	n1	brightness	brightness	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
parts	parts	n2	parts	part	0
,	,	,	,	,	0
and	and	cc	and	and	0
ad	ad	fw-la	ad	ad	0
∣	∣	sy	∣	∣	0
vantage	vantage	n1	vantage	vantage	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
education	education	n1	education	education	0
.	.	.	.	.	1
You	You	pn22	You	you	0
was	was	vbds	was	be	0
bred	bred	vvn	bred	breed	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
Schoole	Schoole	n1	School	school	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
no	no	dx	no	no	0
superiour	superiour	j-jn	superior	superior	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
;	;	;	;	;	0
and	and	cc	and	and	0
successively	successively	av-j	successively	successive	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
two	two	crd	two	two	0
Vniversities	Vniversities	n2	Universities	university	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
have	have	vhb	have	have	0
no	no	dx	no	no	0
equall	equall	j-jn	equal	equal	0
in	in	p-acp	in	in	0
Europe	Europe	np1	Europe	Europe	0
.	.	.	.	.	1
Such	Such	d	Such	such	0
the	the	dt	the	the	0
stock	stock	n1	stock	stock	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
native	native	j-jn	native	native	0
perfection	perfection	n1	perfection	perfection	0
,	,	,	,	,	0
before	before	a-acp	before	before	0
graffed	graffed	vvd	graffed	graft	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
forraigne	forraigne	j	foreign	foreign	0
accom	accom	vvb	accom	accom	0
∣	∣	sy	∣	∣	0
plishments	plishments	n2	plishments	plishment	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
travells	travells	n2	travels	travel	0
.	.	.	.	.	1
So	So	av	So	so	0
that	that	d	that	that	0
men	men	n2	men	man	0
confidently	confidently	av-j	confidently	confident	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
mise	mise	n2	mice	mouse	0
themselves	themselves	px32	themselves	themselves	0
to	to	pc-acp	to	to	0
read	read	vvi	read	read	0
the	the	dt	the	the	0
best	best	js	best	best	0
,	,	,	,	,	0
last	last	ord	last	last	0
,	,	,	,	,	0
and	and	cc	and	and	0
largest	largest	js	largest	large	0
Edition	Edition	n1	Edition	edition	0
of	of	pp-f	of	of	0
MERCATOR's	MERCATOR's	ng1	MERCATOR's	mercator	0
ATLAS	ATLAS	np1	ATLAS	Atlas	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
experience	experience	n1	experience	experience	0
and	and	cc	and	and	0
discourse	discourse	n1	discourse	discourse	0
.	.	.	.	.	1
That	That	cst	That	that	0
good	good	j	good	good	0
God	God	np1	God	God	0
who	who	r-crq	who	who	0
went	went	vvd	went	go	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Na	Na	fw-mi	Na	na	0
∣	∣	sy	∣	∣	0
tive	tive	j	tive	tive	0
Countrey	Countrey	n1	Country	country	0
,	,	,	,	,	0
and	and	cc	and	and	0
since	since	a-acp	since	since	0
watched	watched	vvd	watched	watch	0
over	over	p-acp	over	over	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
forraign	forraign	j	foreign	foreign	0
parts	parts	n2	parts	part	0
,	,	,	,	,	0
return	return	vvb	return	return	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
safety	safety	n1	safety	safety	0
in	in	p-acp	in	in	0
due	due	j-jn	due	due	0
time	time	n1	time	time	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Glory	Glory	n1	Glory	glory	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
own	own	d	own	own	0
Good	Good	j	Good	good	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
daily	daily	j	daily	daily	0
desire	desire	n1	desire	desire	0
of	of	pp-f	of	of	1
