AND	AND	cc	AND	and	0
their	their	po32	their	their	0
Trade	Trade	n1	Trade	trade	0
is	is	vbz	is	be	0
meerly	meerly	av-j	merely	mere	0
lost	lost	vvn	lost	lose	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
Estates	Estates	n2	Estates	estate	0
and	and	cc	and	and	0
Minds	Minds	n2	Minds	mind	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
much	much	av-d	much	much	0
decayed	decayed	vvn	decayed	decay	0
;	;	;	;	;	0
and	and	cc	and	and	0
this	this	d	this	this	0
at	at	p-acp	at	at	0
last	last	ord	last	last	0
(	(	(	(	(	0
must	must	vmb	must	must	0
needs	needs	av	needs	needs	0
)	)	)	)	)	0
be	be	vbb	be	be	0
highly	highly	av-j	highly	high	0
Detrimental	Detrimental	j	Detrimental	detrimental	0
,	,	,	,	,	0
both	both	av-d	both	both	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
most	most	av-ds	most	most	0
Gratious	Gratious	j	Gracious	gracious	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Honourable	Honourable	j	Honourable	honourable	0
Parliament	Parliament	n1	Parliament	parliament	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
Your	Your	po22	Your	your	0
Majesty's	Majesty's	ng1	Majesty's	majesty	0
true	true	j	true	true	0
Loyal	Loyal	j	Loyal	loyal	0
Subjects	Subjects	n2-jn	Subject's	subject	0
.	.	.	.	.	1
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
,	,	,	,	,	0
however	however	c-acp	however	however	0
,	,	,	,	,	0
so	so	av	so	so	0
illy	illy	av-j	illy	il	0
,	,	,	,	,	0
or	or	cc	or	or	0
foolishly	foolishly	av-j	foolishly	foolish	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
either	either	av-d	either	either	0
managed	managed	vvn	managed	manage	0
,	,	,	,	,	0
or	or	cc	or	or	0
worded	worded	vvd	worded	word	0
,	,	,	,	,	0
this	this	d	this	this	0
my	my	po11	my	my	0
following	following	j-vvg	following	follow	0
Treatise	Treatise	n1	Treatise	treatise	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
nevertheless	nevertheless	av	nevertheless	nevertheless	0
,	,	,	,	,	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
,	,	,	,	,	0
Your	Your	po22	Your	your	0
Great	Great	j	Great	great	0
∣	∣	sy	∣	∣	0
ness	ness	n1	ness	ness	0
,	,	,	,	,	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
accept	accept	vvi	accept	accept	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Good-will	Good-will	j	Goodwill	goodwill	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
these	these	d	these	these	0
are	are	vbr	are	be	0
intended	intended	vvn	intended	intend	0
by	by	p-acp	by	by	0
me	me	pno11	me	i	0
,	,	,	,	,	0
no	no	av-dx	no	no	0
otherwise	otherwise	av	otherwise	otherwise	0
,	,	,	,	,	0
than	than	cs	than	than	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Advan	Advan	n1	Advan	advan	0
∣	∣	sy	∣	∣	0
tage	tage	n1	tage	tage	0
,	,	,	,	,	0
Honour	Honour	n1	Honour	honour	0
and	and	cc	and	and	0
Safety	Safety	n1	Safety	safety	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
most	most	av-ds	most	most	0
Gratious	Gratious	j	Gracious	gracious	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
jesty	jesty	j	jesty	jesty	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
general	general	j	general	general	0
Good	Good	j	Good	good	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Your	Your	po22	Your	your	0
Majesty's	Majesty's	ng1	Majesty's	majesty	0
faithful	faithful	j	faithful	faithful	0
Subjects	Subjects	n2-jn	Subject's	subject	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
I	I	pns11	I	i	0
fear	fear	vvb	fear	fear	0
,	,	,	,	,	0
are	are	vbr	are	be	0
now	now	av	now	now	0
much	much	av-d	much	much	0
more	more	av-dc	more	more	0
liable	liable	j	liable	liable	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
malice	malice	n1	malice	malice	0
of	of	pp-f	of	of	0
Enemies	Enemies	n2	Enemies	enemy	0
,	,	,	,	,	0
than	than	cs	than	than	0
otherwise	otherwise	av	otherwise	otherwise	0
Your	Your	po22	Your	your	0
Royal	Royal	j	Royal	royal	0
Self	Self	n1	Self	self	0
,	,	,	,	,	0
or	or	cc	or	or	0
they	they	pns32	they	they	0
could	could	vmd	could	can	0
ever	ever	av	ever	ever	0
have	have	vhi	have	have	0
been	been	vbn	been	be	0
,	,	,	,	,	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
such	such	d	such	such	0
men	men	n2	men	man	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
herein	herein	av	herein	herein	0
described	described	vvn	described	describe	0
,	,	,	,	,	0
done	done	vdn	done	do	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
time	time	n1	time	time	0
to	to	p-acp	to	to	0
time	time	n1	time	time	0
,	,	,	,	,	0
such	such	d	such	such	0
things	things	n2	things	thing	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
always	always	av	always	always	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
nevertheless	nevertheless	av	nevertheless	nevertheless	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Power	Power	n1	Power	power	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Almighty	Almighty	j-jn	Almighty	almighty	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
Your	Your	po22	Your	your	0
Assistance	Assistance	n1	Assistance	assistance	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
yet	yet	av	yet	yet	0
an	an	dt	and	a	0
easie	easie	j	easy	easy	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
amend	amend	vvi	amend	amend	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
amiss	amiss	av	amiss	amiss	0
,	,	,	,	,	0
and	and	cc	and	and	0
thereby	thereby	av	thereby	thereby	0
wholly	wholly	av-jn	wholly	whole	0
put	put	vvi	put	put	0
a	a	dt	a	a	0
stop	stop	n1	stop	stop	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
the	the	dt	the	the	0
Designs	Designs	n2	Designs	design	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Ene	Ene	fw-mi	Ene	ene	0
∣	∣	sy	∣	∣	0
mies	mies	np2-n	mies	mie	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
infinite	infinite	j	infinite	infinite	0
Power	Power	n1	Power	power	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
Your	Your	po22	Your	your	0
means	means	n2	means	mean	0
,	,	,	,	,	0
grant	grant	vvb	grant	grant	0
it	it	pn31	it	it	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
done	done	vdn	done	do	0
,	,	,	,	,	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
earnest	earnest	j	earnest	earnest	0
Prayer	Prayer	n1	Prayer	prayer	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
Your	Your	po22	Your	your	0
Majesty's	Majesty's	ng1	Majesty's	majesty	0
true	true	j	true	true	0
Loyal	Loyal	j	Loyal	loyal	0
Subject	Subject	j-jn	Subject	subject	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Honourable	Honourable	j	Honourable	honourable	0
Parliaments	Parliaments	n2	Parliaments	parliament	0
devoted	devoted	vvn	devoted	devote	0
Servant	Servant	n1	Servant	servant	0
,	,	,	,	,	1
