BEloued	BEloued	j-vvn	Beloved	belove	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
this	this	d	this	this	0
is	is	vbz	is	be	0
printed	printed	vvn	printed	print	0
in	in	p-acp	in	in	0
paper	paper	n1	paper	paper	0
.	.	.	.	.	1
If	If	cs	If	if	0
ye	ye	pn22	you	you	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
giuen	giuen	vvn	given	give	0
your	your	po22	your	your	0
hrs	hrs	n2	hrs	hr	0
yet	yet	av	yet	yet	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
which	which	r-crq	which	which	0
sent	sent	vvd	sent	send	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
,	,	,	,	,	0
nowe	nowe	av	now	now	0
thinke	thinke	vvb	think	think	0
that	that	d	that	that	0
god	god	n1	god	god	0
hath	hath	vhz	hath	have	0
sent	sent	vvn	sent	send	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
gaine	gaine	n1	gain	gain	0
,	,	,	,	,	0
and	and	cc	and	and	0
heare	heare	vvb	hear	hear	0
me	me	pno11	me	i	0
writing	writing	n1	writing	writing	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
ye	ye	pn22	you	you	0
cannot	cannot	vmbx	cannot	can	0
heare	heare	vvi	hear	hear	0
speaking	speaking	vvg	speaking	speak	0
.	.	.	.	.	1
Take	Take	vvb	Take	take	0
not	not	xx	not	not	0
cu	cu	zz	cu	cu	0
∣	∣	sy	∣	∣	0
stome	stome	n1	stome	stome	0
for	for	p-acp	for	for	0
religion	religion	n1	religion	religion	0
shun	shun	vvi	shun	shun	0
occasion	occasion	n1	occasion	occasion	0
aswel	aswel	p-acp	aswell	aswell	0
as	as	p-acp	as	as	0
sinne	sinne	n1	sin	sin	0
sek	sek	vvi	sek	sek	0
the	the	dt	the	the	0
vse	vse	n1	use	use	0
of	of	pp-f	of	of	0
euery	euery	d	every	every	0
thing	thing	n1	thing	thing	0
,	,	,	,	,	0
de	de	fw-la	de	de	0
¦	¦	sy	¦	¦	0
sire	sire	vvb	sire	sire	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
your	your	po22	your	your	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
here	here	av	here	here	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
I	I	pns11	I	i	0
leaue	leaue	vvb	leave	leave	0
you	you	pn22	you	you	0
all	all	d	all	all	0
with	with	p-acp	with	with	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
preached	preached	vvn	preached	preach	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
forth	forth	av	forth	forth	0
the	the	dt	the	the	0
fruit	fruit	n1	fruit	fruit	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
seede	seede	n1	seed	seed	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
sowen	sowen	vvn	sown	sow	0
,	,	,	,	,	0
beseeching	beseeching	vvg	beseeching	beseech	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
al	al	d	all	all	0
the	the	dt	the	the	0
loue	loue	n1	love	love	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
of	of	pp-f	of	of	0
heuen	heuen	n1	heaven	heaven	0
,	,	,	,	,	0
that	that	cst	that	that	0
ye	ye	pn22	you	you	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
count	count	vvi	count	count	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
world	world	n1	world	world	0
worthy	worthy	j	worthy	worthy	0
to	to	pc-acp	to	to	0
keep	keep	vvi	keep	keep	0
your	your	po22	your	your	0
harts	harts	n2	hearts	heart	0
from	from	p-acp	from	from	0
God	God	np1	God	God	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
think	think	vvb	think	think	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
day	day	n1	day	day	0
when	when	c-crq	when	when	0
you	you	pn22	you	you	0
shal	shal	vmb	shall	shall	0
giue	giue	vvi	give	give	0
account	account	n1	account	account	0
of	of	pp-f	of	of	0
eue	eue	n1	eve	eve	0
¦	¦	sy	¦	¦	0
ry	ry	zz	ry	ry	0
lesson	lesson	n1	lesson	lesson	0
which	which	r-crq	which	which	0
ye	ye	pn22	you	you	0
haue	haue	vhb	have	have	0
heard	heard	vvn	herd	hear	0
,	,	,	,	,	0
and	and	cc	and	and	0
hee	hee	pns31	he	he	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
called	called	vvn	called	call	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
prison	prison	n1	prison	prison	0
,	,	,	,	,	0
wil	wil	vmb	will	will	0
glorifie	glorifie	vvi	glorify	glorify	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
pallace	pallace	n1	palace	palace	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
ye	ye	pn22	you	you	0
shall	shall	vmb	shall	shall	0
see	see	vvi	see	see	0
him	him	pno31	him	he	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
yee	yee	pn22	ye	you	0
haue	haue	vhb	have	have	0
geuen	geuen	vvn	given	give	0
your	your	po22	your	your	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
and	and	cc	and	and	0
enioy	enioy	vvi	enjoy	enjoy	0
that	that	d	that	that	0
blessing	blessing	n1	blessing	blessing	0
of	of	pp-f	of	of	0
blessings	blessings	n2	blessings	blessing	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
makes	makes	vvz	makes	make	0
all	all	d	all	all	0
the	the	dt	the	the	0
worlde	worlde	n1	world	world	0
to	to	pc-acp	to	to	0
worship	worship	vvi	worship	worship	0
him	him	pno31	him	he	0
.	.	.	.	.	1
The	The	dt	The	the	0
father	father	n1	father	father	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
lord	lord	n1	lord	lord	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
begunne	begunne	vvn	begun	begin	0
to	to	pc-acp	to	to	0
draw	draw	vvi	draw	draw	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
,	,	,	,	,	0
neuer	neuer	av-x	never	never	0
leaue	leaue	vvb	leave	leave	0
you	you	pn22	you	you	0
vntil	vntil	c-acp	until	until	0
you	you	pn22	you	you	0
come	come	vvb	come	come	0
vnto	vnto	p-acp	unto	unto	0
it	it	pn31	it	it	0
,	,	,	,	,	0
Amen	Amen	uh-n	Amen	amen	0
.	.	.	.	.	1
