GIve	GIve	vvb	GIve	give	0
endeavour	endeavour	n1	endeavour	endeavour	0
for	for	p-acp	for	for	0
promoting	promoting	j-vvg	promoting	promote	0
an	an	dt	and	a	0
happy	happy	j	happy	happy	0
Reformation	Reformation	n1	Reformation	reformation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
in	in	p-acp	in	in	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
Dostrine	Dostrine	np1	Dostrine	Dostrine	0
,	,	,	,	,	0
Worship	Worship	n1	Worship	worship	0
,	,	,	,	,	0
and	and	cc	and	and	0
Discipline	Discipline	n1	Discipline	discipline	0
,	,	,	,	,	0
accord	accord	n1	accord	accord	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Word	Word	n1	Word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
;	;	;	;	;	0
your	your	po22	your	your	0
zeal	zeal	n1	zeal	zeal	0
against	against	p-acp	against	against	0
Sectaries	Sectaries	n2	Sectaries	sectary	0
,	,	,	,	,	0
Schismaticks	Schismaticks	n1	Schismatics	schismatics	0
,	,	,	,	,	0
Hereticks	Hereticks	n2	Heretics	heretic	0
,	,	,	,	,	0
and	and	cc	and	and	0
Blasphemers	Blasphemers	n2	Blasphemers	blasphemer	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
labour	labour	n1	labour	labour	0
cunningly	cunningly	av-jn	cunningly	cunning	0
to	to	pc-acp	to	to	0
corrupt	corrupt	vvi	corrupt	corrupt	0
your	your	po22	your	your	0
servants	servants	n2	servants	servant	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
steal	steal	vvi	steal	steal	0
away	away	av	away	away	0
the	the	dt	the	the	0
hearts	hearts	n2	hearts	heart	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
wives	wives	n2	wives	wife	0
and	and	cc	and	and	0
children	children	n2	children	child	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
pull	pull	vvi	pull	pull	0
many	many	d	many	many	0
fair	fair	j	fair	fair	0
feathers	feathers	n2	feathers	feather	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
wings	wings	n2	wings	wing	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
draw	draw	vvi	draw	draw	0
Disciples	Disciples	n2	Disciples	disciple	0
after	after	p-acp	after	after	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
standing	standing	j-vvg	standing	stand	0
steadfast	steadfast	j	steadfast	steadfast	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
old	old	j	old	old	0
paths	paths	n2	paths	path	0
,	,	,	,	,	0
and	and	cc	and	and	0
walking	walking	vvg	walking	walk	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
good	good	j	good	good	0
way	way	n1	way	way	0
,	,	,	,	,	0
Ier.	Ier.	np1	Ier.	Ier.	1
6.	6.	crd	6.	6.	0
16.	16.	crd	16.	16.	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Christ	Christ	np1	Christ	Christ	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
Apostles	Apostles	n2	Apostles	apostle	0
hath	hath	vhz	hath	have	0
praescribed	praescribed	vvn	prescribed	prescribe	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Vniversall	Vniversall	j	Universal	universal	0
Church	Church	n1	Church	church	0
;	;	;	;	;	0
In	In	p-acp	In	in	0
which	which	r-crq	which	which	0
all	all	d	all	all	0
the	the	dt	the	the	0
pure	pure	j	pure	pure	0
primitive	primitive	j	primitive	primitive	0
Churches	Churches	n2	Churches	church	0
of	of	pp-f	of	of	0
old	old	j	old	old	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
the	the	dt	the	the	0
best	best	js	best	best	0
reformed	reformed	vvn	reformed	reform	0
Churches	Churches	n2	Churches	church	0
have	have	vhb	have	have	0
walked	walked	vvn	walked	walk	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
daies	daies	n2	days	day	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Fathers	Fathers	n2	Father's	father	0
,	,	,	,	,	0
untill	untill	c-acp	until	until	0
this	this	d	this	this	0
day	day	n1	day	day	0
.	.	.	.	.	1
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
inabled	inabled	vvn	enabled	enable	0
you	you	pn22	you	you	0
wonder	wonder	vvb	wonder	wonder	0
∣	∣	sy	∣	∣	0
fully	fully	av-j	fully	full	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
resist	resist	vvi	resist	resist	0
the	the	dt	the	the	0
subtle	subtle	j	subtle	subtle	0
temptations	temptations	n2	temptations	temptation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Devil	Devil	n1	Devil	devil	0
.	.	.	.	.	1
I	I	pns11	I	i	0
know	know	vvb	know	know	0
when	when	c-crq	when	when	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
courted	courted	vvn	courted	court	0
with	with	p-acp	with	with	0
offers	offers	n2	offers	offer	0
of	of	pp-f	of	of	0
greatest	greatest	js	greatest	great	0
honours	honours	n2	honours	honour	0
and	and	cc	and	and	0
priviledges	priviledges	n2	privileges	privilege	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
with	with	p-acp	with	with	0
∣	∣	sy	∣	∣	0
draw	draw	vvb	draw	draw	0
you	you	pn22	you	you	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
purpose	purpose	n1	purpose	purpose	0
and	and	cc	and	and	0
resolution	resolution	n1	resolution	resolution	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
standing	standing	vvg	standing	stand	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
common	common	j	common	common	0
weal	weal	n1	weal	weal	0
of	of	pp-f	of	of	0
State	State	n1	State	state	0
and	and	cc	and	and	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
sup	sup	vvb	sup	sup	0
∣	∣	sy	∣	∣	0
porting	porting	vvg	porting	port	0
and	and	cc	and	and	0
upholding	upholding	vvg	upholding	uphold	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
props	props	n2	props	prop	0
and	and	cc	and	and	0
pillars	pillars	n2	pillars	pillar	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Land	Land	n1	Land	land	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
it	it	pn31	it	it	0
trembled	trembled	vvd	trembled	tremble	0
,	,	,	,	,	0
and	and	cc	and	and	0
was	was	vbds	was	be	0
ready	ready	j	ready	ready	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
dissolved	dissolved	vvn	dissolved	dissolve	0
.	.	.	.	.	1
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
forget	forget	vvi	forget	forget	0
that	that	d	that	that	0
sad	sad	j	sad	sad	0
time	time	n1	time	time	0
,	,	,	,	,	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
fears	fears	n2	fears	fear	0
and	and	cc	and	and	0
dan	dan	zf	dan	then	0
∣	∣	sy	∣	∣	0
gers	gers	zz	gers	gers	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
(	(	(	(	(	0
the	the	dt	the	the	0
chief	chief	j-jn	chief	chief	0
command	command	n1	command	command	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
City	City	n1	City	city	0
,	,	,	,	,	0
being	being	vbg	being	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
hand	hand	n1	hand	hand	0
and	and	cc	and	and	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
Malignants	Malignants	n2	Malignants	malignant	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
had	had	vhd	had	have	0
also	also	av	also	also	0
a	a	dt	a	a	0
strong	strong	j	strong	strong	0
faction	faction	n1	faction	faction	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
attempted	attempted	vvd	attempted	attempt	0
to	to	pc-acp	to	to	0
overthrow	overthrow	vvi	overthrow	overthrow	0
you	you	pn22	you	you	0
)	)	)	)	)	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
opinion	opinion	n1	opinion	opinion	0
and	and	cc	and	and	0
profession	profession	n1	profession	profession	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
faithfull	faithfull	j	faithful	faithful	0
Pa	Pa	wd	Pa	pa	0
∣	∣	sy	∣	∣	0
triots	triots	n2	triots	triot	0
,	,	,	,	,	0
aud	aud	cc	and	and	0
wise	wise	j	wise	wise	0
members	members	n2	members	member	0
of	of	pp-f	of	of	0
Parliament	Parliament	n1	Parliament	parliament	0
,	,	,	,	,	0
that	that	cst	that	that	0
unlesse	unlesse	cs	unless	unless	0
God	God	np1	God	God	0
did	did	vdd	did	do	0
put	put	vvi	put	put	0
into	into	p-acp	into	into	0
your	your	po22	your	your	0
hearts	hearts	n2	hearts	heart	0
a	a	dt	a	a	0
resolution	resolution	n1	resolution	resolution	0
to	to	pc-acp	to	to	0
stand	stand	vvi	stand	stand	0
up	up	a-acp	up	up	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
,	,	,	,	,	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
small	small	j	small	small	0
hope	hope	n1	hope	hope	0
of	of	pp-f	of	of	0
saving	saving	vvg	saving	save	0
either	either	d	either	either	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
and	and	cc	and	and	0
King	King	n1	King	king	0
∣	∣	sy	∣	∣	0
dom	dom	zz	dom	dom	0
from	from	p-acp	from	from	0
ruine	ruine	n1	ruin	ruin	0
,	,	,	,	,	0
or	or	cc	or	or	0
our	our	po12	our	our	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
Laws	Laws	n2	Laws	law	0
,	,	,	,	,	0
Liberties	Liberties	n2	Liberties	liberty	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
own	own	d	own	own	0
lives	lives	n2	lives	life	0
from	from	p-acp	from	from	0
destruction	destruction	n1	destruction	destruction	0
;	;	;	;	;	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
juncture	juncture	n1	juncture	juncture	0
of	of	pp-f	of	of	0
time	time	n1	time	time	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
did	did	vdd	did	do	0
put	put	vvi	put	put	0
such	such	d	such	such	0
a	a	dt	a	a	0
spirit	spirit	n1	spirit	spirit	0
of	of	pp-f	of	of	0
courage	courage	n1	courage	courage	0
,	,	,	,	,	0
fortitude	fortitude	n1	fortitude	fortitude	0
and	and	cc	and	and	0
holy	holy	j	holy	holy	0
zeal	zeal	n1	zeal	zeal	0
into	into	p-acp	into	into	0
you	you	pn22	you	you	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
main	main	j	main	main	0
body	body	n1	body	body	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
City	City	n1	City	city	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
stood	stood	vvd	stood	stand	0
up	up	a-acp	up	up	0
,	,	,	,	,	0
and	and	cc	and	and	0
appeared	appeared	vvd	appeared	appear	0
openly	openly	av-j	openly	open	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
worthy	worthy	j	worthy	worthy	0
Pa	Pa	wd	Pa	pa	0
∣	∣	sy	∣	∣	0
trons	trons	n2	trons	tron	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
Laws	Laws	n2	Laws	law	0
and	and	cc	and	and	0
Liberties	Liberties	n2	Liberties	liberty	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
animated	animated	vvn	animated	animate	0
to	to	pc-acp	to	to	0
proceed	proceed	vvi	proceed	proceed	0
vigorously	vigorously	av-j	vigorously	vigorous	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
wonted	wonted	j	wonted	wont	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
justice	justice	n1	justice	justice	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
terrour	terrour	n1	terror	terror	0
and	and	cc	and	and	0
astonishment	astonishment	n1	astonishment	astonishment	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
ene	ene	fw-mi	ene	ene	0
∣	∣	sy	∣	∣	0
mies	mies	np2-n	mies	mie	0
and	and	cc	and	and	0
disturbers	disturbers	n2	disturbers	disturber	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
peace	peace	n1	peace	peace	0
.	.	.	.	.	1
After	After	p-acp	After	after	0
this	this	d	this	this	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
strongly	strongly	av-j	strongly	strong	0
assaulted	assaulted	vvn	assaulted	assault	0
by	by	p-acp	by	by	0
spirituall	spirituall	j	spiritual	spiritual	0
wickednesses	wickednesses	n2	wickednesses	wickedness	0
divers	divers	j	diverse	diverse	0
waies	waies	n2	ways	way	0
.	.	.	.	.	1
First	First	ord	First	first	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
cunning	cunning	j-jn	cunning	cunning	0
seducers	seducers	n2	seducers	seducer	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
usurping	usurping	vvg	usurping	usurp	0
the	the	dt	the	the	0
name	name	n1	name	name	0
and	and	cc	and	and	0
outward	outward	j	outward	outward	0
shew	shew	n1	show	show	0
of	of	pp-f	of	of	0
rare	rare	j	rare	rare	0
Saints	Saints	n2	Saints	saint	0
,	,	,	,	,	0
have	have	vhb	have	have	0
stollen	stollen	vvn	stolen	steal	0
away	away	av	away	away	0
the	the	dt	the	the	0
hearts	hearts	n2	hearts	heart	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
feigned	feigned	j-vvn	feigned	feign	0
sanctity	sanctity	n1	sanctity	sanctity	0
and	and	cc	and	and	0
large	large	j	large	large	0
promises	promises	n2	promises	promise	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
pure	pure	j	pure	pure	0
platform	platform	n1	platform	platform	0
and	and	cc	and	and	0
modell	modell	n1	model	model	0
of	of	pp-f	of	of	0
Church-Discipline	Church-Discipline	n1	Church-Discipline	church-discipline	0
and	and	cc	and	and	0
perfect	perfect	j	perfect	perfect	0
Reformation	Reformation	n1	Reformation	reformation	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
Christs	Christs	npg1	Christs	Christ	0
own	own	d	own	own	0
institution	institution	n1	institution	institution	0
,	,	,	,	,	0
have	have	vhb	have	have	0
drawn	drawn	vvn	drawn	draw	0
them	them	pno32	them	they	0
into	into	p-acp	into	into	0
Schisme	Schisme	n1	Schism	schism	0
,	,	,	,	,	0
and	and	cc	and	and	0
separation	separation	n1	separation	separation	0
from	from	p-acp	from	from	0
their	their	po32	their	their	0
own	own	d	own	own	0
Congregations	Congregations	n2	Congregations	congregation	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
you	you	pn22	you	you	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
wisdom	wisdom	n1	wisdom	wisdom	0
have	have	vhb	have	have	0
quick	quick	j	quick	quick	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
smelled	smelled	vvn	smelled	smell	0
out	out	av	out	out	0
their	their	po32	their	their	0
fraud	fraud	n1	fraud	fraud	0
,	,	,	,	,	0
and	and	cc	and	and	0
vain	vain	j	vain	vain	0
boasting	boasting	n-vvg	boasting	boast	0
of	of	pp-f	of	of	0
great	great	j	great	great	0
things	things	n2	things	thing	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
can	can	vmb	can	can	0
never	never	av-x	never	never	0
perform	perform	vvi	perform	perform	0
and	and	cc	and	and	0
bring	bring	vvi	bring	bring	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
.	.	.	.	.	1
Secondly	Secondly	ord	Secondly	second	0
,	,	,	,	,	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
tried	tried	vvn	tried	try	0
,	,	,	,	,	0
(	(	(	(	(	0
when	when	c-crq	when	when	0
Scriptures	Scriptures	n2	Scriptures	scripture	0
fail	fail	vvb	fail	fail	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
favoured	favoured	vvd	favoured	favour	0
not	not	xx	not	not	0
their	their	po32	their	their	0
modell	modell	n1	model	model	0
)	)	)	)	)	0
with	with	p-acp	with	with	0
bold	bold	j	bold	bold	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
tences	tences	n2	tences	tence	0
of	of	pp-f	of	of	0
new	new	j	new	new	0
lights	lights	n2	lights	light	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
scorned	scorned	vvn	scorned	scorn	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
wise	wise	j	wise	wise	0
men	men	n2	men	man	0
are	are	vbr	are	be	0
wont	wont	j	wont	wont	0
to	to	pc-acp	to	to	0
scorn	scorn	vvi	scorn	scorn	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
vouchsafe	vouchsafe	vvi	vouchsafe	vouchsafe	0
to	to	pc-acp	to	to	0
look	look	vvi	look	look	0
after	after	p-acp	after	after	0
those	those	d	those	those	0
ignes	ignes	fw-la	ignes	ignes	0
fatuos	fatuos	j	fatuos	fatuos	0
,	,	,	,	,	0
wandring	wandring	j-vvg	wandering	wander	0
lights	lights	n2	lights	light	0
and	and	cc	and	and	0
night	night	n1	night	night	0
fires	fires	n2	fires	fire	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
fools	fools	n2	fools	fool	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
follow	follow	vvb	follow	follow	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
dark	dark	j	dark	dark	0
,	,	,	,	,	0
are	are	vbr	are	be	0
lead	lead	vvn	led	lead	0
into	into	p-acp	into	into	0
danger	danger	n1	danger	danger	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
pits	pits	n2	pits	pit	0
,	,	,	,	,	0
boggs	boggs	n2	bogs	bog	0
,	,	,	,	,	0
ditches	ditches	n2	ditches	ditch	0
,	,	,	,	,	0
and	and	cc	and	and	0
downfalls	downfalls	n2	downfalls	downfall	0
.	.	.	.	.	1
Thirdly	Thirdly	ord	Thirdly	third	0
,	,	,	,	,	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
represented	represented	vvn	represented	represent	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
Presbyterian	Presbyterian	j	Presbyterian	presbyterian	0
Government	Government	n1	Government	government	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
