THere	THere	a-acp	THere	there	0
intreat	intreat	vvi	entreat	entreat	0
you	you	pn22	you	you	0
then	then	cs	then	than	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
despise	despise	vvi	despise	despise	0
this	this	d	this	this	0
little	little	j	little	little	0
Pa	Pa	wd	Pa	pa	0
∣	∣	sy	∣	∣	0
per	per	fw-la	per	per	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
to	to	pc-acp	to	to	0
read	read	vvi	read	read	0
it	it	pn31	it	it	0
deliberately	deliberately	av-j	deliberately	deliberate	0
,	,	,	,	,	0
and	and	cc	and	and	0
ponder	ponder	vvi	ponder	ponder	0
every	every	d	every	every	0
sen	sen	av	sen	then	0
∣	∣	sy	∣	∣	0
tence	tence	n1	tense	tense	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
it	it	pn31	it	it	0
being	being	vbg	being	be	0
so	so	av	so	so	0
brief	brief	j	brief	brief	0
(	(	(	(	(	0
that	that	d	that	that	0
the	the	dt	the	the	0
memory	memory	n1	memory	memory	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
burdened	burdened	vvn	burdened	burden	0
)	)	)	)	)	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
a	a	dt	a	a	0
word	word	n1	word	word	0
superfluous	superfluous	j	superfluous	superfluous	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
necessary	necessary	j	necessary	necessary	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
unfolding	unfolding	n-vvg	unfolding	unfold	0
the	the	dt	the	the	0
sense	sense	n1	sense	sense	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
command	command	n1	command	command	0
.	.	.	.	.	1
Search	Search	n1	Search	search	0
the	the	dt	the	the	0
Scriptures	Scriptures	n2	Scriptures	scripture	0
also	also	av	also	also	0
whereby	whereby	c-crq	whereby	whereby	0
every	every	d	every	every	0
thing	thing	n1	thing	thing	0
is	is	vbz	is	be	0
proved	proved	vvn	proved	prove	0
,	,	,	,	,	0
and	and	cc	and	and	0
afterward	afterward	av	afterwards	afterward	0
search	search	vvb	search	search	0
and	and	cc	and	and	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
amine	amine	p-acp|po11	amine	on|my	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
breach	breach	n1	breach	breach	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
Precepts	Precepts	n2	Precepts	precept	0
either	either	av-d	either	either	0
in	in	p-acp	in	in	0
whole	whole	j-jn	whole	whole	0
or	or	cc	or	or	0
in	in	p-acp	in	in	0
part	part	n1	part	part	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Judgements	Judgements	n2	Judgements	judgement	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
that	that	cst	that	that	0
lie	lie	vvb	lie	lie	0
now	now	av	now	now	0
so	so	av	so	so	0
heavy	heavy	j	heavy	heavy	0
upon	upon	p-acp	upon	upon	0
us	us	pno12	us	we	0
,	,	,	,	,	0
have	have	vhb	have	have	0
begot	begot	vvn	begotten	beget	0
any	any	d	any	any	0
purposes	purposes	n2	purposes	purpose	0
of	of	pp-f	of	of	0
amendment	amendment	n1	amendment	amendment	0
,	,	,	,	,	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
add	add	vvi	add	add	0
this	this	d	this	this	0
new	new	j	new	new	0
aggravation	aggravation	n1	aggravation	aggravation	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
guilt	guilt	n1	guilt	guilt	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
break	break	vvi	break	break	0
those	those	d	those	those	0
fresh	fresh	j	fresh	fresh	0
Vows	Vows	n2	Vows	vow	0
whereby	whereby	c-crq	whereby	whereby	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
bound	bound	vvn	bound	bind	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
.	.	.	.	.	1
And	And	cc	And	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
strengthening	strengthening	vvg	strengthening	strengthen	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
Give	Give	vvb	Give	give	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
to	to	p-acp	to	to	0
Prayer	Prayer	n1	Prayer	prayer	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Psalmists	Psalmists	ng1	Psalmists	psalmists	0
phrase	phrase	n1	phrase	phrase	0
is	is	vbz	is	be	0
Psal.	Psal.	np1	Psal.	Psal.	1
109.4	109.4	crd	109.4	109.4	0
.	.	.	.	.	1
Considering	Considering	vvg	Considering	consider	0
also	also	av	also	also	0
seriously	seriously	av-j	seriously	serious	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
an	an	dt	and	a	0
help	help	n1	help	help	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
)	)	)	)	)	0
what	what	q-crq	what	what	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
you	you	pn22	you	you	0
ask	ask	vvb	ask	ask	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
form	form	n1	from	form	0
of	of	pp-f	of	of	0
Prayer	Prayer	n1	Prayer	prayer	0
which	which	r-crq	which	which	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
made	made	vvn	made	make	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
also	also	av	also	also	0
added	added	vvn	added	add	0
a	a	dt	a	a	0
short	short	j	short	short	0
Explication	Explication	n1	Explication	explication	0
.	.	.	.	.	1
And	And	cc	And	and	0
remember	remember	vvb	remember	remember	0
withall	withall	av	withal	withal	0
,	,	,	,	,	0
that	that	cst	that	that	0
all	all	d	all	all	0
the	the	dt	the	the	0
Prayers	Prayers	n2	Prayers	prayer	0
you	you	pn22	you	you	0
make	make	vvb	make	make	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
profit	profit	vvi	profit	profit	0
you	you	pn22	you	you	0
,	,	,	,	,	0
unless	unless	cs	unless	unless	0
they	they	pns32	they	they	0
cause	cause	vvb	cause	cause	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
keep	keep	vvi	keep	keep	0
Gods	Gods	npg1	Gods	God	0
commands	commands	n2	commands	command	0
better	better	jc	better	better	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
end	end	n1	end	end	0
likewise	likewise	av	likewise	likewise	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
you	you	pn22	you	you	0
believe	believe	vvb	believe	believe	0
.	.	.	.	.	1
Read	Read	np1	Read	Read	0
over	over	p-acp	over	over	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
call	call	vvb	call	call	0
the	the	dt	the	the	0
Apostles	Apostles	n2	Apostles	apostle	0
Creed	Creed	n1	Creed	creed	0
,	,	,	,	,	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
find	find	vvi	find	find	0
that	that	cst	that	that	0
every	every	d	every	every	0
branch	branch	n1	branch	branch	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
doth	doth	vdz	does	do	0
naturally	naturally	av-j	naturally	natural	0
bring	bring	vvi	bring	bring	0
forth	forth	av	forth	forth	0
an	an	dt	and	a	0
holy	holy	j	holy	holy	0
life	life	n1	life	life	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
you	you	pn22	you	you	0
confess	confess	vvb	confess	confess	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
Creator	Creator	n1	Creator	creator	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
World	World	n1	World	world	0
;	;	;	;	;	0
it	it	pn31	it	it	0
plainly	plainly	av-j	plainly	plain	0
implyes	implyes	vvz	implies	imply	0
his	his	po31	his	his	0
Supream	Supream	j	Supreme	supreme	0
Authority	Authority	n1	Authority	authority	0
over	over	p-acp	over	over	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
obedience	obedience	n1	obedience	obedience	0
you	you	pn22	you	you	0
owe	owe	vvb	owe	owe	0
him	him	pno31	him	he	0
upon	upon	p-acp	upon	upon	0
that	that	d	that	that	0
account	account	n1	account	account	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
you	you	pn22	you	you	0
acknowledge	acknowledge	vvb	acknowledge	acknowledge	0
Jesus	Jesus	np1	Jesus	Jesus	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
his	his	po31	his	his	0
Son	Son	n1	Son	son	0
and	and	cc	and	and	0
your	your	po22	your	your	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
it	it	pn31	it	it	0
layes	layes	vvz	lays	lay	0
a	a	dt	a	a	0
necessa	necessa	fw-la	necessa	necessa	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
ingagement	ingagement	n1	engagement	engagement	0
on	on	p-acp	on	on	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
governed	governed	vvn	governed	govern	0
by	by	p-acp	by	by	0
those	those	d	those	those	0
Laws	Laws	n2	Laws	law	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
Almighty	Almighty	np1	Almighty	Almighty	0
hath	hath	vhz	hath	have	0
sent	sent	vvn	sent	send	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
us	us	pno12	us	we	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
he	he	pns31	he	he	0
dyed	dyed	vvd	died	die	0
and	and	cc	and	and	0
rose	rose	vvd	rose	rise	0
again	again	av	again	again	0
to	to	pc-acp	to	to	0
confirm	confirm	vvi	confirm	confirm	0
and	and	cc	and	and	0
seal	seal	vvi	seal	seal	0
them	them	pno32	them	they	0
.	.	.	.	.	1
He	He	pns31	He	he	0
ascended	ascended	vvd	ascended	ascend	0
to	to	p-acp	to	to	0
Heaven	Heaven	n1	Heaven	heaven	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
upon	upon	p-acp	upon	upon	0
him	him	pno31	him	he	0
the	the	dt	the	the	0
government	government	n1	government	government	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
World	World	n1	World	world	0
.	.	.	.	.	1
And	And	cc	And	and	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
come	come	vvi	come	come	0
again	again	av	again	again	0
to	to	pc-acp	to	to	0
judge	judge	vvi	judge	judge	0
both	both	d	both	both	0
the	the	dt	the	the	0
quick	quick	j	quick	quick	0
and	and	cc	and	and	0
dead	dead	j	dead	dead	0
accord	accord	n1	accord	accord	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
works	works	n2	works	work	0
.	.	.	.	.	1
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
what	what	q-crq	what	what	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
persons	persons	n2	persons	person	0
ought	ought	vmd	ought	ought	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
holy	holy	j	holy	holy	0
conversation	conversation	n1	conversation	conversation	0
and	and	cc	and	and	0
godliness	godliness	n1	godliness	godliness	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
in	in	p-acp	in	in	0
peace	peace	n1	peace	peace	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
ap	ap	fw-mi	ap	ap	0
∣	∣	sy	∣	∣	0
pearing	pearing	vvg	pearing	pear	0
?	?	?	?	?	1
But	But	p-acp	But	but	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
my	my	po11	my	my	0
business	business	n1	business	business	0
now	now	av	now	now	0
to	to	pc-acp	to	to	0
expound	expound	vvi	expound	expound	0
the	the	dt	the	the	0
Creed	Creed	n1	Creed	creed	0
;	;	;	;	;	0
whose	whose	rg-crq	whose	who	0
words	words	n2	words	word	0
are	are	vbr	are	be	0
better	better	av-jc	better	better	0
understood	understood	vvn	understood	understand	0
,	,	,	,	,	0
than	than	cs	than	than	0
its	its	po31	its	its	0
design	design	n1	design	design	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
(	(	(	(	(	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
lead	lead	vvi	led	lead	0
us	us	pno12	us	we	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
obe	obe	n1	obe	obe	0
∣	∣	sy	∣	∣	0
dience	dience	n1	dience	dience	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
holy	holy	j	holy	holy	0
will	will	n1	will	will	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
things	things	n2	things	thing	0
.	.	.	.	.	1
That	That	cst	That	that	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
gladly	gladly	av-j	gladly	glad	0
promote	promote	vvi	promote	promote	0
.	.	.	.	.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
earnestly	earnestly	av-j	earnestly	earnest	0
beseech	beseech	vvb	beseech	beseech	0
you	you	pn22	you	you	0
that	that	cst	that	that	0
this	this	d	this	this	0
small	small	j	small	small	0
labour	labour	n1	labour	labour	0
may	may	vmb	may	may	0
have	have	vhi	have	have	0
no	no	dx	no	no	0
small	small	j	small	small	0
effect	effect	n1	effect	effect	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
be	be	vbi	be	be	0
so	so	av	so	so	0
successful	successful	j	successful	successful	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
excite	excite	vvi	excite	excite	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
such	such	d	such	such	0
a	a	dt	a	a	0
working	working	j-vvg	working	work	0
Faith	Faith	n1	Faith	faith	0
as	as	c-acp	as	as	0
will	will	vmb	will	will	0
save	save	vvi	save	save	0
your	your	po22	your	your	0
souls	souls	n2	souls	soul	0
.	.	.	.	.	1
God	God	np1	God	God	0
Almighty	Almighty	j-jn	Almighty	almighty	0
take	take	vvb	take	take	0
you	you	pn22	you	you	0
into	into	p-acp	into	into	0
his	his	po31	his	his	0
protection	protection	n1	protection	protection	0
,	,	,	,	,	0
and	and	cc	and	and	0
revoke	revoke	vvi	revoke	revoke	0
the	the	dt	the	the	0
Orders	Orders	n1	Order	order	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
given	given	vvn	given	give	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
destroying	destroying	vvg	destroying	destroy	0
Angel	Angel	n1	Angel	angel	0
;	;	;	;	;	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
die	die	vvi	die	die	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
live	live	vvb	live	live	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
declare	declare	vvi	declare	declare	0
the	the	dt	the	the	0
works	works	n2	works	work	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
your	your	po22	your	your	0
Vows	Vows	n2	Vows	vow	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Most	Most	av-ds	Most	most	0
High	High	j	High	high	0
.	.	.	.	.	1
Amen	Amen	uh-n	Amen	amen	0
.	.	.	.	.	1
Sept.	Sept.	np1	Sept.	Sept.	0
13.	13.	crd	13.	13.	0
1665.	1665.	crd	1665.	1665.	1
