Whose	Whose	rg-crq	Whose	who	0
sure	sure	j	sure	sure	0
thy	thy	po21	thy	thy	0
calling	calling	vvg	calling	call	0
and	and	cc	and	and	0
election	election	n1	election	election	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
true	true	j	true	true	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
as	as	a-acp	as	as	0
yet	yet	av	yet	yet	0
present	present	j	present	present	0
with	with	p-acp	with	with	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
through	through	p-acp	through	through	0
mercy	mercy	n1	mercy	mercy	0
,	,	,	,	,	0
and	and	cc	and	and	0
thou	thou	pns21	thou	thou	0
with	with	p-acp	with	with	0
me	me	pno11	me	i	0
,	,	,	,	,	0
(	(	(	(	(	0
but	but	p-acp	but	but	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
unknown	unknown	j	unknown	unknown	0
(	(	(	(	(	0
unless	unless	cs	unless	unless	0
in	in	p-acp	in	in	0
heaven	heaven	n1	heaven	heaven	0
)	)	)	)	)	0
how	how	c-crq	how	how	0
soon	soon	av	soon	soon	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
snatched	snatched	vvn	snatched	snatch	0
each	each	d	each	each	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
others	others	n2-jn	others	other	0
bosome	bosome	n1	bosom	bosom	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
cloud	cloud	n1	cloud	cloud	0
of	of	pp-f	of	of	0
death	death	n1	death	death	0
many	many	d	many	many	0
times	times	n2	times	time	0
overcasts	overcasts	vvz	overcasts	overcast	0
a	a	dt	a	a	0
fair	fair	j	fair	fair	0
morning	morning	n1	morning	morning	0
)	)	)	)	)	0
and	and	cc	and	and	0
so	so	av	so	so	0
have	have	vhb	have	have	0
opportunity	opportunity	n1	opportunity	opportunity	0
for	for	p-acp	for	for	0
information	information	n1	information	information	0
,	,	,	,	,	0
directi	directi	n1	directi	directi	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
and	and	cc	and	and	0
counsel	counsel	n1	counsel	counsel	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
talent	talent	n1	talon	talon	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
this	this	d	this	this	0
may	may	vmb	may	may	0
live	live	vvi	live	live	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
dead	dead	j	dead	dead	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
means	means	n2	means	mean	0
thou	thou	pns21	thou	thou	0
mayst	mayst	vm2	mayest	may	0
have	have	vhi	have	have	0
an	an	dt	and	a	0
admonishing	admonishing	vvg	admonishing	admonish	0
husband	husband	n1	husband	husband	0
present	present	j	present	present	0
even	even	av	even	even	0
when	when	c-crq	when	when	0
absent	absent	j	absent	absent	0
.	.	.	.	.	1
However	However	c-acp	However	however	0
,	,	,	,	,	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
prove	prove	vvi	prove	prove	0
subservient	subservient	fw-fr	subservient	subservient	0
to	to	p-acp	to	to	0
thy	thy	po21	thy	thy	0
souls	souls	n2	souls	soul	0
advan	advan	j	advan	advan	0
∣	∣	sy	∣	∣	0
tage	tage	n1	tage	tage	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
our	our	po12	our	our	0
time	time	n1	time	time	0
be	be	vbi	be	be	0
less	less	av-dc	less	less	0
or	or	cc	or	or	0
more	more	av-dc	more	more	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
world	world	n1	world	world	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
,	,	,	,	,	0
my	my	po11	my	my	0
dear	dear	j-jn	dear	dear	0
Children	Children	n2	Children	child	0
,	,	,	,	,	0
I	I	pns11	I	i	0
judge	judge	vvb	judge	judge	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
unmeet	unmeet	j	unmeet	unmeet	0
to	to	pc-acp	to	to	0
commend	commend	vvi	commend	commend	0
these	these	d	these	these	0
collections	collections	n2	collections	collection	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
father	father	n1	father	father	0
to	to	pc-acp	to	to	0
command	command	vvi	command	command	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
study	study	vvi	study	study	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
search	search	vvi	search	search	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
formerly	formerly	av-j	formerly	former	0
had	had	vhd	had	have	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
thoughts	thoughts	n2	thoughts	thought	0
to	to	pc-acp	to	to	0
draw	draw	vvi	draw	draw	0
up	up	a-acp	up	up	0
some	some	d	some	some	0
admonitions	admonitions	n2	admonitions	admonition	0
and	and	cc	and	and	0
cautions	cautions	n2	cautions	caution	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
souls	souls	n2	souls	soul	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
father	father	n1	father	father	0
care	care	vvb	care	care	0
∣	∣	sy	∣	∣	0
ful	ful	j	full	full	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
eternal	eternal	j	eternal	eternal	0
weal	weal	n1	weal	weal	0
,	,	,	,	,	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
leave	leave	vvi	leave	leave	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
fathers	fathers	ng1	father's	father	0
blessing	blessing	n1	blessing	blessing	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
best	best	js	best	best	0
legacy	legacy	n1	legacy	legacy	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
bequeath	bequeath	vvi	bequeathe	bequeathe	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
those	those	d	those	those	0
being	being	vbg	being	be	0
not	not	xx	not	not	0
hatched	hatched	vvn	hatched	hatch	0
and	and	cc	and	and	0
these	these	d	these	these	0
fledged	fledged	vvn	fledged	fledge	0
and	and	cc	and	and	0
compleated	compleated	vvd	completed	complete	0
,	,	,	,	,	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
but	but	cc-acp	but	but	0
put	put	vvi	put	put	0
them	them	pno32	them	they	0
into	into	p-acp	into	into	0
your	your	po22	your	your	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
not	not	xx	not	not	0
knowing	knowing	vvg	knowing	know	0
(	(	(	(	(	0
though	though	c-acp	though	though	0
my	my	po11	my	my	0
self	self	n1	self	self	0
wtth	wtth	av	wtth	wtth	0
your	your	po22	your	your	0
loving	loving	j-vvg	loving	love	0
mother	mother	n1	mother	mother	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
prime	prime	n-jn	prime	prime	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
years	years	n2	years	year	0
,	,	,	,	,	0
having	having	vhg	having	have	0
but	but	p-acp	but	but	0
newly	newly	av-j	newly	new	0
past	past	p-acp	passed	past	0
the	the	dt	the	the	0
noon	noon	n1	noon	noon	0
of	of	pp-f	of	of	0
Moses	Moses	np1	Moses	Moses	0
Psal.	Psal.	np1	Psal.	Psal.	1
90.	90.	crd	90.	90.	0
his	his	po31	his	his	0
youngest	youngest	js	youngest	young	0
old	old	j	old	old	0
man	man	n1	man	man	0
)	)	)	)	)	0
how	how	q-crq	how	how	0
short	short	j	short	short	0
my	my	po11	my	my	0
time	time	n1	time	time	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
because	because	c-acp	because	because	0
the	the	dt	the	the	0
subject	subject	n-jn	subject	subject	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
special	special	j	special	special	0
concernment	concernment	n1	concernment	concernment	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
,	,	,	,	,	0
being	being	vbg	being	be	0
born	born	vvn	born	bear	0
and	and	cc	and	and	0
brought	brought	vvn	brought	bring	0
forth	forth	av	forth	forth	0
in	in	p-acp	in	in	0
sin	sin	n1	since	sin	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
what	what	r-crq	what	what	0
doctrine	doctrine	n1	doctrine	doctrine	0
could	could	vmd	could	can	0
I	I	pns11	I	i	0
better	better	av-jc	better	better	0
lay	lay	vvi	lay	lay	0
before	before	p-acp	before	before	0
you	you	pn22	you	you	0
,	,	,	,	,	0
than	than	cs	than	than	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
effectual	effectual	j	effectual	effectual	0
calling	calling	n-vvg	calling	call	0
?	?	?	?	?	0
shewing	shewing	vvg	showing	show	0
you	you	pn22	you	you	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
and	and	cc	and	and	0
what	what	q-crq	what	what	0
not	not	xx	not	not	0
;	;	;	;	;	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
duty	duty	n1	duty	duty	0
could	could	vmd	could	can	0
I	I	pns11	I	i	0
better	better	av-jc	better	better	0
lay	lay	vvi	lay	lay	0
upon	upon	p-acp	upon	upon	0
you	you	pn22	you	you	0
,	,	,	,	,	0
than	than	cs	than	than	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
conversion	conversion	n1	conversion	conversion	0
and	and	cc	and	and	0
repentance	repentance	n1	repentance	repentance	0
.	.	.	.	.	1
Young	Young	j	Young	young	0
children	children	n2	children	child	0
,	,	,	,	,	0
like	like	av-j	like	like	0
young	young	j	young	young	0
plants	plants	n2	plants	plant	0
,	,	,	,	,	0
had	had	vhd	had	have	0
need	need	n1	need	need	0
be	be	vbi	be	be	0
shored	shored	vvn	shored	shore	0
and	and	cc	and	and	0
underpropped	underpropped	vvn	underpropped	underprop	0
with	with	p-acp	with	with	0
good	good	j	good	good	0
admonitions	admonitions	n2	admonitions	admonition	0
,	,	,	,	,	0
I	I	pns11	I	i	0
endeavour	endeavour	vvb	endeavour	endeavour	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Treatise	Treatise	n1	Treatise	treatise	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
private	private	j	private	private	0
teach	teach	vvb	teach	teach	0
∣	∣	sy	∣	∣	0
ings	ings	n1	ings	ings	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
six	six	crd	six	six	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
land	land	n1	land	land	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
living	living	j-vvg	living	live	0
,	,	,	,	,	0
Oh	Oh	uh	O	oh	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
would	would	vmd	would	will	0
make	make	vvi	make	make	0
you	you	pn22	you	you	0
his	his	po31	his	his	0
!	!	!	!	!	1
So	So	av	So	so	0
far	far	av-j	far	far	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
mine	mine	po11	mine	my	0
own	own	d	own	own	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
(	(	(	(	(	0
though	though	cs	though	though	0
the	the	dt	the	the	0
heart	heart	n1	heart	heart	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
mine	mine	po11	mine	my	0
is	is	vbz	is	be	0
very	very	av	very	very	0
deceitful	deceitful	j	deceitful	deceitful	0
)	)	)	)	)	0
I	I	pns11	I	i	0
profess	profess	vvb	profess	profess	0
seriously	seriously	av-j	seriously	serious	0
,	,	,	,	,	0
that	that	cst	that	that	0
how	how	c-crq	how	how	0
low	low	j	low	low	0
soever	soever	av	soever	soever	0
your	your	po22	your	your	0
condition	condition	n1	condition	condition	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
for	for	p-acp	for	for	0
temporals	temporals	n2	temporals	temporal	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
bestow	bestow	vvi	bestow	bestow	0
a	a	dt	a	a	0
new	new	j	new	new	0
heart	heart	n1	heart	heart	0
upon	upon	p-acp	upon	upon	0
you	you	pn22	you	you	0
,	,	,	,	,	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
abundantly	abundantly	av-j	abundantly	abundant	0
rejoyce	rejoyce	vvi	rejoice	rejoice	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
more	more	av-dc	more	more	0
than	than	cs	than	than	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
you	you	pn22	you	you	0
sit	sit	vvb	fit	sit	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
highest	highest	js	highest	high	0
pinacle	pinacle	n1	pinnacle	pinnacle	0
of	of	pp-f	of	of	0
worldly	worldly	j	worldly	worldly	0
advancement	advancement	n1	advancement	advancement	0
.	.	.	.	.	1
I	I	pns11	I	i	0
am	am	vbm	am	be	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
fears	fears	n2	fears	fear	0
and	and	cc	and	and	0
desires	desires	vvz	desires	desire	0
in	in	p-acp	in	in	0
reference	reference	n1	reference	reference	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
souls	souls	n2	souls	soul	0
good	good	j	good	good	0
;	;	;	;	;	0
and	and	cc	and	and	0
though	though	cs	though	though	0
now	now	av	now	now	0
you	you	pn22	you	you	0
be	be	vbb	be	be	0
tender	tender	j	tender	tender	0
and	and	cc	and	and	0
young	young	j	young	young	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
little	little	av-j	little	little	0
sensible	sensible	j	sensible	sensible	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
so	so	av	so	so	0
fit	fit	j	fit	fit	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
or	or	cc	or	or	0
other	other	j-jn	other	other	0
books	books	n2	books	book	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
please	please	vvb	please	please	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
lengthen	lengthen	vvi	lengthen	lengthen	0
out	out	av	out	out	0
the	the	dt	the	the	0
thread	thread	n1	thread	thread	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
lives	lives	n2	lives	life	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
pray	pray	vvb	pray	pray	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
then	then	av	then	then	0
take	take	vvb	take	take	0
a	a	dt	a	a	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
advice	advice	n1	advice	advice	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
father	father	n1	father	father	0
:	:	:	:	:	0
oh	oh	uh	o	oh	0
that	that	cst	that	that	0
God	God	np1	God	God	0
would	would	vmd	would	will	0
bless	bless	vvi	bless	bless	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
!	!	!	!	!	1
Study	Study	n1	Study	study	0
throughly	throughly	av-j	thoroughly	thorough	0
the	the	dt	the	the	0
nature	nature	n1	nature	nature	0
of	of	pp-f	of	of	0
original	original	j-jn	original	original	0
sin	sin	n1	since	sin	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	d	that	that	0
pravity	pravity	n1	pravity	pravity	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
diffused	diffused	vvn	diffused	diffuse	0
through	through	p-acp	through	through	0
∣	∣	sy	∣	∣	0
out	out	av	out	out	0
your	your	po22	your	your	0
natures	natures	n2	nature's	nature	0
.	.	.	.	.	1
Remember	Remember	np1	Remember	Remember	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
born	born	vvn	born	bear	0
in	in	p-acp	in	in	0
sin	sin	n1	since	sin	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
will	will	vmb	will	will	0
live	live	vvi	live	live	0
and	and	cc	and	and	0
die	die	vvi	die	die	0
if	if	cs	if	if	0
not	not	xx	not	not	0
changed	changed	vvn	changed	change	0
by	by	p-acp	by	by	0
grace	grace	n1	grace	grace	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
change	change	vvb	change	change	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
Christ's	Christ's	npg1	Christ's	Christ	0
sake	sake	n1	sake	sake	0
.	.	.	.	.	1
Let	Let	vvb	Let	let	0
the	the	dt	the	the	0
Scriptures	Scriptures	n2	Scriptures	scripture	0
be	be	vbb	be	be	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
cious	cious	uh	cious	cious	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
eyes	eyes	n2	eyes	eye	0
;	;	;	;	;	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
book	book	n1	book	book	0
of	of	pp-f	of	of	0
books	books	n2	books	book	0
;	;	;	;	;	0
read	read	vvb	read	read	0
them	them	pno32	them	they	0
often	often	av	often	often	0
,	,	,	,	,	0
and	and	cc	and	and	0
heedfully	heedfully	av-j	heedfully	heedful	0
.	.	.	.	.	1
Make	Make	n1	Make	make	0
great	great	j	great	great	0
conscience	conscience	n1	conscience	conscience	0
of	of	pp-f	of	of	0
obedience	obedience	n1	obedience	obedience	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
parents	parents	n2	parents	parent	0
and	and	cc	and	and	0
superiors	superiors	n2-jn	superiors	superior	0
.	.	.	.	.	1
Remember	Remember	np1	Remember	Remember	0
your	your	po22	your	your	0
creator	creator	n1	creator	creator	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
days	days	n2	days	day	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
youth	youth	n1	youth	youth	0
;	;	;	;	;	0
make	make	vvb	make	make	0
good	good	j	good	good	0
use	use	n1	use	use	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
young	young	j	young	young	0
time	time	n1	time	time	0
;	;	;	;	;	0
flee	flee	vvb	flee	flee	0
youthful	youthful	j	youthful	youthful	0
lusts	lusts	n2	lustest	lust	0
;	;	;	;	;	0
take	take	vvb	take	take	0
heed	heed	n1	heed	heed	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
beginnings	beginnings	n2	beginnings	beginning	0
of	of	pp-f	of	of	0
sin	sin	n1	since	sin	0
;	;	;	;	;	0
beware	beware	vvb	beware	beware	0
of	of	pp-f	of	of	0
pride	pride	n1	pride	pride	0
,	,	,	,	,	0
lying	lying	vvg	lying	lie	0
,	,	,	,	,	0
vain	vain	j	vain	vain	0
company	company	n1	company	company	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
Be	Be	vbb	Be	be	0
willing	willing	j	willing	willing	0
to	to	pc-acp	to	to	0
learn	learn	vvi	learn	learn	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
taught	taught	vvn	taught	teach	0
the	the	dt	the	the	0
things	things	n2	things	thing	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
souls	souls	n2	souls	soul	0
good	good	j	good	good	0
.	.	.	.	.	1
I	I	pns11	I	i	0
must	must	vmb	must	must	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
tract	tract	n1	tract	tract	0
,	,	,	,	,	0
or	or	cc	or	or	0
mine	mine	po11	mine	my	0
Epistles	Epistles	n2	Epistles	epistle	0
will	will	vmb	will	will	0
swell	swell	vvi	swell	swell	0
too	too	av	too	too	0
much	much	av-d	much	much	0
.	.	.	.	.	1
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
wash	wash	vvb	wash	wash	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
blood	blood	n1	blood	blood	0
,	,	,	,	,	0
cleanse	cleanse	vvb	cleanse	cleanse	0
you	you	pn22	you	you	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
filth	filth	n1	filth	filth	0
and	and	cc	and	and	0
guilt	guilt	n1	guilt	guilt	0
of	of	pp-f	of	of	0
sin	sin	n1	since	sin	0
,	,	,	,	,	0
make	make	vvb	make	make	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
sons	sons	n2	sons	son	0
and	and	cc	and	and	0
daughters	daughters	n2	daughters	daughter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Al	Al	d	All	all	0
∣	∣	sy	∣	∣	0
mighty	mighty	j	mighty	mighty	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
make	make	vvb	make	make	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
my	my	po11	my	my	0
dear	dear	j-jn	dear	dear	0
yoke-fellow	yoke-fellow	n1	yokefellow	yoke-fellow	0
,	,	,	,	,	0
a	a	dt	a	a	0
Mother	Mother	n1	Mother	mother	0
of	of	pp-f	of	of	0
Saints	Saints	n2	Saints	saint	0
,	,	,	,	,	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
an	an	cs	and	an	0
Eunice	Eunice	np1	Eunice	Eunice	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
fruit	fruit	n1	fruit	fruit	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
womb	womb	n1	womb	womb	0
.	.	.	.	.	1
So	So	np1	So	So	0
prays	prays	vvz	prays	pray	0
Heveningham	Heveningham	np1	Heveningham	Heveningham	0
,	,	,	,	,	0
Feb.	Feb.	np1	Feb.	Feb.	1
4.	4.	crd	4.	4.	0
1657	1657	crd	1657	1657	1
/	/	/	/	/	0
8.	8.	crd	8.	8.	1
