BEING	BEING	vbg	BEING	be	0
of	of	pp-f	of	of	0
wryting	wryting	vvg	writing	write	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
most	most	av-ds	most	most	0
worthy	worthy	j	worthy	worthy	0
MECOENAS	MECOENAS	np1	MECOENAS	Maecenas	0
and	and	cc	and	and	0
conuenient	conuenient	j	convenient	convenient	0
Patron	Patron	n1	Patron	patron	0
both	both	av-d	both	both	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
learning	learning	n1	learning	learning	0
and	and	cc	and	and	0
good	good	j	good	good	0
causes	causes	n2	causes	cause	0
And	And	cc	And	and	0
albeit	albeit	cs	albeit	albeit	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
first	first	ord	first	first	0
blush	blush	vvi	blush	blush	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
seeme	seeme	vvi	seem	seem	0
some	some	d	some	some	0
what	what	r-crq	what	what	0
straunge	straunge	j	strange	strange	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
presume	presume	vvi	presume	presume	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
so	so	av	so	so	0
simple	simple	j	simple	simple	0
a	a	dt	a	a	0
gift	gift	n1	gift	gift	0
being	being	vbg	being	be	0
vnworthy	vnworthy	j	unworthy	unworthy	0
the	the	dt	the	the	0
view	view	n1	view	view	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
honorable	honorable	j	honourable	honourable	0
a	a	dt	a	a	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
sonage	sonage	n1	sonage	sonage	0
,	,	,	,	,	0
and	and	cc	and	and	0
wise	wise	j	wise	wise	0
.	.	.	.	.	1
Yet	Yet	av	Yet	yet	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
it	it	pn31	it	it	0
,	,	,	,	,	0
not	not	xx	not	not	0
as	as	p-acp	as	as	0
one	one	crd	one	one	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
pecting	pecting	vvg	pecting	pect	0
anye	anye	d	any	any	0
temporall	temporall	j	temporal	temporal	0
benefite	benefite	n1	benefit	benefit	0
or	or	cc	or	or	0
preferment	preferment	n1	preferment	preferment	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
hand	hand	n1	hand	hand	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
worlde	worlde	n1	world	world	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
part	part	n1	part	part	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
matters	matters	n2	matters	matter	0
is	is	vbz	is	be	0
)	)	)	)	)	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
token	token	n1	token	token	0
rather	rather	av-c	rather	rather	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
speciall	speciall	j	special	special	0
good	good	j	good	good	0
will	will	n1	will	will	0
,	,	,	,	,	0
and	and	cc	and	and	0
duety	duety	n1	duty	duty	0
towards	towards	p-acp	towards	towards	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
an	an	dt	and	a	0
ar	ar	vbr	are	be	0
∣	∣	sy	∣	∣	0
gument	gument	n1	gument	gument	0
of	of	pp-f	of	of	0
thankfulnesse	thankfulnesse	n1	thankfulness	thankfulness	0
vnto	vnto	p-acp	unto	unto	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
graces	graces	n2	graces	grace	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
minister	minister	vvi	minister	minister	0
some	some	d	some	some	0
occasion	occasion	n1	occasion	occasion	0
of	of	pp-f	of	of	0
increase	increase	n1	increase	increase	0
and	and	cc	and	and	0
going	going	vvg	going	go	0
forwarde	forwarde	av-j	forward	forward	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
constancy	constancy	n1	constancy	constancy	0
and	and	cc	and	and	0
Heroicall	Heroicall	j	Heroical	heroical	0
spirite	spirite	n1	spirit	spirit	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
good	good	j	good	good	0
,	,	,	,	,	0
gracious	gracious	j	gracious	gracious	0
and	and	cc	and	and	0
Godly	Godly	j	Godly	godly	0
wayes	wayes	n2	ways	way	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
turned	turned	vvn	turned	turn	0
your	your	po22	your	your	0
feete	feete	n2	feet	foot	0
to	to	pc-acp	to	to	0
steppe	steppe	vvi	step	step	0
in	in	p-acp	in	in	0
already	already	av	already	already	0
:	:	:	:	:	0
I	I	pns11	I	i	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
swade	swade	vvi	suade	suade	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
therefore	therefore	av	therefore	therefore	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
facile	facile	j	facile	facile	0
and	and	cc	and	and	0
curte	curte	n1	curtain	curtain	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
nature	nature	n1	nature	nature	0
and	and	cc	and	and	0
good	good	j	good	good	0
will	will	n1	will	will	0
in	in	p-acp	in	in	0
accepting	accepting	vvg	accepting	accept	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
And	And	cc	And	and	0
euen	euen	av	even	even	0
this	this	d	this	this	0
small	small	j	small	small	0
duety	duety	n1	duty	duty	0
of	of	pp-f	of	of	0
wryting	wryting	vvg	writing	write	0
is	is	vbz	is	be	0
one	one	crd	one	one	0
point	point	n1	point	point	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
honouring	honouring	vvg	honouring	honour	0
and	and	cc	and	and	0
gratifying	gratifying	vvg	gratifying	gratify	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
betters	betters	n2-j	betters	better	0
,	,	,	,	,	0
and	and	cc	and	and	0
those	those	d	those	those	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
we	we	pns12	we	we	0
stand	stand	vvb	stand	stand	0
charged	charged	vvn	charged	charge	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Lorde	Lorde	n1	Lord	lord	0
to	to	pc-acp	to	to	0
perfourme	perfourme	vvi	perform	perform	0
duties	duties	n2	duties	duty	0
of	of	pp-f	of	of	0
reuerence	reuerence	n1	reverence	reverence	0
and	and	cc	and	and	0
honour	honour	n1	honour	honour	0
.	.	.	.	.	1
Especi	Especi	np1	Especi	Especi	0
∣	∣	sy	∣	∣	0
ally	ally	n1	alley	ally	0
when	when	c-crq	when	when	0
we	we	pns12	we	we	0
see	see	vvb	see	see	0
the	the	dt	the	the	0
Image	Image	n1	Image	image	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
seconde	seconde	ord	seconde	second	0
creation	creation	n1	creation	creation	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
shine	shine	vvi	shine	shine	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
doth	doth	vdz	does	do	0
breake	breake	vvi	break	break	0
forth	forth	av	forth	forth	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
honourable	honourable	j	honourable	honourable	0
and	and	cc	and	and	0
vertuous	vertuous	j	virtuous	virtuous	0
brest	brest	n1	breast	breast	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
many	many	d	many	many	0
wor	wor	zz	wor	wor	0
∣	∣	sy	∣	∣	0
thy	thy	po21	thy	thy	0
and	and	cc	and	and	0
commendable	commendable	j	commendable	commendable	0
graces	graces	n2	graces	grace	0
and	and	cc	and	and	0
vertues	vertues	n2	virtues	virtue	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
plausible	plausible	j	plausible	plausible	0
approbation	approbation	n1	approbation	approbation	0
fame	fame	n1	fame	fame	0
and	and	cc	and	and	0
report	report	n1	report	report	0
,	,	,	,	,	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
wise	wise	j	wise	wise	0
and	and	cc	and	and	0
Godly	Godly	j	Godly	godly	0
.	.	.	.	.	1
I	I	pns11	I	i	0
speake	speake	vvb	speak	speak	0
not	not	xx	not	not	0
this	this	d	this	this	0
as	as	c-acp	as	as	0
one	one	pi	one	one	0
that	that	cst	that	that	0
would	would	vmd	would	will	0
fill	fill	vvi	fill	fill	0
the	the	dt	the	the	0
trompe	trompe	n1	trump	trump	0
of	of	pp-f	of	of	0
flattery	flattery	n1	flattery	flattery	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
winde	winde	n1	wind	wind	0
of	of	pp-f	of	of	0
vaine	vaine	j	vain	vain	0
∣	∣	sy	∣	∣	0
glorious	glorious	j	glorious	glorious	0
praise	praise	n1	praise	praise	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
seeme	seeme	vvi	seem	seem	0
to	to	pc-acp	to	to	0
speake	speake	vvi	speak	speak	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
honour	honour	n1	honour	honour	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
worlde	worlde	n1	world	world	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
that	that	d	that	that	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
my	my	po11	my	my	0
maner	maner	n1	manner	manner	0
)	)	)	)	)	0
sith	sith	c-acp	sith	sith	0
your	your	po22	your	your	0
vertuous	vertuous	j	virtuous	virtuous	0
religious	religious	j	religious	religious	0
and	and	cc	and	and	0
Godlye	Godlye	j	Godly	godly	0
wayes	wayes	n2	ways	way	0
,	,	,	,	,	0
speake	speake	vvb	speak	speak	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
selues	selues	n2	selves	self	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
great	great	j	great	great	0
commendation	commendation	n1	commendation	commendation	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
euerlasting	euerlasting	j	everlasting	everlasting	0
praise	praise	n1	praise	praise	0
in	in	p-acp	in	in	0
Christe	Christe	np1	Christe	Christe	0
Iesus	Iesus	np1	Iesus	Jesus	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
I	I	pns11	I	i	0
speake	speake	vvb	speak	speak	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
worke	worke	n1	work	work	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
honorable	honorable	j	honourable	honourable	0
)	)	)	)	)	0
that	that	cst	that	that	0
God	God	np1	God	God	0
might	might	vmd	might	may	0
haue	haue	vhi	have	have	0
his	his	po31	his	his	0
iust	iust	j	just	just	0
glory	glory	n1	glory	glory	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
might	might	vmd	might	may	0
also	also	av	also	also	0
be	be	vbi	be	be	0
incouraged	incouraged	vvn	encouraged	encourage	0
with	with	p-acp	with	with	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
fort	fort	n1	fort	fort	0
to	to	p-acp	to	to	0
proceede	proceede	vvi	proceed	proceed	0
and	and	cc	and	and	0
increase	increase	vvi	increase	increase	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
good	good	j	good	good	0
course	course	n1	course	course	0
,	,	,	,	,	0
so	so	av	so	so	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
worke	worke	n1	work	work	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
begun	begun	vvn	begun	begin	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
fited	fited	vvn	fited	fit	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
sure	sure	j	sure	sure	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
(	(	(	(	(	0
my	my	po11	my	my	0
very	very	j	very	very	0
good	good	j	good	good	0
Lord	Lord	n1	Lord	lord	0
)	)	)	)	)	0
that	that	cst	that	that	0
the	the	dt	the	the	0
enemy	enemy	n1	enemy	enemy	0
of	of	pp-f	of	of	0
mankind	mankind	n1	mankind	mankind	0
seeketh	seeketh	vvz	seeks	seek	0
to	to	pc-acp	to	to	0
beset	beset	vvi	beset	beset	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
all	all	d	all	all	0
men	men	n2	men	man	0
,	,	,	,	,	0
so	so	av	so	so	0
specially	specially	av-j	specially	special	0
those	those	d	those	those	0
,	,	,	,	,	0
whome	whome	ro-crq	whom	who	0
the	the	dt	the	the	0
Lorde	Lorde	n1	Lord	lord	0
beginneth	beginneth	vvz	begins	begin	0
to	to	pc-acp	to	to	0
frame	frame	vvi	frame	frame	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
selfe	selfe	n1	self	self	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
chieflyest	chieflyest	js	chieflyest	chiefly	0
those	those	d	those	those	0
,	,	,	,	,	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
as	as	p-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
ouer	ouer	a-acp	over	over	0
frayghted	frayghted	vvn	freighted	freight	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
aboundaunce	aboundaunce	n1	abundance	abundance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
troublesome	troublesome	j	troublesome	troublesome	0
affayres	affayres	n2	affairs	affair	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
present	present	j	present	present	0
life	life	n1	life	life	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
great	great	j	great	great	0
calling	calling	n-vvg	calling	call	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
they	they	pns32	they	they	0
whom	whom	r-crq	whom	who	0
God	God	np1	God	God	0
calleth	calleth	vvz	calls	call	0
to	to	p-acp	to	to	0
so	so	av	so	so	0
great	great	j	great	great	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
riches	riches	n2	riches	riches	0
and	and	cc	and	and	0
dignity	dignity	n1	dignity	dignity	0
are	are	vbr	are	be	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
one	one	pi	one	one	0
wisely	wisely	av-j	wisely	wise	0
wryteth	wryteth	vvz	writes	write	0
)	)	)	)	)	0
set	set	vvd	set	set	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
mayne	mayne	n1	main	main	0
sea	sea	n1	sea	sea	0
of	of	pp-f	of	of	0
occasions	occasions	n2	occasions	occasion	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
daunger	daunger	n1	danger	danger	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
drenched	drenched	vvn	drenched	drench	0
and	and	cc	and	and	0
swallowed	swallowed	vvn	swallowed	swallow	0
vp	vp	a-acp	up	up	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
tempestuous	tempestuous	j	tempestuous	tempestuous	0
rages	rages	n2	rages	rage	0
,	,	,	,	,	0
and	and	cc	and	and	0
surging	surging	j-vvg	surging	surge	0
waues	waues	n2	waves	wave	0
of	of	pp-f	of	of	0
diuers	diuers	j	diverse	diverse	0
temp	temp	vvi	temp	tempt	0
¦	¦	sy	¦	¦	0
tations	tations	n2	tations	tation	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Lorde	Lorde	n1	Lord	lord	0
doe	doe	vdb	do	do	0
not	not	xx	not	not	0
mightely	mightely	av-j	mightily	mighty	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
grace	grace	n1	grace	grace	0
support	support	vvi	support	support	0
and	and	cc	and	and	0
vnderstay	vnderstay	vvb	vnderstay	vnderstay	0
them	them	pno32	them	they	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
when	when	c-crq	when	when	0
God	God	np1	God	God	0
stan	stan	fw-mi	stan	stan	0
∣	∣	sy	∣	∣	0
deth	deth	n1	death	death	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
frameth	frameth	vvz	frameth	frame	0
their	their	po32	their	their	0
heartes	heartes	n2	hearts	heart	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
loue	loue	n1	love	love	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
then	then	av	then	then	0
doth	doth	vdz	does	do	0
he	he	pns31	he	he	0
reape	reape	vvi	reap	reap	0
great	great	j	great	great	0
honour	honour	n1	honour	honour	0
and	and	cc	and	and	0
glory	glory	n1	glory	glory	0
at	at	p-acp	at	at	0
their	their	po32	their	their	0
handes	handes	n2	hands	hand	0
.	.	.	.	.	1
VVhich	VVhich	r-crq	Which	which	0
he	he	pns31	he	he	0
highly	highly	av-j	highly	high	0
priseth	priseth	vvz	priseth	prise	0
and	and	cc	and	and	0
reckoneth	reckoneth	vvz	reckoneth	reckon	0
off	off	a-acp	off	off	0
,	,	,	,	,	0
insomuch	insomuch	av	insomuch	insomuch	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
honorably	honorably	av-j	honorably	honorable	0
spoken	spoken	vvn	spoken	speak	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
Prophetes	Prophetes	n2	Prophets	prophet	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
shoulde	shoulde	vmd	should	shall	0
bring	bring	vvi	bring	bring	0
much	much	d	much	much	0
glory	glory	n1	glory	glory	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
Esay	Esay	np1	Esay	Easie	0
.	.	.	.	.	1
49.23	49.23	crd	49.23	49.23	0
.	.	.	.	.	1
&	&	cc	&	and	0
60.16	60.16	crd	60.16	60.16	0
.	.	.	.	.	0
and	and	cc	and	and	0
be	be	vbb	be	be	0
nursing	nursing	n-vvg	nursing	nurse	0
fa	fa	fw-it	fa	fa	0
∣	∣	sy	∣	∣	0
thers	thers	pc-acp|vbz	the	there|be	0
and	and	cc	and	and	0
nursing	nursing	j-vvg	nursing	nurse	0
mothers	mothers	n2	mother's	mother	0
therevnto	therevnto	av	thereunto	thereunto	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
LEBANON	LEBANON	np1	LEBANON	Lebanon	0
(	(	(	(	(	0
euen	euen	av	even	even	0
of	of	pp-f	of	of	0
great	great	j	great	great	0
personages	personages	n2	personages	personage	0
)	)	)	)	)	0
shal	shal	vmb	shall	shall	0
come	come	vvi	come	come	0
togeather	togeather	av	together	together	0
to	to	pc-acp	to	to	0
beautify	beautify	vvi	beautify	beautify	0
the	the	dt	the	the	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
sunctuary	sunctuary	n1	sunctuary	sunctuary	0
(	(	(	(	(	0
saith	saith	vvz	says	say	0
the	the	dt	the	the	0
Lorde	Lorde	n1	Lord	lord	0
)	)	)	)	)	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
glorify	glorify	vvi	glorify	glorify	0
the	the	dt	the	the	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
feete	feete	n2	feet	foot	0
.	.	.	.	.	1
Esay	Esay	np1	Esay	Easie	0
.	.	.	.	.	1
60.13	60.13	crd	60.13	60.13	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
seruice	seruice	n1	service	service	0
which	which	r-crq	which	which	0
such	such	d	such	such	0
shoulde	shoulde	vmd	should	shall	0
doe	doe	vdi	do	do	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Church	Church	n1	Church	church	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
a	a	dt	a	a	0
seruile	seruile	j	servile	servile	0
condition	condition	n1	condition	condition	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
a	a	dt	a	a	0
beautifying	beautifying	vvg	beautifying	beautify	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
there	there	a-acp	there	there	0
called	called	vvn	called	call	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
glory	glory	n1	glory	glory	0
euen	euen	av	even	even	0
vnto	vnto	p-acp	unto	unto	0
him	him	pno31	him	he	0
selfe	selfe	n1	self	self	0
.	.	.	.	.	1
And	And	cc	And	and	0
vndoubtedly	vndoubtedly	av-j	undoubtedly	undoubted	0
blessed	blessed	vvn	blessed	bless	0
are	are	vbr	are	be	0
those	those	d	those	those	0
Prin	Prin	np1	Prin	Prin	0
∣	∣	sy	∣	∣	0
ces	ces	fw-fr	ces	ces	0
,	,	,	,	,	0
Nobles	Nobles	n2-j	Nobles	noble	0
,	,	,	,	,	0
honourable	honourable	j	honourable	honourable	0
and	and	cc	and	and	0
worshipfull	worshipfull	j	worshipful	worshipful	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
them	them	pno32	them	they	0
selues	selues	n2	selves	self	0
imbracing	imbracing	vvg	embracing	embrace	0
and	and	cc	and	and	0
obeying	obeying	vvg	obeying	obey	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
sincerely	sincerely	av-j	sincerely	sincere	0
,	,	,	,	,	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
come	come	vvb	come	come	0
presidentes	presidentes	n2	presidents	president	0
and	and	cc	and	and	0
examples	examples	n2	examples	example	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
sons	sons	n2	sons	son	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
allure	allure	vvi	allure	allure	0
others	others	n2-jn	others	other	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
fellowship	fellowship	n1	fellowship	fellowship	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
church	church	n1	church	church	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
loue	loue	n1	love	love	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
worde	worde	n1	word	word	0
and	and	cc	and	and	0
true	true	j	true	true	0
religion	religion	n1	religion	religion	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
fall	fall	n1	fallen	fall	0
or	or	cc	or	or	0
vprising	vprising	n-vvg	uprising	uprise	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
after	after	c-acp	after	after	0
a	a	dt	a	a	0
sort	sort	n1	sort	sort	0
dependeth	dependeth	vvz	dependeth	depend	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
publique	publique	j	public	public	0
persons	persons	n2	persons	person	0
whom	whom	r-crq	whom	who	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
lift	lift	vvn	lift	lift	0
vp	vp	a-acp	up	up	0
in	in	p-acp	in	in	0
high	high	j	high	high	0
places	places	n2	places	place	0
ouer	ouer	p-acp	over	over	0
others	others	n2-jn	others	other	0
.	.	.	.	.	1
Insomuch	Insomuch	av	Insomuch	insomuch	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
eyes	eyes	n2	eyes	eye	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
multi	multi	fw-la	multi	multi	0
¦	¦	sy	¦	¦	0
tude	tude	n1	tude	tude	0
are	are	vbr	are	be	0
bene	bene	fw-la	bene	bene	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
examples	examples	n2	examples	example	0
of	of	pp-f	of	of	0
publique	publique	j	public	public	0
persons	persons	n2	persons	person	0
:	:	:	:	:	0
Furthermore	Furthermore	av	Furthermore	furthermore	0
wee	wee	pns12	we	we	0
see	see	vvb	see	see	0
from	from	p-acp	from	from	0
time	time	n1	time	time	0
to	to	p-acp	to	to	0
time	time	n1	time	time	0
,	,	,	,	,	0
howe	howe	c-crq	how	how	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
(	(	(	(	(	0
not	not	xx	not	not	0
without	without	p-acp	without	without	0
great	great	j	great	great	0
cause	cause	n1	cause	cause	0
)	)	)	)	)	0
accounted	accounted	vvd	accounted	account	0
highly	highly	av-j	highly	high	0
