THOMAS	THOMAS	np1	THOMAS	Thomas	0
Lennox	Lennox	np1	Lennox	Lennox	0
and	and	cc	and	and	0
Richmond	Richmond	np1	Richmond	Richmond	0
,	,	,	,	,	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
March	March	n1	March	march	0
and	and	cc	and	and	0
Lichfield	Lichfield	np1	Lichfield	Lichfield	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Awbigney	Awbigney	np1	Awbigney	Awbigney	0
,	,	,	,	,	0
Darneley	Darneley	np1	Darneley	Darneley	0
,	,	,	,	,	0
Tarbolton	Tarbolton	np1	Tarbolton	Tarbolton	0
and	and	cc	and	and	0
Nethven	Nethven	np1	Nethven	Nethven	0
in	in	p-acp	in	in	0
Scotland	Scotland	np1	Scotland	Scotland	0
,	,	,	,	,	0
and	and	cc	and	and	0
Baron	Baron	n1	Baron	baron	0
of	of	pp-f	of	of	0
Leigh	Leigh	np1	Leigh	Leigh	0
∣	∣	sy	∣	∣	0
ton	ton	n1	tun	tun	0
Bromswould	Bromswould	np1	Bromswould	Bromswould	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
.	.	.	.	.	1
GEORGE	GEORGE	np1	GEORGE	George	0
MONCK	MONCK	np1	MONCK	Monck	0
,	,	,	,	,	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Albemarle	Albemarle	np1	Albemarle	Albemarle	0
,	,	,	,	,	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Tor	Tor	p-acp	Tor	for	0
∣	∣	sy	∣	∣	0
rington	rington	n1	rington	rington	0
,	,	,	,	,	0
Baron	Baron	fw-fr	Baron	baron	0
Monck	Monck	n1	Monk	monk	0
of	of	pp-f	of	of	0
Potherige	Potherige	np1	Potherige	Potherige	0
,	,	,	,	,	0
Beauchampe	Beauchampe	np1	Beauchampe	Beauchampe	0
and	and	cc	and	and	0
Teyes	Teyes	n2	Teyes	teye	0
,	,	,	,	,	0
Capt.	Capt.	np1	Capt.	Capt.	1
General	General	j	General	general	0
and	and	cc	and	and	0
Commander	Commander	n1	Commander	commander	0
in	in	p-acp	in	in	0
Chief	Chief	n-jn	Chief	chief	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
his	his	po31	his	his	0
MAJESTIES	MAJESTIES	ng1	MAJESTIES	majesty	0
Land	Land	n1	Land	land	0
Forces	Forces	n2	Forces	force	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Kingdomes	Kingdomes	n2	Kingdoms	kingdom	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
Scotland	Scotland	np1	Scotland	Scotland	0
and	and	cc	and	and	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
other	other	n-jn	other	other	0
his	his	po31	his	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Dominions	Dominions	n2	Dominions	dominion	0
and	and	cc	and	and	0
Territories	Territories	n2	Territories	territory	0
,	,	,	,	,	0
Knight	Knight	n1	Knight	knight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Noble	Noble	j	Noble	noble	0
Order	Order	n1	Order	order	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Garter	Garter	n1	Garter	garter	0
,	,	,	,	,	0
Master	Master	n1	Master	master	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Horse	Horse	n1	Horse	horse	0
,	,	,	,	,	0
&	&	cc	&	and	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Majesties	Majesties	n2	Majesties	majesty	0
most	most	ds	most	most	0
Honble	Honble	n1	Honble	honble	0
privy	privy	j	privy	privy	0
Councel	Councel	n1	Council	council	0
.	.	.	.	.	1
