NO	NO	dx	NO	no	0
quintessence	quintessence	n1	quintessence	quintessence	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
best	best	js	best	best	0
inuen	inuen	n1	inuen	inuen	0
∣	∣	sy	∣	∣	0
tions	tions	j	tions	tions	0
.	.	.	.	.	1
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
some	some	d	some	some	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
industries	industries	n2	industries	industry	0
haue	haue	vhb	have	have	0
laboured	laboured	vvn	laboured	labour	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
treasury	treasury	n1	treasury	treasury	0
of	of	pp-f	of	of	0
Diuinity	Diuinity	n1	Divinity	divinity	0
,	,	,	,	,	0
some	some	d	some	some	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
necessity	necessity	n1	necessity	necessity	0
of	of	pp-f	of	of	0
humanity	humanity	n1	humanity	humanity	0
,	,	,	,	,	0
some	some	d	some	some	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
delectation	delectation	n1	delectation	delectation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Politicks	Politicks	n2-j	Politics	politic	0
,	,	,	,	,	0
some	some	d	some	some	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
affectation	affectation	n1	affectation	affectation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Oe	Oe	zz	Oe	oe	0
∣	∣	sy	∣	∣	0
conomicks	conomicks	n2-jn	conomicks	conomick	0
,	,	,	,	,	0
some	some	d	some	some	0
in	in	p-acp	in	in	0
Philosophy	Philosophy	n1	Philosophy	philosophy	0
,	,	,	,	,	0
others	others	n2-jn	others	other	0
in	in	p-acp	in	in	0
Po	Po	np1	Po	Po	0
∣	∣	sy	∣	∣	0
etry	etry	n1	etry	etry	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
all	all	d	all	all	0
brought	brought	vvd	brought	bring	0
the	the	dt	the	the	0
depth	depth	n1	depth	depth	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
golden	golden	j	golden	golden	0
studies	studies	n2	studies	study	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
bide	bide	vvi	bide	bide	0
the	the	dt	the	the	0
touch	touch	n1	touch	touch	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
noble	noble	j	noble	noble	0
allow	allow	vvb	allow	allow	0
∣	∣	sy	∣	∣	0
ance	ance	n1	ance	ance	0
:	:	:	:	:	0
so	so	av	so	so	0
that	that	d	that	that	0
after-ages	after-ages	n2	after-ages	after-age	0
may	may	vmb	may	may	0
rightly	rightly	av-jn	rightly	right	0
admire	admire	vvb	admire	admire	0
what	what	r-crq	what	what	0
noble	noble	j	noble	noble	0
Mecoenas	Mecoenas	np1	Mecoenas	Maecenas	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
that	that	cst	that	that	0
so	so	av	so	so	0
inchayned	inchayned	vvd	inchayned	inchayn	0
the	the	pno32	thee	they	0
as	as	c-acp	as	as	0
∣	∣	sy	∣	∣	0
piring	piring	j-vvg	piring	pire	0
wits	wits	n2	wits	wit	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
vnderstanding	vnderstanding	vvg	understanding	understand	0
age	age	n1	age	age	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
on	on	zz	on	on	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
censure	censure	n1	censure	censure	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
a	a	dt	a	a	0
little	little	j	little	little	0
magnoperate	magnoperate	j	magnoperate	magnoperate	0
the	the	dt	the	the	0
splendor	splendor	n1	splendour	splendour	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
well	well	av	well	well	0
knowne	knowne	vvn	known	know	0
Honour	Honour	n1	Honour	honour	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
these	these	d	these	these	0
succeeding	succeeding	j-vvg	succeeding	succeed	0
times	times	n2	times	time	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
seeing	seeing	vvg	seeing	see	0
,	,	,	,	,	0
&	&	cc	&	and	0
hauing	hauing	vhg	having	have	0
found	found	vvn	found	find	0
this	this	d	this	this	0
sparke	sparke	n1	spark	spark	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Mathematicks	Mathematicks	n1	Mathematics	mathematics	0
,	,	,	,	,	0
neuer	neuer	av-x	never	never	0
yet	yet	av	yet	yet	0
seene	seene	vvn	seen	see	0
before	before	a-acp	before	before	0
,	,	,	,	,	0
am	am	vbm	am	be	0
bold	bold	j	bold	bold	0
to	to	pc-acp	to	to	0
craue	craue	vvi	crave	crave	0
your	your	po22	your	your	0
noble	noble	j	noble	noble	0
appro	appro	n1	appro	appro	0
∣	∣	sy	∣	∣	0
bation	bation	n1	bation	bation	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
goe	goe	vvi	go	go	0
(	(	(	(	(	0
though	though	c-acp	though	though	0
vnworthy	vnworthy	j-u	unworthy	worthy	0
)	)	)	)	)	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
mongst	mongst	p-acp	amongst	among	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
worthy	worthy	j	worthy	worthy	0
Iewels	Iewels	n2	Jewels	jewel	0
,	,	,	,	,	0
that	that	cst	that	that	0
alrea	alrea	n1	alrea	alrea	0
∣	∣	sy	∣	∣	0
dy	dy	zz	dy	dy	0
haue	haue	vhb	have	have	0
past	past	vvn	passed	pass	0
the	the	dt	the	the	0
proofe	proofe	n1	proof	proof	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
singular	singular	j	singular	singular	0
iudgmet	iudgmet	n1	iudgmet	iudgmet	0
:	:	:	:	:	0
So	So	av	So	so	0
shall	shall	vmb	shall	shall	0
we	we	pns12	we	we	0
haue	haue	vhi	have	have	0
great	great	j	great	great	0
hope	hope	n1	hope	hope	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
radiant	radiant	j	radiant	radiant	0
beames	beames	n2	beams	beam	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
resplendent	resplendent	j	resplendent	resplendent	0
wisdome	wisdome	n1	wisdom	wisdom	0
,	,	,	,	,	0
fauorably	fauorably	av-j	favorably	favorable	0
shining	shining	vvg	shining	shine	0
a	a	dt	a	a	0
little	little	j	little	little	0
hereon	hereon	av	hereon	hereon	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
short	short	j	short	short	0
time	time	n1	time	time	0
wil	wil	vmb	will	will	0
reuiue	reuiue	vvi	revive	revive	0
the	the	dt	the	the	0
Mathematicks	Mathematicks	n1	Mathematics	mathematics	0
(	(	(	(	(	0
the	the	dt	the	the	0
Phoenix	Phoenix	n1	Phoenix	phoenix	0
of	of	pp-f	of	of	0
Arts	Arts	n2	Arts	art	0
)	)	)	)	)	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
ashes	ashes	n2	ashes	ash	0
of	of	pp-f	of	of	0
obliuion	obliuion	n1	oblivion	oblivion	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
sit	sit	vvi	fit	sit	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
king	king	n1	king	king	0
∣	∣	sy	∣	∣	0
dome	dome	n1	dome	dome	0
amongst	amongst	p-acp	among	among	0
the	the	dt	the	the	0
sweet	sweet	j	sweet	sweet	0
inuentions	inuentions	n2	inventions	invention	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
age	age	n1	age	age	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
owne	owne	d	own	own	0
language	language	n1	language	language	0
sing	sing	vvi	sing	sing	0
forth	forth	av	forth	forth	0
the	the	dt	the	the	0
eternall	eternall	j	eternal	eternal	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
learning	learning	n1	learning	learning	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
other	other	j-jn	other	other	0
nations	nations	n2	nations	nation	0
it	it	pn31	it	it	0
doth	doth	vdz	does	do	0
.	.	.	.	.	1
Euery	Euery	d	Every	every	0
Muse	Muse	n1	Muse	muse	0
(	(	(	(	(	0
noble	noble	j	noble	noble	0
patron	patron	n1	patron	patron	0
of	of	pp-f	of	of	0
vertue	vertue	n1	virtue	virtue	0
)	)	)	)	)	0
hath	hath	vhz	hath	have	0
long	long	av-j	long	long	0
since	since	a-acp	since	since	0
found	found	vvd	found	find	0
a	a	dt	a	a	0
double-topped	double-topped	j	double-topped	double-topped	0
Pernassus	Pernassus	np1	Pernassus	Parnassus	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
to	to	pc-acp	to	to	0
solace	solace	vvi	solace	solace	0
vpon	vpon	p-acp	upon	upon	0
,	,	,	,	,	0
saue	saue	p-acp	save	save	0
onely	onely	j	only	only	0
Vrania	Vrania	np1	Vrania	Urania	0
;	;	;	;	;	0
euery	euery	d	every	every	0
Muse	Muse	n1	Muse	muse	0
hath	hath	vhz	hath	have	0
her	her	po31	her	her	0
delicious	delicious	j	delicious	delicious	0
Helicon	Helicon	np1	Helicon	Helicon	0
to	to	pc-acp	to	to	0
sport	sport	vvi	sport	sport	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
saue	saue	p-acp	save	save	0
only	only	j	only	only	0
Vrania	Vrania	np1	Vrania	Urania	0
;	;	;	;	;	0
euery	euery	d	every	every	0
muse	muse	n1	muse	muse	0
hath	hath	vhz	hath	have	0
sipt	sipt	vvd	sipped	sip	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sweet	sweet	j	sweet	sweet	0
Nectar	Nectar	n1	Nectar	nectar	0
,	,	,	,	,	0
saue	saue	p-acp	save	save	0
onely	onely	j	only	only	0
Vrania	Vrania	np1	Vrania	Urania	0
.	.	.	.	.	1
Erato	Erato	np1	Erato	Erato	0
hath	hath	vhz	hath	have	0
wonne	wonne	vvn	won	win	0
a	a	dt	a	a	0
crowne	crowne	n1	crown	crown	0
,	,	,	,	,	0
Vrania	Vrania	np1	Vrania	Urania	0
wants	wants	vvz	wants	want	0
a	a	dt	a	a	0
garland	garland	n1	garland	garland	0
:	:	:	:	:	0
then	then	av	then	then	0
let	let	vvb	let	let	0
me	me	pno11	me	i	0
hum	hum	vvb	hum	hum	0
∣	∣	sy	∣	∣	0
bly	bly	zz	bly	bly	0
implore	implore	n1	implore	implore	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
,	,	,	,	,	0
graciously	graciously	av-j	graciously	gracious	0
to	to	pc-acp	to	to	0
protect	protect	vvi	protect	protect	0
the	the	dt	the	the	0
fruits	fruits	n2	fruits	fruit	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
estranged	estranged	j-vvn	estranged	estrange	0
Muse	Muse	n1	Muse	muse	0
vnder	vnder	p-acp	under	under	0
the	the	dt	the	the	0
sha	sha	vmb	sha	shall	0
∣	∣	sy	∣	∣	0
dow	dow	n1	dow	dough	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sweete	sweete	j	sweet	sweet	0
branches	branches	n2	branches	branch	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
neuer	neuer	av	never	never	0
de	de	fw-fr	de	de	0
∣	∣	sy	∣	∣	0
caying	caying	vvg	caying	cay	0
glory	glory	n1	glory	glory	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
all-sufficient	all-sufficient	j	all-sufficient	all-sufficient	0
to	to	p-acp	to	to	0
infatuate	infatuate	j	infatuate	infatuate	0
and	and	cc	and	and	0
annihilate	annihilate	vvi	annihilate	annihilate	0
each	each	d	each	each	0
viperous	viperous	j	viperous	viperous	0
malediction	malediction	n1	malediction	malediction	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
enuious	enuious	j	envious	envious	0
Pierides	Pierides	np1	Pierides	Pierides	0
.	.	.	.	.	1
I	I	pns11	I	i	0
know	know	vvb	know	know	0
there	there	pc-acp	there	there	0
be	be	vbi	be	be	0
bookes	bookes	n2	books	book	0
extant	extant	j	extant	extant	0
treating	treating	vvg	treating	treat	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
art	art	n1	art	art	0
of	of	pp-f	of	of	0
measuring	measuring	vvg	measuring	measure	0
ground	ground	n1	ground	ground	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
a	a	dt	a	a	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
booke	booke	n1	book	book	0
also	also	av	also	also	0
consisteth	consisteth	vvz	consisteth	consist	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
lame	lame	j	lame	lame	0
and	and	cc	and	and	0
defectiue	defectiue	j	defective	defective	0
,	,	,	,	,	0
euen	euen	av	even	even	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
sur	sur	fw-fr	sur	sur	0
∣	∣	sy	∣	∣	0
ueyors	ueyors	n2	ueyors	ueyor	0
be	be	vbi	be	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
thrust	thrust	vvd	thrust	thrust	0
themselues	themselues	px32	themselves	themselves	0
into	into	p-acp	into	into	0
businesses	businesses	n2	businesses	business	0
without	without	p-acp	without	without	0
ability	ability	n1	ability	ability	0
to	to	pc-acp	to	to	0
performe	performe	vvi	perform	perform	0
:	:	:	:	:	0
wherefore	wherefore	c-crq	wherefore	wherefore	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
endeauored	endeauored	vvn	endeavoured	endeavour	0
(	(	(	(	(	0
my	my	po11	my	my	0
good	good	j	good	good	0
Lord	Lord	n1	Lord	lord	0
)	)	)	)	)	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
to	to	pc-acp	to	to	0
redresse	redresse	vvi	redress	redress	0
wants	wants	n2	wants	want	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
one	one	pi	one	one	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
replenish	replenish	vvi	replenish	replenish	0
art	art	n1	art	art	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
not	not	xx	not	not	0
doubting	doubting	vvg	doubting	doubt	0
(	(	(	(	(	0
seeing	seeing	vvg	seeing	see	0
it	it	pn31	it	it	0
becomes	becomes	vvz	becomes	become	0
so	so	av	so	so	0
requisite	requisite	j	requisite	requisite	0
&	&	cc	&	and	0
neces	neces	n2	nieces	niece	0
∣	∣	sy	∣	∣	0
sary	sary	j	sary	sary	0
a	a	dt	a	a	0
faculty	faculty	n1	faculty	faculty	0
)	)	)	)	)	0
but	but	cc-acp	but	but	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
the	the	dt	the	the	0
serious	serious	j	serious	serious	0
student	student	n1	student	student	0
a	a	sy	a	a	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
hereby	hereby	av	hereby	hereby	0
to	to	p-acp	to	to	0
benefite	benefite	n1	benefit	benefit	0
his	his	po31	his	his	0
country	country	n1	country	country	0
and	and	cc	and	and	0
common	common	j	common	common	0
wealth	wealth	n1	wealth	wealth	0
very	very	av	very	very	0
much	much	av-d	much	much	0
.	.	.	.	.	1
Lastly	Lastly	ord	Lastly	last	0
(	(	(	(	(	0
to	to	p-acp	to	to	0
cease	cease	vvi	cease	cease	0
troubling	troubling	vvg	troubling	trouble	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
)	)	)	)	)	0
if	if	cs	if	if	0
the	the	dt	the	the	0
dedication	dedication	n1	dedication	dedication	0
of	of	pp-f	of	of	0
bookes	bookes	n2	books	book	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
part	part	n1	part	part	0
may	may	vmb	may	may	0
giue	giue	vvi	give	give	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
knowledgement	knowledgement	n1	knowledgement	knowledgement	0
to	to	p-acp	to	to	0
great	great	j	great	great	0
men	men	n2	men	man	0
for	for	p-acp	for	for	0
peculiar	peculiar	j	peculiar	peculiar	0
fauors	fauors	n2	favors	favor	0
and	and	cc	and	and	0
many	many	d	many	many	0
singular	singular	j	singular	singular	0
graces	graces	n2	graces	grace	0
shewen	shewen	vvn	shown	show	0
,	,	,	,	,	0
then	then	av	then	then	0
doth	doth	vdz	does	do	0
du	du	fw-fr	du	du	0
∣	∣	sy	∣	∣	0
ty	ty	zz	ty	ty	0
bind	bind	vvb	bind	bound	0
me	me	pno11	me	i	0
obsequiously	obsequiously	av-j	obsequiously	obsequious	0
to	to	pc-acp	to	to	0
remunerate	remunerate	vvi	remunerate	remunerate	0
your	your	po22	your	your	0
ho	ho	uh	ho	ho	0
∣	∣	sy	∣	∣	0
norable	norable	j	norable	norable	0
fathers	fathers	ng1	father's	father	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
name	name	n1	name	name	0
and	and	cc	and	and	0
poore	poore	j	poor	poor	0
fa	fa	zz	fa	fa	0
∣	∣	sy	∣	∣	0
mily	mily	n1	mily	mily	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
my	my	po11	my	my	0
ancestors	ancestors	n2	ancestors	ancestor	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
(	(	(	(	(	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
ne	ne	zz	ne	ne	0
∣	∣	sy	∣	∣	0
cessary	cessary	j	cessary	cessary	0
consequence	consequence	n1	consequence	consequence	0
,	,	,	,	,	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
am	am	vbm	am	be	0
)	)	)	)	)	0
euer	euer	av	ever	ever	0
obliged	obliged	vvn	obliged	oblige	0
.	.	.	.	.	1
And	And	cc	And	and	0
vpon	vpon	p-acp	upon	upon	0
that	that	d	that	that	0
foundation	foundation	n1	foundation	foundation	0
I	I	pns11	I	i	0
builded	builded	vvd	built	build	0
the	the	dt	the	the	0
hopes	hopes	n2	hope's	hope	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
presumption	presumption	n1	presumption	presumption	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
proue	proue	vvb	prove	prove	0
firme	firme	j	firm	firm	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
animate	animate	vvi	animate	animate	0
me	me	pno11	me	i	0
hereafter	hereafter	av	hereafter	hereafter	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
aime	aime	vvi	aim	aim	0
to	to	pc-acp	to	to	0
reach	reach	vvi	reach	reach	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
higher	higher	jc	higher	high	0
straine	straine	n1	strain	strain	0
the	the	dt	the	the	0
Diates	Diates	np1	Diates	Diates	0
∣	∣	sy	∣	∣	0
saron	saron	n1	saron	saron	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
memorable	memorable	j	memorable	memorable	0
vertues	vertues	n2	virtues	virtue	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
in	in	p-acp	in	in	0
ser	ser	zz	ser	ser	0
∣	∣	sy	∣	∣	0
uice	uice	n1	vice	vice	0
at	at	p-acp	at	at	0
command	command	n1	command	command	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
duty	duty	n1	duty	duty	0
bound	bound	vvn	bound	bind	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
prayer	prayer	n1	prayer	prayer	0
continuall	continuall	j	continual	continual	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Almighty	Almighty	j-jn	Almighty	almighty	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
good	good	j	good	good	0
Ho	Ho	uh	Ho	ho	0
∣	∣	sy	∣	∣	0
nour	nour	n1	nou_r_	nou_r_	0
,	,	,	,	,	0
I	I	pns11	I	i	0
end	end	vvb	end	end	0
,	,	,	,	,	0
resting	resting	vvg	resting	rest	1
