VNDERSTANDING	VNDERSTANDING	n1	VNDERSTANDING	understanding	0
bookes	bookes	n2	books	book	0
of	of	pp-f	of	of	0
deuotion	deuotion	n1	devotion	devotion	0
,	,	,	,	,	0
is	is	vbz	is	be	0
accounted	accounted	vvn	accounted	account	0
most	most	ds	most	most	0
profita	profita	fw-la	profita	profita	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
sortes	sortes	n2	sorts	sort	0
of	of	pp-f	of	of	0
persons	persons	n2	persons	person	0
:	:	:	:	:	0
because	because	c-acp	because	because	0
it	it	pn31	it	it	0
containeth	containeth	vvz	containeth	contain	0
all	all	d	all	all	0
such	such	d	such	such	0
godlie	godlie	j	godly	godly	0
instructions	instructions	n2	instructions	instruction	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
are	are	vbr	are	be	0
necessary	necessary	j	necessary	necessary	0
for	for	p-acp	for	for	0
e	e	sy	e	e	0
∣	∣	sy	∣	∣	0
uery	uery	j	very	very	0
Christian	Christian	njp	Christian	christian	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
conuersion	conuersion	n1	conversion	conversion	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
his	his	po31	his	his	0
sinfull	sinfull	j	sinful	sinful	0
life	life	n1	life	life	0
,	,	,	,	,	0
vntill	vntill	c-acp	until	until	0
he	he	pns31	he	he	0
attaine	attaine	vvb	attain	attain	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
fection	fection	n1	fection	fection	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Christian	Christian	njp	Christian	christian	0
life	life	n1	life	life	0
.	.	.	.	.	1
And	And	cc	And	and	0
truelie	truelie	av-j	truly	true	0
,	,	,	,	,	0
the	the	dt	the	the	0
Methode	Methode	n1	Method	method	0
&	&	cc	&	and	0
order	order	n1	order	order	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Au	Au	fw-fr	Au	au	0
∣	∣	sy	∣	∣	0
thor	thor	n1	thor	thor	0
hath	hath	vhz	hath	have	0
taken	taken	vvn	taken	take	0
therein	therein	av	therein	therein	0
is	is	vbz	is	be	0
so	so	av	so	so	0
excellent	excellent	j	excellent	excellent	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
doctrine	doctrine	n1	doctrine	doctrine	0
and	and	cc	and	and	0
instructions	instructions	n2	instructions	instruction	0
o	o	uh	oh	oh	0
singulerly	singulerly	av-j	singularly	singular	0
wel	wel	av	well	well	0
treated	treated	vvn	treated	treat	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
direction	direction	n1	direction	direction	0
both	both	av-d	both	both	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
learned	learned	j	learned	learned	0
and	and	cc	and	and	0
vnlearned	vnlearned	j	unlearned	unlearned	0
in	in	p-acp	in	in	0
spirituall	spirituall	j	spiritual	spiritual	0
life	life	n1	life	life	0
,	,	,	,	,	0
(	(	(	(	(	0
wherin	wherin	c-crq	wherein	wherein	0
the	the	dt	the	the	0
Author	Author	n1	Author	author	0
hath	hath	vhz	hath	have	0
very	very	av	very	very	0
discreet	discreet	j	discreet	discreet	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
framed	framed	vvn	framed	frame	0
his	his	po31	his	his	0
stile	stile	n1	style	stile	0
to	to	pc-acp	to	to	0
serue	serue	vvi	serve	serve	0
both	both	d	both	both	0
their	their	po32	their	their	0
capacities	capacities	n2	capacities	capacity	0
,	,	,	,	,	0
and	and	cc	and	and	0
especially	especially	av-j	especially	especial	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
vnlearned	vnlearned	j	unlearned	unlearned	0
,	,	,	,	,	0
)	)	)	)	)	0
that	that	cst	that	that	0
diuers	diuers	j	diverse	diverse	0
god	god	n1	god	god	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
learned	learned	j	learned	learned	0
Diuines	Diuines	n2-jn	Divines	divine	0
intending	intending	vvg	intending	intend	0
to	to	p-acp	to	to	0
treat	treat	vvi	treat	treat	0
in	in	p-acp	in	in	0
like	like	j	like	like	0
man	man	n1	man	man	0
∣	∣	sy	∣	∣	0
ner	ner	zz	ner	ner	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
arguments	arguments	n2	arguments	argument	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
plainely	plainely	av-j	plainly	plain	0
,	,	,	,	,	0
&	&	cc	&	and	0
with	with	p-acp	with	with	0
great	great	j	great	great	0
humility	humility	n1	humility	humility	0
confessed	confessed	vvd	confessed	confess	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
writeth	writeth	vvz	writeth	write	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
a	a	dt	a	a	0
rare	rare	j	rare	rare	0
vertuous	vertuous	j	virtuous	virtuous	0
spirit	spirit	n1	spirit	spirit	0
,	,	,	,	,	0
and	and	cc	and	and	0
hath	hath	vhz	hath	have	0
such	such	d	such	such	0
a	a	dt	a	a	0
singuler	singuler	j	singular	singular	0
gift	gift	n1	gift	gift	0
in	in	p-acp	in	in	0
explaning	explaning	n1	explaining	explaining	0
his	his	po31	his	his	0
instructions	instructions	n2	instructions	instruction	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
pearcing	pearcing	vvg	piercing	pierce	0
the	the	dt	the	the	0
hart	hart	n1	heart	hart	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Christian	Christian	njp	Christian	christian	0
reader	reader	n1	reader	reader	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
zelous	zelous	j	zealous	zealous	0
god	god	n1	god	god	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
aduises	aduises	vvz	advises	advise	0
,	,	,	,	,	0
&	&	cc	&	and	0
perswations	perswations	n2	persuasions	persuasion	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
therefore	therefore	av	therefore	therefore	0
eyther	eyther	av-d	either	either	0
a	a	dt	a	a	0
bridged	bridged	j-vvn	bridged	bridge	0
or	or	cc	or	or	0
translated	translated	vvn	translated	translate	0
his	his	po31	his	his	0
bookes	bookes	n2	books	book	0
,	,	,	,	,	0
and	and	cc	and	and	0
di	di	zz	di	di	0
∣	∣	sy	∣	∣	0
rected	rected	vvn	rected	rect	0
them	them	pno32	them	they	0
vnto	vnto	p-acp	unto	unto	0
diuers	diuers	j	diverse	diverse	0
noble	noble	j	noble	noble	0
vertuous	vertuous	j	virtuous	virtuous	0
persona	persona	fw-la	persona	persona	0
∣	∣	sy	∣	∣	0
ges	ges	n1	ges	guess	0
,	,	,	,	,	0
that	that	cst	that	that	0
requested	requested	vvd	requested	request	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
treate	treate	vvi	treat	treat	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
matters	matters	n2	matters	matter	0
.	.	.	.	.	1
And	And	cc	And	and	0
for	for	p-acp	for	for	0
mine	mine	po11	mine	my	0
owne	owne	d	own	own	0
opinion	opinion	n1	opinion	opinion	0
,	,	,	,	,	0
hauing	hauing	vhg	having	have	0
read	read	vvn	read	read	0
a	a	dt	a	a	0
great	great	j	great	great	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
spirituall	spirituall	j	spiritual	spiritual	0
bookes	bookes	n2	books	book	0
in	in	p-acp	in	in	0
diuers	diuers	j	diverse	diverse	0
languages	languages	n2	languages	language	0
,	,	,	,	,	0
(	(	(	(	(	0
all	all	d	all	all	0
worthy	worthy	j	worthy	worthy	0
certainly	certainly	av-j	certainly	certain	0
of	of	pp-f	of	of	0
great	great	j	great	great	0
commendation	commendation	n1	commendation	commendation	0
,	,	,	,	,	0
)	)	)	)	)	0
yet	yet	av	yet	yet	0
could	could	vmd	could	can	0
I	I	pns11	I	i	0
neuer	neuer	av-x	never	never	0
find	find	vvi	find	find	0
any	any	d	any	any	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
spirit	spirit	n1	spirit	spirit	0
and	and	cc	and	and	0
wise	wise	j	wise	wise	0
or	or	cc	or	or	0
∣	∣	sy	∣	∣	0
der	der	zf	der	there	0
of	of	pp-f	of	of	0
writing	writing	vvg	writing	write	0
hath	hath	vhz	hath	have	0
so	so	av	so	so	0
well	well	av	well	well	0
liked	liked	vvd	liked	like	0
my	my	po11	my	my	0
taste	taste	n1	taste	taste	0
,	,	,	,	,	0
and	and	cc	and	and	0
iudgement	iudgement	n1	judgement	judgement	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
this	this	d	this	this	0
godly	godly	j	godly	godly	0
Authors	Authors	ng1	Authors	author	0
books	books	n2	books	book	0
,	,	,	,	,	0
and	and	cc	and	and	0
espe	espe	fw-fr	espe	espe	0
∣	∣	sy	∣	∣	0
ciallie	ciallie	av-j	ciallie	ciallie	0
this	this	d	this	this	0
Memoriall	Memoriall	n-jn	Memorial	memorial	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Christian	Christian	njp	Christian	christian	0
life	life	n1	life	life	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
which	which	r-crq	which	which	0
booke	booke	n1	book	book	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
greatly	greatly	av-j	greatly	great	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
commen	commen	vvn	come	come	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
treating	treating	vvg	treating	treat	0
therein	therein	av	therein	therein	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
due	due	j-jn	due	due	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
formation	formation	n1	formation	formation	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
liues	liues	n2	lives	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
consequently	consequently	av-j	consequently	consequent	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Christian	Christian	njp	Christian	christian	0
State	State	n1	State	state	0
,	,	,	,	,	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
followed	followed	vvn	followed	follow	0
the	the	dt	the	the	0
god	god	n1	god	god	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
proceeding	proceeding	vvg	proceeding	proceed	0
of	of	pp-f	of	of	0
S.	S.	np1	S.	S.	0
Iohn	Iohn	np1	Iohn	John	0
Baptist	Baptist	np1	Baptist	Baptist	0
,	,	,	,	,	0
Mat.	Mat.	np1	Mat.	Mat	1
3.	3.	crd	3.	3.	0
ver	ver	fw-la	ver	ver	0
.	.	.	.	.	1
2.6.8	2.6.8	crd	2.6.8	2.6.8	0
Mar.	Mar.	np1	Mar.	Mar.	0
1.5.15	1.5.15	crd	1.5.15	1.5.15	0
.	.	.	.	.	1
Mar.	Mar.	np1	Mar.	Mar.	0
6.12	6.12	crd	6.12	6.12	0
.	.	.	.	.	1
Luk.	Luk.	np1	Luk.	Luk.	0
13.1.5	13.1.5	crd	13.1.5	13.1.5	0
Luk.	Luk.	np1	Luk.	Luk.	0
24.47	24.47	crd	24.47	24.47	0
.	.	.	.	.	1
Acts.	Acts.	n2	Acts.	act	0
2.38	2.38	crd	2.38	2.38	0
.	.	.	.	.	1
Act.	Act.	n1	Act.	act	0
19.18	19.18	crd	19.18	19.18	0
.	.	.	.	.	1
Act.	Act.	n1	Act.	act	0
26.20	26.20	crd	26.20	26.20	0
.	.	.	.	.	1
Heb.	Heb.	np1	Heb.	Heb.	0
6.1	6.1	crd	6.1	6.1	0
.	.	.	.	.	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Sauiour	Sauiour	n1	Saviour	saviour	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
&	&	cc	&	and	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
his	his	po31	his	his	0
Apostles	Apostles	n2	Apostles	apostle	0
,	,	,	,	,	0
Bishopes	Bishopes	n2	Bishops	bishop	0
and	and	cc	and	and	0
Priests	Priests	n2	Priests	priest	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
founding	founding	vvg	founding	sound	0
the	the	dt	the	the	0
Christian	Christian	njp	Christian	christian	0
religion	religion	n1	religion	religion	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
countries	countries	n2	countries	country	0
,	,	,	,	,	0
that	that	cst	that	that	0
haue	haue	vhb	have	have	0
bin	bin	vbn	been	be	0
conuerted	conuerted	vvn	converted	convert	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
faith	faith	n1	faith	faith	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
:	:	:	:	:	0
I	I	pns11	I	i	0
meane	meane	vvb	mean	mean	0
by	by	p-acp	by	by	0
preaching	preaching	vvg	preaching	preach	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
people	people	n1	people	people	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
Pennance	Pennance	n1	Penance	penance	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
sinnes	sinnes	n2	sins	sin	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
Confesse	Confesse	vvi	Confess	confess	0
them	them	pno32	them	they	0
,	,	,	,	,	0
&	&	cc	&	and	0
to	to	pc-acp	to	to	0
shew	shew	vvi	show	show	0
fruits	fruits	n2	fruits	fruit	0
worthy	worthy	j	worthy	worthy	0
of	of	pp-f	of	of	0
Pennance	Pennance	n1	Penance	penance	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
do	do	n1	doe	do	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
austere	austere	j	austere	austere	0
painefull	painefull	j	painful	painful	0
workes	workes	n2	works	work	0
of	of	pp-f	of	of	0
Satisfaction	Satisfaction	n1	Satisfaction	satisfaction	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
.	.	.	.	.	1
And	And	cc	And	and	0
would	would	vmd	would	will	0
God	God	np1	God	God	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
late	late	j	late	late	0
Apostatas	Apostatas	fw-la	Apostatas	apostatas	0
,	,	,	,	,	0
Luther	Luther	np1	Luther	Luther	0
,	,	,	,	,	0
Zuinglius	Zuinglius	np1	Zuinglius	Zuinglius	0
,	,	,	,	,	0
Oecolampadius	Oecolampadius	np1	Oecolampadius	Oecolampadius	0
,	,	,	,	,	0
Caluin	Caluin	np1	Caluin	Caluin	0
,	,	,	,	,	0
Beza	Beza	np1	Beza	Beza	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
their	their	po32	their	their	0
Schollers	Schollers	n2	Scholars	scholar	0
,	,	,	,	,	0
pretending	pretending	vvg	pretending	pretend	0
now	now	av	now	now	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
reformers	reformers	n2	reformers	reformer	0
of	of	pp-f	of	of	0
Christs	Christs	npg1	Christs	Christ	0
Catholicke	Catholicke	jp	Catholic	catholic	0
church	church	n1	church	church	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
our	our	po12	our	our	0
corrupt	corrupt	j	corrupt	corrupt	0
age	age	n1	age	age	0
,	,	,	,	,	0
had	had	vhd	had	have	0
followed	followed	vvn	followed	follow	0
the	the	dt	the	the	0
same	same	d	same	same	0
godly	godly	j	godly	godly	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
proceeding	proceeding	vvg	proceeding	proceed	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
preaching	preaching	vvg	preaching	preach	0
Reformation	Reformation	n1	Reformation	reformation	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
simple	simple	j	simple	simple	0
iudgement	iudgement	n1	judgement	judgement	0
,	,	,	,	,	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
assured	assured	j-vvn	assured	assure	0
way	way	n1	way	way	0
to	to	pc-acp	to	to	0
reforme	reforme	vvi	reform	reform	0
christendome	christendome	np1	christendome	Christendom	0
,	,	,	,	,	0
being	being	vbg	being	be	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
present	present	n1	present	present	0
so	so	av	so	so	0
far	far	av-j	far	far	0
corrupted	corrupted	vvn	corrupted	corrupt	0
in	in	p-acp	in	in	0
euery	euery	d	every	every	0
country	country	n1	country	country	0
,	,	,	,	,	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
by	by	p-acp	by	by	0
force	force	n1	force	force	0
of	of	pp-f	of	of	0
Armes	Armes	n2	Arms	arm	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
by	by	p-acp	by	by	0
terrour	terrour	n1	terror	terror	0
,	,	,	,	,	0
and	and	cc	and	and	0
constraint	constraint	n1	constraint	constraint	0
of	of	pp-f	of	of	0
grie	grie	j	grie	grie	0
∣	∣	sy	∣	∣	0
uous	uous	fw-fr	uous	uous	0
penall	penall	j	penal	penal	0
lawes	lawes	n2	laws	law	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
feitures	feitures	n2	feitures	feiture	0
,	,	,	,	,	0
confiscations	confiscations	n2	confiscations	confiscation	0
,	,	,	,	,	0
and	and	cc	and	and	0
executions	executions	n2	executions	execution	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
terrible	terrible	j	terrible	terrible	0
deaths	deaths	n2	death's	death	0
:	:	:	:	:	0
because	because	c-acp	because	because	0
the	the	dt	the	the	0
chri	chri	n1	chri	chri	0
∣	∣	sy	∣	∣	0
stian	stian	j	stian	stian	0
common	common	j	common	common	0
wealth	wealth	n1	wealth	wealth	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
a	a	dt	a	a	0
generall	generall	n1	general	general	0
corrupti	corrupti	fw-la	corrupti	corrupti	0
∣	∣	sy	∣	∣	0
on	on	pi	on	one	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
estates	estates	n2	estates	estate	0
cannot	cannot	vmbx	cannot	can	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
meanes	meanes	n2	means	mean	0
bee	bee	vbb	be	be	0
duely	duely	av-jn	duly	due	0
reformed	reformed	vvn	reformed	reform	0
,	,	,	,	,	0
maintained	maintained	vvn	maintained	maintain	0
and	and	cc	and	and	0
preserued	preserued	vvn	preserved	preserve	0
,	,	,	,	,	0
The	The	dt	The	the	0
right	right	n-jn	right	right	0
assured	assured	j-vvn	assured	assure	0
way	way	n1	way	way	0
to	to	pc-acp	to	to	0
reforme	reforme	vvi	reform	reform	0
christēdome	christēdome	np1	christēdome	christēdome	0
but	but	p-acp	but	but	0
by	by	p-acp	by	by	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
first	first	ord	first	first	0
founded	founded	vvd	founded	found	0
,	,	,	,	,	0
and	and	cc	and	and	0
increased	increased	vvd	increased	increase	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Bishops	Bishops	n2	Bishops	bishop	0
and	and	cc	and	and	0
Pastors	Pastors	ng1	Pastor's	pastor	0
preaching	preaching	vvg	preaching	preach	0
of	of	pp-f	of	of	0
Pen	Pen	n1	Pen	pen	0
∣	∣	sy	∣	∣	0
nance	nance	n1	nance	nance	0
,	,	,	,	,	0
contempt	contempt	n1	contempt	contempt	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
mortification	mortification	n1	mortification	mortification	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
flesh	flesh	n1	flesh	flesh	0
,	,	,	,	,	0
and	and	cc	and	and	0
giuing	giuing	vvg	giving	give	0
themselues	themselues	px32	themselves	themselves	0
apparant	apparant	j	apparent	apparent	0
good	good	j	good	good	0
exam	exam	n1	exam	exam	0
∣	∣	sy	∣	∣	0
ple	ple	j	ple	ple	0
thereof	thereof	av	thereof	thereof	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
common	common	j	common	common	0
people	people	n1	people	people	0
,	,	,	,	,	0
and	and	cc	and	and	0
shewing	shewing	vvg	showing	show	0
more	more	av-dc	more	more	0
christian	christian	njp	christian	christian	0
charitable	charitable	j	charitable	charitable	0
zeale	zeale	n1	zeal	zeal	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
deeds	deeds	n2	deeds	deed	0
,	,	,	,	,	0
than	than	cs	than	than	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
words	words	n2	words	word	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
godly	godly	j	godly	godly	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
ceeding	ceeding	av-vvg	ceeding	ceed	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Apostles	Apostles	n2	Apostles	apostle	0
,	,	,	,	,	0
and	and	cc	and	and	0
auncient	auncient	j-jn	ancient	ancient	0
holie	holie	j	holy	holy	0
Bi	Bi	p-acp	By	by	0
∣	∣	sy	∣	∣	0
shops	shops	n2	shops	shop	0
their	their	po32	their	their	0
Successors	Successors	n2	Successors	successor	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
founding	founding	vvg	founding	sound	0
and	and	cc	and	and	0
increasing	increasing	vvg	increasing	increase	0
the	the	dt	the	the	0
christian	christian	njp	christian	christian	0
religion	religion	n1	religion	religion	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Primitiue	Primitiue	j	Primitive	primitive	0
church	church	n1	church	church	0
.	.	.	.	.	1
And	And	cc	And	and	0
the	the	dt	the	the	0
like	like	j	like	like	0
godly	godly	j	godly	godly	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
proceeding	proceeding	vvg	proceeding	proceed	0
for	for	p-acp	for	for	0
Reformation	Reformation	n1	Reformation	reformation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
christian	christian	njp	christian	christian	0
State	State	n1	State	state	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
a	a	av	a	a	0
∣	∣	sy	∣	∣	0
ges	ges	zz	ges	ges	0
afterwards	afterwards	av	afterwards	afterward	0
bin	bin	vbn	been	be	0
vsed	vsed	vvn	used	use	0
by	by	p-acp	by	by	0
S.	S.	n1	S.	saint	0
Benedict	Benedict	np1	Benedict	Benedict	0
,	,	,	,	,	0
S.	S.	n1	S.	saint	0
Barnard	Barnard	np1	Barnard	Barnard	0
,	,	,	,	,	0
S.	S.	n1	S.	saint	0
Dominicke	Dominicke	np1	Dominicke	Dominicke	0
,	,	,	,	,	0
S.	S.	n1	S.	saint	0
Frauncis	Frauncis	np1	Frauncis	Francis	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
all	all	d	all	all	0
the	the	dt	the	the	0
saints	saints	n2	saints	saint	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
haue	haue	vhb	have	have	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
times	times	n2	times	time	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
wonderfull	wonderfull	j	wonderful	wonderful	0
extraor	extraor	vvi	extraor	extraor	0
∣	∣	sy	∣	∣	0
dinary	dinary	n1	dinary	dinary	0
godly	godly	j	godly	godly	0
example	example	n1	example	example	0
of	of	pp-f	of	of	0
leading	leading	vvg	leading	lead	0
holy	holy	j	holy	holy	0
penitentiall	penitentiall	j	penitential	penitential	0
liues	liues	n2	lives	life	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
vtter	vtter	j	utter	utter	0
