Endeared	Endeared	vvn	Endeared	endear	0
reverend	reverend	j-jn	reverend	reverend	0
Provincial	Provincial	j-jn	Provincial	provincial	0
Assembly	Assembly	n1	Assembly	assembly	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Churches	Churches	n2	Churches	church	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
City	City	n1	City	city	0
and	and	cc	and	and	0
Province	Province	n1	Province	province	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
;	;	;	;	;	0
many	many	d	many	many	0
times	times	n2	times	time	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
thoughts	thoughts	n2	thoughts	thought	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
commended	commended	vvn	commended	commend	0
these	these	d	these	these	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
reading	reading	n-vvg	reading	read	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
fea	fea	n1	fea	fea	0
∣	∣	sy	∣	∣	0
ring	ring	n1	ring	ring	0
what	what	q-crq	what	what	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
case	case	n1	case	case	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
sire	sire	n1	sire	sire	0
might	might	n1	might	might	0
passe	passe	vvi	pass	pass	0
in	in	p-acp	in	in	0
at	at	p-acp	at	at	0
one	one	crd	one	one	0
ear	ear	n1	ear	ear	0
and	and	cc	and	and	0
out	out	av	out	out	0
at	at	p-acp	at	at	0
another	another	j-jn	another	another	0
;	;	;	;	;	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
being	being	vbg	being	be	0
by	by	p-acp	by	by	0
some	some	d	some	some	0
desired	desired	j-vvn	desired	desire	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Pro	Pro	np1	Pro	Pro	0
∣	∣	sy	∣	∣	0
vince	vince	np1	vince	Vince	0
enjoyned	enjoyned	vvn	enjoined	enjoin	0
to	to	pc-acp	to	to	0
preach	preach	vvi	preach	preach	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
nature	nature	n1	nature	nature	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
duty	duty	n1	duty	duty	0
;	;	;	;	;	0
and	and	cc	and	and	0
having	having	vhg	having	have	0
calculated	calculated	vvn	calculated	calculate	0
the	the	dt	the	the	0
doctrine	doctrine	n1	doctrine	doctrine	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
condition	condition	n1	condition	condition	0
and	and	cc	and	and	0
capacity	capacity	n1	capacity	capacity	0
,	,	,	,	,	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
might	might	vmd	might	may	0
most	most	av-ds	most	most	0
sure	sure	j	sure	sure	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
my	my	po11	my	my	0
own	own	d	own	own	0
digested	digested	vvn	digested	digest	0
considerations	considerations	n2	considerations	consideration	0
into	into	p-acp	into	into	0
your	your	po22	your	your	0
hands	hands	n2	hands	hand	0
;	;	;	;	;	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
can	can	vmb	can	can	0
∣	∣	sy	∣	∣	0
not	not	xx	not	not	0
but	but	p-acp	but	but	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
welcome	welcome	j-jn	welcome	welcome	0
to	to	p-acp	to	to	0
such	such	d	such	such	0
whose	whose	rg-crq	whose	who	0
ears	ears	n2	ears	ear	0
heard	heard	vvd	herd	hear	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
whose	whose	rg-crq	whose	who	0
hearts	hearts	n2	hearts	heart	0
were	were	vbdr	were	be	0
touched	touched	vvn	touched	touch	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
publique	publique	j	public	public	0
delivery	delivery	n1	delivery	delivery	0
:	:	:	:	:	0
the	the	dt	the	the	0
acceptance	acceptance	n1	acceptance	acceptance	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
by	by	p-acp	by	by	0
such	such	d	such	such	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
doubted	doubted	vvn	doubted	doubt	0
;	;	;	;	;	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
all	all	d	all	all	0
others	others	n2-jn	others	other	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
desired	desired	vvn	desired	desire	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
accepted	accepted	vvn	accepted	accept	0
as	as	a-acp	as	as	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
taken	taken	vvn	taken	take	0
up	up	a-acp	up	up	0
,	,	,	,	,	0
read	read	vvb	read	read	0
without	without	p-acp	without	without	0
passion	passion	n1	passion	passion	0
or	or	cc	or	or	0
prejudice	prejudice	n1	prejudice	prejudice	0
;	;	;	;	;	0
the	the	dt	the	the	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
therein	therein	av	therein	therein	0
taught	taught	vvn	taught	teach	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
revolved	revolved	vvn	revolved	revolve	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
deliberate	deliberate	j	deliberate	deliberate	0
thoughts	thoughts	n2	thoughts	thought	0
;	;	;	;	;	0
and	and	cc	and	and	0
prayer	prayer	n1	prayer	prayer	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
put	put	vvn	put	put	0
up	up	a-acp	up	up	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
Wisdome	Wisdome	n1	Wisdom	wisdom	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
open	open	vvi	open	open	0
your	your	po22	your	your	0
eyes	eyes	n2	eyes	eye	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
appre	appre	j	appre	appre	0
∣	∣	sy	∣	∣	0
hension	hension	n1	hension	hension	0
and	and	cc	and	and	0
acknowledgement	acknowledgement	n1	acknowledgement	acknowledgement	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
:	:	:	:	:	0
This	This	d	This	this	0
acceptance	acceptance	n1	acceptance	acceptance	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
rather	rather	av	rather	rather	0
desired	desired	vvd	desired	desire	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
1.	1.	crd	1.	1.	1
This	This	d	This	this	0
little	little	j	little	little	0
Tract	Tract	n1	Tract	tract	0
is	is	vbz	is	be	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
sented	sented	vvd	scented	scent	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
taste	taste	n1	taste	taste	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
pity	pity	n1	pity	pity	0
,	,	,	,	,	0
and	and	cc	and	and	0
testimony	testimony	n1	testimony	testimony	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
true	true	j	true	true	0
affection	affection	n1	affection	affection	0
I	I	pns11	I	i	0
bear	bear	vvb	bear	bear	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
Minister	Minister	n1	Minister	minister	0
:	:	:	:	:	0
against	against	p-acp	against	against	0
which	which	r-crq	which	which	0
though	though	cs	though	though	0
I	I	pns11	I	i	0
strongly	strongly	av-j	strongly	strong	0
resol	resol	fw-mi	resol	resol	0
∣	∣	sy	∣	∣	0
ved	ved	n1	ved	ved	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
providence	providence	n1	providence	providence	0
hath	hath	vhz	hath	have	0
so	so	av	so	so	0
dis	dis	zf	dis	this	0
∣	∣	sy	∣	∣	0
posed	posed	vvn	posed	pose	0
,	,	,	,	,	0
that	that	cst	that	that	0
after	after	p-acp	after	after	0
all	all	d	all	all	0
the	the	dt	the	the	0
sad	sad	j	sad	sad	0
changes	changes	n2	changes	change	0
,	,	,	,	,	0
and	and	cc	and	and	0
Religion-ruining	Religion-ruining	j	Religion-ruining	religion-ruining	0
revolutions	revolutions	n2	revolutions	revolution	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
times	times	n2	times	time	0
have	have	vhb	have	have	0
subjected	subjected	vvn	subjected	subject	0
you	you	pn22	you	you	0
,	,	,	,	,	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
mitted	mitted	vvn	mitted	mit	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
care	care	n1	care	care	0
and	and	cc	and	and	0
charge	charge	n1	charge	charge	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
unfeignedly	unfeignedly	av-j	unfeignedly	unfeigned	0
say	say	vvi	say	say	0
,	,	,	,	,	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
now	now	av	now	now	0
my	my	po11	my	my	0
Dearly	Dearly	av-jn	Dearly	dear	0
beloved	beloved	j-vvn	beloved	belove	0
and	and	cc	and	and	0
much	much	av-d	much	much	0
longed	longed	vvn	longed	long	0
for	for	p-acp	for	for	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	1
This	This	d	This	this	0
Tract	Tract	n1	Tract	tract	0
travels	travels	vvz	travels	travel	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
publick	publick	j	public	public	0
way	way	n1	way	way	0
to	to	pc-acp	to	to	0
seek	seek	vvi	seek	seek	0
out	out	av	out	out	0
them	them	pno32	them	they	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
spirit	spirit	n1	spirit	spirit	0
of	of	pp-f	of	of	0
delusi	delusi	n1	delusi	delusi	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
and	and	cc	and	and	0
prophanenesse	prophanenesse	n1	profaneness	profaneness	0
,	,	,	,	,	0
withdraw	withdraw	vvb	withdraw	withdraw	0
their	their	po32	their	their	0
ears	ears	n2	ears	ear	0
from	from	p-acp	from	from	0
hearing	hearing	vvg	hearing	hear	0
it	it	pn31	it	it	0
when	when	c-crq	when	when	0
preached	preached	vvd	preached	preach	0
;	;	;	;	;	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
a	a	dt	a	a	0
duty	duty	n1	duty	duty	0
to	to	pc-acp	to	to	0
preach	preach	vvi	preach	preach	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
eyes	eyes	n2	eyes	eye	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
whose	whose	rg-crq	whose	who	0
ears	ears	n2	ears	ear	0
are	are	vbr	are	be	0
shut	shut	vvn	shut	shut	0
to	to	p-acp	to	to	0
such	such	d	such	such	0
absolute	absolute	j	absolute	absolute	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
ligion-preserving	ligion-preserving	j	ligion-preserving	ligion-preserving	0
ordinances	ordinances	n2	ordinances	ordinance	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
this	this	d	this	this	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
Catechizing	Catechizing	vvg	Catechizing	catechize	0
.	.	.	.	.	1
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
more	more	dc	more	more	0
charity	charity	n1	charity	charity	0
then	then	cs	then	than	0
to	to	pc-acp	to	to	0
suffer	suffer	vvi	suffer	suffer	0
a	a	dt	a	a	0
Parish	Parish	n1	Parish	parish	0
Childe	Childe	n1	Child	child	0
born	born	vvn	born	bear	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
mongst	mongst	p-acp	amongst	among	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
pass	pass	vvi	pass	pass	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
houses	houses	n2	houses	house	0
without	without	p-acp	without	without	0
one	one	crd	one	one	0
nights	nights	n2	nights	night	0
,	,	,	,	,	0
nay	nay	uh-x	nay	nay	0
a	a	dt	a	a	0
few	few	d	few	few	0
hours	hours	n2	hours	hour	0
entertainment	entertainment	n1	entertainment	entertainment	0
:	:	:	:	:	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
sire	sire	vvb	sire	sire	0
none	none	pix	none	none	0
may	may	vmb	may	may	0
appear	appear	vvi	appear	appear	0
so	so	av	so	so	0
cruel	cruel	j	cruel	cruel	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
spurn	spurn	vvi	spurn	spurn	0
and	and	cc	and	and	0
kick	kick	vvi	kick	kick	0
it	it	pn31	it	it	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
houses	houses	n2	houses	house	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
fathers	fathers	ng1	father's	father	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
rather	rather	av-c	rather	rather	0
for	for	p-acp	for	for	0
that	that	cst	that	that	0
the	the	dt	the	the	0
father	father	n1	father	father	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
ready	ready	j	ready	ready	0
to	to	pc-acp	to	to	0
traverse	traverse	vvi	traverse	traverse	0
all	all	d	all	all	0
inditements	inditements	n2	inditements	inditement	0
against	against	p-acp	against	against	0
himself	himself	px31	himself	himself	0
or	or	cc	or	or	0
doctrine	doctrine	n1	doctrine	doctrine	0
,	,	,	,	,	0
if	if	cs	if	if	0
he	he	pns31	he	he	0
may	may	vmb	may	may	0
but	but	p-acp	but	but	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
joy	joy	vvi	joy	joy	0
a	a	dt	a	a	0
patient	patient	j	patient	patient	0
hearing	hearing	n-vvg	hearing	hear	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
spe	spe	fw-la	spe	spe	0
∣	∣	sy	∣	∣	0
cial	cial	j	cial	cial	0
take	take	vvn	take	take	0
heed	heed	n1	heed	heed	0
that	that	cst	that	that	0
none	none	pix	none	none	0
look	look	vvb	look	look	0
asquint	asquint	av	asquint	asquint	0
at	at	p-acp	at	at	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
carry	carry	vvi	carry	carry	0
doggedly	doggedly	av-j	doggedly	dogged	0
towards	towards	p-acp	towards	towards	0
it	it	pn31	it	it	0
for	for	p-acp	for	for	0
propounding	propounding	vvg	propounding	propound	0
a	a	dt	a	a	0
du	du	fw-fr	du	du	0
∣	∣	sy	∣	∣	0
ty	ty	vvi	ty	tie	0
,	,	,	,	,	0
and	and	cc	and	and	0
pleading	pleading	vvg	pleading	plead	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
piece	piece	n1	piece	piece	0
of	of	pp-f	of	of	0
piety	piety	n1	piety	piety	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
therein	therein	av	therein	therein	0
they	they	pns32	they	they	0
engage	engage	vvb	engage	engage	0
the	the	dt	the	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
wisdome	wisdome	n1	wisdom	wisdom	0
and	and	cc	and	and	0
holi	holi	j	holy	holy	0
∣	∣	sy	∣	∣	0
nesse	nesse	fw-fr	nesse	nesse	0
to	to	pc-acp	to	to	0
plead	plead	vvi	plead	plead	0
his	his	po31	his	his	0
own	own	d	own	own	0
cause	cause	n1	cause	cause	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
for	for	p-acp	for	for	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
ready	ready	j	ready	ready	0
to	to	pc-acp	to	to	0
flight	flight	vvi	flight	flight	0
it	it	pn31	it	it	0
on	on	p-acp	on	on	0
a	a	dt	a	a	0
seeming	seeming	j-vvg	seeming	seem	0
scrupulosity	scrupulosity	n1	scrupulosity	scrupulosity	0
of	of	pp-f	of	of	0
con	con	fw-mi	con	con	0
∣	∣	sy	∣	∣	0
science	science	n1	science	science	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
novelty	novelty	n1	novelty	novelty	0
,	,	,	,	,	0
or	or	cc	or	or	0
antiquity	antiquity	n1	antiquity	antiquity	0
,	,	,	,	,	0
or	or	cc	or	or	0
formality	formality	n1	formality	formality	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
exercise	exercise	n1	exercise	exercise	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
it	it	pn31	it	it	0
contends	contends	vvz	contends	contend	0
,	,	,	,	,	0
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
with	with	p-acp	with	with	0
patience	patience	n1	patience	patience	0
read	read	vvb	read	read	0
it	it	pn31	it	it	0
through	through	a-acp	through	through	0
,	,	,	,	,	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
solve	solve	vvb	solve	solve	0
of	of	a-acp	of	off	0
their	their	po32	their	their	0
scruples	scruples	n2	scruples	scruple	0
may	may	vmb	may	may	0
make	make	vvi	make	make	0
them	them	pno32	them	they	0
more	more	av-dc	more	more	0
esteem	esteem	vvb	esteem	esteem	0
it	it	pn31	it	it	0
.	.	.	.	.	1
3.	3.	crd	3.	3.	1
The	The	dt	The	the	0
duty	duty	n1	duty	duty	0
herein	herein	av	herein	herein	0
pressed	pressed	vvn	pressed	press	0
,	,	,	,	,	0
is	is	vbz	is	be	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
concerns	concerns	vvz	concerns	concern	0
you	you	pn22	you	you	0
all	all	d	all	all	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
ever	ever	av	ever	ever	0
age	age	n1	age	age	0
or	or	cc	or	or	0
condition	condition	n1	condition	condition	0
:	:	:	:	:	0
Are	Are	vbr	Are	be	0
you	you	pn22	you	you	0
ignorant	ignorant	j	ignorant	ignorant	0
?	?	?	?	?	1
Catechizing	Catechizing	vvg	Catechizing	catechize	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
way	way	n1	way	way	0
to	to	p-acp	to	to	0
knowledge	knowledge	n1	knowledge	knowledge	0
;	;	;	;	;	0
and	and	cc	and	and	0
certainly	certainly	av-j	certainly	certain	0
,	,	,	,	,	0
knowledge	knowledge	n1	knowledge	knowledge	0
in	in	p-acp	in	in	0
rudiments	rudiments	n2	rudiments	rudiment	0
of	of	pp-f	of	of	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
ligion	ligion	n1	ligion	ligion	0
,	,	,	,	,	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
absolute	absolute	j	absolute	absolute	0
duty	duty	n1	duty	duty	0
incum	incum	n1	incum	incum	0
∣	∣	sy	∣	∣	0
bent	bent	n1	bent	bent	0
on	on	p-acp	on	on	0
every	every	d	every	every	0
man	man	n1	man	man	0
,	,	,	,	,	0
be	be	vbb	be	be	0
he	he	pns31	he	he	0
rich	rich	j	rich	rich	0
or	or	cc	or	or	0
poor	poor	j	poor	poor	0
,	,	,	,	,	0
high	high	j	high	high	0
or	or	cc	or	or	0
low	low	j	low	low	0
,	,	,	,	,	0
young	young	j	young	young	0
or	or	cc	or	or	0
old	old	j	old	old	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
very	very	av	very	very	0
good	good	j	good	good	0
observation	observation	n1	observation	observation	0
the	the	dt	the	the	0
Provinciall	Provinciall	n-jn	Provincial	provincial	0
Assembly	Assembly	n1	Assembly	assembly	0
have	have	vhb	have	have	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
exhortation	exhortation	n1	exhortation	exhortation	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
same	same	d	same	same	0
duty	duty	n1	duty	duty	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
well	well	av	well	well	0
note	note	vvi	note	note	0
it	it	pn31	it	it	0
,	,	,	,	,	0
it	it	pn31	it	it	0
