NOT	NOT	xx	NOT	not	0
shall	shall	vmb	shall	shall	0
vouchsafe	vouchsafe	vvi	vouchsafe	vouchsafe	0
to	to	pc-acp	to	to	0
regard	regard	vvi	regard	regard	0
it	it	pn31	it	it	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
principally	principally	av-jn	principally	principal	0
and	and	cc	and	and	0
directly	directly	av-j	directly	direct	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
presented	presented	vvn	presented	present	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
first	first	ord	first	first	0
and	and	cc	and	and	0
second	second	ord	second	second	0
sortes	sortes	n2	sorts	sort	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
aboue	aboue	p-acp	above	above	0
mentioned	mentioned	vvn	mentioned	mention	0
;	;	;	;	;	0
that	that	d	that	that	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
directed	directed	vvn	directed	direct	0
first	first	ord	first	first	0
vnto	vnto	p-acp	unto	unto	0
those	those	d	those	those	0
vvho	vvho	q-crq	who	who	0
be	be	vbb	be	be	0
neither	neither	d	neither	neither	0
Learned	Learned	j	Learned	learned	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
yet	yet	av	yet	yet	0
taken	taken	vvn	taken	take	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
so	so	av	so	so	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
knovv	knovv	vvi	know	know	0
somevvhat	somevvhat	av	somewhat	somewhat	0
;	;	;	;	;	0
and	and	cc	and	and	0
next	next	ord	next	next	0
vnto	vnto	p-acp	unto	unto	0
those	those	d	those	those	0
others	others	n2-jn	others	other	0
vvho	vvho	r-crq	who	who	0
be	be	vbb	be	be	0
indeed	indeed	av	indeed	indeed	0
Learned	Learned	j	Learned	learned	0
,	,	,	,	,	0
though	though	cs	though	though	0
they	they	pns32	they	they	0
take	take	vvb	take	take	0
not	not	xx	not	not	0
themselues	themselues	px32	themselves	themselves	0
so	so	av	so	so	0
to	to	p-acp	to	to	0
be	be	vbb	be	be	0
;	;	;	;	;	0
vvho	vvho	r-crq	who	who	0
also	also	av	also	also	0
may	may	vmb	may	may	0
esteeme	esteeme	vvi	esteem	esteem	0
it	it	pn31	it	it	0
as	as	a-acp	as	as	0
presented	presented	vvn	presented	present	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
better	better	vvi	better	better	0
their	their	po32	their	their	0
supposed	supposed	j-vvn	supposed	suppose	0
Knovvledge	Knovvledge	n1	Knowledge	knowledge	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
vvhich	vvhich	r-crq	which	which	0
respects	respects	n2	respects	respect	0
I	I	pns11	I	i	0
pre	pre	fw-es	pre	pre	0
∣	∣	sy	∣	∣	0
sume	sume	n1	fume	fume	0
th	th	cst	that	that	0
this	this	d	this	this	0
Worke	Worke	n1	Work	work	0
vvillbe	vvillbe	vmb	vvillbe	vvillbe	0
gratefull	gratefull	j	grateful	grateful	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
both	both	d	both	both	0
.	.	.	.	.	1
And	And	cc	And	and	0
therfore	therfore	av	therefore	therefore	0
if	if	cs	if	if	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
vnto	vnto	p-acp	unto	unto	0
vvhome	vvhome	ro-crq	whom	who	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
directly	directly	av-j	directly	direct	0
dedicated	dedicated	vvn	dedicated	dedicate	0
should	should	vmd	should	shall	0
perhaps	perhaps	av	perhaps	perhaps	0
go	go	vvi	go	go	0
about	about	a-acp	about	about	0
to	to	pc-acp	to	to	0
calumniate	calumniate	vvi	calumniate	calumniate	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
or	or	cc	or	or	0
any	any	d	any	any	0
part	part	n1	part	part	0
therof	therof	av	thereof	thereof	0
;	;	;	;	;	0
he	he	pns31	he	he	0
may	may	vmb	may	may	0
vvith	vvith	p-acp	with	with	0
more	more	dc	more	more	0
reason	reason	n1	reason	reason	0
and	and	cc	and	and	0
reputation	reputation	n1	reputation	reputation	0
saue	saue	p-acp	save	save	0
that	that	d	that	that	0
la	la	fw-fr	la	la	0
∣	∣	sy	∣	∣	0
bour	bour	uh	bour	bour	0
:	:	:	:	:	0
because	because	c-acp	because	because	0
neither	neither	d	neither	neither	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Worke	Worke	n1	Work	work	0
dedi	dedi	fw-la	dedi	dedi	0
∣	∣	sy	∣	∣	0
cated	cated	vvn	cated	cate	0
vnto	vnto	p-acp	unto	unto	0
him	him	pno31	him	he	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
yet	yet	av	yet	yet	0
composed	composed	vvn	composed	compose	0
by	by	p-acp	by	by	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
rank	rank	n1	rank	rank	0
,	,	,	,	,	0
or	or	cc	or	or	0
degree	degree	n1	degree	degree	0
in	in	p-acp	in	in	0
Learning	Learning	n1	Learning	learning	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
certaine	certaine	j	certain	certain	0
curious	curious	j	curious	curious	0
Trauailers	Trauailers	n2	Travellers	traveller	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
follovving	follovving	j-vvg	following	follow	0
discourse	discourse	n1	discourse	discourse	0
vvill	vvill	vmb	will	will	0
more	more	av-dc	more	more	0
plainly	plainly	av-j	plainly	plain	0
declare	declare	vvi	declare	declare	0
,	,	,	,	,	0
vvho	vvho	r-crq	who	who	0
being	being	vbg	being	be	0
indeed	indeed	av	indeed	indeed	0
Courtiers	Courtiers	n2	Courtiers	courtier	0
,	,	,	,	,	0
make	make	vvb	make	make	0
no	no	dx	no	no	0
profession	profession	n1	profession	profession	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
Science	Science	n1	Science	science	0
but	but	p-acp	but	but	0
Humanity	Humanity	n1	Humanity	humanity	0
only	only	av-j	only	only	0
:	:	:	:	:	0
and	and	cc	and	and	0
therfore	therfore	av	therefore	therefore	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
man	man	n1	man	man	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
skill	skill	n1	skill	skill	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
any	any	d	any	any	0
competence	competence	n1	competence	competence	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
vvith	vvith	p-acp	with	with	0
these	these	d	these	these	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	pc-acp	to	to	0
controle	controle	vvi	control	control	0
or	or	cc	or	or	0
ble	ble	zz	ble	ble	0
∣	∣	sy	∣	∣	0
mish	mish	n1	mish	mish	0
their	their	po32	their	their	0
Endeauours	Endeauours	n2	Endeavours	endeavour	0
,	,	,	,	,	0
this	this	d	this	this	0
he	he	pns31	he	he	0
ought	ought	vmd	ought	ought	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
reason	reason	n1	reason	reason	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
yet	yet	av	yet	yet	0
permit	permit	vvi	permit	permit	0
others	others	n2-jn	others	other	0
to	to	p-acp	to	to	0
do	do	vdi	do	do	0
it	it	pn31	it	it	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
much	much	av-d	much	much	0
also	also	av	also	also	0
the	the	dt	the	the	0
lesse	lesse	av-dc	less	less	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
in	in	p-acp	in	in	0
Dialogues	Dialogues	n2	Dialogues	dialogue	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
expected	expected	vvn	expected	expect	0
,	,	,	,	,	0
that	that	cst	that	that	0
all	all	d	all	all	0
vvhich	vvhich	r-crq	which	which	0
is	is	vbz	is	be	0
vvritten	vvritten	vvn	written	write	0
,	,	,	,	,	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
continuate	continuate	j	continuate	continuate	0
doctrine	doctrine	n1	doctrine	doctrine	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
some	some	d	some	some	0
Interlocutions	Interlocutions	n2	Interlocutions	interlocution	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
enter	enter	vvi	enter	enter	0
betvvixt	betvvixt	p-acp	betwixt	betwixt	0
;	;	;	;	;	0
the	the	dt	the	the	0
vvhich	vvhich	r-crq	which	which	0
being	being	vbg	being	be	0
passed	passed	vvn	passed	pass	0
ouer	ouer	a-acp	over	over	0
,	,	,	,	,	0
then	then	cs	then	than	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
doctrine	doctrine	n1	doctrine	doctrine	0
returneth	returneth	vvz	returns	return	0
againe	againe	av	again	again	0
.	.	.	.	.	1
This	This	d	This	this	0
trace	trace	n1	trace	trace	0
hath	hath	vhz	hath	have	0
Count	Count	n1	Count	count	0
Baltazar	Baltazar	np1	Baltazar	Baltazar	0
Casti	Casti	fw-la	Casti	casti	0
∣	∣	sy	∣	∣	0
glio	glio	n1	glio	glio	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Courtier	Courtier	n1	Courtier	courtier	0
,	,	,	,	,	0
and	and	cc	and	and	0
Boetius	Boetius	np1	Boetius	Boetius	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Con	Con	vvi	Con	con	0
∣	∣	sy	∣	∣	0
solation	solation	n1	solation	solation	0
directly	directly	av-j	directly	direct	0
follovved	follovved	vvn	followed	follow	0
;	;	;	;	;	0
and	and	cc	and	and	0
Plato	Plato	np1	Plato	Plato	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Compositions	Compositions	n2	Compositions	composition	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
any	any	d	any	any	0
other	other	n-jn	other	other	0
.	.	.	.	.	1
The	The	dt	The	the	0
vvhich	vvhich	r-crq	which	which	0
Interlocutions	Interlocutions	n2	Interlocutions	interlocution	0
though	though	c-acp	though	though	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
haps	haps	vvz	haps	hap	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
fall	fall	vvi	fallen	fall	0
out	out	av	out	out	0
still	still	av	still	still	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
so	so	av	so	so	0
pleasing	pleasing	vvg	pleasing	please	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
doctrine	doctrine	n1	doctrine	doctrine	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
so	so	av	so	so	0
long	long	av-j	long	long	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
vnproportionable	vnproportionable	j	unproportionable	unproportionable	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
vvhich	vvhich	r-crq	which	which	0
they	they	pns32	they	they	0
concerne	concerne	vvb	concern	concern	0
,	,	,	,	,	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
permitted	permitted	vvn	permitted	permit	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
:	:	:	:	:	0
because	because	c-acp	because	because	0
vvhen	vvhen	c-crq	when	when	0
all	all	d	all	all	0
is	is	vbz	is	be	0
done	done	vdn	done	do	0
,	,	,	,	,	0
he	he	pns31	he	he	0
vvho	vvho	r-crq	who	who	0
vvill	vvill	vmb	will	will	0
haue	haue	vhi	have	have	0
good	good	j	good	good	0
store	store	n1	store	store	0
of	of	pp-f	of	of	0
corne	corne	n1	corn	corn	0
,	,	,	,	,	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
content	content	j	content	content	0
vvithall	vvithall	av	withal	withal	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
some	some	d	some	some	0
chaffe	chaffe	n1	chaff	chafe	0
.	.	.	.	.	1
Yet	Yet	av	Yet	yet	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
vvell	vvell	av	well	well	0
deny	deny	vvi	deny	deny	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
some	some	d	some	some	0
motions	motions	n2	motions	motion	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
had	had	vhn	had	have	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
dimi	dimi	fw-la	dimi	dimi	0
∣	∣	sy	∣	∣	0
nish	nish	vvb	nish	nish	0
heere	heere	av	here	here	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
some	some	d	some	some	0
discourses	discourses	n2	discourses	discourse	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Interlocutors	Interlocutors	n2	Interlocutors	interlocutor	0
,	,	,	,	,	0
had	had	vhd	had	have	0
I	I	pns11	I	i	0
not	not	xx	not	not	0
considered	considered	vvn	considered	consider	0
vvithall	vvithall	av	withal	withal	0
,	,	,	,	,	0
that	that	cst	that	that	0
one	one	pi	one	one	0
thing	thing	n1	thing	thing	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
a	a	dt	a	a	0
Booke	Booke	n1	Book	book	0
,	,	,	,	,	0
and	and	cc	and	and	0
another	another	j-jn	another	another	0
thing	thing	n1	thing	thing	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
Pamphlet	Pamphlet	n1	Pamphlet	pamphlet	0
;	;	;	;	;	0
and	and	cc	and	and	0
also	also	av	also	also	0
a	a	dt	a	a	0
Booke	Booke	n1	Book	book	0
or	or	cc	or	or	0
Bookes	Bookes	n2	Books	book	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
particuler	particuler	j	particular	particular	0
titles	titles	n2	titles	title	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
vvithout	vvithout	p-acp	without	without	0
some	some	d	some	some	0
amplification	amplification	n1	amplification	amplification	0
made	made	vvd	made	make	0
,	,	,	,	,	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
doe	doe	vdb	do	do	0
render	render	vvi	render	render	0
of	of	pp-f	of	of	0
themselues	themselues	px32	themselves	themselves	0
but	but	p-acp	but	but	0
small	small	j	small	small	0
discourse	discourse	n1	discourse	discourse	0
of	of	pp-f	of	of	0
matter	matter	n1	matter	matter	0
.	.	.	.	.	1
And	And	cc	And	and	0
therfore	therfore	av	therefore	therefore	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
resolued	resolued	vvn	resolved	resolve	0
to	to	pc-acp	to	to	0
let	let	vvi	let	let	0
the	the	dt	the	the	0
Bookes	Bookes	n2	Books	book	0
passe	passe	vvb	pass	pass	0
vvith	vvith	p-acp	with	with	0
all	all	d	all	all	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
very	very	j	very	very	0
same	same	d	same	same	0
speaches	speaches	n2	speeches	speech	0
,	,	,	,	,	0
vvhich	vvhich	r-crq	which	which	0
the	the	dt	the	the	0
Authors	Authors	n2	Authors	author	0
them	them	pno32	them	they	0
∣	∣	sy	∣	∣	0
selues	selues	n2	selves	self	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
vpon	vpon	p-acp	upon	upon	0
different	different	j	different	different	0
occasions	occasions	n2	occasions	occasion	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
terposed	terposed	vvn	terposed	terpose	0
:	:	:	:	:	0
because	because	c-acp	because	because	0
it	it	pn31	it	it	0
vvill	vvill	vmb	will	will	0
easily	easily	av-j	easily	easy	0
be	be	vbi	be	be	0
consi	consi	fw-fr	consi	consi	0
∣	∣	sy	∣	∣	0
dered	dered	n1	dered	dered	0
,	,	,	,	,	0
that	that	cst	that	that	0
Argumentations	Argumentations	n2	Argumentations	argumentation	0
made	made	vvn	made	make	0
by	by	p-acp	by	by	0
vvord	vvord	n1	word	word	0
of	of	pp-f	of	of	0
mouth	mouth	n1	mouth	mouth	0
,	,	,	,	,	0
cannot	cannot	vmbx	cannot	can	0
so	so	av	so	so	0
closely	closely	av-j	closely	close	0
be	be	vbi	be	be	0
compacted	compacted	vvn	compacted	compact	0
togeather	togeather	av	together	together	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
may	may	vmb	may	may	0
things	things	n2	things	thing	0
more	more	av-dc	more	more	0
considerately	considerately	av-j	considerately	considerate	0
set	set	vvn	set	set	0
dovvne	dovvne	a-acp	down	down	0
by	by	p-acp	by	by	0
pen	pen	n1	pen	pen	0
;	;	;	;	;	0
though	though	cs	though	though	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
it	it	pn31	it	it	0
vvill	vvill	vmb	will	will	0
appeare	appeare	vvi	appear	appear	0
vvithall	vvithall	av	withal	withal	0
,	,	,	,	,	0
that	that	cst	that	that	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
parably	parably	av-j	parably	parable	0
vnto	vnto	p-acp	unto	unto	0
other	other	j-jn	other	other	0
English	English	jp	English	english	0
Workes	Workes	vvz	Works	work	0
,	,	,	,	,	0
no	no	dx	no	no	0
vvant	vvant	n1	want	want	0
of	of	pp-f	of	of	0
doctrine	doctrine	n1	doctrine	doctrine	0
vvill	vvill	vmb	will	will	0
heare	heare	av	hear	here	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
.	.	.	.	.	1
All	All	av-d	All	all	0
vvhich	vvhich	r-crq	which	which	0
is	is	vbz	is	be	0
done	done	vdn	done	do	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
instruction	instruction	n1	instruction	instruction	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
only	only	j	only	only	0
,	,	,	,	,	0
vvho	vvho	r-crq	who	who	0
albeit	albeit	cs	albeit	albeit	0
they	they	pns32	they	they	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
aspire	aspire	vvi	aspire	aspire	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
counted	counted	vvn	counted	count	0
Learned	Learned	j	Learned	learned	0
,	,	,	,	,	0
may	may	vmb	may	may	0
yet	yet	av	yet	yet	0
haue	haue	vhi	have	have	0
a	a	dt	a	a	0
desire	desire	n1	desire	desire	0
to	to	pc-acp	to	to	0
knovv	knovv	vvi	know	know	0
the	the	dt	the	the	0
scope	scope	n1	scope	scope	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Sciences	Sciences	n2	Sciences	science	0
,	,	,	,	,	0
besides	besides	p-acp	beside	beside	0
much	much	d	much	much	0
Morality	Morality	n1	Morality	morality	0
,	,	,	,	,	0
&	&	cc	&	and	0
some	some	d	some	some	0
Oecono	Oecono	np1	Oecono	Oecono	0
∣	∣	sy	∣	∣	0
my	my	po11	my	my	0
also	also	av	also	also	0
,	,	,	,	,	0
vvhich	vvhich	r-crq	which	which	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
find	find	vvi	find	find	0
here	here	av	here	here	0
.	.	.	.	.	1
So	So	av	So	so	0
as	as	c-acp	as	as	0
vvith	vvith	p-acp	with	with	0
a	a	dt	a	a	0
fevv	fevv	d	few	few	0
dayes	dayes	n2	days	day	0
reading	reading	vvg	reading	read	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
know	know	vvi	know	know	0
much	much	d	much	much	0
,	,	,	,	,	0
and	and	cc	and	and	0
vvith	vvith	p-acp	with	with	0
the	the	dt	the	the	0
price	price	n1	price	price	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
only	only	j	only	only	0
volume	volume	n1	volume	volume	0
quit	quit	vvi	quit	quit	0
the	the	dt	the	the	0
cost	cost	n1	cost	cost	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
clude	clude	vvb	clude	clude	0
,	,	,	,	,	0
diuers	diuers	j	diverse	diverse	0
questions	questions	n2	questions	question	0
no	no	av-dx	no	no	0
lesse	lesse	av-dc	less	less	0
ple	ple	j	ple	ple	0
then	then	cs	then	than	0
profitable	profitable	j	profitable	profitable	0
,	,	,	,	,	0
not	not	xx	not	not	0
handled	handled	vvn	handled	handle	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
tvvo	tvvo	crd	tvvo	two	0
Volumes	Volumes	n2	Volumes	volume	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
namely	namely	av	namely	namely	0
touching	touching	vvg	touching	touch	0
Policy	Policy	n1	Policy	policy	0
,	,	,	,	,	0
and	and	cc	and	and	0
many	many	d	many	many	0
other	other	j-jn	other	other	0
curious	curious	j	curious	curious	0
matters	matters	n2	matters	matter	0
)	)	)	)	)	0
are	are	vbr	are	be	0
re	re	fw-mi	re	re	0
∣	∣	sy	∣	∣	0
serued	serued	vvn	served	serve	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
Volumes	Volumes	n2	Volumes	volume	0
ensu	ensu	fw-fr	ensu	ensu	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
;	;	;	;	;	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
seene	seene	vvn	seen	see	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
meane	meane	j	mean	mean	0
vvhile	vvhile	n1	while	while	0
,	,	,	,	,	0
hovv	hovv	c-crq	how	how	0
grate	grate	j	grate	great	0
∣	∣	sy	∣	∣	0
fully	fully	av-j	fully	full	0
these	these	d	these	these	0
first	first	ord	first	first	0
vvilbe	vvilbe	vmb	will be	will be	0
accepted	accepted	vvn	accepted	accept	0
.	.	.	.	.	1
Qui	Qui	np1	Qui	Qui	0
nihil	nihil	fw-la	nihil	nihil	0
sperat	sperat	j	sperat	sperat	0
,	,	,	,	,	0
nihil	nihil	fw-la	nihil	nihil	0
desperat	desperat	j	desperate	desperate	0
.	.	.	.	.	1
