{	{	{	{	{	0
makes	makes	vvz	makes	make	0
both	both	d	both	both	0
euen	euen	av	even	even	0
,	,	,	,	,	0
the	the	dt	the	the	0
Cottage	Cottage	n1	Cottage	cottage	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Throne	Throne	n1	Throne	throne	0
,	,	,	,	,	0
All	All	d	All	all	0
worldly	worldly	j	worldly	worldly	0
honours	honours	n2	honours	honour	0
there	there	pc-acp	there	there	0
are	are	vbr	are	be	0
counted	counted	vvn	counted	count	0
base	base	j	base	base	0
;	;	;	;	;	0
Those	Those	d	Those	those	0
he	he	pns31	he	he	0
holds	holds	vvz	holds	hold	0
deare	deare	j-jn	deer	dear	0
,	,	,	,	,	0
and	and	cc	and	and	0
reckneth	reckneth	vvz	reckoneth	reckon	0
as	as	p-acp	as	as	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
,	,	,	,	,	0
Whose	Whose	rg-crq	Whose	who	0
virtuous	virtuous	j	virtuous	virtuous	0
deeds	deeds	n2	deeds	deed	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
especially	especially	av-j	especially	especial	0
grace	grace	n1	grace	grace	0
Haue	Haue	vhb	Have	have	0
gain'd	gain'd	vvn	gained	gain	0
his	his	po31	his	his	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
his	his	po31	his	his	0
kingdome	kingdome	n1	kingdom	kingdom	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
crowne	crowne	n1	crown	crown	0
,	,	,	,	,	0
Whom	Whom	ro-crq	Whom	who	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
booke	booke	n1	book	book	0
of	of	pp-f	of	of	0
Life	Life	n1	Life	life	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
set	set	vvn	set	set	0
downe	downe	a-acp	down	down	0
.	.	.	.	.	1
Titles	Titles	n2	Titles	title	0
of	of	pp-f	of	of	0
honour	honour	n1	honour	honour	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
world	world	n1	world	world	0
bestowes	bestowes	vvz	bestows	bestow	0
,	,	,	,	,	0
To	To	p-acp	To	to	0
none	none	pix	none	none	0
but	but	cc-acp	but	but	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
virtuous	virtuous	j	virtuous	virtuous	0
doth	doth	vdz	does	do	0
belong	belong	vvi	belong	belong	0
;	;	;	;	;	0
As	As	c-acp	As	as	0
beauteous	beauteous	j	beauteous	beauteous	0
bowres	bowres	n2	bowers	bower	0
where	where	c-crq	where	where	0
true	true	j	true	true	0
worth	worth	n1	worth	worth	0
should	should	vmd	should	shall	0
repose	repose	vvi	repose	repose	0
,	,	,	,	,	0
And	And	cc	And	and	0
where	where	c-crq	where	where	0
his	his	po31	his	his	0
dwellings	dwellings	n2	dwellings	dwelling	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
built	built	vvn	built	build	0
most	most	av-ds	most	most	0
strong	strong	j	strong	strong	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
bestow'd	bestow'd	vvn	bestowed	bestow	0
vpon	vpon	p-acp	upon	upon	0
her	her	po31	her	her	0
foes	foes	n2	foes	foe	0
,	,	,	,	,	0
Poore	Poore	j	Poor	poor	0
virtues	virtues	n2	virtues	virtue	0
friends	friends	n2	friends	friend	0
indure	indure	vvi	endure	endure	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
wrong	wrong	vvi	wrong	wrong	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
they	they	pns32	they	they	0
must	must	vmb	must	must	0
fuffer	fuffer	vvi	fuffer	fuffer	0
all	all	d	all	all	0
indignity	indignity	n1	indignity	indignity	0
,	,	,	,	,	0
Vntill	Vntill	c-acp	Until	until	0
in	in	p-acp	in	in	0
heau'n	heau'n	n1	heaven	heaven	0
they	they	pns32	they	they	0
better	better	vvi	better	better	0
graced	graced	vvn	graced	grace	0
be	be	vbi	be	be	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
difference	difference	n1	difference	difference	0
was	was	vbds	was	be	0
there	there	a-acp	there	there	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
world	world	n1	world	world	0
began	began	vvd	began	begin	0
,	,	,	,	,	0
Was	Was	vbds	Was	be	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
Virtue	Virtue	n1	Virtue	virtue	0
that	that	cst	that	that	0
distinguisht	distinguisht	vvn	distinguished	distinguish	0
all	all	d	all	all	0
?	?	?	?	?	1
All	All	av-d	All	all	0
sprang	sprang	vvd	sprang	spring	0
but	but	p-acp	but	but	0
from	from	p-acp	from	from	0
one	one	crd	one	one	0
woman	woman	n1	woman	woman	0
and	and	cc	and	and	0
one	one	crd	one	one	0
man	man	n1	man	man	0
,	,	,	,	,	0
Then	Then	av	Then	then	0
how	how	q-crq	how	how	0
doth	doth	vdz	does	do	0
Gentry	Gentry	n1	Gentry	gentry	0
come	come	vvi	come	come	0
to	to	pc-acp	to	to	0
rise	rise	vvi	rise	rise	0
and	and	cc	and	and	0
fall	fall	vvi	fallen	fall	0
?	?	?	?	?	1
Or	Or	cc	Or	or	0
who	who	q-crq	who	who	0
is	is	vbz	is	be	0
he	he	pns31	he	he	0
that	that	cst	that	that	0
very	very	av	very	very	0
rightly	rightly	av-jn	rightly	right	0
can	can	vmb	can	can	0
Distinguish	Distinguish	vvi	Distinguish	distinguish	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
birth	birth	n1	birth	birth	0
,	,	,	,	,	0
or	or	cc	or	or	0
tell	tell	vvi	tell	tell	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
,	,	,	,	,	0
In	In	p-acp	In	in	0
what	what	r-crq	what	what	0
meane	meane	j	mean	mean	0
state	state	n1	state	state	0
his	his	po31	his	his	0
Ancestors	Ancestors	n2	Ancestors	ancestor	0
haue	haue	vhb	have	have	0
bin	bin	vbn	been	be	0
,	,	,	,	,	0
Before	Before	c-acp	Before	before	0
some	some	d	some	some	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
worth	worth	n1	worth	worth	0
did	did	vdd	did	do	0
honour	honour	n1	honour	honour	0
win	win	vvi	win	win	0
?	?	?	?	?	1
Whose	Whose	rg-crq	Whose	who	0
successors	successors	n2	successors	successor	0
,	,	,	,	,	0
although	although	cs	although	although	0
they	they	pns32	they	they	0
beare	beare	vvb	bear	bear	0
his	his	po31	his	his	0
name	name	n1	name	name	0
,	,	,	,	,	0
Possessing	Possessing	vvg	Possessing	possess	0
not	not	xx	not	not	0
the	the	dt	the	the	0
riches	riches	n2	riches	riches	0
of	of	pp-f	of	of	0
his	his	png31	his	he	0
inde	inde	fw-la	inde	inde	0
,	,	,	,	,	0
How	How	q-crq	How	how	0
doe	doe	vdb	do	do	0
we	we	pns12	we	we	0
know	know	vvb	know	know	0
they	they	pns32	they	they	0
spring	spring	vvb	spring	spring	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
True	True	j	True	true	0
stocke	stocke	n1	stock	stock	0
of	of	pp-f	of	of	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
beeing	beeing	vbg	being	be	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
kid	kid	n1	kid	kid	0
?	?	?	?	?	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
faire	faire	j	fair	fair	0
virtue	virtue	n1	virtue	virtue	0
gets	gets	vvz	gets	get	0
immortall	immortall	j	immortal	immortal	0
fame	fame	n1	fame	fame	0
,	,	,	,	,	0
Tis	Tis	pn31|vbz	This	it|be	0
that	that	cst	that	that	0
doth	doth	vdz	does	do	0
all	all	d	all	all	0
loue	loue	n1	love	love	0
and	and	cc	and	and	0
duty	duty	n1	duty	duty	0
bind	bind	vvb	bind	bound	0
:	:	:	:	:	0
If	If	cs	If	if	0
he	he	pns31	he	he	0
that	that	cst	that	that	0
much	much	d	much	much	0
enjoyes	enjoyes	vvz	enjoys	enjoy	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
little	little	j	little	little	0
good	good	j	good	good	0
,	,	,	,	,	0
We	We	pns12	We	we	0
may	may	vmb	may	may	0
suppose	suppose	vvi	suppose	suppose	0
he	he	pns31	he	he	0
comes	comes	vvz	comes	come	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
blood	blood	n1	blood	blood	0
.	.	.	.	.	1
Nor	Nor	ccx	Nor	nor	0
is	is	vbz	is	be	0
he	he	pns31	he	he	0
fit	fit	j	fit	fit	0
for	for	p-acp	for	for	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
or	or	cc	or	or	0
command	command	vvi	command	command	0
,	,	,	,	,	0
If	If	cs	If	if	0
base	base	j	base	base	0
affections	affections	n2	affections	affection	0
ouer-rules	ouer-rules	vvz	overrules	overrule	0
his	his	po31	his	his	0
mind	mind	n1	mind	mind	0
;	;	;	;	;	0
Or	Or	cc	Or	or	0
that	that	d	that	that	0
selfe-will	selfe-will	n1	self-will	selfwill	0
doth	doth	vdz	does	do	0
carry	carry	vvi	carry	carry	0
such	such	d	such	such	0
a	a	dt	a	a	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
As	As	c-acp	As	as	0
worldly	worldly	j	worldly	worldly	0
pleasures	pleasures	n2	pleasures	pleasure	0
haue	haue	vhb	have	have	0
the	the	dt	the	the	0
powre	powre	n1	pour	power	0
to	to	pc-acp	to	to	0
blind	blind	vvi	blind	blind	0
So	So	av	So	so	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
cannot	cannot	vmbx	cannot	can	0
see	see	vvi	see	see	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
vnderstand	vnderstand	vvb	understand	understand	0
How	How	c-crq	How	how	0
to	to	pc-acp	to	to	0
discharge	discharge	vvi	discharge	discharge	0
that	that	d	that	that	0
place	place	n1	place	place	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
affign'd	affign'd	vvd	affigned	affign	0
:	:	:	:	:	0
Gods	Gods	npg1	Gods	God	0
Stewards	Stewards	n2	Stewards	steward	0
must	must	vmb	must	must	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
the	the	dt	the	the	0
poore	poore	j	poor	poor	0
prouide	prouide	vvi	provide	provide	0
,	,	,	,	,	0
If	If	cs	If	if	0
in	in	p-acp	in	in	0
Gods	Gods	ng1	Gods	god	0
house	house	n1	house	house	0
they	they	pns32	they	they	0
purpose	purpose	vvb	purpose	purpose	0
to	to	pc-acp	to	to	0
abide	abide	vvi	abide	abide	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
Gods	Gods	ng1	Gods	god	0
Steward	Steward	n1	Steward	steward	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
write	write	vvi	write	write	0
,	,	,	,	,	0
In	In	p-acp	In	in	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
seeds	seeds	n2	seeds	seed	0
of	of	pp-f	of	of	0
virtue	virtue	n1	virtue	virtue	0
haue	haue	vhb	have	have	0
bin	bin	vbn	been	be	0
sowne	sowne	vvn	sown	sow	0
,	,	,	,	,	0
By	By	p-acp	By	by	0
your	your	po22	your	your	0
most	most	av-ds	most	most	0
worthy	worthy	j	worthy	worthy	0
mother	mother	n1	mother	mother	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
whose	whose	rg-crq	whose	who	0
right	right	j-jn	right	right	0
,	,	,	,	,	0
All	All	d	All	all	0
her	her	po31	her	her	0
faire	faire	j	fair	fair	0
parts	parts	n2	parts	part	0
you	you	pn22	you	you	0
challenge	challenge	vvb	challenge	challenge	0
as	as	p-acp	as	as	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
;	;	;	;	;	0
If	If	cs	If	if	0
you	you	pn22	you	you	0
,	,	,	,	,	0
sweet	sweet	j	sweet	sweet	0
Lady	Lady	n1	Lady	lady	0
,	,	,	,	,	0
will	will	vmb	will	will	0
appeare	appeare	vvi	appear	appear	0
as	as	p-acp	as	as	0
bright	bright	j	bright	bright	0
As	As	c-acp	As	as	0
euer	euer	av	ever	ever	0
creature	creature	n1	creature	creature	0
did	did	vdd	did	do	0
that	that	d	that	that	0
time	time	n1	time	time	0
hath	hath	vhz	hath	have	0
knowne	knowne	vvn	known	know	0
,	,	,	,	,	0
Then	Then	av	Then	then	0
weare	weare	vvb	wear	wear	0
this	this	d	this	this	0
Diadem	Diadem	n1	Diadem	diadem	0
I	I	pns11	I	i	0
present	present	vvb	present	present	0
to	to	p-acp	to	to	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
Which	Which	r-crq	Which	which	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
fram'd	fram'd	vvn	framed	frame	0
for	for	p-acp	for	for	0
her	her	po31	her	her	0
Eternitie	Eternitie	n1	Eternity	eternity	0
.	.	.	.	.	1
You	You	pn22	You	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
Heire	Heire	n1	Heir	heir	0
apparant	apparant	j	apparent	apparent	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Crowne	Crowne	n1	Crown	crown	0
Of	Of	pp-f	Of	of	0
goodnesse	goodnesse	n1	goodness	goodness	0
,	,	,	,	,	0
bountie	bountie	n1	bounty	bounty	0
,	,	,	,	,	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
pietie	pietie	n1	piety	piety	0
,	,	,	,	,	0
By	By	p-acp	By	by	0
birth	birth	n1	birth	birth	0
its	its	vbz	its	be	0
yours	yours	png22	yours	you	0
,	,	,	,	,	0
then	then	av	then	then	0
keepe	keepe	vvb	keep	keep	0
it	it	pn31	it	it	0
as	as	p-acp	as	as	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
,	,	,	,	,	0
Defend	Defend	vvb	Defend	defend	0
it	it	pn31	it	it	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
base	base	j	base	base	0
indignitie	indignitie	n1	indignity	indignity	0
;	;	;	;	;	0
The	The	dt	The	the	0
right	right	n-jn	right	right	0
your	your	po22	your	your	0
Mother	Mother	n1	Mother	mother	0
hath	hath	vhz	hath	have	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
,	,	,	,	,	0
is	is	vbz	is	be	0
knowne	knowne	vvn	known	know	0
Best	Best	js	Best	best	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
reapt	reapt	vvd	reaped	reap	0
such	such	d	such	such	0
fruit	fruit	n1	fruit	fruit	0
thereby	thereby	av	thereby	thereby	0
:	:	:	:	:	0
This	This	d	This	this	0
Monument	Monument	n1	Monument	monument	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
faire	faire	j	fair	fair	0
worth	worth	n1	worth	worth	0
retaine	retaine	vvi	retain	retain	0
In	In	p-acp	In	in	0
your	your	po22	your	your	0
pure	pure	j	pure	pure	0
mind	mind	n1	mind	mind	0
,	,	,	,	,	0
and	and	cc	and	and	0
keepe	keepe	vvi	keep	keep	0
it	it	pn31	it	it	0
from	from	p-acp	from	from	0
al	al	d	all	all	0
staine	staine	n1	stain	stain	0
.	.	.	.	.	1
And	And	cc	And	and	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
Ancestors	Ancestors	n2	Ancestors	ancestor	0
at	at	p-acp	at	at	0
first	first	ord	first	first	0
possest	possest	vvd	possessed	possess	0
Their	Their	po32	Their	their	0
honours	honours	n2	honours	honour	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
honourable	honourable	j	honourable	honourable	0
deeds	deeds	n2	deeds	deed	0
,	,	,	,	,	0
Let	Let	vvb	Let	let	0
their	their	po32	their	their	0
faire	faire	j	fair	fair	0
virtues	virtues	n2	virtues	virtue	0
neuer	neuer	av-x	never	never	0
be	be	vbi	be	be	0
transgrest	transgrest	vvd	transgressed	transgress	0
,	,	,	,	,	0
Bind	Bind	vvb	Bind	bound	0
vp	vp	a-acp	up	up	0
the	the	dt	the	the	0
broken	broken	j-vvn	broken	break	0
,	,	,	,	,	0
stop	stop	vvb	stop	stop	0
the	the	dt	the	the	0
wounds	wounds	n2	wounds	wound	0
that	that	cst	that	that	0
bleeds	bleeds	vvz	bleeds	bleed	0
,	,	,	,	,	0
Succour	Succour	vvb	Succour	succour	0
the	the	dt	the	the	0
poore	poore	j	poor	poor	0
,	,	,	,	,	0
comfort	comfort	vvb	comfort	comfort	0
the	the	dt	the	the	0
comfortlesse	comfortlesse	j	comfortless	comfortless	0
,	,	,	,	,	0
Cherish	Cherish	vvb	Cherish	cherish	0
faire	faire	j	fair	fair	0
plants	plants	n2	plants	plant	0
,	,	,	,	,	0
suppresse	suppresse	vvi	suppress	suppress	0
vnwholsom	vnwholsom	j	unwholesome	unwholesome	0
weeds	weeds	n2	weeds	weed	0
;	;	;	;	;	0
Although	Although	cs	Although	although	0
base	base	j	base	base	0
pelfe	pelfe	n1	pelf	pelf	0
do	do	vdb	do	do	0
chance	chance	vvi	chance	chance	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
in	in	p-acp	in	in	0
place	place	n1	place	place	0
,	,	,	,	,	0
Yet	Yet	av	Yet	yet	0
let	let	vvb	let	let	0
true	true	j	true	true	0
worth	worth	n1	worth	worth	0
receiue	receiue	vvi	receive	receive	0
your	your	po22	your	your	0
greatest	greatest	js	greatest	great	0
grace	grace	n1	grace	grace	0
.	.	.	.	.	1
So	So	av	So	so	0
shal	shal	vmb	shall	shall	0
you	you	pn22	you	you	0
shew	shew	vvi	show	show	0
from	from	p-acp	from	from	0
whence	whence	c-crq	whence	whence	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
descended	descended	vvn	descended	descend	0
,	,	,	,	,	0
And	And	cc	And	and	0
leaue	leaue	vvi	leave	leave	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
posterities	posterities	n2	posterities	posterity	0
your	your	po22	your	your	0
fame	fame	n1	fame	fame	0
,	,	,	,	,	0
So	So	av	So	so	0
will	will	vmb	will	will	0
your	your	po22	your	your	0
virtues	virtues	n2	virtues	virtue	0
alwaies	alwaies	av	always	always	0
be	be	vbi	be	be	0
commended	commended	vvn	commended	commend	0
,	,	,	,	,	0
And	And	cc	And	and	0
euery	euery	d	every	every	0
one	one	pi	one	one	0
will	will	vmb	will	will	0
reuerence	reuerence	vvi	reverence	reverence	0
your	your	po22	your	your	0
name	name	n1	name	name	0
;	;	;	;	;	0
So	So	av	So	so	0
this	this	d	this	this	0
poore	poore	j	poor	poor	0
worke	worke	n1	work	work	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
defended	defended	vvn	defended	defend	0
From	From	p-acp	From	from	0
any	any	d	any	any	0
scandall	scandall	n1	scandal	scandal	0
that	that	cst	that	that	0
the	the	dt	the	the	0
world	world	n1	world	world	0
can	can	vmb	can	can	0
frame	frame	vvi	frame	frame	0
:	:	:	:	:	0
And	And	cc	And	and	0
you	you	pn22	you	you	0
a	a	dt	a	a	0
glorious	glorious	j	glorious	glorious	0
Actor	Actor	n1	Actor	actor	0
will	will	vmb	will	will	0
appeare	appeare	vvi	appear	appear	0
Louely	Louely	j	Lovely	lovely	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
vnto	vnto	p-acp	unto	unto	0
God	God	np1	God	God	0
most	most	av-ds	most	most	0
deare	deare	j-jn	deer	dear	0
.	.	.	.	.	1
I	I	pns11	I	i	0
know	know	vvb	know	know	0
right	right	av-jn	right	right	0
well	well	av	well	well	0
these	these	d	these	these	0
are	are	vbr	are	be	0
but	but	p-acp	but	but	0
needlesse	needlesse	j	needless	needless	0
lines	lines	n2	lines	line	0
,	,	,	,	,	0
To	To	p-acp	To	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
so	so	av	so	so	0
perfect	perfect	j	perfect	perfect	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
part	part	n1	part	part	0
,	,	,	,	,	0
Whose	Whose	rg-crq	Whose	who	0
birth	birth	n1	birth	birth	0
and	and	cc	and	and	0
education	education	n1	education	education	0
both	both	av-d	both	both	0
combines	combines	vvz	combines	combine	0
;	;	;	;	;	0
Nay	Nay	uh-x	Nay	nay	0
more	more	av-dc	more	more	0
than	than	cs	than	than	0
both	both	d	both	both	0
,	,	,	,	,	0
a	a	dt	a	a	0
pure	pure	j	pure	pure	0
and	and	cc	and	and	0
godly	godly	j	godly	godly	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
So	So	av	So	so	0
well	well	av	well	well	0
instructed	instructed	vvn	instructed	instruct	0
to	to	p-acp	to	to	0
such	such	d	such	such	0
faire	faire	j	fair	fair	0
designes	designes	n2	designs	design	0
,	,	,	,	,	0
By	By	p-acp	By	by	0
your	your	po22	your	your	0
deere	deere	j-jn	deer	dear	0
Mother	Mother	n1	Mother	mother	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
needs	needs	vvz	needs	need	0
no	no	dx	no	no	0
art	art	n1	art	art	0
:	:	:	:	:	0
Your	Your	po22	Your	your	0
ripe	ripe	j	ripe	ripe	0
discretion	discretion	n1	discretion	discretion	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
tender	tender	j	tender	tender	0
yeares	yeares	n2	years	year	0
,	,	,	,	,	0
By	By	p-acp	By	by	0
all	all	d	all	all	0
your	your	po22	your	your	0
actions	actions	n2	actions	action	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
world	world	n1	world	world	0
appeares	appeares	vvz	appears	appear	0
.	.	.	.	.	1
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
but	but	p-acp	but	but	0
set	set	vvi	set	set	0
a	a	dt	a	a	0
candle	candle	n1	candle	candle	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sunne	sunne	n1	sun	sun	0
,	,	,	,	,	0
And	And	cc	And	and	0
adde	adde	vvi	add	add	0
one	one	crd	one	one	0
drop	drop	n1	drop	drop	0
of	of	pp-f	of	of	0
water	water	n1	water	water	0
