CAlling	CAlling	vvg	CAlling	call	0
at	at	p-acp	at	at	0
length	length	n1	length	length	0
perfected	perfected	vvn	perfected	perfect	0
this	this	d	this	this	0
briefe	briefe	j	brief	brief	0
Commentary	Commentary	n1	Commentary	commentary	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
tended	tended	vvn	tended	tend	0
it	it	pn31	it	it	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Presse	Presse	vvb	Press	press	0
,	,	,	,	,	0
I	I	pns11	I	i	0
resolued	resolued	vvd	resolved	resolve	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
it	it	pn31	it	it	0
vn	vn	zz	vn	vn	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
(	(	(	(	(	0
Honorable	Honorable	j	Honourable	honourable	0
,	,	,	,	,	0
Worshipfull	Worshipfull	j	Worshipful	worshipful	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
louing	louing	j-vvg	loving	love	0
well-wishers	well-wishers	n2	wellwishers	wellwisher	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
so	so	av	so	so	0
many	many	d	many	many	0
wayes	wayes	n2	ways	way	0
obli	obli	fw-fr	obli	obli	0
∣	∣	sy	∣	∣	0
ged	ged	j	ged	ged	0
.	.	.	.	.	1
Accept	Accept	vvb	Accept	accept	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
(	(	(	(	(	0
I	I	pns11	I	i	0
beseech	beseech	vvb	beseech	beseech	0
you	you	pn22	you	you	0
)	)	)	)	)	0
as	as	p-acp	as	as	0
our	our	po12	our	our	0
Sauiour	Sauiour	n1	Saviour	saviour	0
Christ	Christ	np1	Christ	Christ	0
did	did	vdd	did	do	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
widowes	widowes	ng2	widows	widow	0
mite	mite	n1	mite	mite	0
:	:	:	:	:	0
and	and	cc	and	and	0
vouchsafe	vouchsafe	vvb	vouchsafe	vouchsafe	0
it	it	pn31	it	it	0
shelter	shelter	vvi	shelter	shelter	0
,	,	,	,	,	0
and	and	cc	and	and	0
protection	protection	n1	protection	protection	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
iniury	iniury	n1	injury	injury	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
times	times	n2	times	time	0
:	:	:	:	:	0
and	and	cc	and	and	0
doe	doe	vdb	do	do	0
not	not	xx	not	not	0
despise	despise	vvi	despise	despise	0
it	it	pn31	it	it	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
meannesse	meannesse	n1	meanness	meanness	0
and	and	cc	and	and	0
raw	raw	j	raw	raw	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
wholsome	wholsome	j	wholesome	wholesome	0
meate	meate	n1	meat	meat	0
,	,	,	,	,	0
though	though	cs	though	though	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
needs	needs	av	needs	needs	0
confesse	confesse	vvi	confess	confess	0
)	)	)	)	)	0
too	too	av	too	too	0
too	too	av	too	too	0
meanly	meanly	av-j	meanly	mean	0
cooked	cooked	vvn	cooked	cook	0
.	.	.	.	.	1
Besides	Besides	p-acp	Beside	beside	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
infallible	infallible	j	infallible	infallible	0
token	token	n1	token	token	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
louing	louing	j-vvg	loving	love	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
and	and	cc	and	and	0
thankfull	thankfull	j	thankful	thankful	0
minde	minde	n1	mind	mind	0
.	.	.	.	.	1
If	If	cs	If	if	0
these	these	d	these	these	0
first	first	ord	first	first	0
fruits	fruits	n2	fruits	fruit	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
poore	poore	j	poor	poor	0
labours	labours	n2	labours	labour	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
acceptable	acceptable	j	acceptable	acceptable	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
profitable	profitable	j	profitable	profitable	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
ready	ready	j	ready	ready	0
hereafter	hereafter	av	hereafter	hereafter	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
more	more	dc	more	more	0
paines	paines	n2	pains	pain	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
like	like	j	like	like	0
kinde	kinde	n1	kind	kind	0
.	.	.	.	.	1
The	The	dt	The	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
blessing	blessing	n1	blessing	blessing	0
,	,	,	,	,	0
blesse	blesse	vvb	bless	bless	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
yours	yours	png22	yours	you	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
good	good	j	good	good	0
things	things	n2	things	thing	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
better	better	jc	better	better	0
life	life	n1	life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
compences	compences	n2	compences	compence	0
,	,	,	,	,	0
recompence	recompence	n1	recompense	recompense	0
into	into	p-acp	into	into	0
your	your	po22	your	your	0
bosomes	bosomes	n2	bosoms	bosom	0
,	,	,	,	,	0
all	all	d	all	all	0
your	your	po22	your	your	0
kindnesses	kindnesses	n2	kindnesses	kindness	0
shewed	shewed	vvn	showed	show	0
vnto	vnto	p-acp	unto	unto	0
me	me	pno11	me	i	0
:	:	:	:	:	0
And	And	cc	And	and	0
the	the	dt	the	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
glory	glory	n1	glory	glory	0
giue	giue	vvb	give	give	0
you	you	pn22	you	you	0
all	all	d	all	all	0
,	,	,	,	,	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
glorifie	glorifie	vvi	glorify	glorify	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
seuerall	seuerall	j	several	several	0
places	places	n2	places	place	0
,	,	,	,	,	0
that	that	cst	that	that	0
yee	yee	pn22	ye	you	0
may	may	vmb	may	may	0
bee	bee	vbi	be	be	0
glori	glori	fw-la	glori	glori	0
∣	∣	sy	∣	∣	0
fied	fied	j-vvn-u	fied	fie	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
life	life	n1	life	life	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
.	.	.	.	.	1
Amen	Amen	uh-n	Amen	amen	0
.	.	.	.	.	1
London	London	np1	London	London	0
,	,	,	,	,	0
May	May	vmb	May	may	0
the	the	dt	the	the	0
7.	7.	crd	7.	7.	1
Anno	Anno	fw-la	Anno	anno	0
Domini	Domini	fw-la	Domini	domini	0
.	.	.	.	.	1
1621.	1621.	crd	1621.	1621.	1
