REverend	REverend	j-jn	REverend	reverend	0
of	of	pp-f	of	of	0
Christs	Christs	npg1	Christs	Christ	0
political	political	j	political	political	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Church	Church	n1	Church	church	0
here	here	av	here	here	0
on	on	p-acp	on	on	0
earth	earth	n1	earth	earth	0
.	.	.	.	.	1
My	My	po11	My	my	0
first	first	ord	first	first	0
Thesis	Thesis	n1	Thesis	thesis	0
on	on	p-acp	on	on	0
this	this	d	this	this	0
Subject	Subject	j-jn	Subject	subject	0
was	was	vbds	was	be	0
composed	composed	vvn	composed	compose	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
private	private	j	private	private	0
use	use	n1	use	use	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
self	self	n1	self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
some	some	d	some	some	0
few	few	d	few	few	0
neighbour	neighbour	n1	neighbour	neighbour	0
Ministers	Ministers	n2	Ministers	minister	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
monethly	monethly	j	monthly	monthly	0
private	private	j	private	private	0
meeting	meeting	n1	meeting	meeting	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
custome	custome	n1	custom	custom	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
being	being	vbg	being	be	0
made	made	vvn	made	make	0
pub	pub	fw-la	pub	pub	0
∣	∣	sy	∣	∣	0
like	like	av-j	like	like	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
desires	desires	n2	desires	desire	0
of	of	pp-f	of	of	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
it	it	pn31	it	it	0
met	met	vvd	met	meet	0
with	with	p-acp	with	with	0
opposition	opposition	n1	opposition	opposition	0
from	from	p-acp	from	from	0
two	two	crd	two	two	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
verend	verend	j-jn	verend	verend	0
Brethren	Brethren	n2	Brothers	brethren	0
:	:	:	:	:	0
first	first	ord	first	first	0
by	by	p-acp	by	by	0
M.	M.	n1	M.	m.	0
John	John	np1	John	John	0
Ellis	Ellis	np1	Ellis	Ellis	0
junior	junior	j-jn	junior	junior	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
undertook	undertook	vvd	undertook	undertake	0
to	to	pc-acp	to	to	0
confute	confute	vvi	confute	confute	0
it	it	pn31	it	it	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
other	other	n-jn	other	other	0
Tractates	Tractates	vvz	Tractates	tractate	0
of	of	pp-f	of	of	0
divers	divers	j	diverse	diverse	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
betters	betters	n2-j	betters	better	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
same	same	d	same	same	0
subject	subject	n-jn	subject	subject	0
▪	▪	▪	▪	▪	0
and	and	cc	and	and	0
secondly	secondly	ord	secondly	second	0
by	by	p-acp	by	by	0
Reverend	Reverend	n-jn	Reverend	reverend	0
Mr.	Mr.	n1	Mr.	mr.	1
Hoo	Hoo	np1	Hoo	Hoo	0
∣	∣	sy	∣	∣	0
ker	ker	n1	ker	ker	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
since	since	a-acp	since	since	0
departed	departed	vvn	departed	depart	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
visible	visible	j	visible	visible	0
militant	militant	j	militant	militant	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
invisible	invisible	j	invisible	invisible	0
Triumphant	Triumphant	j	Triumphant	triumphant	0
;	;	;	;	;	0
the	the	dt	the	the	0
losse	losse	n1	loss	loss	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
burning	burning	vvg	burning	burn	0
and	and	cc	and	and	0
shining	shining	j-vvg	shining	shine	0
light	light	n1	light	light	0
,	,	,	,	,	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
cannot	cannot	vmbx	cannot	can	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
lament	lament	vvi	lament	lament	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
cause	cause	n1	cause	cause	0
some	some	d	some	some	0
things	things	n2	things	thing	0
therein	therein	av	therein	therein	0
set	set	vvn	set	set	0
down	down	a-acp	down	down	0
were	were	vbdr	were	be	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
mistaken	mistaken	vvn	mistaken	mistake	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
things	things	n2	things	thing	0
not	not	xx	not	not	0
so	so	av	so	so	0
fully	fully	av-j	fully	full	0
cleared	cleared	vvn	cleared	clear	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
desired	desired	vvd	desired	desire	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
good	good	j	good	good	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
it	it	pn31	it	it	0
out	out	av	out	out	0
again	again	av	again	again	0
more	more	av-dc	more	more	0
enlarged	enlarged	vvn	enlarged	enlarge	0
,	,	,	,	,	0
and	and	cc	and	and	0
vindicated	vindicated	vvn	vindicated	vindicate	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
mistakes	mistakes	n2	mistakes	mistake	0
and	and	cc	and	and	0
opposi	opposi	fw-la	opposi	opposi	0
∣	∣	sy	∣	∣	0
tions	tions	n2	tions	tion	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
met	met	vvd	met	meet	0
withall	withall	av	withal	withal	0
.	.	.	.	.	1
The	The	dt	The	the	0
reasons	reasons	n2	reasons	reason	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
so	so	av	so	so	0
long	long	j	long	long	0
delay	delay	n1	delay	delay	0
herein	herein	av	herein	herein	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
First	First	ord	First	first	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
least	least	ds	least	least	0
and	and	cc	and	and	0
least	least	ds	least	least	0
concerned	concerned	vvn	concerned	concern	0
therein	therein	av	therein	therein	0
,	,	,	,	,	0
though	though	cs	though	though	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
tartly	tartly	av-j	tartly	tart	0
dealt	dealt	vvn	dealt	deal	0
withall	withall	av	withal	withal	0
by	by	p-acp	by	by	0
M	M	sy	M	m	0
Ellis	Ellis	np1	Ellis	Ellis	0
.	.	.	.	.	1
And	And	cc	And	and	0
secondly	secondly	ord	secondly	second	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
desired	desired	vvd	desired	desire	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
betters	betters	n2-j	betters	better	0
go	go	vvb	go	go	0
before	before	p-acp	before	before	0
me	me	pno11	me	i	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
vindication	vindication	n1	vindication	vindication	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
own	own	d	own	own	0
Tractates	Tractates	vvz	Tractates	tractate	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
subject	subject	n-jn	subject	subject	0
.	.	.	.	.	1
And	And	cc	And	and	0
thirdly	thirdly	ord	thirdly	three	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
understood	understood	vvd	understood	understand	0
by	by	p-acp	by	by	0
M.	M.	n1	M.	m.	0
Ellis's	Ellis's	npg1	Ellis's	ellis	0
book	book	n1	book	book	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
common	common	j	common	common	0
fame	fame	n1	fame	fame	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
was	was	vbds	was	be	0
an	an	dt	and	a	0
answer	answer	n1	answer	answer	0
to	to	p-acp	to	to	0
M.	M.	n1	M.	m.	0
Ru	Ru	fw-fr	Ru	ru	0
∣	∣	sy	∣	∣	0
therford	therford	vvb	therford	therford	0
coming	coming	vvg	coming	come	0
out	out	av	out	out	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
finde	finde	vvi	find	find	0
my	my	po11	my	my	0
question	question	n1	question	question	0
discussed	discussed	vvn	discussed	discuss	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
that	that	cst	that	that	0
eminent	eminent	j	eminent	eminent	0
and	and	cc	and	and	0
worthy	worthy	j	worthy	worthy	0
Divine	Divine	j-jn	Divine	divine	0
M.	M.	n1	M.	m.	0
Hooker	Hooker	np1	Hooker	Hooker	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
indeed	indeed	av	indeed	indeed	0
sent	sent	vvn	sent	send	0
over	over	a-acp	over	over	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
perished	perished	vvd	perished	perish	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
was	was	vbds	was	be	0
retarded	retarded	vvn	retarded	retard	0
one	one	crd	one	one	0
year	year	n1	year	year	0
lon	lon	zz	lon	lon	0
∣	∣	sy	∣	∣	0
ger	ger	pno31	her	she	0
,	,	,	,	,	0
until	until	c-acp	until	until	0
it	it	pn31	it	it	0
could	could	vmd	could	can	0
be	be	vbi	be	be	0
transcribed	transcribed	vvn	transcribed	transcribe	0
,	,	,	,	,	0
and	and	cc	and	and	0
sent	sent	vvd	sent	send	0
over	over	a-acp	over	over	0
again	again	av	again	again	0
.	.	.	.	.	1
And	And	cc	And	and	0
since	since	c-acp	since	since	0
that	that	d	that	that	0
was	was	vbds	was	be	0
printed	printed	vvn	printed	print	0
,	,	,	,	,	0
the	the	dt	the	the	0
seat	seat	n1	seat	seat	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
warre	warre	n1	war	war	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
siege	siege	n1	siege	siege	0
of	of	pp-f	of	of	0
Colchester	Colchester	np1	Colchester	Colchester	0
,	,	,	,	,	0
coming	coming	vvg	coming	come	0
so	so	av	so	so	0
near	near	av-j	near	near	0
us	us	pno12	us	we	0
,	,	,	,	,	0
we	we	pns12	we	we	0
were	were	vbdr	were	be	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
fear	fear	n1	fear	fear	0
and	and	cc	and	and	0
danger	danger	n1	danger	danger	0
,	,	,	,	,	0
so	so	av	so	so	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
no	no	dx	no	no	0
fit	fit	j	fit	fit	0
time	time	n1	time	time	0
to	to	pc-acp	to	to	0
attend	attend	vvi	attend	attend	0
to	to	p-acp	to	to	0
controversies	controversies	n2	controversies	controversy	0
:	:	:	:	:	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
indeed	indeed	av	indeed	indeed	0
almost	almost	av	almost	almost	0
laid	laid	vvn	laid	lay	0
it	it	pn31	it	it	0
quite	quite	av	quite	quite	0
aside	aside	av	aside	aside	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
the	the	dt	the	the	0
importunities	importunities	n2	importunities	importunity	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
insultings	insultings	n2-vvg	insultings	insulting	0
of	of	pp-f	of	of	0
others	others	ng2-jn	others	other	0
excited	excited	vvd	excited	excite	0
me	me	pno11	me	i	0
again	again	av	again	again	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
hand	hand	n1	hand	hand	0
.	.	.	.	.	1
And	And	cc	And	and	0
now	now	av	now	now	0
I	I	pns11	I	i	0
finde	finde	vvb	find	find	0
a	a	dt	a	a	0
fourfold	fourfold	j	fourfold	fourfold	0
unhappinesse	unhappinesse	n1	unhappiness	unhappiness	0
hath	hath	vhz	hath	have	0
betided	betided	vvn	betided	betide	0
me	me	pno11	me	i	0
herein	herein	av	herein	herein	0
.	.	.	.	.	1
First	First	ord	First	first	0
,	,	,	,	,	0
The	The	dt	The	the	0
darknesse	darknesse	n1	darkness	darkness	0
and	and	cc	and	and	0
sublimity	sublimity	n1	sublimity	sublimity	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Subject	Subject	j-jn	Subject	subject	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
no	no	dx	no	no	0
way	way	n1	way	way	0
make	make	vvi	make	make	0
plain	plain	j	plain	plain	0
,	,	,	,	,	0
so	so	av	so	so	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
understood	understood	vvn	understood	understand	0
by	by	p-acp	by	by	0
vulgar	vulgar	j	vulgar	vulgar	0
apprehensions	apprehensions	n2	apprehensions	apprehension	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
the	the	dt	the	the	0
handling	handling	n-vvg	handling	handle	0
thereof	thereof	av	thereof	thereof	0
put	put	vvd	put	put	0
me	me	pno11	me	i	0
necessarily	necessarily	av-j	necessarily	necessary	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
use	use	n1	use	use	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
many	many	d	many	many	0
latine	latine	jp	latin	latin	0
words	words	n2	words	word	0
,	,	,	,	,	0
and	and	cc	and	and	0
logical	logical	j	logical	logical	0
terms	terms	n2	terms	term	0
of	of	pp-f	of	of	0
art	art	n1	art	art	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
usually	usually	av-j	usually	usual	0
understood	understood	vvn	understood	understand	0
by	by	p-acp	by	by	0
common	common	j	common	common	0
people	people	n1	people	people	0
.	.	.	.	.	1
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
despairing	despairing	vvg	despairing	despair	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
under	under	p-acp	under	under	0
∣	∣	sy	∣	∣	0
stood	stood	vvd	stood	stand	0
but	but	p-acp	but	but	0
by	by	p-acp	by	by	0
those	those	d	those	those	0
that	that	cst	that	that	0
had	had	vhd	had	have	0
some	some	d	some	some	0
skill	skill	n1	skill	skill	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Latine	Latine	jp	Latin	latin	0
tongue	tongue	n1	tongue	tongue	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
Logick	Logick	n1	Logic	logic	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
set	set	vvn	set	set	0
down	down	a-acp	down	down	0
the	the	dt	the	the	0
words	words	n2	words	word	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
Authors	Authors	n2	Authors	author	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
had	had	vhn	had	have	0
occasion	occasion	n1	occasion	occasion	0
to	to	pc-acp	to	to	0
cite	cite	vvi	cite	cite	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
own	own	d	own	own	0
languages	languages	n2	languages	language	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
found	found	vvd	found	find	0
them	them	pno32	them	they	0
,	,	,	,	,	0
lest	lest	cs	lest	lest	0
otherwise	otherwise	av	otherwise	otherwise	0
this	this	d	this	this	0
Tractate	Tractate	vvi	Tractate	tractate	0
should	should	vmd	should	shall	0
swell	swell	vvi	swell	swell	0
too	too	av	too	too	0
great	great	j	great	great	0
.	.	.	.	.	1
A	A	dt	A	a	0
second	second	ord	second	second	0
unhappinesse	unhappinesse	n1	unhappiness	unhappiness	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
this	this	d	this	this	0
Tenet	Tenet	n1	Tenet	tenet	0
seemeth	seemeth	vvz	seems	seem	0
to	to	pc-acp	to	to	0
crosse	crosse	vvi	cross	cross	0
so	so	av	so	so	0
ma	ma	fw-fr	ma	ma	0
∣	∣	sy	∣	∣	0
ny	ny	av	nigh	nigh	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
own	own	d	own	own	0
Divines	Divines	n2-jn	Divines	divine	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
writings	writings	n2	writings	write	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
Papists	Papists	njp2	Papists	papist	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
indeed	indeed	av	indeed	indeed	0
it	it	pn31	it	it	0
doth	doth	vdz	does	do	0
only	only	av-j	only	only	0
seem	seem	vvi	seem	seem	0
so	so	av	so	so	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
manifest	manifest	j	manifest	manifest	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
Ca	Ca	zz	Ca	ca	0
∣	∣	sy	∣	∣	0
tholike	tholike	j	tholike	tholike	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
intend	intend	vvb	intend	intend	0
,	,	,	,	,	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
the	the	dt	the	the	0
same	same	d	same	same	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
to	to	pc-acp	to	to	0
deal	deal	vvi	deal	deal	0
about	about	a-acp	about	about	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
they	they	pns32	they	they	0
speak	speak	vvb	speak	speak	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
Catholike	Catholike	jp	Catholic	catholic	0
consisting	consisting	vvg	consisting	consist	0
only	only	av-j	only	only	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Elect	Elect	n1	Elect	elect	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
consent	consent	vvb	consent	consent	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
th	th	dt	that	the	0
Church	Church	n1	Church	church	0
is	is	vbz	is	be	0
le	le	zz	le	le	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
my	my	po11	my	my	0
question	question	n1	question	question	0
is	is	vbz	is	be	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
external	external	j	external	external	0
state	state	n1	state	state	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
contain	contain	vvi	contain	contain	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
hypocrites	hypocrites	n2	hypocrites	hypocrite	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
those	those	d	those	those	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
truly	truly	av-j	truly	true	0
godly	godly	j	godly	godly	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
Church	Church	n1	Church	church	0
the	the	dt	the	the	0
Ordinances	Ordinances	n2	Ordinances	ordinance	0
of	of	pp-f	of	of	0
worship	worship	n1	worship	worship	0
and	and	cc	and	and	0
discipline	discipline	n1	discipline	discipline	0
were	were	vbdr	were	be	0
set	set	vvn	set	set	0
.	.	.	.	.	1
A	A	dt	A	a	0
third	third	ord	third	three	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
fallen	fallen	vvn	fallen	fall	0
upon	upon	p-acp	upon	upon	0
a	a	dt	a	a	0
subject	subject	j-jn	subject	subject	0
wherein	wherein	c-crq	wherein	wherein	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
finde	finde	vvi	find	find	0
so	so	av	so	so	0
few	few	d	few	few	0
going	going	vvg	going	go	0
before	before	p-acp	before	before	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
could	could	vmd	could	can	0
have	have	vhi	have	have	0
the	the	dt	the	the	0
