CONSIDERING	CONSIDERING	vvg	CONSIDERING	consider	0
of	of	pp-f	of	of	0
Angells	Angells	n2	Angels	angel	0
doth	doth	vdz	does	do	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
stow	stow	zz	stow	stow	0
her	her	po31	her	her	0
Angelicall	Angelicall	j	Angelical	angelical	0
benefits	benefits	n2	benefits	benefit	0
so	so	av	so	so	0
bounti	bounti	fw-la	bounti	bounti	0
∣	∣	sy	∣	∣	0
fully	fully	av-j	fully	full	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
place	place	n1	place	place	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
none	none	pix	none	none	0
,	,	,	,	,	0
although	although	cs	although	although	0
he	he	pns31	he	he	0
doe	doe	vdb	do	do	0
not	not	xx	not	not	0
visit	visit	vvi	visit	visit	0
her	her	pno31	her	she	0
with	with	p-acp	with	with	0
cor	cor	fw-la	cor	cor	0
∣	∣	sy	∣	∣	0
porall	porall	n1	porall	porall	0
presence	presence	n1	presence	presence	0
(	(	(	(	(	0
if	if	cs	if	if	0
conueniently	conueniently	av-j	conveniently	convenient	0
he	he	pns31	he	he	0
can	can	vmb	can	can	0
not	not	xx	not	not	0
)	)	)	)	)	0
but	but	p-acp	but	but	0
in	in	p-acp	in	in	0
spirit	spirit	n1	spirit	spirit	0
only	only	av-j	only	only	0
,	,	,	,	,	0
that	that	cst	that	that	0
departeth	departeth	vvz	departeth	depart	0
hence	hence	av	hence	hence	0
without	without	p-acp	without	without	0
the	the	dt	the	the	0
speciall	speciall	j	special	special	0
reward	reward	n1	reward	reward	0
and	and	cc	and	and	0
blessing	blessing	n1	blessing	blessing	0
of	of	pp-f	of	of	0
Loreto	Loreto	np1	Loreto	Loreto	0
:	:	:	:	:	0
such	such	d	such	such	0
a	a	dt	a	a	0
fountaine	fountaine	n1	fountain	fountain	0
of	of	pp-f	of	of	0
sanctity	sanctity	n1	sanctity	sanctity	0
haue	haue	vhb	have	have	0
the	the	dt	the	the	0
merits	merits	n2	merits	merit	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Virginall	Virginall	j	Virginal	virginal	0
Queene	Queene	n1	Queen	queen	0
produced	produced	vvn	produced	produce	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
miseries	miseries	n2	misery's	misery	0
&	&	cc	&	and	0
in	in	zz	in	in	0
∣	∣	sy	∣	∣	0
firmities	firmities	n1	firmities	firmities	0
,	,	,	,	,	0
that	that	cst	that	that	0
(	(	(	(	(	0
O	O	uh	Oh	oh	0
wonder	wonder	n1	wonder	wonder	0
!	!	!	!	!	0
)	)	)	)	)	0
these	these	d	these	these	0
burdēs	burdēs	n2	burdens	burden	0
seeme	seeme	vvi	seem	seem	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
remooued	remooued	vvn	removed	remove	0
and	and	cc	and	and	0
taken	taken	vvn	taken	take	0
from	from	p-acp	from	from	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
during	during	p-acp	during	during	0
our	our	po12	our	our	0
aboad	aboad	n1	abode	abode	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
Paradise	Paradise	n1	Paradise	paradise	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
B.	B.	np1	B.	B.	0
Maries	Maries	npg1	Maries	Mary	0
habita	habita	n1	habita	habita	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
,	,	,	,	,	0
touchings	touchings	n2-vvg	touchings	touching	0
,	,	,	,	,	0
and	and	cc	and	and	0
vertues	vertues	n2	virtues	virtue	0
haue	haue	vhb	have	have	0
truly	truly	av-j	truly	true	0
sanctified	sanctified	vvn	sanctified	sanctify	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
good	good	j	good	good	0
&	&	cc	&	and	0
well-fare	well-fare	n1	welfare	welfare	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
Suppliants	Suppliants	n2-jn	Suppliants	suppliant	0
for	for	p-acp	for	for	0
euer	euer	av	ever	ever	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
you	you	pn22	you	you	0
de	de	vdb	de	do	0
∣	∣	sy	∣	∣	0
uout	uout	j	uout	uout	0
M	M	sy	M	m	0
.	.	.	.	.	0
ris	ris	zz	ris	ris	0
M.	M.	n1	M.	m.	0
knowing	knowing	vvg	knowing	know	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
true	true	j	true	true	0
,	,	,	,	,	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
cease	cease	vvi	cease	cease	0
this	this	d	this	this	0
haruest-tyme	haruest-tyme	n1	haruest-tyme	haruest-tyme	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
life	life	n1	life	life	0
to	to	pc-acp	to	to	0
gather	gather	vvi	gather	gather	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
treasury	treasury	n1	treasury	treasury	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
hart	hart	n1	heart	hart	0
,	,	,	,	,	0
all	all	d	all	all	0
spirituall	spirituall	j	spiritual	spiritual	0
seedes	seedes	n2	seeds	seed	0
of	of	pp-f	of	of	0
celestiall	celestiall	j	celestial	celestial	0
glory	glory	n1	glory	glory	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
more	more	av-dc	more	more	0
singular	singular	j	singular	singular	0
example	example	n1	example	example	0
and	and	cc	and	and	0
zeale	zeale	n1	zeal	zeal	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
honour	honour	n1	honour	honour	0
of	of	pp-f	of	of	0
her	her	pno31	her	she	0
your	your	po22	your	your	0
Patronesse	Patronesse	n1	Patroness	patroness	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
perfection	perfection	n1	perfection	perfection	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
that	that	cst	that	that	0
shall	shall	vmb	shall	shall	0
concurre	concurre	vvi	concur	concur	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
most	most	av-ds	most	most	0
profitable	profitable	j	profitable	profitable	0
seruice	seruice	n1	service	service	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
heauenly	heauenly	j	heavenly	heavenly	0
Queene	Queene	n1	Queen	queen	0
.	.	.	.	.	1
And	And	cc	And	and	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
most	most	av-ds	most	most	0
faith	faith	n1	faith	faith	0
∣	∣	sy	∣	∣	0
fully	fully	av-j	fully	full	0
performe	performe	vvb	perform	perform	0
it	it	pn31	it	it	0
,	,	,	,	,	0
heere	heere	av	here	here	0
once	once	a-acp	once	once	0
againe	againe	av	again	again	0
you	you	pn22	you	you	0
your	your	po22	your	your	0
self	self	n1	self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
by	by	p-acp	by	by	0
you	you	pn22	you	you	0
,	,	,	,	,	0
receiue	receiue	vvb	receive	receive	0
the	the	dt	the	the	0
full	full	j	full	full	0
view	view	n1	view	view	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
true	true	j	true	true	0
flourishing	flourishing	j-vvg	flourishing	flourish	0
vine	vine	n1	vine	vine	0
∣	∣	sy	∣	∣	0
yard	yard	n1	yard	yard	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
her	her	po31	her	her	0
heauenly	heauenly	j	heavenly	heavenly	0
fruites	fruites	n2	fruits	fruit	0
,	,	,	,	,	0
that	that	cst	that	that	0
among	among	p-acp	among	among	0
such	such	d	such	such	0
variety	variety	n1	variety	variety	0
,	,	,	,	,	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
make	make	vvi	make	make	0
speciall	speciall	j	special	special	0
choice	choice	n1	choice	choice	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
odorife	odorife	n1	odorife	odorife	0
∣	∣	sy	∣	∣	0
rous	rous	fw-la	rous	rous	0
vertues	vertues	n2	virtues	virtue	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
haue	haue	vhb	have	have	0
so	so	av	so	so	0
singular	singular	j	singular	singular	0
a	a	dt	a	a	0
quality	quality	n1	quality	quality	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
neuer	neuer	av-x	never	never	0
change	change	vvb	change	change	0
their	their	po32	their	their	0
first	first	ord	first	first	0
beauty	beauty	n1	beauty	beauty	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
still	still	av	still	still	0
adorne	adorne	vvi	adorn	adorn	0
the	the	dt	the	the	0
soule	soule	n1	soul	soul	0
with	with	p-acp	with	with	0
greater	greater	jc	greater	great	0
purity	purity	n1	purity	purity	0
,	,	,	,	,	0
than	than	cs	than	than	0
the	the	dt	the	the	0
brightest	brightest	js	brightest	bright	0
planets	planets	n2	planets	planet	0
,	,	,	,	,	0
these	these	d	these	these	0
corruptible	corruptible	j	corruptible	corruptible	0
heauēs	heauēs	n2	heavens	heaven	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
graunt	graunt	vvb	grant	grant	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
your	your	po22	your	your	0
happy	happy	j	happy	happy	0
choice	choice	n1	choice	choice	0
,	,	,	,	,	0
that	that	cst	that	that	0
still	still	av	still	still	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
earthly	earthly	j	earthly	earthly	0
peregrination	peregrination	n1	peregrination	peregrination	0
,	,	,	,	,	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
more	more	av-dc	more	more	0
like	like	av-j	like	like	0
to	to	p-acp	to	to	0
her	her	pno31	her	she	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
name	name	n1	name	name	0
you	you	pn22	you	you	0
beare	beare	vvb	bear	bear	0
,	,	,	,	,	0
that	that	cst	that	that	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
well-deseruing	well-deseruing	j	well-deserving	well-deserving	0
seruant	seruant	n1	servant	servant	0
,	,	,	,	,	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
sollace	sollace	n1	solace	solace	0
with	with	p-acp	with	with	0
her	her	pno31	her	she	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
ioy	ioy	n1	joy	joy	0
of	of	pp-f	of	of	0
eternall	eternall	j	eternal	eternal	0
beatitude	beatitude	n1	beatitude	beatitude	0
.	.	.	.	.	1
From	From	p-acp	From	from	0
my	my	po11	my	my	0
poore	poore	j	poor	poor	0
dwelling	dwelling	n1	dwelling	dwelling	0
,	,	,	,	,	0
this	this	d	this	this	0
29.	29.	crd	29.	29.	0
of	of	pp-f	of	of	0
March	March	n1	March	march	0
.	.	.	.	.	1
1608.	1608.	crd	1608.	1608.	1
