Elect	Elect	j-vvn	Elect	elect	0
finde	finde	vvi	find	find	0
out	out	av	out	out	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
what	what	r-crq	what	what	0
wayes	wayes	n2	ways	way	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
propa	propa	fw-la	propa	propa	0
∣	∣	sy	∣	∣	0
gate	gate	n1	gate	gate	0
and	and	cc	and	and	0
perpetuate	perpetuate	vvi	perpetuate	perpetuate	0
your	your	po22	your	your	0
Graces	Graces	ng1	Graces	grace	0
Worth	Worth	n1	Worth	worth	0
,	,	,	,	,	0
Piety	Piety	n1	Piety	piety	0
,	,	,	,	,	0
and	and	cc	and	and	0
Vertue	Vertue	n1	Virtue	virtue	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
indelible	indelible	j	indelible	indelible	0
view	view	n1	view	view	0
and	and	cc	and	and	0
remem	remem	fw-la	remem	remem	0
∣	∣	sy	∣	∣	0
brance	brance	n1	brance	brance	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
your	your	po22	your	your	0
Off-spring	Off-spring	n1	Offspring	offspring	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
glory	glory	n1	glory	glory	0
and	and	cc	and	and	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
their	their	po32	their	their	0
Posterities	Posterities	n2	Posterities	posterity	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
exam	exam	n1	exam	exam	0
∣	∣	sy	∣	∣	0
ple	ple	n1	ple	ple	0
throughout	throughout	p-acp	throughout	throughout	0
all	all	d	all	all	0
the	the	dt	the	the	0
remain	remain	n1	remain	remain	0
∣	∣	sy	∣	∣	0
der	der	zf	der	there	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
last	last	ord	last	last	0
Ages	Ages	n2	Ages	age	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
World	World	n1	World	world	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
believe	believe	vvb	believe	believe	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
truly	truly	av-j	truly	true	0
say	say	vvi	say	say	0
it	it	pn31	it	it	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
errour	errour	n1	error	error	0
,	,	,	,	,	0
that	that	cst	that	that	0
neither	neither	dx	neither	neither	0
Gorgonia	Gorgonia	np1	Gorgonia	Gorgonia	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
Trasilla	Trasilla	np1	Trasilla	Trasilla	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
any	any	d	any	any	0
other	other	n-jn	other	other	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
glorious	glorious	j	glorious	glorious	0
Stars	Stars	n2	Stars	star	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
times	times	n2	times	time	0
shined	shined	vvd	shined	shine	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Firmament	Firmament	n1	Firmament	firmament	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
which	which	q-crq	which	which	0
are	are	vbr	are	be	0
registred	registred	vvn	registered	register	0
to	to	p-acp	to	to	0
Posterities	Posterities	n2	Posterities	posterity	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
everlasting	everlasting	j	everlasting	everlasting	0
praise	praise	n1	praise	praise	0
by	by	p-acp	by	by	0
Saint	Saint	n1	Saint	saint	0
Nazianzen	Nazianzen	np1	Nazianzen	Nazianzen	0
,	,	,	,	,	0
Saint	Saint	n1	Saint	saint	0
Jerome	Jerome	np1	Jerome	Jerome	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
Fathers	Fathers	n2	Father's	father	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
were	were	vbdr	were	be	0
comparably	comparably	av-j	comparably	comparable	0
so	so	av	so	so	0
blessed	blessed	vvn	blessed	bless	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
choicest	choicest	js	choicest	choice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
blessings	blessings	n2	blessings	blessing	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
life	life	n1	life	life	0
,	,	,	,	,	0
Id	Id	fw-la	Id	id	0
est	est	fw-la	est	est	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
Hus	Hus	zz	Hus	hus	0
∣	∣	sy	∣	∣	0
bands	bands	n2	bans	band	0
and	and	cc	and	and	0
Children	Children	n2	Children	child	0
.	.	.	.	.	0
nor	nor	ccx	nor	nor	0
were	were	vbdr	were	be	0
they	they	pns32	they	they	0
so	so	av	so	so	0
pa	pa	n1	pa	pa	0
∣	∣	sy	∣	∣	0
tient	tient	fw-fr	tient	tient	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
afflictions	afflictions	n2	afflictions	affliction	0
,	,	,	,	,	0
so	so	av	so	so	0
pi	pi	zz	pi	pi	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
conversation	conversation	n1	conversation	conversation	0
,	,	,	,	,	0
so	so	av	so	so	0
humble	humble	j	humble	humble	0
and	and	cc	and	and	0
so	so	av	so	so	0
meeke	meeke	j	meek	meek	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
demeanour	demeanour	n1	demeanour	demeanour	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
worthi	worthi	j	worthy	worthy	0
∣	∣	sy	∣	∣	0
est	est	fw-fr	est	est	0
of	of	pp-f	of	of	0
Gods	Gods	ng1	Gods	god	0
Ministers	Ministers	n2	Ministers	minister	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
hath	hath	vhz	hath	have	0
alwayes	alwayes	av	always	always	0
shewed	shewed	vvn	showed	show	0
your	your	po22	your	your	0
self	self	n1	self	self	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
unto	unto	p-acp	unto	unto	0
all	all	d	all	all	0
even	even	n1	even	even	0
the	the	dt	the	the	0
meanest	meanest	js	meanest	mean	0
of	of	pp-f	of	of	0
Gods	Gods	ng1	Gods	god	0
servants	servants	n2	servants	servant	0
,	,	,	,	,	0
and	and	cc	and	and	0
espe	espe	fw-fr	espe	espe	0
∣	∣	sy	∣	∣	0
cially	cially	av-j	cially	cial	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
very	very	j	very	very	0
mean	mean	j	mean	mean	0
condition	condition	n1	condition	condition	0
,	,	,	,	,	0
I	I	pns11	I	i	0
came	came	vvd	came	come	0
to	to	pc-acp	to	to	0
wait	wait	vvi	wait	wait	0
upon	upon	p-acp	upon	upon	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
in	in	p-acp	in	in	0
Donmore	Donmore	np1	Donmore	Donmore	0
,	,	,	,	,	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
King	King	n1	King	king	0
came	came	vvd	came	come	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
;	;	;	;	;	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
passe	passe	vvi	pass	pass	0
o	o	fw-fr	o	o	0
∣	∣	sy	∣	∣	0
ver	ver	p-acp	for	for	0
your	your	po22	your	your	0
wise	wise	n1	wise	wise	0
,	,	,	,	,	0
discreet	discreet	j	discreet	discreet	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
prudent	prudent	j	prudent	prudent	0
carriage	carriage	n1	carriage	carriage	0
of	of	pp-f	of	of	0
great	great	j	great	great	0
affairs	affairs	n2	affairs	affair	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
des	des	fw-fr	des	des	0
∣	∣	sy	∣	∣	0
perate	perate	j	perate	perate	0
times	times	av	times	time	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
benefit	benefit	n1	benefit	benefit	0
and	and	cc	and	and	0
preservation	preservation	n1	preservation	preservation	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
good	good	j	good	good	0
men	men	n2	men	man	0
and	and	cc	and	and	0
faithful	faithful	j	faithful	faithful	0
Subjects	Subjects	n2-jn	Subject's	subject	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
midst	midst	n1	midst	midst	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
fro	fro	av	from	fro	0
∣	∣	sy	∣	∣	0
ward	ward	n1	ward	ward	0
,	,	,	,	,	0
subtle	subtle	j	subtle	subtle	0
,	,	,	,	,	0
and	and	cc	and	and	0
perverse	perverse	j	perverse	perverse	0
Ge	Ge	zz	Ge	ge	0
∣	∣	sy	∣	∣	0
neration	neration	n1	neration	neration	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
utterly	utterly	av-j	utterly	utter	0
destroyed	destroyed	vvn	destroyed	destroy	0
:	:	:	:	:	0
And	And	cc	And	and	0
I	I	pns11	I	i	0
pass	pass	vvb	pass	pass	0
over	over	a-acp	over	over	0
these	these	d	these	these	0
things	things	n2	things	thing	0
and	and	cc	and	and	0
ma	ma	fw-fr	ma	ma	0
∣	∣	sy	∣	∣	0
ny	ny	fw-fr	ny	ny	0
other	other	j-jn	other	other	0
most	most	av-ds	most	most	0
eminent	eminent	j	eminent	eminent	0
vertues	vertues	n2	virtues	virtue	0
and	and	cc	and	and	0
endowments	endowments	n2	endowments	endowment	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Lady	Lady	n1	Lady	lady	0
∣	∣	sy	∣	∣	0
ship	ship	n1	ship	ship	0
;	;	;	;	;	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
suffici	suffici	fw-la	suffici	suffici	0
∣	∣	sy	∣	∣	0
ently	ently	av-j	ently	ent	0
able	able	j	able	able	0
to	to	p-acp	to	to	0
characterize	characterize	n1	characterise	characterise	0
and	and	cc	and	and	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
lineate	lineate	j	lineate	lineate	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
so	so	av	so	so	0
sweetly	sweetly	av-j	sweetly	sweet	0
and	and	cc	and	and	0
so	so	av	so	so	0
commendably	commendably	av-j	commendably	commendable	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
hath	hath	vhz	hath	have	0
shewed	shewed	vvn	showed	show	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
full	full	j	full	full	0
measure	measure	n1	measure	measure	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
deservings	deservings	n2-vvg	deservings	deserve	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
though	though	cs	though	though	0
mine	mine	po11	mine	my	0
ability	ability	n1	ability	ability	0
reacheth	reacheth	vvz	reaches	reach	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
express	express	vvi	express	express	0
your	your	po22	your	your	0
worth	worth	n1	worth	worth	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
this	this	d	this	this	0
my	my	po11	my	my	0
devotion	devotion	n1	devotion	devotion	0
shall	shall	vmb	shall	shall	0
ne	ne	fw-fr	ne	ne	0
∣	∣	sy	∣	∣	0
ver	ver	fw-la	ver	ver	0
be	be	vbi	be	be	0
wanting	wanting	vvg	wanting	want	0
to	to	pc-acp	to	to	0
shew	shew	vvi	show	show	0
my	my	po11	my	my	0
de	de	fw-mi	de	de	0
∣	∣	sy	∣	∣	0
sires	sires	ng1	sire's	sire	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
best	best	js	best	best	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
pray	pray	n1	prey	prey	0
∣	∣	sy	∣	∣	0
ers	ers	uh	ers	ers	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
the	the	dt	the	the	0
faculties	faculties	n2	faculties	faculty	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
soul	soul	n1	soul	soul	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
your	your	po22	your	your	0
Orator	Orator	n1	Orator	orator	0
unto	unto	p-acp	unto	unto	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
your	your	po22	your	your	0
name	name	n1	name	name	0
and	and	cc	and	and	0
memorial	memorial	n1	memorial	memorial	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
like	like	av-j	like	like	0
the	the	dt	the	the	0
remembrance	remembrance	n1	remembrance	remembrance	0
of	of	pp-f	of	of	0
Josias	Josias	np1	Josias	Josias	0
,	,	,	,	,	0
fair	fair	j	fair	fair	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Lilly	Lilly	n1	Lily	lily	0
,	,	,	,	,	0
and	and	cc	and	and	0
sweet	sweet	j	sweet	sweet	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
pretious	pretious	j	precious	precious	0
oyntment	oyntment	n1	ointment	ointment	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
made	made	vvn	made	make	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
art	art	n1	art	art	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Apothe	Apothe	n1	Apothe	apothe	0
∣	∣	sy	∣	∣	0
cary	cary	vvi	carry	carry	0
:	:	:	:	:	0
So	So	av	So	so	0
I	I	pns11	I	i	0
rest	rest	vvb	rest	rest	0
,	,	,	,	,	0
Most	Most	av-ds	Most	most	0
honourable	honourable	j	honourable	honourable	0
Lady	Lady	n1	Lady	lady	1
