BEloued	BEloued	j-vvn	Beloved	belove	0
Is.	Is.	np1	Is.	Is.	1
2.2.3	2.2.3	crd	2.2.3	2.2.3	0
.	.	.	.	.	1
If	If	cs	If	if	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
you	you	pn22	you	you	0
,	,	,	,	,	0
must	must	vmb	must	must	0
goe	goe	vvi	go	go	0
vp	vp	a-acp	up	up	0
to	to	pc-acp	to	to	0
mount	mount	vvi	mount	mount	0
Gerizim	Gerizim	np1	Gerizim	Gerizim	0
;	;	;	;	;	0
Ioh.	Ioh.	np1	Ioh.	Ioh.	1
4.20	4.20	crd	4.20	4.20	0
.	.	.	.	.	0
and	and	cc	and	and	0
there	there	pc-acp	there	there	0
adore	adore	vvi	adore	adore	0
Ieroboams	Ieroboams	n2	Ieroboams	ieroboam	0
calues,1	calues,1	n1	calues,1	calues,1	0
.	.	.	.	.	1
King	King	n1	King	king	0
.	.	.	.	.	1
12.28	12.28	crd	12.28	12.28	0
.	.	.	.	.	1
This	This	d	This	this	0
latter	latter	d	latter	latter	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
way	way	n1	way	way	0
pleasing	pleasing	vvg	pleasing	please	0
now	now	av	now	now	0
a	a	dt	a	a	0
daies	daies	n2	days	day	0
to	to	p-acp	to	to	0
many	many	d	many	many	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
issues	issues	n2	issues	issue	0
thereof	thereof	av	thereof	thereof	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
waies	waies	n2	ways	way	0
of	of	pp-f	of	of	0
death	death	n1	death	death	0
?	?	?	?	?	1
Prou.	Prou.	np1	Prou.	Prou.	0
14.12	14.12	crd	14.12	14.12	0
.	.	.	.	.	1
And	And	cc	And	and	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
passing	passing	j-vvg	passing	pass	0
bell	bell	n1	bell	bell	0
calleth	calleth	vvz	calls	call	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
so	so	av	so	so	0
litle	litle	j	little	little	0
cōfort	cōfort	n1	comfort	comfort	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
passage	passage	n1	passage	passage	0
,	,	,	,	,	0
that	that	cst	that	that	0
many	many	d	many	many	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
haue	haue	vhb	have	have	0
gone	gone	vvn	gone	go	0
it	it	pn31	it	it	0
,	,	,	,	,	0
forsake	forsake	vvb	forsake	forsake	0
it	it	pn31	it	it	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
last	last	ord	last	last	0
.	.	.	.	.	1
I	I	pns11	I	i	0
reade	reade	vvb	read	read	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
learned	learned	j	learned	learned	0
popish	popish	j	popish	popish	0
doctor	doctor	n1	doctor	doctor	0
in	in	p-acp	in	in	0
Germanie	Germanie	np1	Germanie	Germany	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
howre	howre	n1	hour	hour	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
death	death	n1	death	death	0
,	,	,	,	,	0
entring	entring	vvg	entering	enter	0
into	into	p-acp	into	into	0
a	a	dt	a	a	0
meditation	meditation	n1	meditation	meditation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
insufficiencie	insufficiencie	n1	insufficiency	insufficiency	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
merits	merits	n2	merits	merit	0
,	,	,	,	,	0
cried	cried	vvd	cried	cry	0
out	out	av	out	out	0
after	after	p-acp	after	after	0
this	this	d	this	this	0
manner	manner	n1	manner	manner	0
,	,	,	,	,	0
Selnec	Selnec	np1	Selnec	Selnec	0
Instit.	Instit.	np1	Instit.	Instit.	0
pag	pag	n1	page	page	0
.	.	.	.	.	1
386.	386.	crd	386.	386.	1
Alas	Alas	uh	Alas	alas	0
what	what	q-crq	what	what	0
shall	shall	vmb	shall	shall	0
I	I	pns11	I	i	0
now	now	av	now	now	0
doe	doe	vdb	do	do	0
?	?	?	?	?	1
No	No	uh-dx	No	no	0
workes	workes	n2	works	work	0
doe	doe	vdb	do	do	0
me	me	pno11	me	i	0
any	any	d	any	any	0
good	good	j	good	good	0
;	;	;	;	;	0
none	none	pix	none	none	0
comfort	comfort	vvb	comfort	comfort	0
me	me	pno11	me	i	0
;	;	;	;	;	0
none	none	pix	none	none	0
cheare	cheare	vvi	cheer	cheer	0
me	me	pno11	me	i	0
;	;	;	;	;	0
Since	Since	c-acp	Since	since	0
then	then	cs	then	than	0
I	I	pns11	I	i	0
finde	finde	vvb	find	find	0
nothing	nothing	pix	nothing	nothing	0
in	in	p-acp	in	in	0
myselfe	myselfe	px11	myself	myself	0
to	to	pc-acp	to	to	0
stay	stay	vvi	stay	stay	0
vpon	vpon	p-acp	upon	upon	0
,	,	,	,	,	0
this	this	d	this	this	0
will	will	vmb	will	will	0
I	I	pns11	I	i	0
doe	doe	vdi	do	do	0
;	;	;	;	;	0
Haue	Haue	vhb	Have	have	0
mercy	mercy	n1	mercy	mercy	0
vpon	vpon	p-acp	upon	upon	0
me	me	pno11	me	i	0
O	O	uh	Oh	oh	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
thy	thy	po21	thy	thy	0
sonne	sonne	n1	son	son	0
Christs	Christs	npg1	Christs	Christ	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
and	and	cc	and	and	0
receiue	receiue	vvi	receive	receive	0
my	my	po11	my	my	0
soule	soule	n1	soul	soul	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
safest	safest	js	safest	safe	0
way	way	n1	way	way	0
as	as	p-acp	as	as	0
Bellarmine	Bellarmine	np1	Bellarmine	Bellarmine	0
confesseth	confesseth	vvz	confesses	confess	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
onely	onely	j	only	only	0
way	way	n1	way	way	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
scripture	scripture	n1	scripture	scripture	0
proueth	proueth	vvz	proves	prove	0
.	.	.	.	.	1
Looke	Looke	n1	Look	look	0
not	not	xx	not	not	0
then	then	av	then	then	0
vpon	vpon	p-acp	upon	upon	0
Baal	Baal	np1	Baal	Baal	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
450.	450.	crd	450.	450.	0
false	false	j	false	false	0
Prophets	Prophets	n2	Prophets	prophet	0
;	;	;	;	;	0
1.	1.	crd	1.	1.	1
King	King	n1	King	king	0
.	.	.	.	.	1
18.22	18.22	crd	18.22	18.22	0
.	.	.	.	.	0
but	but	cc-acp	but	but	0
looke	looke	vvb	look	look	0
vpon	vpon	p-acp	upon	upon	0
God	God	np1	God	God	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
seruant	seruant	n1	servant	servant	0
Eliah	Eliah	np1	Eliah	Eliah	0
.	.	.	.	.	1
1	1	crd	1	1	0
.	.	.	.	.	1
King	King	n1	King	king	0
.	.	.	.	.	1
18.30	18.30	crd	18.30	18.30	0
.	.	.	.	.	1
Baal	Baal	np1	Baal	Baal	0
as	as	p-acp	as	as	0
an	an	dt	and	a	0
Vlysses	Vlysses	np1	Vlysses	Ulysses	0
will	will	vmb	will	will	0
transforme	transforme	vvi	transform	transform	0
you	you	pn22	you	you	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Syren	Syren	np2	Syren	Siren	0
seduce	seduce	vvi	seduce	seduce	0
you	you	pn22	you	you	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
an	an	dt	and	a	0
Helena	Helena	np1	Helena	Helena	0
corrupt	corrupt	vvb	corrupt	corrupt	0
you	you	pn22	you	you	0
;	;	;	;	;	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
Naash	Naash	j	Naash	naash	0
the	the	dt	the	the	0
Ammonite	Ammonite	n1	Ammonite	ammonite	0
make	make	vvb	make	make	0
no	no	dx	no	no	0
couenant	couenant	n1	covenant	covenant	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
vnles	vnles	cs	unless	unless	0
he	he	pns31	he	he	0
may	may	vmb	may	may	0
plucke	plucke	vvi	pluck	pluck	0
out	out	av	out	out	0
your	your	po22	your	your	0
right	right	j-jn	right	right	0
eye	eye	n1	eye	eye	0
of	of	pp-f	of	of	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
bring	bring	vvb	bring	bring	0
a	a	dt	a	a	0
shame	shame	n1	shame	shame	0
vpon	vpon	p-acp	upon	upon	0
Israel	Israel	np1	Israel	Israel	0
.	.	.	.	.	1
1	1	crd	1	1	0
.	.	.	.	.	1
Sam.	Sam.	np1	Sam.	Sam	0
11.2	11.2	crd	11.2	11.2	0
.	.	.	.	.	1
Our	Our	np1	Our	Oure	0
God	God	np1	God	God	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
like	like	av-j	like	like	0
their	their	po32	their	their	0
God	God	n1	God	god	0
,	,	,	,	,	0
our	our	po12	our	our	0
aduersaries	aduersaries	n2	adversaries	adversary	0
being	being	vbg	being	be	0
iudges	iudges	n2	judges	judge	0
.	.	.	.	.	1
Deut.	Deut.	np1	Deut.	Deut.	0
32.31	32.31	crd	32.31	32.31	0
.	.	.	.	.	1
He	He	pns31	He	he	0
is	is	vbz	is	be	0
our	our	po12	our	our	0
sunne	sunne	n1	sun	sun	0
,	,	,	,	,	0
Psal.	Psal.	np1	Psal.	Psal.	1
84.11	84.11	crd	84.11	84.11	0
.	.	.	.	.	0
without	without	p-acp	without	without	0
him	him	pno31	him	he	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
night	night	n1	night	night	0
:	:	:	:	:	0
our	our	po12	our	our	0
starre	starre	n1	star	star	0
,	,	,	,	,	0
Reu.	Reu.	np1	Reu.	Reu.	1
2.28	2.28	crd	2.28	2.28	0
.	.	.	.	.	0
without	without	p-acp	without	without	0
him	him	pno31	him	he	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
darknes	darknes	n1	darkness	darkness	0
,	,	,	,	,	0
our	our	po12	our	our	0
life	life	n1	life	life	0
,	,	,	,	,	0
Ioh.	Ioh.	np1	Ioh.	Ioh.	1
11.25	11.25	crd	11.25	11.25	0
.	.	.	.	.	0
without	without	p-acp	without	without	0
him	him	pno31	him	he	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
death	death	n1	death	death	0
;	;	;	;	;	0
and	and	cc	and	and	0
our	our	po12	our	our	0
guide	guide	n1	guide	guide	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
him	him	pno31	him	he	0
wee	wee	pns12	we	we	0
shall	shall	vmb	shall	shall	0
neuer	neuer	av-x	never	never	0
make	make	vvi	make	make	0
our	our	po12	our	our	0
pathes	pathes	n2	paths	path	0
straight	straight	av	straight	straight	0
.	.	.	.	.	1
Ps.	Ps.	np1	Ps.	Ps.	0
25	25	crd	25	25	0
8.	8.	crd	8.	8.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
better	better	jc	better	better	0
to	to	pc-acp	to	to	0
limpe	limpe	vvb	limpe	limp	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
strait	strait	j	strait	strait	0
waies	waies	n2	ways	way	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
then	then	cs	then	than	0
to	to	pc-acp	to	to	0
runne	runne	vvi	run	run	0
and	and	cc	and	and	0
rampe	rampe	vvi	ramp	ramp	0
on	on	a-acp	on	on	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
broad	broad	j	broad	broad	0
pathes	pathes	n2	paths	path	0
of	of	pp-f	of	of	0
Baal	Baal	np1	Baal	Baal	0
;	;	;	;	;	0
you	you	pn22	you	you	0
know	know	vvb	know	know	0
these	these	d	these	these	0
things	things	n2	things	thing	0
,	,	,	,	,	0
happie	happie	j	happy	happy	0
are	are	vbr	are	be	0
ye	ye	pn22	you	you	0
if	if	cs	if	if	0
ye	ye	pn22	you	you	0
doe	doe	vdb	do	do	0
them	them	pno32	them	they	0
.	.	.	.	.	1
Ioh.	Ioh.	np1	Ioh.	Ioh.	0
13.17	13.17	crd	13.17	13.17	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
a	a	dt	a	a	0
word	word	n1	word	word	0
,	,	,	,	,	0
learne	learne	vvb	learn	learn	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
godly	godly	j	godly	godly	0
treatise	treatise	n1	treatise	treatise	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
detest	detest	vvi	detest	detest	0
that	that	d	that	that	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
Iesus	Iesus	np1	Iesus	Jesus	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Iesuites	Iesuites	np2	Iesuites	Jesuit	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
teacheth	teacheth	vvz	teaches	teach	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
must	must	vmb	must	must	0
eate	eate	vvi	eat	eat	0
your	your	po22	your	your	0
God	God	n1	God	god	0
;	;	;	;	;	0
and	and	cc	and	and	0
may	may	vmb	may	may	0
kill	kill	vvi	kill	kill	0
your	your	po22	your	your	0
King	King	n1	King	king	0
.	.	.	.	.	1
Qui	Qui	np1	Qui	Qui	0
cum	cum	fw-la	cum	cum	0
Iesu	Iesu	np1	Iesu	Jesus	0
itis	itis	fw-la	itis	itis	0
,	,	,	,	,	0
non	non	fw-la	non	non	0
itis	itis	fw-la	itis	itis	0
cum	cum	fw-la	cum	cum	0
Iesuitis	Iesuitis	fw-la	Iesuitis	iesuitis	0
,	,	,	,	,	0
You	You	pn22	You	you	0
that	that	cst	that	that	0
doe	doe	vdb	do	do	0
follow	follow	vvi	follow	follow	0
Iesus	Iesus	np1	Iesus	Jesus	0
trace	trace	vvi	trace	trace	0
,	,	,	,	,	0
will	will	vmb	will	will	0
neuer	neuer	av-x	never	never	0
like	like	vvi	like	like	0
the	the	dt	the	the	0
Iesuites	Iesuites	np2	Iesuites	Jesuit	0
pace	pace	n1	pace	pace	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
make	make	vvb	make	make	0
you	you	pn22	you	you	0
as	as	p-acp	as	as	0
beautifull	beautifull	j	beautiful	beautiful	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
eyes	eyes	n2	eyes	eye	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
made	made	vvn	made	make	0
your	your	po22	your	your	0
Church	Church	n1	Church	church	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
eyes	eyes	n2	eyes	eye	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
.	.	.	.	.	1
Aprill	Aprill	np1	Aprill	April	0
.	.	.	.	.	1
16.	16.	crd	16.	16.	0
1611.	1611.	crd	1611.	1611.	1
