St.	St.	n1	St.	saint	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
demonstrated	demonstrated	vvn	demonstrated	demonstrate	0
by	by	p-acp	by	by	0
continuall	continuall	j	continual	continual	0
experi	experi	fw-la	experi	experi	0
∣	∣	sy	∣	∣	0
ments	ments	n2	ments	ment	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
practised	practised	vvn	practised	practise	0
by	by	p-acp	by	by	0
sundry	sundry	j	sundry	sundry	0
demonstrations	demonstrations	n2	demonstrations	demonstration	0
,	,	,	,	,	0
(	(	(	(	(	0
especially	especially	av-j	especially	especial	0
under	under	p-acp	under	under	0
your	your	po22	your	your	0
Government	Government	n1	Government	government	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
so	so	av	so	so	0
worthy	worthy	j	worthy	worthy	0
and	and	cc	and	and	0
honourable	honourable	j	honourable	honourable	0
societies	societies	n2	societies	society	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
present	present	vvb	present	present	0
the	the	dt	the	the	0
happy	happy	j	happy	happy	0
Governours	Governours	n2	Governors	governor	0
)	)	)	)	)	0
promp	promp	n1	promp	promp	0
∣	∣	sy	∣	∣	0
ted	ted	j-vvn	ted	t	0
me	me	pno11	me	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
the	the	dt	the	the	0
fittest	fittest	js	fittest	fit	0
PATRONS	PATRONS	n2	PATRONS	patron	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Modell	Modell	n1	Model	model	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
best	best	js	best	best	0
Iudges	Iudges	n2	Judges	judge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
WORKE	WORKE	n1	WORKE	work	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
;	;	;	;	;	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
induced	induced	vvn	induced	induce	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
motive	motive	n1	motive	motive	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
yet	yet	av	yet	yet	0
moved	moved	vvn	moved	move	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
inducement	inducement	n1	inducement	inducement	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
this	this	d	this	this	0
alone	alone	j	alone	alone	0
might	might	n1	might	might	0
both	both	av-d	both	both	0
move	move	vvi	move	move	0
and	and	cc	and	and	0
induce	induce	vvi	induce	induce	0
me	me	pno11	me	i	0
,	,	,	,	,	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
Dedication	Dedication	n1	Dedication	dedication	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
crave	crave	vvb	crave	crave	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
Worths	Worths	n2	Worths	worth	0
a	a	dt	a	a	0
friendly	friendly	j	friendly	friendly	0
and	and	cc	and	and	0
favourable	favourable	j	favourable	favourable	0
Protection	Protection	n1	Protection	protection	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
the	the	dt	the	the	0
further	further	jc	further	further	0
consideration	consideration	n1	consideration	consideration	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
particular	particular	j	particular	particular	0
Ob	Ob	fw-la	Ob	ob	0
∣	∣	sy	∣	∣	0
ligement	ligement	n1	ligement	ligement	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
dayly	dayly	j	daily	daily	0
experience	experience	n1	experience	experience	0
of	of	pp-f	of	of	0
both	both	d	both	both	0
your	your	po22	your	your	0
loves	loves	n2	loves	love	0
,	,	,	,	,	0
challenged	challenged	vvd	challenged	challenge	0
this	this	d	this	this	0
justly	justly	av-j	justly	just	0
from	from	p-acp	from	from	0
me	me	pno11	me	i	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
acknowledge	acknowledge	vvi	acknowledge	acknowledge	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
respect	respect	n1	respect	respect	0
and	and	cc	and	and	0
service	service	n1	service	service	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
before	before	c-acp	before	before	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
the	the	dt	the	the	0
fa	fa	zz	fa	fa	0
∣	∣	sy	∣	∣	0
vour	vour	zz	vour	vour	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
acquaintance	acquaintance	n1	acquaintance	acquaintance	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
made	made	vvn	made	make	0
acquainted	acquainted	vvn	acquainted	acquaint	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
favours	favours	n2	favours	favour	0
;	;	;	;	;	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
Constantinople	Constantinople	np1	Constantinople	Constantinople	0
before	before	p-acp	before	before	0
you	you	pn22	you	you	0
knew	knew	vvd	knew	know	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
the	the	dt	the	the	0
honour	honour	n1	honour	honour	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
imployments	imployments	n2	employments	employment	0
;	;	;	;	;	0
and	and	cc	and	and	0
after	after	p-acp	after	after	0
my	my	po11	my	my	0
returne	returne	n1	return	return	0
thence	thence	av	thence	thence	0
,	,	,	,	,	0
I	I	pns11	I	i	0
found	found	vvd	found	find	0
the	the	dt	the	the	0
approbation	approbation	n1	approbation	approbation	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
former	former	j	former	former	0
indeavours	indeavours	n2	endeavours	endeavour	0
extended	extended	vvd	extended	extend	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
admittance	admittance	n1	admittance	admittance	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Member	Member	n1	Member	member	0
)	)	)	)	)	0
into	into	p-acp	into	into	0
those	those	d	those	those	0
Societies	Societies	n2	Societies	society	0
you	you	pn22	you	you	0
governe	governe	vvb	govern	govern	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
since	since	c-acp	since	since	0
into	into	p-acp	into	into	0
places	places	n2	places	place	0
of	of	pp-f	of	of	0
trust	trust	n1	trust	trust	0
and	and	cc	and	and	0
repute	repute	vvi	repute	repute	0
in	in	p-acp	in	in	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
experience	experience	n1	experience	experience	0
and	and	cc	and	and	0
judgement	judgement	n1	judgement	judgement	0
then	then	av	then	then	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
contents	contents	n2	contents	content	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Tract	Tract	n1	Tract	tract	0
considered	considered	vvn	considered	consider	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
never-dying	never-dying	j	never-dying	never-dying	0
Gra	Gra	uh	Gram	gra	0
∣	∣	sy	∣	∣	0
titude	titude	n1	titude	titude	0
for	for	p-acp	for	for	0
these	these	d	these	these	0
your	your	po22	your	your	0
noble	noble	j	noble	noble	0
courtesies	courtesies	n2	courtesies	courtesy	0
remembred	remembred	vvn	remembered	remember	0
:	:	:	:	:	0
please	please	vvb	please	please	0
to	to	p-acp	to	to	0
Patronise	Patronise	vvb	Patronise	patronise	0
these	these	d	these	these	0
my	my	po11	my	my	0
Labours	Labours	n2	Labours	labour	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
faire	faire	j	fair	fair	0
constru	constru	fw-fr	constru	constru	0
∣	∣	sy	∣	∣	0
ction	ction	zz	ction	ction	0
accept	accept	vvi	accept	accept	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
my	my	po11	my	my	0
New-yeares	New-yeares	n2	Newyears	newyear	0
acknowledgement	acknowledgement	n1	acknowledgement	acknowledgement	0
:	:	:	:	:	0
So	So	av	So	so	0
shall	shall	vmb	shall	shall	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
reap	reap	vvb	reap	reap	0
the	the	dt	the	the	0
Honour	Honour	n1	Honour	honour	0
due	due	j-jn	due	due	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
Worths	Worths	n2	Worths	worth	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
the	the	dt	the	the	0
respect	respect	n1	respect	respect	0
due	due	j-jn	due	due	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
gratefull	gratefull	j	grateful	grateful	0
FACTOR	FACTOR	n1	FACTOR	factor	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
faithfull	faithfull	j	faithful	faithful	0
expressions	expressions	n2	expressions	expression	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
ever	ever	av	ever	ever	0
co	co	vvn	counterfeit	continue	0
∣	∣	sy	∣	∣	0
vet	vet	zz	vet	vet	0
to	to	p-acp	to	to	0
preserve	preserve	vvi	preserve	preserve	0
;	;	;	;	;	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
futurely	futurely	av-jn	futurely	future	0
as	as	c-acp	as	as	0
formerly	formerly	av-j	formerly	former	0
be	be	vbi	be	be	0
honoured	honoured	vvn	honoured	honour	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
good	good	j	good	good	0
opi	opi	n2	opi	opi	0
∣	∣	sy	∣	∣	0
nion	nion	n1	nion	nion	0
,	,	,	,	,	0
and	and	cc	and	and	0
intitle	intitle	vvi	entitle	entitle	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
still	still	av	still	still	0
your	your	po22	your	your	0
thankfull	thankfull	j	thankful	thankful	0
and	and	cc	and	and	0
affectionate	affectionate	j	affectionate	affectionate	0
friend	friend	n1	friend	friend	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
serve	serve	vvi	serve	serve	0
you	you	pn22	you	you	0
.	.	.	.	.	1
Ianuary	Ianuary	np1	Ianuary	January	0
6.	6.	crd	6.	6.	0
1688.	1688.	crd	1688.	1688.	1
