THe	THe	dt	THe	the	0
taught	taught	vvn	taught	teach	0
,	,	,	,	,	0
not	not	xx	not	not	0
kept	kept	vvn	kept	keep	0
in	in	p-acp	in	in	0
awe	awe	n1	awe	awe	0
.	.	.	.	.	1
Prators	Prators	ng1	Prators	prators	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
will	will	vmb	will	will	0
the	the	dt	the	the	0
publique	publique	j	public	public	0
cause	cause	n1	cause	cause	0
defend	defend	vvi	defend	defend	0
,	,	,	,	,	0
With	With	p-acp	With	with	0
timely	timely	j	timely	timely	0
gifts	gifts	n2	gifts	gift	0
,	,	,	,	,	0
not	not	xx	not	not	0
Speeches	Speeches	n2	Speeches	speech	0
finely	finely	av-j	finely	fine	0
pend	pend	vvn	pend	pen	0
;	;	;	;	;	0
So	So	av	So	so	0
make	make	vvb	make	make	0
the	the	dt	the	the	0
Northerne	Northerne	j	Northern	northern	0
Victors	Victors	ng1	Victor's	victor	0
Fame	Fame	n1	Fame	fame	0
No	No	av-dx	No	no	0
more	more	av-dc	more	more	0
our	our	po12	our	our	0
envy	envy	n1	envy	envy	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
our	our	po12	our	our	0
shame	shame	n1	shame	shame	0
;	;	;	;	;	0
Let	Let	vvb	Let	let	0
this	this	d	this	this	0
yeare	yeare	n1	year	year	0
bring	bring	vvi	bring	bring	0
To	To	p-acp	To	to	0
Charles	Charles	np1	Charles	Charles	0
our	our	po12	our	our	0
King	King	n1	King	king	0
:	:	:	:	:	0
To	To	p-acp	To	to	0
Charles	Charles	np1	Charles	Charles	0
;	;	;	;	;	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
th'example	th'example	n1	example	example	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
law	law	n1	law	law	0
,	,	,	,	,	0
By	By	p-acp	By	by	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
good	good	j	good	good	0
are	are	vbr	are	be	0
taught	taught	vvn	taught	teach	0
,	,	,	,	,	0
not	not	xx	not	not	0
kept	kept	vvn	kept	keep	0
in	in	p-acp	in	in	0
awe	awe	n1	awe	awe	0
.	.	.	.	.	1
