THis	THis	d	THis	this	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
moved	moved	vvn	moved	move	0
to	to	pc-acp	to	to	0
labour	labour	vvi	labour	labour	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
work	work	n1	work	work	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
manifest	manifest	j	manifest	manifest	0
to	to	p-acp	to	to	0
every	every	d	every	every	0
mans	mans	ng1	men	man	0
Conscience	Conscience	n1	Conscience	conscience	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
approved	approved	vvn	approved	approve	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
pure	pure	j	pure	pure	0
eye	eye	n1	eye	eye	0
that	that	cst	that	that	0
seeth	seeth	vvz	sees	see	0
se	se	vvi	see	see	0
∣	∣	sy	∣	∣	0
crets	crets	n2-jn	crets	cret	0
;	;	;	;	;	0
and	and	cc	and	and	0
let	let	vvb	let	let	0
all	all	d	all	all	0
glory	glory	n1	glory	glory	0
,	,	,	,	,	0
and	and	cc	and	and	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
and	and	cc	and	and	0
praise	praise	n1	praise	praise	0
,	,	,	,	,	0
and	and	cc	and	and	0
renown	renown	n1	renown	renown	0
,	,	,	,	,	0
be	be	vbb	be	be	0
given	given	vvn	given	give	0
unto	unto	p-acp	unto	unto	0
him	him	pno31	him	he	0
alone	alone	av-j	alone	alone	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
ever	ever	av	ever	ever	0
and	and	cc	and	and	0
ever	ever	av	ever	ever	0
:	:	:	:	:	0
and	and	cc	and	and	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
measure	measure	n1	measure	measure	0
of	of	pp-f	of	of	0
himself	himself	px31	himself	himself	0
in	in	p-acp	in	in	0
every	every	d	every	every	0
man	man	n1	man	man	0
,	,	,	,	,	0
I	I	pns11	I	i	0
commend	commend	vvb	commend	commend	0
this	this	d	this	this	0
Book	Book	n1	Book	book	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
humility	humility	n1	humility	humility	0
,	,	,	,	,	0
reverence	reverence	n1	reverence	reverence	0
and	and	cc	and	and	0
fear	fear	n1	fear	fear	0
.	.	.	.	.	1
