ALL	ALL	av-d	ALL	all	0
Hereticks	Hereticks	n2	Heretics	heretic	0
,	,	,	,	,	0
and	and	cc	and	and	0
some	some	d	some	some	0
Philosophers	Philosophers	n2	Philosophers	philosopher	0
have	have	vhb	have	have	0
conceited	conceited	vvn	conceited	conceit	0
.	.	.	.	.	1
That	That	cst	That	that	0
the	the	dt	the	the	0
World	World	n1	World	world	0
was	was	vbds	was	be	0
Created	Created	vvn	Created	create	0
,	,	,	,	,	0
Aristotle	Aristotle	np1	Aristotle	Aristotle	0
affirmed	affirmed	vvd	affirmed	affirm	0
the	the	dt	the	the	0
Wold	Wold	n1	Wold	wold	0
was	was	vbds	was	be	0
from	from	p-acp	from	from	0
Eternity	Eternity	n1	Eternity	eternity	0
:	:	:	:	:	0
Plato	Plato	np1	Plato	Plato	0
said	said	vvd	said	say	0
,	,	,	,	,	0
it	it	pn31	it	it	0
wa	wa	zz	wa	wa	0
ceated	ceated	j	ceated	ceated	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
co-eenal	co-eenal	j	co-eenal	co-eenal	0
matter	matter	n1	matter	matter	0
:	:	:	:	:	0
the	the	dt	the	the	0
Angels	Angels	n2	Angels	angel	0
did	did	vdd	did	do	0
create	create	vvi	create	create	0
,	,	,	,	,	0
us	us	pno12	us	we	0
the	the	dt	the	the	0
Iews	Iews	np2	Iews	Jew	0
falsely	falsely	av-j	falsely	false	0
af	af	pp-f	of	of	0
∣	∣	sy	∣	∣	0
firm	firm	j	firm	firm	0
:	:	:	:	:	0
the	the	dt	the	the	0
Epicureans	Epicureans	njp2	Epicureans	epicureans	0
blasphemously	blasphemously	av-j	blasphemously	blasphemous	0
as	as	p-acp	as	as	0
∣	∣	sy	∣	∣	0
cribe	cribe	n1	cribe	cribe	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
Chance	Chance	n1	Chance	chance	0
.	.	.	.	.	0
and	and	cc	and	and	0
not	not	xx	not	not	0
Eter	Eter	n1	Eater	eater	0
∣	∣	sy	∣	∣	0
nal	nal	n1	nal	nal	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
same	same	d	same	same	0
Phi	Phi	fw-la	Phi	phi	0
∣	∣	sy	∣	∣	0
losophers	losophers	ng2	losophers	losophers	0
affirmed	affirmed	vvd	affirmed	affirm	0
,	,	,	,	,	0
faith	faith	n1	faith	faith	0
principally	principally	av-j	principally	principal	0
assures	assures	vvz	assures	assure	0
us	us	pno12	us	we	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Hebr.	Hebr.	np1	Hebr.	Hebr.	0
11.3	11.3	crd	11.3	11.3	0
.	.	.	.	.	1
By	By	p-acp	By	by	0
Faith	Faith	n1	Faith	faith	0
we	we	pns12	we	we	0
understand	understand	vvb	understand	understand	0
the	the	dt	the	the	0
Worlds	Worlds	n2	World's	world	0
were	were	vbdr	were	be	0
cre	cre	c-acp	credit	ere	0
∣	∣	sy	∣	∣	0
ated	ated	vvn	ated	at	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
Genes	Genes	np1	Genes	Genes	0
.	.	.	.	.	1
1.	1.	crd	1.	1.	1
Moses	Moses	np1	Moses	Moses	0
sets	sets	vvz	sets	set	0
down	down	a-acp	down	down	0
fully	fully	av-j	fully	full	0
the	the	dt	the	the	0
History	History	n1	History	history	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Creation	Creation	n1	Creation	creation	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
the	the	dt	the	the	0
Crea	Crea	np1	Crea	Crea	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
proved	proved	vvn	proved	prove	0
.	.	.	.	.	1
1.	1.	crd	1.	1.	1
From	From	p-acp	From	from	0
the	the	dt	the	the	0
Originals	Originals	n2-jn	Originals	original	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Nations	Nations	n2	Nations	nation	0
;	;	;	;	;	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
plainly	plainly	av-j	plainly	plain	0
know	know	vvi	know	know	0
the	the	dt	the	the	0
first	first	ord	first	first	0
beginning	beginning	n1	beginning	beginning	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
People	People	n1	People	people	0
inhabiting	inhabiting	vvg	inhabiting	inhabit	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
World	World	n1	World	world	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Genes	Genes	np1	Genes	Genes	0
.	.	.	.	.	1
10.	10.	crd	10.	10.	1
Moreover	Moreover	np1	Moreover	Moreover	0
2.	2.	crd	2.	2.	0
when	when	c-crq	when	when	0
Arts	Arts	n2	Arts	art	0
were	were	vbdr	were	be	0
first	first	ord	first	first	0
invented	invented	vvn	invented	invent	0
,	,	,	,	,	0
is	is	vbz	is	be	0
clear	clear	j	clear	clear	0
and	and	cc	and	and	0
manifest	manifest	j	manifest	manifest	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
invention	invention	n1	invention	invention	0
of	of	pp-f	of	of	0
Musick	Musick	n1	Music	music	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Instruments	Instruments	n2	Instruments	instrument	0
of	of	pp-f	of	of	0
Iron	Iron	n1	Iron	iron	0
and	and	cc	and	and	0
Brass	Brass	n1	Brass	brass	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
whom	whom	ro-crq	whom	who	0
:	:	:	:	:	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
unlikely	unlikely	j	unlikely	unlikely	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
World	World	n1	World	world	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
Eternal	Eternal	j	Eternal	eternal	0
,	,	,	,	,	0
so	so	av	so	so	0
many	many	d	many	many	0
Generations	Generations	n2	Generations	generation	0
of	of	pp-f	of	of	0
Men	Men	n2	Men	man	0
had	had	vhd	had	have	0
lived	lived	vvn	lived	live	0
without	without	p-acp	without	without	0
them	them	pno32	them	they	0
.	.	.	.	.	1
3.	3.	crd	3.	3.	1
It	It	pn31	It	it	0
appeareth	appeareth	vvz	appears	appear	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Order	Order	n1	Order	order	0
of	of	pp-f	of	of	0
causes	causes	n2	causes	cause	0
▪	▪	▪	▪	▪	0
there	there	a-acp	there	there	0
must	must	vmb	must	must	0
needs	needs	av	needs	needs	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
first	first	ord	first	first	0
Cause	Cause	n1	Cause	cause	0
,	,	,	,	,	0
otherwise	otherwise	av	otherwise	otherwise	0
there	there	pc-acp	there	there	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
Pro	Pro	fw-la	Pro	pro	0
∣	∣	sy	∣	∣	0
cessus	cessus	fw-la	cessus	cessus	0
in	in	fw-la	in	in	0
infinitum	infinitum	fw-la	infinitum	infinitum	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
impossible	impossible	j	impossible	impossible	0
;	;	;	;	;	0
now	now	av	now	now	0
if	if	cs	if	if	0
a	a	dt	a	a	0
first	first	ord	first	first	0
cause	cause	n1	cause	cause	0
▪	▪	▪	▪	▪	0
then	then	av	then	then	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
efficient	efficient	j	efficient	efficient	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
other	other	n-jn	other	other	0
is	is	vbz	is	be	0
God	God	np1	God	God	0
;	;	;	;	;	0
therefore	therefore	av	therefore	therefore	0
all	all	d	all	all	0
things	things	n2	things	thing	0
were	were	vbdr	were	be	0
Created	Created	vvn	Created	create	0
.	.	.	.	.	1
I	I	pns11	I	i	0
will	will	vmb	will	will	0
let	let	vvi	let	let	0
pass	pass	vvi	pass	pass	0
the	the	dt	the	the	0
curious	curious	j	curious	curious	0
Questions	Questions	n2	Questions	question	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Schools	Schools	n2	Schools	school	0
,	,	,	,	,	0
as	as	p-acp	as	as	0
what	what	r-crq	what	what	0
God	God	np1	God	God	0
did	did	vdd	did	do	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
World	World	n1	World	world	0
was	was	vbds	was	be	0
created	created	vvn	created	create	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
what	what	r-crq	what	what	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Year	Year	n1	Year	year	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
what	what	r-crq	what	what	0
Day	Day	n1	Day	day	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
Created	Created	vvn	Created	create	0
:	:	:	:	:	0
why	why	c-crq	why	why	0
God	God	np1	God	God	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
create	create	vvi	create	create	0
the	the	dt	the	the	0
World	World	n1	World	world	0
sooner	sooner	av-c	sooner	soon	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
'tis	'tis	pn31|vbz	it's	it|be	0
knowledge	knowledge	n1	knowledge	knowledge	0
enough	enough	av-d	enough	enough	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
,	,	,	,	,	0
that	that	cst	that	that	0
God	God	np1	God	God	0
did	did	vdd	did	do	0
create	create	vvi	create	create	0
the	the	dt	the	the	0
World	World	n1	World	world	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
drawn	drawn	vvn	drawn	draw	0
and	and	cc	and	and	0
framed	framed	vvn	framed	frame	0
all	all	d	all	all	0
things	things	n2	things	thing	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
nothing	nothing	pix	nothing	nothing	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
is	is	vbz	is	be	0
properly	properly	av-j	properly	proper	0
to	to	pc-acp	to	to	0
create	create	vvi	create	create	0
,	,	,	,	,	0
viz.	viz.	n1	viz.	viz.	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
something	something	pi	something	something	0
of	of	pp-f	of	of	0
no	no	dx	no	no	0
∣	∣	sy	∣	∣	0
thing	thing	n1	thing	thing	0
.	.	.	.	.	1
The	The	dt	The	the	0
School-men	School-men	n2	Schoolmen	schoolman	0
observe	observe	vvb	observe	observe	0
this	this	d	this	this	0
differ	differ	vvi	differ	differ	0
∣	∣	sy	∣	∣	0
ence	ence	n1	ence	ence	0
,	,	,	,	,	0
inter	inter	fw-la	inter	inter	0
Genita	Genita	np1	Genita	Genita	0
,	,	,	,	,	0
Facta	Facta	np1	Facta	Facta	0
,	,	,	,	,	0
&	&	cc	&	and	0
Creata	Creata	np1	Creata	Creata	0
,	,	,	,	,	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
tween	tween	n2	tween	tween	0
things	things	n2	things	thing	0
begotten	begotten	vvn	begotten	beget	0
,	,	,	,	,	0
things	things	n2	things	thing	0
made	made	vvn	made	make	0
,	,	,	,	,	0
and	and	cc	and	and	0
things	things	n2	things	thing	0
created	created	vvn	created	create	0
:	:	:	:	:	0
Things	Things	n2	Things	thing	0
are	are	vbr	are	be	0
begotten	begotten	vvn	begotten	beget	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
own	own	d	own	own	0
matter	matter	n1	matter	matter	0
;	;	;	;	;	0
they	they	pns32	they	they	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
of	of	pp-f	of	of	0
another	another	j-jn	another	another	0
mat	mat	n1	mat	mat	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
;	;	;	;	;	0
they	they	pns32	they	they	0
be	be	vbi	be	be	0
created	created	vvn	created	create	0
of	of	pp-f	of	of	0
no	no	dx	no	no	0
matter	matter	n1	matter	matter	0
.	.	.	.	.	1
We	We	pns12	We	we	0
and	and	cc	and	and	0
all	all	d	all	all	0
things	things	n2	things	thing	0
are	are	vbr	are	be	0
said	said	vvn	said	say	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
been	been	vbn	been	be	0
created	created	vvn	created	create	0
by	by	p-acp	by	by	0
God	God	np1	God	God	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
he	he	pns31	he	he	0
made	made	vvd	made	make	0
us	us	pno12	us	we	0
of	of	pp-f	of	of	0
nothing	nothing	pix	nothing	nothing	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
no	no	dx	no	no	0
pre-existent	pre-existent	j	preexistent	preexistent	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
before	before	a-acp	before	before	0
,	,	,	,	,	0
gi	gi	zz	gi	gi	0
∣	∣	sy	∣	∣	0
ving	ving	vhg	ving	ve	0
beeing	beeing	vbg	being	be	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
beeing	beeing	vbg	being	be	0
:	:	:	:	:	0
now	now	av	now	now	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
,	,	,	,	,	0
God	God	np1	God	God	0
made	made	vvd	made	make	0
all	all	d	all	all	0
things	things	n2	things	thing	0
of	of	pp-f	of	of	0
no	no	dx	no	no	0
∣	∣	sy	∣	∣	0
thing	thing	n1	thing	thing	0
;	;	;	;	;	0
Nothing	Nothing	pix	Nothing	nothing	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
taken	taken	vvn	taken	take	0
negative	negative	j-jn	negative	negative	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
privative	privative	j	privative	privative	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
God	God	np1	God	God	0
created	created	vvd	created	create	0
all	all	d	all	all	0
things	things	n2	things	thing	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
pure	pure	j	pure	pure	0
nothing	nothing	pi2	nothing	nothing	0
.	.	.	.	.	1
The	The	dt	The	the	0
Philoso	Philoso	np1	Philoso	Philoso	0
∣	∣	sy	∣	∣	0
phers	phers	ng2	phers	phers	0
have	have	vhb	have	have	0
a	a	dt	a	a	0
maxim	maxim	n1	maxim	maxim	0
indeed	indeed	av	indeed	indeed	0
▪	▪	▪	▪	▪	0
that	that	cst	that	that	0
ex	ex	fw-la	ex	ex	0
nihilo	nihilo	fw-la	nihilo	nihilo	0
nihil	nihil	fw-la	nihil	nihil	0
fit	fit	j	fit	fit	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
one	one	pi	one	one	0
well	well	av	well	well	0
distinguisheth	distinguisheth	vvz	distinguisheth	distinguish	0
)	)	)	)	)	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
understood	understood	vvn	understood	understand	0
,	,	,	,	,	0
de	de	dt	the	the	0
generatione	generatione	n1	generation	generation	0
Physica	Physica	np1	Physica	Physica	0
,	,	,	,	,	0
non	non	fw-fr	non	non	0
Creatione	Creatione	n1	Creation	creation	0
Divina	Divina	np1	Divina	Divina	0
;	;	;	;	;	0
of	of	pp-f	of	of	0
natu	natu	fw-la	natu	natu	0
∣	∣	sy	∣	∣	0
ral	ral	n1	ral	ral	0
Generation	Generation	n1	Generation	generation	0
,	,	,	,	,	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
Divine	Divine	j-jn	Divine	divine	0
Creation	Creation	n1	Creation	creation	0
.	.	.	.	.	1
Na	Na	fw-mi	Na	na	0
∣	∣	sy	∣	∣	0
ture	ture	av	ture	ture	0
must	must	vmb	must	must	0
have	have	vhi	have	have	0
something	something	pi	something	something	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
to	to	pc-acp	to	to	0
work	work	vvi	work	work	0
,	,	,	,	,	0
something	something	pi	something	something	0
whereon	whereon	c-crq	whereon	whereon	0
to	to	pc-acp	to	to	0
work	work	vvi	work	work	0
;	;	;	;	;	0
God	God	np1	God	God	0
had	had	vhd	had	have	0
neither	neither	d	neither	neither	0
of	of	pp-f	of	of	0
both	both	d	both	both	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
created	created	vvd	created	create	0
the	the	dt	the	the	0
first	first	ord	first	first	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
afterwards	afterwards	av	afterwards	afterward	0
he	he	pns31	he	he	0
created	created	vvd	created	create	0
other	other	j-jn	other	other	0
things	things	n2	things	thing	0
,	,	,	,	,	0
called	called	vvn	called	call	0
by	by	p-acp	by	by	0
Moses	Moses	np1	Moses	Moses	0
,	,	,	,	,	0
Tohu	Tohu	np1	Tohu	Tohu	0
vabohu	vabohu	av	vabohu	vabohu	0
;	;	;	;	;	0
by	by	p-acp	by	by	0
Philo	Philo	np1	Philo	Philo	0
∣	∣	sy	∣	∣	0
sophers	sophers	ng2	sophers	sophers	0
,	,	,	,	,	0
Chaos	Chaos	n1	Chaos	chaos	0
:	:	:	:	:	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
neither	neither	dx	neither	neither	0
Instrument	Instrument	n1	Instrument	instrument	0
to	to	pc-acp	to	to	0
work	work	vvi	work	work	0
with	with	p-acp	with	with	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
matter	matter	n1	matter	matter	0
to	to	pc-acp	to	to	0
work	work	vvi	work	work	0
upon	upon	p-acp	upon	upon	0
;	;	;	;	;	0
he	he	pns31	he	he	0
commanded	commanded	vvd	commanded	command	0
only	only	av-j	only	only	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
David	David	np1	David	David	0
saith	saith	vvz	says	say	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
was	was	vbds	was	be	0
made	made	vvn	made	make	0
;	;	;	;	;	0
spake	spake	vvd	spoke	speak	0
the	the	dt	the	the	0
word	word	n1	word	word	0
only	only	av-j	only	only	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
was	was	vbds	was	be	0
Created	Created	vvn	Created	create	0
.	.	.	.	.	1
God	God	np1	God	God	0
said	said	vvd	said	say	0
,	,	,	,	,	0
let	let	vvb	let	let	0
there	there	pc-acp	there	there	0
be	be	vbi	be	be	0
Light	Light	j	Light	light	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
Which	Which	r-crq	Which	which	0
supposeth	supposeth	vvz	supposeth	suppose	0
no	no	dx	no	no	0
matter	matter	n1	matter	matter	0
to	to	pc-acp	to	to	0
work	work	vvi	work	work	0
upon	upon	p-acp	upon	upon	0
but	but	p-acp	but	but	0
God	God	np1	God	God	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Power	Power	n1	Power	power	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
word	word	n1	word	word	0
created	created	vvd	created	create	0
it	it	pn31	it	it	0
:	:	:	:	:	0
Omnipotency	Omnipotency	n1	Omnipotency	omnipotency	0
can	can	vmb	can	can	0
effect	effect	vvi	effect	effect	0
things	things	n2	things	thing	0
without	without	p-acp	without	without	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
Creation	Creation	n1	Creation	creation	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
act	act	n1	act	act	0
of	of	pp-f	of	of	0
Omni	Omni	fw-la	Omni	omni	0
∣	∣	sy	∣	∣	0
potency	potency	n1	potency	potency	0
.	.	.	.	.	1
Angels	Angels	ng1	Angels	angel	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Souls	Souls	n2	Souls	soul	0
of	of	pp-f	of	of	0
Men	Men	n2	Men	man	0
were	were	vbdr	were	be	0
created	created	vvn	created	create	0
of	of	pp-f	of	of	0
nothing	nothing	pix	nothing	nothing	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
immaterial	immaterial	j	immaterial	immaterial	0
;	;	;	;	;	0
God	God	np1	God	God	0
therefore	therefore	av	therefore	therefore	0
can	can	vmb	can	can	0
as	as	a-acp	as	as	0
well	well	av	well	well	0
cre	cre	c-acp	credit	ere	0
∣	∣	sy	∣	∣	0
ate	ate	zz	ate	ate	0
,	,	,	,	,	0
other	other	j-jn	other	other	0
things	things	n2	things	thing	0
.	.	.	.	.	1
If	If	cs	If	if	0
God	God	np1	God	God	0
created	created	vvd	created	create	0
the	the	dt	the	the	0
World	World	n1	World	world	0
from	from	p-acp	from	from	0
some	some	d	some	some	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
then	then	cs	then	than	0
that	that	d	that	that	0
matter	matter	n1	matter	matter	0
had	had	vhd	had	have	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
from	from	p-acp	from	from	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
,	,	,	,	,	0
or	or	cc	or	or	0
from	from	p-acp	from	from	0
another	another	j-jn	another	another	0
:	:	:	:	:	0
if	if	cs	if	if	0
from	from	p-acp	from	from	0
another	another	j-jn	another	another	0
,	,	,	,	,	0
then	then	av	then	then	0
that	that	cst	that	that	0
was	was	vbds	was	be	0
created	created	vvn	created	create	0
of	of	pp-f	of	of	0
nothing	nothing	pix	nothing	nothing	0
;	;	;	;	;	0
if	if	cs	if	if	0
from	from	p-acp	from	from	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
,	,	,	,	,	0
then	then	av	then	then	0
should	should	vmd	should	shall	0
it	it	pn31	it	it	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
same	same	d	same	same	0
