Lord	Lord	n1	Lord	lord	0
vse	vse	vvi	use	use	0
to	to	pc-acp	to	to	0
vse	vse	vvi	use	use	0
cōmon	cōmon	j	common	common	0
whores	whores	n2	whores	whore	0
on	on	p-acp	on	on	0
former	former	j	former	former	0
Shroue	Shroue	np1	Shroue	Shrove	0
.	.	.	.	.	1
Tuesdayes	Tuesdayes	np2	Tuesdayes	Tuesday	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
all's	all's	d|vbz	all's	all|be	0
one	one	pi	one	one	0
,	,	,	,	,	0
let	let	vvb	let	let	0
him	him	pno31	him	he	0
doe	doe	vdi	do	do	0
his	his	po31	his	his	0
worst	worst	js	worst	worst	0
,	,	,	,	,	0
she	she	pns31	she	she	0
is	is	vbz	is	be	0
confidently	confidently	av-j	confidently	confident	0
arm'd	arm'd	vvn	armed	arm	0
with	with	p-acp	with	with	0
Innocencie	Innocencie	n1	Innocence	innocence	0
:	:	:	:	:	0
and	and	cc	and	and	0
the	the	dt	the	the	0
threates	threates	n2	threats	threat	0
or	or	cc	or	or	0
danger	danger	n1	danger	danger	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
bad	bad	j	bad	bad	0
,	,	,	,	,	0
cannot	cannot	vmbx	cannot	can	0
affright	affright	vvi	affright	affright	0
her	her	pno31	her	she	0
but	but	p-acp	but	but	0
that	that	cst	that	that	0
she	she	pns31	she	she	0
will	will	vmb	will	will	0
attempt	attempt	vvi	attempt	attempt	0
to	to	pc-acp	to	to	0
recreate	recreate	vvi	recreate	recreate	0
the	the	dt	the	the	0
good	good	j	good	good	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
a	a	dt	a	a	0
word	word	n1	word	word	0
,	,	,	,	,	0
all	all	d	all	all	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
amisse	amisse	av	amiss	amiss	0
in	in	p-acp	in	in	0
her	her	pno31	her	she	0
,	,	,	,	,	0
I	I	pns11	I	i	0
pray	pray	vvb	pray	pray	0
you	you	pn22	you	you	0
impute	impute	vvb	impute	impute	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
bad	bad	j	bad	bad	0
Tutorship	Tutorship	n1	Tutorship	tutorship	0
,	,	,	,	,	0
and	and	cc	and	and	0
her	her	po31	her	her	0
owne	owne	d	own	own	0
frailety	frailety	n1	frailty	frailty	0
;	;	;	;	;	0
all	all	d	all	all	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
of	of	pp-f	of	of	0
her	her	pno31	her	she	0
,	,	,	,	,	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
she	she	pns31	she	she	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
merry	merry	j	merry	merry	0
Whore	Whore	n1	Whore	whore	0
,	,	,	,	,	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
words	words	n2	words	word	0
:	:	:	:	:	0
A	A	dt	A	a	0
kinde	kinde	j	kind	kind	0
Whore	Whore	n1	Whore	whore	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
had	had	vhn	had	have	0
for	for	p-acp	for	for	0
money	money	n1	money	money	0
or	or	cc	or	or	0
loue	loue	n1	love	love	0
any	any	d	any	any	0
where	where	q-crq	where	where	0
;	;	;	;	;	0
a	a	dt	a	a	0
true	true	j	true	true	0
Whore	Whore	n1	Whore	whore	0
and	and	cc	and	and	0
constant	constant	j	constant	constant	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
shee	shee	pns31	she	she	0
will	will	vmb	will	will	0
neuer	neuer	av-x	never	never	0
forsake	forsake	vvi	forsake	forsake	0
any	any	d	any	any	0
man	man	n1	man	man	0
that	that	cst	that	that	0
will	will	vmb	will	will	0
keepe	keepe	vvi	keep	keep	0
her	her	pno31	her	she	0
:	:	:	:	:	0
and	and	cc	and	and	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
shee	shee	pns31	she	she	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
honest	honest	j	honest	honest	0
Whore	Whore	n1	Whore	whore	0
)	)	)	)	)	0
she	she	pns31	she	she	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
poore	poore	j	poor	poor	0
Whore	Whore	n1	Whore	whore	0
,	,	,	,	,	0
and	and	cc	and	and	0
hath	hath	vhz	hath	have	0
neither	neither	dx	neither	neither	0
money	money	n1	money	money	0
nor	nor	ccx	nor	nor	0
Sprats	Sprats	n2	Sprats	sprat	0
;	;	;	;	;	0
so	so	av	so	so	0
take	take	vvb	take	take	0
my	my	po11	my	my	0
Whore	Whore	n1	Whore	whore	0
amongst	amongst	p-acp	among	among	0
yon	yon	d	yond	yond	0
as	as	c-acp	as	as	0
she	she	pns31	she	she	0
is	is	vbz	is	be	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
after	after	p-acp	after	after	0
this	this	d	this	this	0
,	,	,	,	,	0
I'le	I'le	pns11|vmb	I'll	I|will	0
be	be	vbi	be	be	0
exceeding	exceeding	av-vvg	exceeding	exceed	0
briefe	briefe	j	brief	brief	0
To	To	pc-acp	To	to	0
send	send	vvi	send	send	0
another	another	j-jn	another	another	0
Pamphlet	Pamphlet	n1	Pamphlet	pamphlet	0
call'd	call'd	vvd	called	call	0
a	a	dt	a	a	0
Thiefe	Thiefe	n1	Thief	thief	0
;	;	;	;	;	0
The	The	dt	The	the	0
Hue	Hue	n1	Hue	hue	0
and	and	cc	and	and	0
Cry	Cry	n1	Cry	cry	0
is	is	vbz	is	be	0
out	out	av	out	out	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
protest	protest	vvb	protest	protest	0
,	,	,	,	,	0
Thought	Thought	vvd	Thought	think	0
he	he	pns31	he	he	0
scape	scape	vvi	escape	escape	0
hanging	hanging	vvg	hanging	hang	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
he	he	pns31	he	he	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
prest	prest	vvn	pressed	press	0
.	.	.	.	.	1
