SEeing	SEeing	vvg	SEeing	see	0
rallel	rallel	n1	rallel	rallel	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
sufficiency	sufficiency	n1	sufficiency	sufficiency	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
Province	Province	n1	Province	province	0
,	,	,	,	,	0
so	so	av	so	so	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
easy	easy	j	easy	easy	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
circumstances	circumstances	n2	circumstances	circumstance	0
Speakers	Speakers	n2	Speakers	speaker	0
are	are	vbr	are	be	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
a	a	dt	a	a	0
Man	Man	n1	Man	man	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Chair	Chair	n1	Chair	chair	0
of	of	pp-f	of	of	0
more	more	dc	more	more	0
Integrity	Integrity	n1	Integrity	integrity	0
(	(	(	(	(	0
or	or	cc	or	or	0
natural	natural	j	natural	natural	0
Byass	Byass	n1	Bias	bias	0
)	)	)	)	)	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Pub	Pub	fw-la	Pub	pub	0
∣	∣	sy	∣	∣	0
lick	lick	n1	lick	lick	0
Good	Good	j	Good	good	0
;	;	;	;	;	0
and	and	cc	and	and	0
so	so	av	so	so	0
far	far	av-j	far	far	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Protestant	Protestant	n1	Protestant	protestant	0
Cause	Cause	n1	Cause	cause	0
.	.	.	.	.	1
I	I	pns11	I	i	0
do	do	vdb	do	do	0
fancy	fancy	vvi	fancy	fancy	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
therefore	therefore	av	therefore	therefore	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
earnest	earnest	n1	earnest	earnest	0
turn	turn	vvb	turn	turn	0
off	off	a-acp	off	off	0
any	any	d	any	any	0
seasonable	seasonable	j	seasonable	seasonable	0
well-digested	well-digested	j	well-digested	well-digested	0
Motion	Motion	n1	Motion	motion	0
(	(	(	(	(	0
if	if	cs	if	if	0
any	any	d	any	any	0
be	be	vbb	be	be	0
tendred	tendred	vvn	tendered	tender	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
House	House	n1	House	house	0
)	)	)	)	)	0
for	for	p-acp	for	for	0
Moderation	Moderation	n1	Moderation	moderation	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
business	business	n1	business	business	0
of	of	pp-f	of	of	0
Religion	Religion	n1	Religion	religion	0
.	.	.	.	.	1
I	I	pns11	I	i	0
do	do	vdb	do	do	0
think	think	vvi	think	think	0
him	him	pno31	him	he	0
verily	verily	av-j	verily	very	0
a	a	dt	a	a	0
man	man	n1	man	man	0
Unconcern'd	Unconcern'd	vvn	Unconcerned	unconcern	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Non	Non	fw-fr	Non	non	0
∣	∣	sy	∣	∣	0
conformists	conformists	ng1	conformists	conformists	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
not	not	xx	not	not	0
Malicious	Malicious	j	Malicious	malicious	0
to	to	p-acp	to	to	0
Good	Good	j	Good	good	0
People	People	n1	People	people	0
;	;	;	;	;	0
and	and	cc	and	and	0
though	though	cs	though	though	0
Portly	Portly	j	Portly	portly	0
,	,	,	,	,	0
not	not	xx	not	not	0
so	so	av	so	so	0
High	High	j	High	high	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
Offended	Offended	vvn	Offended	offend	0
at	at	p-acp	at	at	0
a	a	dt	a	a	0
Mean	Mean	j	Mean	mean	0
mans	mans	ng1	men	man	0
good	good	j	good	good	0
Conceit	Conceit	n1	Conceit	conceit	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
.	.	.	.	.	1
I	I	pns11	I	i	0
am	am	vbm	am	be	0
perswaded	perswaded	vvn	persuaded	persuade	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
sphear	sphear	n1	sphere	sphere	0
,	,	,	,	,	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
put	put	vvi	put	put	0
a	a	dt	a	a	0
greater	greater	jc	greater	great	0
Dignity	Dignity	n1	Dignity	dignity	0
upon	upon	p-acp	upon	upon	0
him	him	pno31	him	he	0
(	(	(	(	(	0
if	if	cs	if	if	0
he	he	pns31	he	he	0
serves	serves	vvz	serves	serve	0
our	our	po12	our	our	0
End	End	vvb	End	end	0
)	)	)	)	)	0
than	than	cs	than	than	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
peculiarity	peculiarity	n1	peculiarity	peculiarity	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
a	a	dt	a	a	0
Dedication	Dedication	n1	Dedication	dedication	0
.	.	.	.	.	1
If	If	cs	If	if	0
he	he	pns31	he	he	0
deceives	deceives	vvz	deceives	deceive	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
proves	proves	vvz	proves	prove	0
one	one	pi	one	one	0
that	that	d	that	that	0
designes	designes	n2	designs	design	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
Evil	Evil	j-jn	Evil	evil	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
the	the	dt	the	the	0
best	best	js	best	best	0
things	things	n2	things	thing	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
let	let	vvb	let	let	0
him	him	pno31	him	he	0
answer	answer	vvi	answer	answer	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Almighty	Almighty	j-jn	Almighty	almighty	0
:	:	:	:	:	0
He	He	pns31	He	he	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
no	no	av-dx	no	no	0
longer	longer	av-jc	longer	long	0
my	my	po11	my	my	0
Patron	Patron	n1	Patron	patron	0
on	on	p-acp	on	on	0
Earth	Earth	n1	Earth	earth	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
Saint	Saint	n1	Saint	saint	0
in	in	p-acp	in	in	0
Heaven	Heaven	n1	Heaven	heaven	0
.	.	.	.	.	1
