DVTY	DVTY	n1	DVTY	dvty	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
sonnes	sonnes	n2	sons	son	0
of	of	pp-f	of	of	0
Elie	Elie	np1	Elie	Elie	0
made	made	vvd	made	make	0
the	the	dt	the	the	0
offering	offering	n-vvg	offering	offer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
abhorred	abhorred	vvn	abhorred	abhor	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
such	such	d	such	such	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
vntowardnes	vntowardnes	n1	untowardness	untowardness	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
age	age	n1	age	age	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
time	time	n1	time	time	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
haue	haue	vhi	have	have	0
abounded	abounded	vvn	abounded	abound	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
knowledge	knowledge	n1	knowledge	knowledge	0
ne	ne	ccx	ne	ne	0
∣	∣	sy	∣	∣	0
cessary	cessary	j-jn	cessary	cessary	0
to	to	p-acp	to	to	0
salvation	salvation	n1	salvation	salvation	0
,	,	,	,	,	0
that	that	cst	that	that	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
coun	coun	vvb	con	con	0
∣	∣	sy	∣	∣	0
trey	trey	n1	trey	trey	0
people	people	n1	people	people	0
(	(	(	(	(	0
specially	specially	av-j	specially	special	0
where	where	c-crq	where	where	0
the	the	dt	the	the	0
worde	worde	n1	word	word	0
hath	hath	vhz	hath	have	0
seldome	seldome	av	seldom	seldom	0
beene	beene	vbn	been	be	0
divided	divided	vvn	divided	divide	0
aright	aright	av	aright	aright	0
)	)	)	)	)	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
the	the	dt	the	the	0
inhabitants	inhabitants	n2	inhabitants	inhabitant	0
of	of	pp-f	of	of	0
townes	townes	n2	towns	town	0
&	&	cc	&	and	0
cities	cities	n2	cities	city	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
too	too	av	too	too	0
many	many	d	many	many	0
places	places	n2	places	place	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
lande	lande	n1	land	land	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
neede	neede	n1	need	need	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
taught	taught	vvn	taught	teach	0
the	the	dt	the	the	0
first	first	ord	first	first	0
principles	principles	n2	principles	principle	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
now	now	av	now	now	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
latter	latter	d	latter	latter	0
daies	daies	n2	days	day	0
,	,	,	,	,	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
one	one	crd	one	one	0
side	side	n1	side	side	0
,	,	,	,	,	0
the	the	dt	the	the	0
pride	pride	n1	pride	pride	0
of	of	pp-f	of	of	0
life	life	n1	life	life	0
,	,	,	,	,	0
A	A	dt	A	a	0
∣	∣	sy	∣	∣	0
theisme	theisme	n1	theisme	theisme	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
custom	custom	n1	custom	custom	0
of	of	pp-f	of	of	0
sin	sin	n1	since	sin	0
hath	hath	vhz	hath	have	0
so	so	av	so	so	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
witched	witched	vvn	witched	witch	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
heartes	heartes	n2	hearts	heart	0
of	of	pp-f	of	of	0
most	most	ds	most	most	0
men	men	n2	men	man	0
are	are	vbr	are	be	0
become	become	vvn	become	become	0
fat	fat	j	fat	fat	0
,	,	,	,	,	0
&	&	cc	&	and	0
their	their	po32	their	their	0
eares	eares	n2	ears	ear	0
are	are	vbr	are	be	0
dul	dul	j	dul	dull	0
of	of	pp-f	of	of	0
hearing	hearing	vvg	hearing	hear	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
word	word	n1	word	word	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
hear	hear	vvb	hear	hear	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
profit	profit	vvi	profit	profit	0
thē	thē	pno32	them	they	0
:	:	:	:	:	0
neither	neither	dx	neither	neither	0
do	do	vdb	do	do	0
the	the	dt	the	the	0
manifolde	manifolde	j	manifold	manifold	0
tokens	tokens	n2	tokens	token	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
anger	anger	n1	anger	anger	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
vealed	vealed	vvn	vealed	veal	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
impiety	impiety	n1	impiety	impiety	0
&	&	cc	&	and	0
vnrighte	vnrighte	n1	unright	unright	0
∣	∣	sy	∣	∣	0
ousnes	ousnes	n1	ousnes	ousnes	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
age	age	n1	age	age	0
,	,	,	,	,	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
pestilence	pestilence	n1	pestilence	pestilence	0
,	,	,	,	,	0
the	the	dt	the	the	0
late	late	j	late	late	0
dearth	dearth	n1	dearth	dearth	0
,	,	,	,	,	0
sundry	sundry	j	sundry	sundry	0
new	new	j	new	new	0
&	&	cc	&	and	0
strang	strang	j	strange	strange	0
sicknes	sicknes	n1	sickness	sickness	0
∣	∣	sy	∣	∣	0
ses	ses	fw-fr	ses	ses	0
)	)	)	)	)	0
nor	nor	ccx	nor	nor	0
the	the	dt	the	the	0
present	present	j	present	present	0
troubles	troubles	n2	troubles	trouble	0
of	of	pp-f	of	of	0
wars	wars	n2	wars	war	0
,	,	,	,	,	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
side	side	n1	side	side	0
other	other	n-jn	other	other	0
innumurable	innumurable	j	innumurable	innumurable	0
exāples	exāples	n2	examples	example	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
displeasure	displeasure	n1	displeasure	displeasure	0
daily	daily	av-j	daily	daily	0
seene	seene	vvn	seen	see	0
among	among	p-acp	among	among	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
moue	moue	vvi	move	move	0
secure	secure	j	secure	secure	0
worldlings	worldlings	n2	worldlings	worldling	0
,	,	,	,	,	0
and	and	cc	and	and	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
are	are	vbr	are	be	0
hardened	hardened	vvn	hardened	harden	0
in	in	p-acp	in	in	0
vngodlines	vngodlines	n1	ungodliness	ungodliness	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
turne	turne	vvi	turn	turn	0
frō	frō	p-acp	from	from	0
their	their	po32	their	their	0
own	own	d	own	own	0
waies	waies	n2	ways	way	0
,	,	,	,	,	0
&	&	cc	&	and	0
to	to	pc-acp	to	to	0
obey	obey	vvi	obey	obey	0
the	the	dt	the	the	0
gos	gos	vvz	gos	go	0
∣	∣	sy	∣	∣	0
pell	pell	av	pell	pell	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
while	while	cs	while	while	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
yet	yet	av	yet	yet	0
called	called	vvn	called	call	0
To	To	p-acp	To	to	0
day	day	n1	day	day	0
.	.	.	.	.	1
And	And	cc	And	and	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
side	side	n1	side	side	0
,	,	,	,	,	0
the	the	dt	the	the	0
poison	poison	n1	poison	poison	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whorish	whorish	j	whorish	whorish	0
church	church	n1	church	church	0
of	of	pp-f	of	of	0
Rome	Rome	np1	Rome	Rome	0
hath	hath	vhz	hath	have	0
so	so	av	so	so	0
spred	spred	vvn	spread	spread	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
over	over	p-acp	over	over	0
the	the	dt	the	the	0
worlde	worlde	n1	world	world	0
,	,	,	,	,	0
that	that	cst	that	that	0
as	as	p-acp	as	as	0
certaine	certaine	j	certain	certain	0
wilde	wilde	j	wild	wild	0
beastes	beastes	n2	beasts	beast	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
Cicero	Cicero	np1	Cicero	Cicero	0
writeth	writeth	vvz	writeth	write	0
,	,	,	,	,	0
Denl	Denl	np1	Denl	Denl	0
.	.	.	.	.	0
deor	deor	j-jn	deor	dear	0
.	.	.	.	.	0
lib	lib	n1	lib	lib	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	0
whē	whē	c-crq	when	when	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
hūted	hūted	vvn	hunted	hunt	0
,	,	,	,	,	0
are	are	vbr	are	be	0
wont	wont	j	wont	wont	0
with	with	p-acp	with	with	0
an	an	dt	and	a	0
in	in	n1	in	inn	0
∣	∣	sy	∣	∣	0
tollerable	tollerable	j	tolerable	tolerable	0
filthy	filthy	j	filthy	filthy	0
sent	sent	n1	sent	scent	0
to	to	pc-acp	to	to	0
driue	driue	vvi	driven	drive	0
frō	frō	p-acp	from	from	0
thē	thē	pno32	them	they	0
the	the	dt	the	the	0
hūters	hūters	ng1	hunter's	hunter	0
;	;	;	;	;	0
so	so	av	so	so	0
the	the	dt	the	the	0
leavē	leavē	n1	leaven	leaven	0
of	of	pp-f	of	of	0
Antichrist	Antichrist	np1	Antichrist	Antichrist	0
,	,	,	,	,	0
though	though	cs	though	though	0
he	he	pns31	he	he	0
be	be	vbb	be	be	0
now	now	av	now	now	0
hunted	hunted	vvn	hunted	hunt	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
place	place	n1	place	place	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
infe	infe	n1	infe	infe	0
∣	∣	sy	∣	∣	0
cted	cted	vvd	cted	ct	0
all	all	d	all	all	0
that	that	cst	that	that	0
way	way	n1	way	way	0
where	where	c-crq	where	where	0
hee	hee	pns31	he	he	0
hath	hath	vhz	hath	have	0
gon	gon	vvn	gone	go	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
vnholesome	vnholesome	j	unwholesome	unwholesome	0
savor	savor	n1	savour	savour	0
there	there	a-acp	there	there	0
of	of	pp-f	of	of	0
can	can	vmb	can	can	0
∣	∣	sy	∣	∣	0
not	not	xx	not	not	0
yet	yet	av	yet	yet	0
be	be	vbi	be	be	0
purged	purged	vvn	purged	purge	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
bright	bright	j	bright	bright	0
fire	fire	n1	fire	fire	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
word	word	n1	word	word	0
:	:	:	:	:	0
no	no	dx	no	no	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
places	places	n2	places	place	0
where	where	c-crq	where	where	0
the	the	dt	the	the	0
word	word	n1	word	word	0
hath	hath	vhz	hath	have	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
long	long	j	long	long	0
season	season	n1	season	season	0
beene	beene	vbn	been	be	0
di	di	dt	di	the	0
∣	∣	sy	∣	∣	0
vided	vided	vvn	vided	vide	0
aright	aright	av	aright	aright	0
,	,	,	,	,	0
not	not	xx	not	not	0
withstāding	withstāding	vvg	withstanding	withstand	0
the	the	dt	the	the	0
cōtinu	cōtinu	vvi	continue	continue	0
∣	∣	sy	∣	∣	0
al	al	d	all	all	0
diligence	diligence	n1	diligence	diligence	0
of	of	pp-f	of	of	0
faithful	faithful	j	faithful	faithful	0
Pastours	Pastours	ng1	Pastors	pastors	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
ministery	ministery	n1	ministry	ministry	0
,	,	,	,	,	0
the	the	dt	the	the	0
vnreproueablenes	vnreproueablenes	n1	vnreproueablenes	vnreproueablenes	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
conversation	conversation	n1	conversation	conversation	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
godly	godly	j	godly	godly	0
writings	writings	n2-vvg	writings	write	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
learned	learned	j	learned	learned	0
and	and	cc	and	and	0
zealous	zealous	j	zealous	zealous	0
men	men	n2	men	man	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
mine	mine	po11	mine	my	0
owne	owne	d	own	own	0
part	part	n1	part	part	0
(	(	(	(	(	0
being	being	vbg	being	be	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
least	least	ds	least	least	0
&	&	cc	&	and	0
last	last	ord	last	last	0
among	among	p-acp	among	among	0
my	my	po11	my	my	0
brethrē	brethrē	n2	brothers	brethren	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
so	so	av	so	so	0
weighty	weighty	j	weighty	weighty	0
a	a	dt	a	a	0
calling	calling	n-vvg	calling	call	0
)	)	)	)	)	0
as	as	c-acp	as	as	0
afflictions	afflictions	n2	afflictions	affliction	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
assigned	assigned	j-vvn	assigned	assign	0
portion	portion	n1	portion	portion	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Christian	Christian	njp	Christian	christian	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
weakned	weakned	vvn	weakened	weaken	0
with	with	p-acp	with	with	0
Gods	Gods	npg1	Gods	God	0
visitation	visitation	n1	visitation	visitation	0
of	of	pp-f	of	of	0
sicknesse	sicknesse	n1	sickness	sickness	0
,	,	,	,	,	0
&	&	cc	&	and	0
chastened	chastened	vvn	chastened	chasten	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
adversi	adversi	fw-la	adversi	adversi	0
∣	∣	sy	∣	∣	0
ties	ties	vvz	ties	tie	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
life	life	n1	life	life	0
,	,	,	,	,	0
that	that	cst	that	that	0
little	little	av-j	little	little	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
good	good	j	good	good	0
that	that	cst	that	that	0
could	could	vmd	could	can	0
be	be	vbi	be	be	0
done	done	vdn	done	do	0
by	by	p-acp	by	by	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
.	.	.	.	.	1
I	I	pns11	I	i	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
joice	joice	n1	joice	joice	0
of	of	pp-f	of	of	0
mine	mine	po11	mine	my	0
infirmities	infirmities	n2	infirmities	infirmity	0
,	,	,	,	,	0
knowing	knowing	vvg	knowing	know	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
Mari	Mari	np1	Mari	Mari	0
hr.	hr.	n1	hr.	hr.	0
one	one	crd	one	one	0
,	,	,	,	,	0
that	that	cst	that	that	0
was	was	vbds	was	be	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
tried	tried	vvn	tried	try	0
with	with	p-acp	with	with	0
af	af	pp-f	of	of	0
∣	∣	sy	∣	∣	0
flictions	flictions	n2	flictions	fliction	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
writtē	writtē	vvn	written	write	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
cōfort	cōfort	n1	comfort	comfort	0
of	of	pp-f	of	of	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
thers	thers	pc-acp|vbz	the	there|be	0
)	)	)	)	)	0
that	that	cst	that	that	0
experience	experience	n1	experience	experience	0
&	&	cc	&	and	0
practise	practise	vvi	practise	practise	0
in	in	p-acp	in	in	0
bea	bea	fw-mi	bea	bea	0
∣	∣	sy	∣	∣	0
ring	ring	vvi	ring	ring	0
the	the	dt	the	the	0
crosse	crosse	n1	cross	cross	0
is	is	vbz	is	be	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
maketh	maketh	vvz	makes	make	0
a	a	dt	a	a	0
right	right	n-jn	right	right	0
divine	divine	j-jn	divine	divine	0
,	,	,	,	,	0
&	&	cc	&	and	0
a	a	dt	a	a	0
true	true	j	true	true	0
Christiō	Christiō	njp	Christian	christian	0
indeede	indeede	av	indeed	indeed	0
.	.	.	.	.	1
Howbeit	Howbeit	a-acp	Howbeit	howbeit	0
,	,	,	,	,	0
having	having	vhg	having	have	0
,	,	,	,	,	0
now	now	av	now	now	0
aboue	aboue	p-acp	above	above	0
a	a	dt	a	a	0
yeare	yeare	n1	year	year	0
since	since	a-acp	since	since	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
several	several	j	several	several	0
times	times	n2	times	time	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
measure	measure	n1	measure	measure	0
of	of	pp-f	of	of	0
grace	grace	n1	grace	grace	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
received	received	vvd	received	receive	0
,	,	,	,	,	0
exerci	exerci	fw-la	exerci	exerci	0
∣	∣	sy	∣	∣	0
sed	sed	zz	sed	sed	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
latter	latter	d	latter	latter	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
3.	3.	crd	3.	3.	1
Chap.	Chap.	np1	Chap.	Chap.	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ipist	ipist	n1	ipist	ipist	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Hebrewes	Hebrewes	njpg2	Hebrews	hebrew	0
,	,	,	,	,	0
&	&	cc	&	and	0
suppo	suppo	fw-it	suppo	suppo	0
∣	∣	sy	∣	∣	0
sing	sing	vvb	sing	sing	0
that	that	d	that	that	0
setipture	setipture	n1	setipture	setipture	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
most	most	av-ds	most	most	0
fit	fit	j	fit	fit	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
handled	handled	vvn	handled	handle	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
daies	daies	n2	days	day	0
,	,	,	,	,	0
and	and	cc	and	and	0
among	among	p-acp	among	among	0
those	those	d	those	those	0
people	people	n1	people	people	0
whō	whō	ro-crq	whom	who	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
to	to	pc-acp	to	to	0
instruct	instruct	vvi	instruct	instruct	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
my	my	po11	my	my	0
duty	duty	n1	duty	duty	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
rather	rather	av-c	rather	rather	0
being	being	vbg	being	be	0
reque	reque	fw-la	reque	reque	0
∣	∣	sy	∣	∣	0
sted	sted	n1	stead	stead	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
the	the	dt	the	the	0
same	same	d	same	same	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
benefite	benefite	n1	benefit	benefit	0
of	of	pp-f	of	of	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
specially	specially	av-j	specially	special	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
hun	hun	zz	hun	hun	0
∣	∣	sy	∣	∣	0
ger	ger	pno31	her	she	0
after	after	p-acp	after	after	0
good	good	j	good	good	0
things	things	n2	things	thing	0
,	,	,	,	,	0
&	&	cc	&	and	0
accept	accept	vvi	accept	accept	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
portiō	portiō	n1	portion	portion	0
of	of	pp-f	of	of	0
meat	meat	n1	meat	meat	0
which	which	r-crq	which	which	0
curious	curious	j	curious	curious	0
&	&	cc	&	and	0
ful	ful	j	full	full	0
sto	sto	n1	sto	sto	0
∣	∣	sy	∣	∣	0
mackes	mackes	n2	mackes	macke	0
haue	haue	vhb	have	have	0
no	no	dx	no	no	0
lust	lust	n1	lust	lust	0
to	to	p-acp	to	to	0
.	.	.	.	.	1
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
added	added	vvn	added	add	0
thereto	thereto	av	thereto	thereto	0
a	a	dt	a	a	0
sermon	sermon	n1	sermon	sermon	0
,	,	,	,	,	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
whereof	whereof	c-crq	whereof	whereof	0
&	&	cc	&	and	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
annexing	annexing	vvg	annexing	annex	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
these	these	d	these	these	0
Le	Le	fw-fr	Le	le	0
∣	∣	sy	∣	∣	0
ctures	ctures	n2	ctures	cture	0
is	is	vbz	is	be	0
briefly	briefly	av-j	briefly	brief	0
specified	specified	vvn	specified	specify	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
preface	preface	n1	preface	preface	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
reader	reader	n1	reader	reader	0
.	.	.	.	.	0
if	if	cs	if	if	0
profane	profane	j	profane	profane	0
