ALbeit	ALbeit	cs	ALbeit	albeit	0
rich	rich	j	rich	rich	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
Marigold	Marigold	n1	Marigold	marigold	0
Heliotropiuim	Heliotropiuim	np1	Heliotropiuim	Heliotropiuim	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
openeth	openeth	vvz	openeth	open	0
and	and	cc	and	and	0
setteth	setteth	vvz	sets	set	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Sunne	Sunne	n1	Sun	sun	0
,	,	,	,	,	0
(	(	(	(	(	0
and	and	cc	and	and	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
as	as	a-acp	as	as	0
profitable	profitable	j	profitable	profitable	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
is	is	vbz	is	be	0
beautifull	beautifull	j	beautiful	beautiful	0
)	)	)	)	)	0
this	this	d	this	this	0
is	is	vbz	is	be	0
(	(	(	(	(	0
amongst	amongst	p-acp	among	among	0
other	other	j-jn	other	other	0
sweet	sweet	j	sweet	sweet	0
and	and	cc	and	and	0
holesome	holesome	j	wholesome	wholesome	0
hearbs	hearbs	n2	herbs	herb	0
)	)	)	)	)	0
ordinarie	ordinarie	j	ordinary	ordinary	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
poorest	poorest	js	poorest	poor	0
Orchard	Orchard	n1	Orchard	orchard	0
.	.	.	.	.	1
These	These	np1	These	Theise	0
kinde	kinde	n1	kind	kind	0
of	of	pp-f	of	of	0
hearbs	hearbs	n2	herbs	herb	0
sometime	sometime	av	sometime	sometime	0
they	they	pns32	they	they	0
vse	vse	vvb	use	use	0
for	for	p-acp	for	for	0
meate	meate	n1	meat	meat	0
and	and	cc	and	and	0
medicine	medicine	n1	medicine	medicine	0
;	;	;	;	;	0
and	and	cc	and	and	0
often	often	av	often	often	0
,	,	,	,	,	0
wanting	wanting	vvg	wanting	want	0
things	things	n2	things	thing	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
their	their	po32	their	their	0
betters	betters	n2-j	betters	better	0
with	with	p-acp	with	with	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
they	they	pns32	they	they	0
doe	doe	vdb	do	do	0
offer	offer	vvi	offer	offer	0
a	a	dt	a	a	0
poesie	poesie	n1	poesy	poesy	0
of	of	pp-f	of	of	0
flowers	flowers	n2	flowers	flower	0
:	:	:	:	:	0
As	As	c-acp	As	as	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
receiued	receiued	vvn	received	receive	0
so	so	av	so	so	0
they	they	pns32	they	they	0
giue	giue	vvb	give	give	0
.	.	.	.	.	1
That	That	cst	That	that	0
spirituall	spirituall	j	spiritual	spiritual	0
Garden	Garden	n1	Garden	garden	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
committed	committed	vvn	committed	commit	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
keeping	keeping	n-vvg	keeping	keep	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
time	time	n1	time	time	0
any	any	d	any	any	0
rare	rare	j	rare	rare	0
flowers	flowers	n2	flowers	flower	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
being	being	vbg	being	be	0
planted	planted	vvn	planted	plant	0
some	some	d	some	some	0
few	few	d	few	few	0
yeares	yeares	n2	years	year	0
past	past	j	past	past	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
now	now	av	now	now	0
shew	shew	vvi	show	show	0
themselues	themselues	px32	themselves	themselves	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
more	more	av-dc	more	more	0
Orient	Orient	j-jn	Orient	orient	0
colour	colour	n1	colour	colour	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
greater	greater	jc	greater	great	0
aboun	aboun	n1	aboum	aboum	0
∣	∣	sy	∣	∣	0
dance	dance	n1	dance	dance	0
.	.	.	.	.	1
Out	Out	av	Out	out	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
this	this	d	this	this	0
spring-time	spring-time	n1	springtime	spring-time	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
gathered	gathered	vvn	gathered	gather	0
three	three	crd	three	three	0
seuerall	seuerall	j	several	several	0
nose-gaies	nose-gaies	n2	nosegays	nosegay	0
,	,	,	,	,	0
and	and	cc	and	and	0
two	two	crd	two	two	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
are	are	vbr	are	be	0
presented	presented	vvn	presented	present	0
to	to	p-acp	to	to	0
two	two	crd	two	two	0
,	,	,	,	,	0
most	most	av-ds	most	most	0
honourable	honourable	j	honourable	honourable	0
Counsellers	Counsellers	n2	Counsellers	counseller	0
:	:	:	:	:	0
this	this	d	this	this	0
Third	Third	ord	Third	three	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
bold	bold	j	bold	bold	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
.	.	.	.	.	1
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
there	there	a-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
such	such	d	such	such	0
Antipathie	Antipathie	n1	Antipathy	antipathy	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
twixt	twixt	p-acp	betwixt	betwixt	0
flowers	flowers	n2	flowers	flower	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
there	there	pc-acp	there	there	0
was	was	vbds	was	be	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
a	a	dt	a	a	0
worthie	worthie	j	worthy	worthy	0
Ladie	Ladie	n1	Lady	lady	0
and	and	cc	and	and	0
a	a	dt	a	a	0
Rose	Rose	n1	Rose	rose	0
:	:	:	:	:	0
The	The	dt	The	the	0
Ladie	Ladie	n1	Lady	lady	0
Hennage	Hennage	vvi	Hennage	hennage	0
.	.	.	.	.	0
especially	especially	av-j	especially	especial	0
such	such	d	such	such	0
flowers	flowers	n2	flowers	flower	0
as	as	c-acp	as	as	0
these	these	d	these	these	0
;	;	;	;	;	0
since	since	c-acp	since	since	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
giueth	giueth	vvz	gives	give	0
colour	colour	n1	colour	colour	0
and	and	cc	and	and	0
smell	smell	vvi	smell	smell	0
to	to	p-acp	to	to	0
euery	euery	d	every	every	0
flower	flower	n1	flower	flower	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
poesie	poesie	n1	poesy	poesy	0
,	,	,	,	,	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
fairest	fairest	js	fairest	fair	0
flower	flower	n1	flower	flower	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
Garden	Garden	n1	Garden	garden	0
.	.	.	.	.	1
You	You	pn22	You	you	0
haue	haue	vhb	have	have	0
,	,	,	,	,	0
I	I	pns11	I	i	0
confesse	confesse	vvb	confess	confess	0
,	,	,	,	,	0
great	great	j	great	great	0
honour	honour	n1	honour	honour	0
vpon	vpon	p-acp	upon	upon	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
being	being	vbg	being	be	0
descended	descended	vvn	descended	descend	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Royall	Royall	j	Royal	royal	0
familie	familie	n1	family	family	0
,	,	,	,	,	0
Allied	Allied	vvn	Allied	ally	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
Peeres	Peeres	n2	Peers	peer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Land	Land	n1	Land	land	0
,	,	,	,	,	0
E	E	sy	E	e	0
∣	∣	sy	∣	∣	0
spoused	spoused	vvn	spoused	spouse	0
to	to	p-acp	to	to	0
an	an	dt	and	a	0
honourable	honourable	j	honourable	honourable	0
Knight	Knight	n1	Knight	knight	0
,	,	,	,	,	0
blessed	blessed	vvn	blessed	bless	0
with	with	p-acp	with	with	0
hopefull	hopefull	j	hopeful	hopeful	0
children	children	n2	children	child	0
,	,	,	,	,	0
and	and	cc	and	and	0
graced	graced	vvd	graced	grace	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
heare	heare	vvb	hear	hear	0
)	)	)	)	)	0
with	with	p-acp	with	with	0
rare	rare	j	rare	rare	0
gifts	gifts	n2	gifts	gift	0
of	of	pp-f	of	of	0
nature	nature	n1	nature	nature	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
,	,	,	,	,	0
that	that	cst	that	that	0
Christs	Christs	npg1	Christs	Christ	0
Religion	Religion	n1	Religion	religion	0
is	is	vbz	is	be	0
so	so	av	so	so	0
precious	precious	j	precious	precious	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
your	your	po22	your	your	0
greatest	greatest	js	greatest	great	0
honour	honour	n1	honour	honour	0
is	is	vbz	is	be	0
reserued	reserued	vvn	reserved	reserve	0
in	in	p-acp	in	in	0
Heauen	Heauen	n1	Heaven	heaven	0
.	.	.	.	.	1
If	If	cs	If	if	0
it	it	pn31	it	it	0
please	please	vvb	please	please	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
entertaine	entertaine	vvi	entertain	entertain	0
this	this	d	this	this	0
poore	poore	j	poor	poor	0
present	present	n1	present	present	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
before	before	p-acp	before	before	0
now	now	av	now	now	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
afraide	afraide	j	afraid	afraid	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
:	:	:	:	:	0
I	I	pns11	I	i	0
doubt	doubt	vvb	doubt	doubt	0
not	not	xx	not	not	0
but	but	p-acp	but	but	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
re	re	fw-mi	re	re	0
∣	∣	sy	∣	∣	0
ceiue	ceiue	vvb	ceiue	ceiue	0
comfort	comfort	n1	comfort	comfort	0
by	by	p-acp	by	by	0
it	it	pn31	it	it	0
:	:	:	:	:	0
so	so	av	so	so	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
receiue	receiue	vvi	receive	receive	0
such	such	d	such	such	0
fa	fa	zz	fa	fa	0
∣	∣	sy	∣	∣	0
uour	uour	n1	uour	uour	0
by	by	p-acp	by	by	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
this	this	d	this	this	0
spirituall	spirituall	j	spiritual	spiritual	0
nose-gay	nose-gay	n1	nosegay	nosegay	0
,	,	,	,	,	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
ming	ming	n1	ming	ming	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
hands	hands	n2	hands	hand	0
of	of	pp-f	of	of	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
bee	bee	vbi	be	be	0
vsed	vsed	vvn	used	use	0
as	as	p-acp	as	as	0
other	other	j-jn	other	other	0
flowers	flowers	n2	flowers	flower	0
are	are	vbr	are	be	0
,	,	,	,	,	0
this	this	d	this	this	0
mor	mor	zz	mor	mor	0
∣	∣	sy	∣	∣	0
ning	ning	n1	ning	ning	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
bosome	bosome	n1	bosom	bosom	0
,	,	,	,	,	0
the	the	dt	the	the	0
next	next	ord	next	next	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
beesome	beesome	n1	beesome	besom	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
bee	bee	vbi	be	be	0
often	often	av	often	often	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
frequent	frequent	j	frequent	frequent	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sight	sight	n1	sighed	sight	0
,	,	,	,	,	0
and	and	cc	and	and	0
comfortable	comfortable	j	comfortable	comfortable	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
sent	sent	n1	sent	scent	0
of	of	pp-f	of	of	0
each	each	d	each	each	0
sauourie	sauourie	j	savoury	savoury	0
soule	soule	n1	soul	soul	0
.	.	.	.	.	1
The	The	dt	The	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
heauen	heauen	n1	heaven	heaven	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
planted	planted	vvn	planted	plant	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
one	one	pi	one	one	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
fairest	fairest	js	fairest	fair	0
flowers	flowers	n2	flowers	flower	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Garden	Garden	n1	Garden	garden	0
,	,	,	,	,	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
Militant	Militant	j	Militant	militant	0
,	,	,	,	,	0
so	so	av	so	so	0
water	water	n1	water	water	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
dew	dew	n1	due	dew	0
of	of	pp-f	of	of	0
Heauen	Heauen	n1	Heaven	heaven	0
,	,	,	,	,	0
and	and	cc	and	and	0
heauenly	heauenly	j	heavenly	heavenly	0
Graces	Graces	n2	Graces	grace	0
;	;	;	;	;	0
that	that	cst	that	that	0
after	after	p-acp	after	after	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
long	long	av-j	long	long	0
flourished	flourished	vvn	flourished	flourish	0
here	here	av	here	here	0
,	,	,	,	,	0
you	you	pn22	you	you	0
hereafter	hereafter	av	hereafter	hereafter	0
may	may	vmb	may	may	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
Honourable	Honourable	j	Honourable	honourable	0
two	two	crd	two	two	0
Sisters	Sisters	n2	Sisters	sister	0
Eli	Eli	np1	Eli	Eli	0
∣	∣	sy	∣	∣	0
zabeth	zabeth	n1	zabeth	zabeth	0
the	the	dt	the	the	0
vertuous	vertuous	j	virtuous	virtuous	0
Countesse	Countesse	n1	Countess	countess	0
of	of	pp-f	of	of	0
Hunting	Hunting	np1	Hunting	Hunting	0
∣	∣	sy	∣	∣	0
don	don	n1	dONE	don	0
,	,	,	,	,	0
and	and	cc	and	and	0
Anne	Anne	zz	Anne	anne	0
that	that	cst	that	that	0
worthie	worthie	j	worthy	worthy	0
Ladie	Ladie	n1	Lady	lady	0
Chan	Chan	np1	Chan	Chan	0
∣	∣	sy	∣	∣	0
doyes	doyes	n1	doyes	doyes	0
,	,	,	,	,	0
bee	bee	vbi	be	be	0
transplanted	transplanted	vvn	transplanted	transplant	0
into	into	p-acp	into	into	0
that	that	d	that	that	0
Garden	Garden	n1	Garden	garden	0
of	of	pp-f	of	of	0
Eden	Eden	np1	Eden	Eden	0
,	,	,	,	,	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
Triumphant	Triumphant	j	Triumphant	triumphant	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
euer	euer	av	ever	ever	0
flourish	flourish	vvi	flourish	flourish	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Courts	Courts	n2	Courts	court	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
God	God	n1	God	god	0
.	.	.	.	.	1
London	London	np1	London	London	0
St.	St.	n1	St.	saint	0
Martins	Martins	zz	Martins	martins	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
fields	fields	n2	fields	field	0
,	,	,	,	,	0
Iune	Iune	np1	Iune	June	0
the	the	dt	the	the	0
16.	16.	crd	16.	16.	1
Anno	Anno	fw-la	Anno	anno	0
1613.	1613.	crd	1613.	1613.	1
