COurteous	COurteous	j	COurteous	courteous	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
afoote	afoote	j	afoot	afoot	0
and	and	cc	and	and	0
prosecute	prosecute	vvi	prosecute	prosecute	0
the	the	dt	the	the	0
same	same	d	same	same	0
&	&	cc	&	and	0
though	though	cs	though	though	0
it	it	pn31	it	it	0
fared	fared	vvd	fared	fare	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
common	common	j	common	common	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
most	most	ds	most	most	0
actions	actions	n2	actions	action	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
first	first	ord	first	first	0
at	at	p-acp	at	at	0
∣	∣	sy	∣	∣	0
temps	temps	fw-fr	temps	temps	0
proue	proue	vvi	prove	prove	0
diffecult	diffecult	j	diffecult	diffecult	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
sequell	sequell	n1	sequel	sequel	0
more	more	av-dc	more	more	0
at	at	p-acp	at	at	0
large	large	j	large	large	0
expresseth	expresseth	vvz	expresses	express	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
pleased	pleased	vvn	pleased	please	0
God	God	np1	God	God	0
,	,	,	,	,	0
cue	cue	n1	cue	cue	0
beyond	beyond	p-acp	beyond	beyond	0
our	our	po12	our	our	0
expectation	expectation	n1	expectation	expectation	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
short	short	j	short	short	0
a	a	dt	a	a	0
time	time	n1	time	time	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
hope	hope	n1	hope	hope	0
of	of	pp-f	of	of	0
let	let	vvb	let	let	0
∣	∣	sy	∣	∣	0
ting	ting	zf	ting	thing	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
see	see	vvi	see	see	0
(	(	(	(	(	0
though	though	cs	though	though	0
some	some	d	some	some	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
taken	taken	vvn	taken	take	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
vale	vale	n1	vale	vale	0
of	of	pp-f	of	of	0
teares	teares	n2	tears	tear	0
)	)	)	)	)	0
some	some	d	some	some	0
grounds	grounds	n2	grounds	ground	0
of	of	pp-f	of	of	0
hope	hope	n1	hope	hope	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
accomplishment	accomplishment	n1	accomplishment	accomplishment	0
of	of	pp-f	of	of	0
both	both	d	both	both	0
those	those	d	those	those	0
endes	endes	n2	ends	end	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
first	first	ord	first	first	0
propounded	propounded	vvn	propounded	propound	0
.	.	.	.	.	1
And	And	cc	And	and	0
as	as	c-acp	as	as	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
then	then	av	then	then	0
much	much	av-d	much	much	0
desired	desired	vvn	desired	desire	0
,	,	,	,	,	0
and	and	cc	and	and	0
short	short	av-j	short	short	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
hope	hope	n1	hope	hope	0
to	to	pc-acp	to	to	0
effect	effect	vvi	effect	effect	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
will	will	vmb	will	will	0
,	,	,	,	,	0
the	the	dt	the	the	0
putting	putting	vvg	putting	put	0
to	to	p-acp	to	to	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
shoulder	shoulder	n1	shoulder	shoulder	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
hopefull	hopefull	j	hopeful	hopeful	0
business	business	n1	business	business	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
meane	meane	j	mean	mean	0
time	time	n1	time	time	0
,	,	,	,	,	0
these	these	d	these	these	0
relations	relations	n2	relations	relation	0
comming	comming	vvg	coming	come	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
hand	hand	n1	hand	hand	0
from	from	p-acp	from	from	0
my	my	po11	my	my	0
both	both	d	both	both	0
known	known	vvn	known	know	0
&	&	cc	&	and	0
faithful	faithful	j	faithful	faithful	0
friends	friends	n2	friends	friend	0
,	,	,	,	,	0
on	on	p-acp	on	on	0
whose	whose	rg-crq	whose	who	0
writings	writings	n2	writings	write	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
much	much	av-d	much	much	0
rely	rely	vvi	rely	rely	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
a	a	dt	a	a	0
misse	misse	n1	miss	miss	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
them	them	pno32	them	they	0
more	more	av-dc	more	more	0
generall	generall	j	general	general	0
,	,	,	,	,	0
hoping	hoping	vvg	hoping	hope	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
cheerfull	cheerfull	j	cheerful	cheerful	0
proceeding	proceeding	n-vvg	proceeding	proceed	0
,	,	,	,	,	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
Aduenturers	Aduenturers	n2	Adventurers	adventurer	0
and	and	cc	and	and	0
planters	planters	n2	planters	planter	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
treating	treating	vvg	treating	treat	0
that	that	cst	that	that	0
the	the	dt	the	the	0
example	example	n1	example	example	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
hon	hon	n1	hon	hon	0
:	:	:	:	:	0
Virginia	Virginia	np1	Virginia	Virginia	0
and	and	cc	and	and	0
Bermudas	Bermudas	np1	Bermudas	Bermudas	0
Companies	Companies	n2	Companies	company	0
,	,	,	,	,	0
incountering	incountering	vvg	encountering	encounter	0
with	with	p-acp	with	with	0
so	so	av	so	so	0
many	many	d	many	many	0
distasters	distasters	n2	disasters	disaster	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
for	for	p-acp	for	for	0
diuers	diuers	j	diverse	diverse	0
yeares	yeares	ng2	years	year	0
toge	toge	n1	toga	toge	0
∣	∣	sy	∣	∣	0
ther	ther	a-acp	there	there	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
an	an	dt	and	a	0
vnwearied	vnwearied	j	unwearied	unwearied	0
resolution	resolution	n1	resolution	resolution	0
,	,	,	,	,	0
the	the	dt	the	the	0
good	good	j	good	good	0
ef	ef	pp-f	ef	of	0
∣	∣	sy	∣	∣	0
fects	fects	vvz	fects	fect	0
whereof	whereof	q-crq	whereof	whereof	0
are	are	vbr	are	be	0
now	now	av	now	now	0
eminent	eminent	j	eminent	eminent	0
,	,	,	,	,	0
may	may	vmb	may	may	0
preuaile	preuaile	vvi	prevail	prevail	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
spurre	spurre	n1	spur	spur	0
of	of	pp-f	of	of	0
preparation	preparation	n1	preparation	preparation	0
also	also	av	also	also	0
touching	touching	vvg	touching	touch	0
this	this	d	this	this	0
no	no	av-dx	no	no	0
lesse	lesse	av-dc	less	less	0
hopefull	hopefull	j	hopeful	hopeful	0
Country	Country	n1	Country	country	0
though	though	c-acp	though	though	0
yet	yet	av	yet	yet	0
an	an	dt	and	a	0
infant	infant	n1	infant	infant	0
,	,	,	,	,	0
the	the	dt	the	the	0
extent	extent	n1	extent	extent	0
&	&	cc	&	and	0
cōmodities	cōmodities	n2	commodities	commodity	0
whereof	whereof	q-crq	whereof	whereof	0
are	are	vbr	are	be	0
as	as	a-acp	as	as	0
yet	yet	av	yet	yet	0
not	not	xx	not	not	0
fully	fully	av-j	fully	full	0
known	known	vvn	known	know	0
,	,	,	,	,	0
after	after	p-acp	after	after	0
time	time	n1	time	time	0
wil	wil	vmb	will	will	0
vnfould	vnfould	vvi	unfold	unfold	0
more	more	av-dc	more	more	0
:	:	:	:	:	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
desire	desire	vvb	desire	desire	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
things	things	n2	things	thing	0
,	,	,	,	,	0
may	may	vmb	may	may	0
in	in	p-acp	in	in	0
forme	forme	vvi	form	form	0
themselues	themselues	px32	themselves	themselves	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
insuing	insuing	j-vvg	ensuing	ensue	0
treatise	treatise	n1	treatise	treatise	0
,	,	,	,	,	0
and	and	cc	and	and	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
please	please	vvb	please	please	0
also	also	av	also	also	0
by	by	p-acp	by	by	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
haue	haue	vhb	have	have	0
bin	bin	vbn	been	be	0
there	there	a-acp	there	there	0
a	a	dt	a	a	0
first	first	ord	first	first	0
and	and	cc	and	and	0
second	second	ord	second	second	0
time	time	n1	time	time	0
,	,	,	,	,	0
my	my	po11	my	my	0
bar	bar	n1	bar	bar	0
∣	∣	sy	∣	∣	0
ty	ty	zz	ty	ty	0
prayer	prayer	n1	prayer	prayer	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
is	is	vbz	is	be	0
that	that	d	that	that	0
the	the	dt	the	the	0
euent	euent	n1	event	event	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
and	and	cc	and	and	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
honorable	honorable	j	honourable	honourable	0
and	and	cc	and	and	0
honest	honest	j	honest	honest	0
vndertakings	vndertakings	n2-vvg	undertakings	undertake	0
,	,	,	,	,	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
furtherance	furtherance	n1	furtherance	furtherance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
kingdome	kingdome	n1	kingdom	kingdom	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
the	the	dt	the	the	0
inlarging	inlarging	n-vvg	enlarging	enlarge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
bounds	bounds	n2	bounds	bound	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Soueraigne	Soueraigne	j-jn	Sovereign	sovereign	0
Lord	Lord	n1	Lord	lord	0
King	King	n1	King	king	0
Iames	Iames	np1	Iames	Iames	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
good	good	j	good	good	0
and	and	cc	and	and	0
profit	profit	n1	profit	profit	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
either	either	av-d	either	either	0
by	by	p-acp	by	by	0
purse	purse	n1	purse	purse	0
,	,	,	,	,	0
or	or	cc	or	or	0
person	person	n1	person	person	0
,	,	,	,	,	0
or	or	cc	or	or	0
both	both	d	both	both	0
,	,	,	,	,	0
are	are	vbr	are	be	0
agents	agents	n2	agents	agent	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
so	so	av	so	so	0
I	I	pns11	I	i	0
take	take	vvb	take	take	0
leaue	leaue	n1	leave	leave	0
and	and	cc	and	and	0
rest	rest	n1	rest	rest	1
