YOVR	YOVR	po22	YOUR	your	0
such	such	d	such	such	0
a	a	dt	a	a	0
parte	parte	n1	part	part	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
none	none	pix	none	none	0
can	can	vmb	can	can	0
make	make	vvi	make	make	0
you	you	pn22	you	you	0
two	two	crd	two	two	0
,	,	,	,	,	0
other	other	j-jn	other	other	0
then	then	av	then	then	0
one	one	crd	one	one	0
.	.	.	.	.	1
And	And	cc	And	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
honor	honor	n1	honour	honour	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Sexe	Sexe	n1	Sex	sex	0
,	,	,	,	,	0
let	let	vvb	let	let	0
me	me	pno11	me	i	0
saie	saie	vvi	say	say	0
it	it	pn31	it	it	0
,	,	,	,	,	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
a	a	dt	a	a	0
woeman	woeman	n1	woman	woman	0
,	,	,	,	,	0
though	though	cs	though	though	0
farr	farr	av-j	far	far	0
aboue	aboue	p-acp	above	above	0
other	other	j-jn	other	other	0
women	women	n2	women	woman	0
,	,	,	,	,	0
the	the	dt	the	the	0
∣	∣	sy	∣	∣	0
refore	refore	av	refore	refore	0
fittest	fittest	js	fittest	fit	0
to	to	p-acp	to	to	0
protect	protect	vvi	protect	protect	0
a	a	dt	a	a	0
womans	womans	ng1	woman's	woman	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
if	if	cs	if	if	0
a	a	dt	a	a	0
plaine	plaine	j	plain	plain	0
translation	translation	n1	translation	translation	0
wherein	wherein	c-crq	wherein	wherein	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
aimed	aimed	vvn	aimed	aim	0
at	at	p-acp	at	at	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
rightlie	rightlie	av-jn	rightly	right	0
to	to	pc-acp	to	to	0
expresse	expresse	vvi	express	express	0
the	the	dt	the	the	0
Au	Au	fw-fr	Au	au	0
∣	∣	sy	∣	∣	0
thors	thors	n2	thors	thor	0
intention	intention	n1	intention	intention	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
called	called	vvn	called	call	0
a	a	dt	a	a	0
worke	worke	n1	work	work	0
.	.	.	.	.	1
And	And	cc	And	and	0
last	last	ord	last	last	0
(	(	(	(	(	0
to	to	pc-acp	to	to	0
crowne	crowne	vvi	crown	crown	0
your	your	po22	your	your	0
other	other	j-jn	other	other	0
additions	additions	n2	additions	addition	0
)	)	)	)	)	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
a	a	dt	a	a	0
Catholicke	Catholicke	jp	Catholic	catholic	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
zealous	zealous	j	zealous	zealous	0
one	one	pi	one	one	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
fittest	fittest	js	fittest	fit	0
to	to	p-acp	to	to	0
receiue	receiue	vvi	receive	receive	0
the	the	dt	the	the	0
dedication	dedication	n1	dedication	dedication	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Catholicke-worke	Catholicke-worke	n1	Catholic-work	catholic-work	0
.	.	.	.	.	1
And	And	cc	And	and	0
besides	besides	p-acp	beside	beside	0
all	all	d	all	all	0
this	this	d	this	this	0
which	which	r-crq	which	which	0
doth	doth	vdz	does	do	0
appropriate	appropriate	vvi	appropriate	appropriate	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
par	par	fw-fr	par	par	0
∣	∣	sy	∣	∣	0
ticular	ticular	j	ticular	ticular	0
,	,	,	,	,	0
your	your	po22	your	your	0
Maiestie	Maiestie	n1	Majesty	majesty	0
is	is	vbz	is	be	0
she	she	pns31	she	she	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
professe	professe	vvb	profess	profess	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
.	.	.	.	.	1
