Madams	Madams	ng1	Madams	madam	0
all	all	d	all	all	0
readinesse	readinesse	n1	readiness	readiness	0
of	of	pp-f	of	of	0
mind	mind	n1	mind	mind	0
,	,	,	,	,	0
Acts.	Acts.	n2	Acts.	act	0
17.12	17.12	crd	17.12	17.12	0
.	.	.	.	.	0
and	and	cc	and	and	0
searched	searched	vvd	searched	search	0
the	the	dt	the	the	0
Scriptures	Scriptures	n2	Scriptures	scripture	0
daily	daily	av-j	daily	daily	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
things	things	n2	things	thing	0
were	were	vbdr	were	be	0
so	so	av	so	so	0
;	;	;	;	;	0
Pious	Pious	j	Pious	pious	0
po	po	n1	po	po	0
∣	∣	sy	∣	∣	0
verty	verty	n1	verty	verty	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
head	head	n1	head	head	0
of	of	pp-f	of	of	0
gold	gold	n1	gold	gold	0
on	on	p-acp	on	on	0
feet	feet	n2	feet	foot	0
of	of	pp-f	of	of	0
clay	clay	n1	clay	clay	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
your	your	po22	your	your	0
devout	devout	j	devout	devout	0
Nobility	Nobility	n1	Nobility	nobility	0
is	is	vbz	is	be	0
like	like	j	like	like	0
Apples	Apples	n2	Apples	apple	0
of	of	pp-f	of	of	0
gold	gold	n1	gold	gold	0
in	in	p-acp	in	in	0
pictures	pictures	n2	pictures	picture	0
of	of	pp-f	of	of	0
silver	silver	n1	silver	silver	0
.	.	.	.	.	1
Its	Its	po31	Its	its	0
honour	honour	n1	honour	honour	0
upon	upon	p-acp	upon	upon	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
ter	ter	zz	ter	ter	0
∣	∣	sy	∣	∣	0
rene	rene	n1	rene	rene	0
honour	honour	n1	honour	honour	0
is	is	vbz	is	be	0
gilt	gilt	vvn	gilded	gild	0
with	with	p-acp	with	with	0
celestiall	celestiall	j	celestial	celestial	0
graces	graces	n2	graces	grace	0
:	:	:	:	:	0
amongst	amongst	p-acp	among	among	0
which	which	r-crq	which	which	0
let	let	vvb	let	let	0
me	me	pno11	me	i	0
name	name	n1	name	name	0
(	(	(	(	(	0
without	without	p-acp	without	without	0
flattery	flattery	n1	flattery	flattery	0
)	)	)	)	)	0
these	these	d	these	these	0
two	two	crd	two	two	0
as	as	p-acp	as	as	0
most	most	ds	most	most	0
honorable	honorable	j	honourable	honourable	0
and	and	cc	and	and	0
seasonable	seasonable	j	seasonable	seasonable	0
,	,	,	,	,	0
your	your	po22	your	your	0
Christian	Christian	np1	Christian	Christian	0
Sympathy	Sympathy	n1	Sympathy	sympathy	0
and	and	cc	and	and	0
Religion-adorning	Religion-adorning	j	Religion-adorning	religion-adorning	0
humilitie	humilitie	n1	humility	humility	0
.	.	.	.	.	1
The	The	dt	The	the	0
maine	maine	j	main	main	0
ground	ground	n1	ground	ground	0
,	,	,	,	,	0
why	why	c-crq	why	why	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
so	so	av	so	so	0
bold	bold	j	bold	bold	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
this	this	d	this	this	0
little	little	j	little	little	0
Treatise	Treatise	n1	Treatise	treatise	0
(	(	(	(	(	0
called	called	vvd	called	call	0
Parlia	Parlia	np1	Parlia	Parlia	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
physick	physick	n1	physic	physic	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
sin-sick	sin-sick	j	sin-sick	sin-sick	0
Nation	Nation	n1	Nation	nation	0
)	)	)	)	)	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Ladiships	Ladiships	n2	Ladyships	ladyship	0
,	,	,	,	,	0
is	is	vbz	is	be	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
exemplary	exemplary	j	exemplary	exemplary	0
peeces	peeces	n2	pieces	piece	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
following	following	j-vvg	following	follow	0
discourse	discourse	n1	discourse	discourse	0
,	,	,	,	,	0
hoping	hoping	vvg	hoping	hope	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
favour	favour	vvi	favour	favour	0
that	that	d	that	that	0
draught	draught	n1	draught	draught	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
so	so	av	so	so	0
like	like	av-j	like	like	0
your	your	po22	your	your	0
noble	noble	j	noble	noble	0
selves	selves	n2	selves	self	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
dayly	dayly	j	daily	daily	0
taske	taske	n1	task	task	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
,	,	,	,	,	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
to	to	pc-acp	to	to	0
help	help	vvi	help	help	0
forward	forward	av-j	forward	forward	0
a	a	dt	a	a	0
nationall	nationall	j	national	national	0
reformation	reformation	n1	reformation	reformation	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
first	first	ord	first	first	0
place	place	n1	place	place	0
,	,	,	,	,	0
a	a	dt	a	a	0
personall	personall	j	personal	personal	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
sin-sick	sin-sick	j	sin-sick	sin-sick	0
selves	selves	n2	selves	self	0
,	,	,	,	,	0
both	both	d	both	both	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
finde	finde	vvi	find	find	0
urged	urged	vvn	urged	urge	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Treatise	Treatise	n1	Treatise	treatise	0
,	,	,	,	,	0
deare	deare	j-jn	deer	dear	0
La	La	fw-fr	La	la	0
∣	∣	sy	∣	∣	0
dies	dies	fw-la	dies	dies	0
,	,	,	,	,	0
if	if	cs	if	if	0
this	this	d	this	this	0
poor	poor	j	poor	poor	0
tribute	tribute	n1	tribute	tribute	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Physicall	Physicall	j	Physical	physical	0
studies	studies	n2	studies	study	0
may	may	vmb	may	may	0
but	but	p-acp	but	but	0
kisse	kisse	vvi	kiss	kiss	0
your	your	po22	your	your	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
sacrifice	sacrifice	n1	sacrifice	sacrifice	0
offered	offered	vvn	offered	offer	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
servant	servant	n1	servant	servant	0
,	,	,	,	,	0
or	or	cc	or	or	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
weaknesse	weaknesse	n1	weakness	weakness	0
that	that	cst	that	that	0
standeth	standeth	vvz	stands	stand	0
in	in	p-acp	in	in	0
need	need	n1	need	need	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
protection	protection	n1	protection	protection	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
look	look	vvb	look	look	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
censured	censured	vvn	censured	censure	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
State	State	n1	State	state	0
Emperick	Emperick	n-jn	Empiric	empiric	0
)	)	)	)	)	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
acknowledge	acknowledge	vvi	acknowledge	acknowledge	0
my	my	po11	my	my	0
self	self	n1	self	self	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
much	much	d	much	much	0
honoured	honoured	j-vvn	honoured	honour	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
secured	secured	vvn	secured	secure	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
a	a	dt	a	a	0
distance	distance	n1	distance	distance	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
my	my	po11	my	my	0
Noble	Noble	j	Noble	noble	0
Colonell	Colonell	n1	Colonel	colonel	0
,	,	,	,	,	0
and	and	cc	and	and	0
much	much	d	much	much	0
honoured	honoured	j-vvn	honoured	honour	0
Governour	Governour	n1	Governor	governor	0
of	of	pp-f	of	of	0
Lincolne	Lincolne	np1	Lincolne	Lincoln	0
,	,	,	,	,	0
under	under	p-acp	under	under	0
whose	whose	rg-crq	whose	who	0
Buckler	Buckler	n1	Buckler	buckler	0
,	,	,	,	,	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
truthes	truthes	ng1	truths	truth	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
taught	taught	vvn	taught	teach	0
by	by	p-acp	by	by	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
manfully	manfully	av-j	manfully	manful	0
defended	defended	vvn	defended	defend	0
by	by	p-acp	by	by	0
himself	himself	px31	himself	himself	0
,	,	,	,	,	0
both	both	av-d	both	both	0
by	by	p-acp	by	by	0
strength	strength	n1	strength	strength	0
of	of	pp-f	of	of	0
argument	argument	n1	argument	argument	0
,	,	,	,	,	0
and	and	cc	and	and	0
dint	dint	n1	dint	dint	0
of	of	pp-f	of	of	0
sword	sword	n1	sword	sword	0
:	:	:	:	:	0
for	for	p-acp	for	for	0
whose	whose	rg-crq	whose	who	0
fidelity	fidelity	n1	fidelity	fidelity	0
,	,	,	,	,	0
fortitude	fortitude	n1	fortitude	fortitude	0
and	and	cc	and	and	0
good	good	j	good	good	0
successe	successe	n1	success	success	0
,	,	,	,	,	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
yours	yours	png22	yours	you	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
have	have	vhb	have	have	0
cause	cause	n1	cause	cause	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
pray	pray	vvi	pray	pray	0
,	,	,	,	,	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
praise	praise	vvi	praise	praise	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
Hosts	Hosts	n2	Hosts	host	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
made	made	vvn	made	make	0
him	him	pno31	him	he	0
an	an	dt	and	a	0
instrument	instrument	n1	instrument	instrument	0
of	of	pp-f	of	of	0
much	much	d	much	much	0
good	good	j	good	good	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Parliament	Parliament	n1	Parliament	parliament	0
service	service	n1	service	service	0
,	,	,	,	,	0
both	both	av-d	both	both	0
to	to	p-acp	to	to	0
King	King	n1	King	king	0
and	and	cc	and	and	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
.	.	.	.	.	1
Much	Much	av-d	Much	much	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
said	said	vvn	said	say	0
in	in	p-acp	in	in	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
commendation	commendation	n1	commendation	commendation	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
lest	lest	cs	lest	lest	0
my	my	po11	my	my	0
words	words	n2	words	word	0
might	might	vmd	might	may	0
seeme	seeme	vvi	seem	seem	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
flattery	flattery	n1	flattery	flattery	0
,	,	,	,	,	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
conclude	conclude	vvi	conclude	conclude	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
exhortation	exhortation	n1	exhortation	exhortation	0
;	;	;	;	;	0
Trust	Trust	vvb	Trust	trust	0
God	God	np1	God	God	0
with	with	p-acp	with	with	0
Sir	Sir	n1	Sir	sir	0
Miles	Miles	n2	Miles	mile	0
Hobart	Hobart	np1	Hobart	Hobart	0
abroad	abroad	av	abroad	abroad	0
,	,	,	,	,	0
and	and	cc	and	and	0
take	take	vvb	take	take	0
a	a	dt	a	a	0
sweet	sweet	j	sweet	sweet	0
nap	nap	n1	nap	nap	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
lap	lap	n1	lap	lap	0
of	of	pp-f	of	of	0
Providence	Providence	n1	Providence	providence	0
at	at	p-acp	at	at	0
home	home	n1-an	home	home	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
Divinity	Divinity	n1	Divinity	divinity	0
and	and	cc	and	and	0
experience	experience	n1	experience	experience	0
say	say	vvb	say	say	0
,	,	,	,	,	0
that	that	cst	that	that	0
no	no	dx	no	no	0
bullet	bullet	n1	bullet	bullet	0
can	can	vmb	can	can	0
touch	touch	vvi	touch	touch	0
him	him	pno31	him	he	0
;	;	;	;	;	0
without	without	p-acp	without	without	0
a	a	dt	a	a	0
Divine	Divine	j-jn	Divine	divine	0
com	com	vvb	come	come	0
∣	∣	sy	∣	∣	0
mission	mission	n1	mission	mission	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
alwayes	alwayes	av	always	always	0
pray	pray	vvi	pray	pray	0
,	,	,	,	,	0
and	and	cc	and	and	0
rest	rest	n1	rest	rest	0
,	,	,	,	,	1
