DEARLY	DEARLY	np1	DEARLY	Dearly	0
vnto	vnto	p-acp	unto	unto	0
all	all	d	all	all	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
these	these	d	these	these	0
presents	presents	n2	presents	present	0
shall	shall	vmb	shall	shall	0
come	come	vvi	come	come	0
,	,	,	,	,	0
a	a	dt	a	a	0
iust	iust	j	just	just	0
account	account	n1	account	account	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
proceedings	proceedings	n2-vvg	proceedings	proceed	0
herein	herein	av	herein	herein	0
:	:	:	:	:	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
professe	professe	vvi	profess	profess	0
that	that	cst	that	that	0
for	for	p-acp	for	for	0
many	many	d	many	many	0
yeares	yeares	n2	years	year	0
past	past	j	past	past	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
had	had	vhn	had	have	0
my	my	po11	my	my	0
thoughts	thoughts	n2	thoughts	thought	0
much	much	av-d	much	much	0
exercised	exercised	vvn	exercised	exercise	0
about	about	p-acp	about	about	0
this	this	d	this	this	0
prime	prime	j-jn	prime	prime	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
Faith	Faith	n1	Faith	faith	0
;	;	;	;	;	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
alone	alone	av-j	alone	alone	0
we	we	pns12	we	we	0
receiue	receiue	vvb	receive	receive	0
all	all	d	all	all	0
sauing	sauing	vvg	saving	save	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
and	and	cc	and	and	0
without	without	p-acp	without	without	0
which	which	r-crq	which	which	0
none	none	pix	none	none	0
:	:	:	:	:	0
)	)	)	)	)	0
and	and	cc	and	and	0
after	after	p-acp	after	after	0
that	that	d	that	that	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
long	long	j	long	long	0
experi	experi	fw-la	experi	experi	0
∣	∣	sy	∣	∣	0
ence	ence	n1	ence	ence	0
,	,	,	,	,	0
I	I	pns11	I	i	0
found	found	vvd	found	find	0
through	through	p-acp	through	through	0
conference	conference	n1	conference	conference	0
with	with	p-acp	with	with	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
diuers	diuers	j	diverse	diverse	0
sorts	sorts	n2	sorts	sort	0
,	,	,	,	,	0
that	that	cst	that	that	0
very	very	av	very	very	0
few	few	d	few	few	0
at	at	p-acp	at	at	0
∣	∣	sy	∣	∣	0
tained	tained	vvn	tained	tain	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
true	true	j	true	true	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
much	much	av-d	much	much	0
lesse	lesse	av-dc	less	less	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
vse	vse	n1	use	use	0
of	of	pp-f	of	of	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
either	either	av-d	either	either	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
assurance	assurance	n1	assurance	assurance	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
saluation	saluation	n1	salvation	salvation	0
,	,	,	,	,	0
or	or	cc	or	or	0
well	well	av	well	well	0
ordering	ordering	vvg	ordering	order	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
conuersation	conuersation	n1	conversation	conversation	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
ouer	ouer	p-acp	over	over	0
all	all	d	all	all	0
carnall	carnall	j	carnal	carnal	0
Protestants	Protestants	n2	Protestants	protestant	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
only	only	av-j	only	only	0
haue	haue	vhb	have	have	0
a	a	dt	a	a	0
forme	forme	n1	form	form	0
of	of	pp-f	of	of	0
godlinesse	godlinesse	n1	godliness	godliness	0
,	,	,	,	,	0
making	making	vvg	making	make	0
an	an	dt	and	a	0
outward	outward	j	outward	outward	0
shew	shew	n1	show	show	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
and	and	cc	and	and	0
deny	deny	vvi	deny	deny	0
the	the	dt	the	the	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
walking	walking	vvg	walking	walk	0
after	after	p-acp	after	after	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
lusts	lusts	n2	lustest	lust	0
:	:	:	:	:	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
obserued	obserued	vvn	observed	observe	0
very	very	av	very	very	0
many	many	d	many	many	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
haue	haue	vhb	have	have	0
in	in	p-acp	in	in	0
truth	truth	n1	truth	truth	0
laboured	laboured	vvd	laboured	labour	0
after	after	p-acp	after	after	0
saluation	saluation	n1	salvation	salvation	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
through	through	p-acp	through	through	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
direction	direction	n1	direction	direction	0
haue	haue	vhb	have	have	0
made	made	vvn	made	make	0
forsaking	forsaking	vvg	forsaking	forsake	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
sinne	sinne	n1	sin	sin	0
,	,	,	,	,	0
the	the	dt	the	the	0
ground	ground	n1	ground	ground	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
beleeuing	beleeuing	vvg	believing	believe	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
buil	buil	j	buil	buil	0
∣	∣	sy	∣	∣	0
ding	ding	uh	ding	ding	0
such	such	d	such	such	0
a	a	dt	a	a	0
weightie	weightie	j	weighty	weighty	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
vpon	vpon	p-acp	upon	upon	0
so	so	av	so	so	0
weake	weake	j	weak	weak	0
a	a	dt	a	a	0
foundation	foundation	n1	foundation	foundation	0
,	,	,	,	,	0
could	could	vmd	could	can	0
neuer	neuer	av-x	never	never	0
come	come	vvi	come	come	0
to	to	p-acp	to	to	0
such	such	d	such	such	0
certaintie	certaintie	n1	certainty	certainty	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
saluation	saluation	n1	salvation	salvation	0
,	,	,	,	,	0
or	or	cc	or	or	0
constancie	constancie	n1	constancy	constancy	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
holy	holy	j	holy	holy	0
conuersation	conuersation	n1	conversation	conversation	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
true	true	j	true	true	0
Faith	Faith	n1	Faith	faith	0
would	would	vmd	would	will	0
haue	haue	vhi	have	have	0
brought	brought	vvn	brought	bring	0
them	them	pno32	them	they	0
vnto	vnto	p-acp	unto	unto	0
.	.	.	.	.	1
Some	Some	d	Some	some	0
others	others	n2-jn	others	other	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
seene	seene	vvn	seen	see	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
being	being	vbg	being	be	0
deeply	deeply	av-jn	deeply	deep	0
affected	affected	vvn	affected	affect	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
sense	sense	n1	sense	sense	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
misery	misery	n1	misery	misery	0
,	,	,	,	,	0
and	and	cc	and	and	0
knowing	knowing	vvg	knowing	know	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
meanes	meanes	n2	means	mean	0
of	of	pp-f	of	of	0
recouery	recouery	n1	recovery	recovery	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
desired	desired	vvn	desired	desire	0
nothing	nothing	pix	nothing	nothing	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
then	then	cs	then	than	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
deliuered	deliuered	vvn	delivered	deliver	0
,	,	,	,	,	0
and	and	cc	and	and	0
restored	restored	vvn	restored	restore	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
these	these	d	these	these	0
not	not	xx	not	not	0
knowing	knowing	vvg	knowing	know	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
way	way	n1	way	way	0
how	how	c-crq	how	how	0
to	to	pc-acp	to	to	0
attaine	attaine	vvi	attain	attain	0
to	to	p-acp	to	to	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
alone	alone	av-j	alone	alone	0
doe	doe	vdb	do	do	0
receiue	receiue	vvi	receive	receive	0
Christ	Christ	np1	Christ	Christ	0
and	and	cc	and	and	0
all	all	d	all	all	0
his	his	po31	his	his	0
benefits	benefits	n2	benefits	benefit	0
)	)	)	)	)	0
haue	haue	vhb	have	have	0
spent	spent	vvn	spent	spend	0
many	many	d	many	many	0
yeares	yeares	n2	years	year	0
vnprofitably	vnprofitably	av-j	unprofitably	unprofitable	0
and	and	cc	and	and	0
vnfruitfuly	vnfruitfuly	av-j	vnfruitfuly	vnfruitfu	0
.	.	.	.	.	1
Others	Others	n2-jn	Others	other	0
there	there	pc-acp	there	there	0
be	be	vbi	be	be	0
who	who	r-crq	who	who	0
perswading	perswading	vvg	persuading	persuade	0
themselues	themselues	px32	themselves	themselves	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
and	and	cc	and	and	0
thereby	thereby	av	thereby	thereby	0
bee	bee	vbi	be	be	0
quieted	quieted	vvn	quieted	quiet	0
from	from	p-acp	from	from	0
feare	feare	n1	fear	fear	0
of	of	pp-f	of	of	0
condemnation	condemnation	n1	condemnation	condemnation	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
much	much	av-d	much	much	0
wan	wan	vvd	won	win	0
∣	∣	sy	∣	∣	0
ting	ting	uh	ting	ting	0
the	the	dt	the	the	0
life	life	n1	life	life	0
and	and	cc	and	and	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
so	so	av	so	so	0
honour	honour	n1	honour	honour	0
God	God	np1	God	God	0
and	and	cc	and	and	0
their	their	po32	their	their	0
profession	profession	n1	profession	profession	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
in	in	p-acp	in	in	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
triall	triall	n1	trial	trial	0
,	,	,	,	,	0
finde	finde	vvb	find	find	0
that	that	d	that	that	0
sound	sound	j	found	sound	0
peace	peace	n1	peace	peace	0
and	and	cc	and	and	0
comfort	comfort	n1	comfort	comfort	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
a	a	dt	a	a	0
liuely	liuely	j	lively	lively	0
Faith	Faith	n1	Faith	faith	0
would	would	vmd	would	will	0
certainly	certainly	av-j	certainly	certain	0
procure	procure	vvi	procure	procure	0
.	.	.	.	.	1
By	By	p-acp	By	by	0
all	all	d	all	all	0
which	which	r-crq	which	which	0
it	it	pn31	it	it	0
appeareth	appeareth	vvz	appears	appear	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
few	few	d	few	few	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
that	that	cst	that	that	0
haue	haue	vhb	have	have	0
attained	attained	vvn	attained	attain	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
true	true	j	true	true	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
Faith	Faith	n1	Faith	faith	0
what	what	r-crq	what	what	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
goten	goten	vvn	goten	goten	0
and	and	cc	and	and	0
increa	increa	fw-la	increa	increa	0
∣	∣	sy	∣	∣	0
sed	sed	fw-la	sed	sed	0
,	,	,	,	,	0
and	and	cc	and	and	0
how	how	c-crq	how	how	0
to	to	pc-acp	to	to	0
liue	liue	vvi	live	live	0
by	by	p-acp	by	by	0
it	it	pn31	it	it	0
.	.	.	.	.	1
The	The	dt	The	the	0
consi	consi	fw-la	consi	consi	0
∣	∣	sy	∣	∣	0
deration	deration	n1	deration	deration	0
whereof	whereof	c-crq	whereof	whereof	0
grieuing	grieuing	vvg	grieving	grieve	0
my	my	po11	my	my	0
soule	soule	n1	soul	soul	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
so	so	av	so	so	0
many	many	av-d	many	many	0
mistaken	mistaken	vvn	mistaken	mistake	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
weightie	weightie	j	weighty	weighty	0
a	a	dt	a	a	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
much	much	d	much	much	0
labour	labour	n1	labour	labour	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
lost	lost	vvn	lost	lose	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
the	the	dt	the	the	0
chiefe	chiefe	j-jn	chief	chief	0
moouer	moouer	n1	mover	mover	0
of	of	pp-f	of	of	0
me	me	pno11	me	i	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
imploy	imploy	vvi	employ	employ	0
all	all	d	all	all	0
my	my	po11	my	my	0
thoughts	thoughts	n2	thoughts	thought	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
this	this	d	this	this	0
great	great	j	great	great	0
euill	euill	n-jn	evil	evil	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
redressed	redressed	vvn	redressed	redress	0
.	.	.	.	.	1
Whereupon	Whereupon	c-crq	Whereupon	whereupon	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
tering	tering	vvg	tering	tere	0
into	into	p-acp	into	into	0
deeper	deeper	jc-jn	deeper	deep	0
consideration	consideration	n1	consideration	consideration	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
this	this	d	this	this	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
attained	attained	vvn	attained	attain	0
,	,	,	,	,	0
I	I	pns11	I	i	0
well	well	av	well	well	0
perceiued	perceiued	vvd	perceived	perceive	0
,	,	,	,	,	0
that	that	cst	that	that	0
(	(	(	(	(	0
seeing	seeing	vvg	seeing	see	0
Gods	Gods	npg1	Gods	God	0
truth	truth	n1	truth	truth	0
reuealed	reuealed	vvn	revealed	reveal	0
vnto	vnto	p-acp	unto	unto	0
vs	vs	pno12	us	we	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Word	Word	n1	Word	word	0
,	,	,	,	,	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
sole	sole	j	sole	sole	0
ground	ground	n1	ground	ground	0
of	of	pp-f	of	of	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
)	)	)	)	)	0
the	the	dt	the	the	0
only	only	j	only	only	0
way	way	n1	way	way	0
to	to	pc-acp	to	to	0
get	get	vvi	get	get	0
and	and	cc	and	and	0
keepe	keepe	vvi	keep	keep	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
well	well	av	well	well	0
acquainted	acquainted	vvn	acquainted	acquaint	0
with	with	p-acp	with	with	0
Gods	Gods	ng1	Gods	god	0
Word	Word	n1	Word	word	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
suffi	suffi	n2	suffi	suffi	0
∣	∣	sy	∣	∣	0
ciently	ciently	av-j	ciently	cient	0
admire	admire	vvb	admire	admire	0
the	the	dt	the	the	0
wisedome	wisedome	n1	wisdom	wisdom	0
and	and	cc	and	and	0
loue	loue	n1	love	love	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
prouiding	prouiding	vvg	providing	provide	0
such	such	d	such	such	0
store	store	n1	store	store	0
of	of	pp-f	of	of	0
heauenly	heauenly	j	heavenly	heavenly	0
comforts	comforts	n2	comforts	comfort	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
releeue	releeue	vvi	relieve	relieve	0
vs	vs	pno12	us	we	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
our	our	po12	our	our	0
necessities	necessities	n2	necessities	necessity	0
:	:	:	:	:	0
so	so	av	so	so	0
that	that	cst	that	that	0
had	had	vhd	had	have	0
wee	wee	pns12	we	we	0
the	the	dt	the	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
vse	vse	n1	use	use	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
we	we	pns12	we	we	0
should	should	vmd	should	shall	0
then	then	av	then	then	0
see	see	vvi	see	see	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
Life	Life	n1	Life	life	0
of	of	pp-f	of	of	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
blessed	blessed	j-vvn	blessed	bless	0
estate	estate	n1	estate	estate	0
of	of	pp-f	of	of	0
a	a	av	a	a	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
leeuer	leeuer	n1	leeuer	leeuer	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
world	world	n1	world	world	0
,	,	,	,	,	0
aboue	aboue	p-acp	above	above	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
e	e	sy	e	e	0
∣	∣	sy	∣	∣	0
states	states	n2	states	state	0
though	though	cs	though	though	0
neuer	neuer	av-x	never	never	0
so	so	av	so	so	0
excellent	excellent	j	excellent	excellent	0
.	.	.	.	.	1
These	These	np1	These	Theise	0
thus	thus	av	thus	thus	0
being	being	vbg	being	be	0
,	,	,	,	,	0
I	I	pns11	I	i	0
gaue	gaue	vvd	gave	give	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
search	search	n1	search	search	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Scriptures	Scriptures	n2	Scriptures	scripture	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
finde	finde	vvi	find	find	0
out	out	av	out	out	0
what	what	q-crq	what	what	0
these	these	d	these	these	0
heauenly	heauenly	j	heavenly	heavenly	0
comforts	comforts	n2	comforts	comfort	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
so	so	av	so	so	0
abundantly	abundantly	av-j	abundantly	abundant	0
prouided	prouided	vvn	provided	provide	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
reliefe	reliefe	n1	relief	relief	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
neede	neede	n1	need	need	0
.	.	.	.	.	1
And	And	cc	And	and	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
purpose	purpose	n1	purpose	purpose	0
,	,	,	,	,	0
(	(	(	(	(	0
with	with	p-acp	with	with	0
no	no	dx	no	no	0
small	small	j	small	small	0
la	la	fw-fr	la	la	0
∣	∣	sy	∣	∣	0
bour	bour	uh	bour	bour	0
)	)	)	)	)	0
haue	haue	vhb	have	have	0
gathered	gathered	vvn	gathered	gather	0
out	out	av	out	out	0
all	all	d	all	all	0
the	the	dt	the	the	0
promi	promi	n2	promi	promi	0
∣	∣	sy	∣	∣	0
ses	ses	fw-fr	ses	ses	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
both	both	d	both	both	0
the	the	dt	the	the	0
Testaments	Testaments	n2	Testaments	testament	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
being	being	vbg	being	be	0
laide	laide	vvn	laid	lay	0
toge	toge	n1	toga	toge	0
∣	∣	sy	∣	∣	0
ther	ther	a-acp	there	there	0
,	,	,	,	,	0
made	made	vvd	made	make	0
a	a	dt	a	a	0
great	great	j	great	great	0
heape	heape	n1	heap	heap	0
of	of	pp-f	of	of	0
heauenly	heauenly	j	heavenly	heavenly	0
treasure	treasure	n1	treasure	treasure	0
,	,	,	,	,	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
vnderstanding	vnderstanding	n1	understanding	understanding	0
,	,	,	,	,	0
would	would	vmd	would	will	0
greatly	greatly	av-j	greatly	great	0
admire	admire	vvi	admire	admire	0
and	and	cc	and	and	0
reioyce	reioyce	vvi	rejoice	rejoice	0
in	in	p-acp	in	in	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
in	in	p-acp	in	in	0
truth	truth	n1	truth	truth	0
professe	professe	vvi	profess	profess	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
much	much	av-d	much	much	0
affected	affected	vvn	affected	affect	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
bare	bare	j	bore	bare	0
reading	reading	n-vvg	reading	read	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
well	well	av	well	well	0
considering	considering	vvg	considering	consider	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
naked	naked	j	naked	naked	0
laying	laying	vvg	laying	lay	0
downe	downe	a-acp	down	down	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
promises	promises	n2	promises	promise	0
,	,	,	,	,	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
sufficient	sufficient	j	sufficient	sufficient	0
to	to	pc-acp	to	to	0
direct	direct	vvi	direct	direct	0
euery	euery	d	every	every	0
one	one	crd	one	one	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
vse	vse	n1	use	use	0
and	and	cc	and	and	0
fit	fit	j	fit	fit	0
application	application	n1	application	application	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
begetting	begetting	n-vvg	begetting	beget	0
and	and	cc	and	and	0
increasing	increasing	vvg	increasing	increase	0
of	of	pp-f	of	of	0
Faith	Faith	n1	Faith	faith	0
:	:	:	:	:	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
laboured	laboured	vvn	laboured	labour	0
to	to	pc-acp	to	to	0
