MAnie	MAnie	av-d	Many	many	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
offerer	offerer	n1	offerer	offerer	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
protest	protest	vvb	protest	protest	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
is	is	vbz	is	be	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
loue	loue	n1	love	love	0
and	and	cc	and	and	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
uerence	uerence	zz	uerence	uerence	0
towardes	towardes	p-acp	towards	towards	0
you	you	pn22	you	you	0
,	,	,	,	,	0
)	)	)	)	)	0
than	than	cs	than	than	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
simplicitie	simplicitie	n1	simplicity	simplicity	0
&	&	cc	&	and	0
meanesse	meanesse	n1	meanness	meanness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
thing	thing	n1	thing	thing	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
needes	needes	av	needs	needs	0
confesse	confesse	vvi	confess	confess	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
handling	handling	n-vvg	handling	handle	0
,	,	,	,	,	0
is	is	vbz	is	be	0
much	much	d	much	much	0
vn	vn	zz	vn	vn	0
∣	∣	sy	∣	∣	0
worthie	worthie	j-jn	worthy	worthy	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
an	an	dt	and	a	0
Honourable	Honourable	j	Honourable	honourable	0
pa	pa	n1	pa	pa	0
∣	∣	sy	∣	∣	0
trone	trone	n1	throne	throne	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
is	is	vbz	is	be	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
mat	mat	n1	mat	mat	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
(	(	(	(	(	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
perswaded	perswaded	vvn	persuaded	persuade	0
)	)	)	)	)	0
answerable	answerable	j	answerable	answerable	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
title	title	n1	title	title	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
giuen	giuen	vvn	given	give	0
it	it	pn31	it	it	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
,	,	,	,	,	0
The	The	dt	The	the	0
high	high	j	high	high	0
way	way	n1	way	way	0
to	to	p-acp	to	to	0
Heauen	Heauen	n1	Heaven	heaven	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
therin	therin	av	therein	therein	0
first	first	ord	first	first	0
is	is	vbz	is	be	0
shewed	shewed	vvd	showed	show	0
howe	howe	c-crq	how	how	0
the	the	dt	the	the	0
lawe	lawe	n1	law	law	0
is	is	vbz	is	be	0
our	our	po12	our	our	0
schoolemaister	schoolemaister	n1	schoolmaster	schoolmaster	0
to	to	p-acp	to	to	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
causing	causing	vvg	causing	cause	0
vs	vs	pno12	us	we	0
to	to	pc-acp	to	to	0
knowe	knowe	vvi	know	know	0
our	our	po12	our	our	0
sinnes	sinnes	n2	sins	sin	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
feele	feele	vvi	feel	feel	0
the	the	dt	the	the	0
weight	weight	n1	weight	weight	0
and	and	cc	and	and	0
burthen	burthen	n1	burden	burden	0
thereof	thereof	av	thereof	thereof	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
vs	vs	pno12	us	we	0
wearie	wearie	j	weary	weary	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
to	to	p-acp	to	to	0
hunger	hunger	n1	hunger	hunger	0
and	and	cc	and	and	0
thirst	thirst	n1	thirst	thirst	0
after	after	p-acp	after	after	0
him	him	pno31	him	he	0
:	:	:	:	:	0
and	and	cc	and	and	0
then	then	av	then	then	0
what	what	q-crq	what	what	0
Christ	Christ	np1	Christ	Christ	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
person	person	n1	person	person	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
∣	∣	sy	∣	∣	0
fice	fice	n1	fice	fice	0
,	,	,	,	,	0
and	and	cc	and	and	0
how	how	c-crq	how	how	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
apprehended	apprehended	vvn	apprehended	apprehend	0
and	and	cc	and	and	0
fed	fed	vvn	fed	feed	0
on	on	a-acp	on	on	0
to	to	p-acp	to	to	0
saluation	saluation	n1	salvation	salvation	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
true	true	j	true	true	0
and	and	cc	and	and	0
liuely	liuely	av-j	lively	lively	0
saith	saith	vvz	says	say	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
,	,	,	,	,	0
is	is	vbz	is	be	0
largely	largely	av-j	largely	large	0
&	&	cc	&	and	0
plain	plain	av-j	plain	plain	0
∣	∣	sy	∣	∣	0
lie	lie	zz	lie	lie	0
declared	declared	vvd	declared	declare	0
:	:	:	:	:	0
and	and	cc	and	and	0
lastly	lastly	ord	lastly	last	0
also	also	av	also	also	0
,	,	,	,	,	0
heerein	heerein	av	herein	herein	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
are	are	vbr	are	be	0
and	and	cc	and	and	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
first	first	ord	first	first	0
duely	duely	av-jn	duly	due	0
throwen	throwen	vvn	thrown	throw	0
downe	downe	a-acp	down	down	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
lawe	lawe	n1	law	law	0
,	,	,	,	,	0
and	and	cc	and	and	0
after	after	c-acp	after	after	0
truelie	truelie	av-j	truly	true	0
raised	raised	vvn	raised	raise	0
vp	vp	a-acp	up	up	0
againe	againe	av	again	again	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Gospel	Gospel	n1	Gospel	gospel	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
are	are	vbr	are	be	0
taught	taught	vvn	taught	teach	0
how	how	c-crq	how	how	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
liue	liue	vvi	live	live	0
and	and	cc	and	and	0
spend	spend	vvi	spend	spend	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
daies	daies	n2	days	day	0
in	in	p-acp	in	in	0
holinesse	holinesse	n1	holiness	holiness	0
and	and	cc	and	and	0
righteousnesse	righteousnesse	n1	righteousness	righteousness	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
sure	sure	j	sure	sure	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
olde	olde	j	old	old	0
ancient	ancient	j	ancient	ancient	0
beaten	beaten	j-vvn	beaten	beat	0
waie	waie	n1	way	way	0
throughout	throughout	p-acp	throughout	throughout	0
all	all	d	all	all	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
olde	olde	j	old	old	0
and	and	cc	and	and	0
new	new	j	new	new	0
Testament	Testament	n1	Testament	testament	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
sound	sound	j	found	sound	0
antiquitie	antiquitie	n1	antiquity	antiquity	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
saints	saints	n2	saints	saint	0
and	and	cc	and	and	0
seruantes	seruantes	n2	servants	servant	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
haue	haue	vhb	have	have	0
taken	taken	vvn	taken	take	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
onelie	onelie	j	only	only	0
saife	saife	j	safe	safe	0
and	and	cc	and	and	0
sure	sure	j	sure	sure	0
wace	wace	n1	wace	wace	0
,	,	,	,	,	0
wherby	wherby	c-crq	whereby	whereby	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
sought	sought	vvn	sought	seek	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
kingdom	kingdom	n1	kingdom	kingdom	0
of	of	pp-f	of	of	0
heauen	heauen	n1	heaven	heaven	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
Grace	Grace	n1	Grace	grace	0
therfore	therfore	av	therefore	therefore	0
being	being	vbg	being	be	0
one	one	pi	one	one	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
fullie	fullie	av-j	fully	full	0
perswade	perswade	vvb	persuade	persuade	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
)	)	)	)	)	0
that	that	cst	that	that	0
seeke	seeke	vvb	seek	seek	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
thither	thither	av	thither	thither	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
onelie	onelie	j	only	only	0
waie	waie	n1	way	way	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
one	one	crd	one	one	0
also	also	av	also	also	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
verie	verie	av	very	very	0
desirous	desirous	j	desirous	desirous	0
that	that	cst	that	that	0
all	all	d	all	all	0
others	others	n2-jn	others	other	0
should	should	vmd	should	shall	0
walke	walke	vvi	walk	walk	0
thitherwards	thitherwards	av	thitherwards	thitherwards	0
in	in	p-acp	in	in	0
an	an	dt	and	a	0
eauen	eauen	j	eauen	even	0
and	and	cc	and	and	0
streight	streight	j	straight	strait	0
course	course	n1	course	course	0
therunto	therunto	av	thereunto	thereunto	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
therein	therein	av	therein	therein	0
handled	handled	vvn	handled	handle	0
,	,	,	,	,	0
my	my	po11	my	my	0
good	good	j	good	good	0
hope	hope	n1	hope	hope	0
is	is	vbz	is	be	0
,	,	,	,	,	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
ashamed	ashamed	j	ashamed	ashamed	0
or	or	cc	or	or	0
thinke	thinke	vvb	think	think	0
much	much	d	much	much	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
seeketh	seeketh	vvz	seeks	seek	0
thus	thus	av	thus	thus	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
abroad	abroad	av	abroad	abroad	0
vnder	vnder	p-acp	under	under	0
your	your	po22	your	your	0
coun	coun	fw-mi	coun	coun	0
∣	∣	sy	∣	∣	0
tenance	tenance	n1	tenance	tenance	0
&	&	cc	&	and	0
protection	protection	n1	protection	protection	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
though	though	cs	though	though	0
the	the	dt	the	the	0
waie	waie	n1	way	way	0
be	be	vbb	be	be	0
neuer	neuer	av-x	never	never	0
so	so	av	so	so	0
well	well	av	well	well	0
knowne	knowne	vvn	known	know	0
alreadie	alreadie	av	already	already	0
and	and	cc	and	and	0
be	be	vbb	be	be	0
beaten	beaten	vvn	beaten	beat	0
and	and	cc	and	and	0
trode	trode	vvn	trodden	tread	0
out	out	av	out	out	0
by	by	p-acp	by	by	0
manie	manie	d	many	many	0
before	before	c-acp	before	before	0
this	this	d	this	this	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
perhaps	perhaps	av	perhaps	perhaps	0
more	more	n1	more	moor	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
actly	actly	av-j	actly	act	0
and	and	cc	and	and	0
substantially	substantially	av-j	substantially	substantial	0
than	than	cs	than	than	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
here	here	av	here	here	0
∣	∣	sy	∣	∣	0
in	in	p-acp	in	in	0
in	in	zz	in	in	0
by	by	p-acp	by	by	0
me	me	pno11	me	i	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
seeing	seeing	vvg	seeing	see	0
manie	manie	d	many	many	0
are	are	vbr	are	be	0
still	still	j	still	still	0
to	to	pc-acp	to	to	0
go	go	vvi	go	go	0
this	this	d	this	this	0
same	same	d	same	same	0
way	way	n1	way	way	0
,	,	,	,	,	0
&	&	cc	&	and	0
all	all	d	all	all	0
cannot	cannot	vmbx	cannot	can	0
hit	hit	vvi	hit	hit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
guids	guids	n2	guides	guide	0
,	,	,	,	,	0
&	&	cc	&	and	0
still	still	av	still	still	0
Sathan	Sathan	np1	Sathan	Satan	0
wil	wil	vmb	will	will	0
be	be	vbi	be	be	0
busie	busie	j	busy	busy	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
complices	complices	n2	accomplices	complice	0
eyther	eyther	av-d	either	either	0
to	to	pc-acp	to	to	0
keepe	keepe	vvi	keep	keep	0
men	men	n2	men	man	0
frō	frō	p-acp	from	from	0
finding	finding	vvg	finding	find	0
it	it	pn31	it	it	0
,	,	,	,	,	0
or	or	cc	or	or	0
by	by	p-acp	by	by	0
one	one	crd	one	one	0
sleight	sleight	n1	sleight	sleight	0
or	or	cc	or	or	0
other	other	j-jn	other	other	0
to	to	pc-acp	to	to	0
turne	turne	vvi	turn	turn	0
them	them	pno32	them	they	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
that	that	d	that	that	0
af	af	pp-f	of	of	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
so	so	av	so	so	0
manie	manie	d	many	many	0
that	that	cst	that	that	0
haue	haue	vhb	have	have	0
gone	gone	vvn	gone	go	0
before	before	p-acp	before	before	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
guiding	guiding	j-vvg	guiding	guide	0
men	men	n2	men	man	0
into	into	p-acp	into	into	0
and	and	cc	and	and	0
keeping	keeping	vvg	keeping	keep	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
way	way	n1	way	way	0
,	,	,	,	,	0
this	this	d	this	this	0
my	my	po11	my	my	0
profered	profered	j-vvn	proffered	proffer	0
seruice	seruice	n1	service	service	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
end	end	n1	end	end	0
,	,	,	,	,	0
may	may	vmb	may	may	0
&	&	cc	&	and	0
will	will	vmb	will	will	0
bee	bee	vbi	be	be	0
yet	yet	av	yet	yet	0
profitable	profitable	j	profitable	profitable	0
vnto	vnto	p-acp	unto	unto	0
many	many	d	many	many	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
these	these	d	these	these	0
24.	24.	crd	24.	24.	0
years	years	n2	years	year	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
least	least	av-ds	least	least	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
pleased	pleased	vvn	pleased	please	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
to	to	pc-acp	to	to	0
vse	vse	vvi	use	use	0
my	my	po11	my	my	0
poore	poore	j	poor	poor	0
ministrie	ministrie	n1	ministry	ministry	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
,	,	,	,	,	0
his	his	po31	his	his	0
name	name	n1	name	name	0
be	be	vbi	be	be	0
blessed	blessed	vvn	blessed	bless	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
great	great	j	great	great	0
peace	peace	n1	peace	peace	0
&	&	cc	&	and	0
quiet	quiet	j-jn	quiet	quiet	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
,	,	,	,	,	0
&	&	cc	&	and	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
therin	therin	av	therein	therein	0
alwaies	alwaies	av	always	always	0
bene	bene	vbn	be	be	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
mind	mind	n1	mind	mind	0
,	,	,	,	,	0
and	and	cc	and	and	0
am	am	vbm	am	be	0
&	&	cc	&	and	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
stil	stil	av	still	still	0
,	,	,	,	,	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
esteeme	esteeme	vvi	esteem	esteem	0
or	or	cc	or	or	0
know	know	vvi	know	know	0
anie	anie	d	any	any	0
thing	thing	n1	thing	thing	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
euen	euen	av	even	even	0
this	this	d	this	this	0
way	way	n1	way	way	0
through	through	p-acp	through	through	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
and	and	cc	and	and	0
him	him	pno31	him	he	0
crucified	crucified	vvd	crucified	crucify	0
.	.	.	.	.	1
1.	1.	crd	1.	1.	1
Cor.	Cor.	np1	Cor.	Cor.	0
2.2	2.2	crd	2.2	2.2	0
.	.	.	.	.	1
And	And	cc	And	and	0
sure	sure	av-j	sure	sure	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
I	I	pns11	I	i	0
find	find	vvb	find	find	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
perswade	perswade	vvb	persuade	persuade	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
I	I	pns11	I	i	0
