Men	Men	np1	Men	Men	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
proved	proved	vvn	proved	prove	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
against	against	p-acp	against	against	0
Love	Love	n1	Love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
Unit	Unit	fw-la	Unit	unit	0
,	,	,	,	,	0
and	and	cc	and	and	0
Peace	Peace	n1	Peace	peace	0
,	,	,	,	,	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
all	all	d	all	all	0
o	o	uh	oh	oh	0
us	us	pno12	us	we	0
obliged	obliged	vvn	obliged	oblige	0
by	by	p-acp	by	by	0
our	our	po12	our	our	0
professions	professions	n2	professions	profession	0
to	to	pc-acp	to	to	0
dsown	dsown	vvi	dsown	dsow	0
.	.	.	.	.	1
I	I	pns11	I	i	0
may	may	vmb	may	may	0
suppose	suppose	vvi	suppose	suppose	0
that	that	cst	that	that	0
all	all	d	all	all	0
that	that	cst	that	that	0
read	read	vvb	read	read	0
these	these	d	these	these	0
words	words	n2	words	word	0
will	will	vmb	will	will	0
speak	speak	vvi	speak	speak	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
uncharitableness	uncharitableness	n1	uncharitableness	uncharitableness	0
and	and	cc	and	and	0
con	con	fw-mi	con	con	0
∣	∣	sy	∣	∣	0
tentons	tentons	n1	tentons	tentons	0
,	,	,	,	,	0
and	and	cc	and	and	0
divisions	divisions	n2	divisions	division	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
present	present	j	present	present	0
times	times	n2	times	time	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
.	.	.	.	.	1
Doth	Doth	vdz	Does	do	0
it	it	pn31	it	it	0
grieve	grieve	vvi	grieve	grieve	0
my	my	po11	my	my	0
soul	soul	n1	soul	soul	0
to	to	pc-acp	to	to	0
hear	hear	vvi	hear	hear	0
professed	professed	j-vvn	professed	profess	0
Christians	Christians	np1	Christians	Christians	0
so	so	av	so	so	0
censoriously	censoriously	av-j	censoriously	censorious	0
condemning	condemning	vvg	condemning	condemn	0
,	,	,	,	,	0
and	and	cc	and	and	0
passionately	passionately	av-j	passionately	passionate	0
reviling	reviling	vvg	reviling	revile	0
one	one	pi	one	one	0
ano	ano	av	anon	anon	0
∣	∣	sy	∣	∣	0
ther	ther	a-acp	there	there	0
,	,	,	,	,	0
while	while	cs	while	while	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
proudly	proudly	av-j	proudly	proud	0
justifying	justifying	vvg	justifying	justify	0
themselves	themselves	px32	themselves	themselves	0
?	?	?	?	?	1
I	I	pns11	I	i	0
sup	sup	vvb	sup	sup	0
∣	∣	sy	∣	∣	0
pose	pose	vvi	pose	pose	0
you'l	you'l	pn22|vmb	you'll	you|will	0
say	say	vvi	say	say	0
,	,	,	,	,	0
It	It	pn31	It	it	0
grieves	grieves	vvz	grieves	grieve	0
you	you	pn22	you	you	0
also	also	av	also	also	0
?	?	?	?	?	1
Do	Do	vdb	Do	do	0
I	I	pns11	I	i	0
mourn	mourn	vvi	mourn	mourn	0
in	in	p-acp	in	in	0
secret	secret	j-jn	secret	secret	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
so	so	av	so	so	0
many	many	d	many	many	0
divisions	divisions	n2	divisions	division	0
and	and	cc	and	and	0
subdivisions	subdivisions	n2	subdivisions	subdivision	0
?	?	?	?	?	0
and	and	cc	and	and	0
Church	Church	n1	Church	church	0
set	set	vvn	set	set	0
up	up	a-acp	up	up	0
against	against	p-acp	against	against	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
Pastors	Pastors	ng1	Pastor's	pastor	0
against	against	p-acp	against	against	0
Pastors	Pastors	ng1	Pastor's	pastor	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
Parishes	Parishes	n2	Parishes	parish	0
;	;	;	;	;	0
and	and	cc	and	and	0
each	each	d	each	each	0
par	par	fw-fr	par	par	0
∣	∣	sy	∣	∣	0
ty	ty	zz	ty	ty	0
labouring	labouring	j-vvg	labouring	labour	0
to	to	pc-acp	to	to	0
disgrace	disgrace	vvi	disgrace	disgrace	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
and	and	cc	and	and	0
their	their	po32	their	their	0
way	way	n1	way	way	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
promote	promote	vvi	promote	promote	0
their	their	po32	their	their	0
own	own	d	own	own	0
?	?	?	?	?	1
I	I	pns11	I	i	0
suppose	suppose	vvb	suppose	suppose	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
say	say	vvi	say	say	0
,	,	,	,	,	0
You	You	pn22	You	you	0
do	do	vdb	do	do	0
so	so	av	so	so	0
to	to	p-acp	to	to	0
.	.	.	.	.	1
Do	Do	vdb	Do	do	0
I	I	pns11	I	i	0
lament	lament	vvi	lament	lament	0
it	it	pn31	it	it	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
Nations	Nations	ng1	Nations	nation	0
shame	shame	n1	shame	shame	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
Reli	Reli	np1	Reli	Reli	0
∣	∣	sy	∣	∣	0
gion	gion	n1	gion	gion	0
men	men	n2	men	man	0
are	are	vbr	are	be	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
many	many	d	many	many	0
minds	minds	n2	minds	mind	0
,	,	,	,	,	0
and	and	cc	and	and	0
manage	manage	vvi	manage	manage	0
their	their	po32	their	their	0
dif	dif	n1	dif	dif	0
∣	∣	sy	∣	∣	0
ferences	ferences	n2	ferences	ference	0
so	so	av	so	so	0
unpeaceably	unpeaceably	av-j	unpeaceably	unpeaceable	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
become	become	vvn	become	become	0
the	the	dt	the	the	0
stumbling	stumbling	j-vvg	stumbling	stumble	0
block	block	n1	block	block	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ungodly	ungodly	j	ungodly	ungodly	0
,	,	,	,	,	0
the	the	dt	the	the	0
grief	grief	n1	grief	grief	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
friends	friends	n2	friends	friend	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
dersion	dersion	n1	dersion	dersion	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
enemies	enemies	n2	enemies	enemy	0
?	?	?	?	?	1
I	I	pns11	I	i	0
know	know	vvb	know	know	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
say	say	vvi	say	say	0
,	,	,	,	,	0
that	that	cst	that	that	0
this	this	d	this	this	0
also	also	av	also	also	0
is	is	vbz	is	be	0
your	your	po22	your	your	0
lamentation	lamentation	n1	lamentation	lamentation	0
.	.	.	.	.	1
And	And	cc	And	and	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
a	a	dt	a	a	0
wonder	wonder	n1	wonder	wonder	0
indeed	indeed	av	indeed	indeed	0
,	,	,	,	,	0
that	that	cst	that	that	0
such	such	d	such	such	0
a	a	dt	a	a	0
misery	misery	n1	misery	misery	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
conti	conti	fw-la	conti	conti	0
∣	∣	sy	∣	∣	0
nued	nued	vvd	nued	nue	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
all	all	d	all	all	0
men	men	n2	men	man	0
are	are	vbr	are	be	0
against	against	p-acp	against	against	0
;	;	;	;	;	0
and	and	cc	and	and	0
which	which	q-crq	which	which	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
continued	continued	vvn	continued	continue	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
our	our	po12	our	our	0
wil	wil	n1	will	will	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
choice	choice	n1	choice	choice	0
?	?	?	?	?	1
Is	Is	vbz	Is	be	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
strange	strange	j	strange	strange	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
so	so	av	so	so	0
long	long	av-j	long	long	0
without	without	p-acp	without	without	0
so	so	av	so	so	0
great	great	j	great	great	0
a	a	dt	a	a	0
blessing	blessing	n1	blessing	blessing	0
as	as	p-acp	as	as	0
Unity	Unity	n1	Unity	unity	0
and	and	cc	and	and	0
Peace	Peace	n1	Peace	peace	0
,	,	,	,	,	0
while	while	cs	while	while	0
all	all	d	all	all	0
men	men	n2	men	man	0
say	say	vvb	say	say	0
they	they	pns32	they	they	0
love	love	vvb	love	love	0
it	it	pn31	it	it	0
,	,	,	,	,	0
nd	nd	cc	and	and	0
desire	desire	vvb	desire	desire	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
while	while	cs	while	while	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
have	have	vhi	have	have	0
it	it	pn31	it	it	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
will	will	vmb	will	will	0
?	?	?	?	?	1
But	But	p-acp	But	but	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
is	is	vbz	is	be	0
evident	evident	j	evident	evident	0
:	:	:	:	:	0
while	while	cs	while	while	0
men	men	n2	men	man	0
love	love	vvb	love	love	0
Unity	Unity	n1	Unity	unity	0
,	,	,	,	,	0
they	they	pns32	they	they	0
hate	hate	vvb	hate	hate	0
the	the	dt	the	the	0
Holi	Holi	j	Holy	holy	0
∣	∣	sy	∣	∣	0
ness	ness	n1	ness	ness	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
must	must	vmb	must	must	0
Unite	Unite	vvi	Unite	unite	0
:	:	:	:	:	0
While	While	cs	While	while	0
they	they	pns32	they	they	0
love	love	vvb	love	love	0
Peace	Peace	n1	Peace	peace	0
,	,	,	,	,	0
they	they	pns32	they	they	0
hate	hate	vvb	hate	hate	0
the	the	dt	the	the	0
necessary	necessary	j	necessary	necessary	0
means	means	n2	means	mean	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
it	it	pn31	it	it	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
obtained	obtained	vvn	obtained	obtain	0
and	and	cc	and	and	0
maintained	maintained	vvn	maintained	maintain	0
:	:	:	:	:	0
The	The	dt	The	the	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
Peace	Peace	n1	Peace	peace	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
known	known	vvn	known	know	0
;	;	;	;	;	0
or	or	cc	or	or	0
knowing	knowing	vvg	knowing	know	0
it	it	pn31	it	it	0
,	,	,	,	,	0
they	they	pns32	they	they	0
do	do	vdb	do	do	0
abhor	abhor	vvi	abhor	abhor	0
it	it	pn31	it	it	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
love	love	vvb	love	love	0
Uni	Uni	fw-la	Uni	uni	0
∣	∣	sy	∣	∣	0
ty	ty	zz	ty	ty	0
and	and	cc	and	and	0
Peace	Peace	n1	Peace	peace	0
,	,	,	,	,	0
they	they	pns32	they	they	0
love	love	vvb	love	love	0
the	the	dt	the	the	0
Causes	Causes	n2	Causes	cause	0
of	of	pp-f	of	of	0
discord	discord	n1	discord	discord	0
and	and	cc	and	and	0
division	division	n1	division	division	0
much	much	av-d	much	much	0
better	better	av-jc	better	better	0
.	.	.	.	.	1
The	The	dt	The	the	0
drunkard	drunkard	n1	drunkard	drunkard	0
,	,	,	,	,	0
and	and	cc	and	and	0
whore-monger	whore-monger	n1	whoremonger	whoremonger	0
,	,	,	,	,	0
and	and	cc	and	and	0
worldling	worldling	n1	worldling	worldling	0
say	say	vvb	say	say	0
they	they	pns32	they	they	0
love	love	vvb	love	love	0
the	the	dt	the	the	0
salvation	salvation	n1	salvation	salvation	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
souls	souls	n2	souls	soul	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
yet	yet	av	yet	yet	0
while	while	cs	while	while	0
they	they	pns32	they	they	0
love	love	vvb	love	love	0
and	and	cc	and	and	0
keep	keep	vvi	keep	keep	0
their	their	po32	their	their	0
sins	sins	n2	sins	sin	0
,	,	,	,	,	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
miss	miss	vvi	miss	miss	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
salvation	salvation	n1	salvation	salvation	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
say	say	vvb	say	say	0
they	they	pns32	they	they	0
love	love	vvb	love	love	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
while	while	cs	while	while	0
men	men	n2	men	man	0
love	love	vvb	love	love	0
their	their	po32	their	their	0
ungodliness	ungodliness	n1	ungodliness	ungodliness	0
and	and	cc	and	and	0
di	di	zz	di	di	0
∣	∣	sy	∣	∣	0
viding	viding	vvg	viding	vide	0
wayes	wayes	n2	ways	way	0
,	,	,	,	,	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
little	little	av-j	little	little	0
the	the	dt	the	the	0
better	better	jc	better	better	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
love	love	n1	love	love	0
of	of	pp-f	of	of	0
peace	peace	n1	peace	peace	0
.	.	.	.	.	1
If	If	cs	If	if	0
men	men	n2	men	man	0
love	love	vvb	love	love	0
Health	Health	n1	Health	health	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
love	love	vvb	love	love	0
Poyson	Poyson	n1	Poison	poison	0
,	,	,	,	,	0
and	and	cc	and	and	0
hate	hate	vvb	hate	hate	0
both	both	d	both	both	0
me	me	pno11	me	i	0
∣	∣	sy	∣	∣	0
dicine	dicine	n1	dicine	dicine	0
and	and	cc	and	and	0
wholsom	wholsom	j	wholesome	wholesome	0
food	food	n1	food	food	0
,	,	,	,	,	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
miss	miss	vvi	miss	miss	0
of	of	pp-f	of	of	0
health	health	n1	health	health	0
,	,	,	,	,	0
notwith	notwith	av	notwith	notwith	0
∣	∣	sy	∣	∣	0
standing	standing	vvg	standing	stand	0
they	they	pns32	they	they	0
love	love	vvb	love	love	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Where	Where	q-crq	Where	where	0
know	know	vvb	know	know	0
you	you	pn22	you	you	0
a	a	dt	a	a	0
Parish	Parish	n1	Parish	parish	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
,	,	,	,	,	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
no	no	dx	no	no	0
dis	dis	zf	dis	this	0
∣	∣	sy	∣	∣	0
agreements	agreements	n2	agreements	agreement	0
in	in	p-acp	in	in	0
matters	matters	n2	matters	matter	0
of	of	pp-f	of	of	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
ligion	ligion	n1	ligion	ligion	0
?	?	?	?	?	1
In	In	p-acp	In	in	0
this	this	d	this	this	0
Parish	Parish	n1	Parish	parish	0
where	where	c-crq	where	where	0
I	I	pns11	I	i	0
live	live	vvb	live	live	0
,	,	,	,	,	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
several	several	j	several	several	0
Congregations	Congregations	n2	Congregations	congregation	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
are	are	vbr	are	be	0
we	we	pns12	we	we	0
di	di	zz	di	di	0
∣	∣	sy	∣	∣	0
vided	vided	vvn	vided	vide	0
into	into	p-acp	into	into	0
such	such	d	such	such	0
parties	parties	n2	parties	party	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
many	many	d	many	many	0
other	other	j-jn	other	other	0
places	places	n2	places	place	0
;	;	;	;	;	0
But	But	cc-acp	But	but	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
here	here	av	here	here	0
the	the	dt	the	the	0
great	great	j	great	great	0
division	division	n1	division	division	0
:	:	:	:	:	0
some	some	d	some	some	0
are	are	vbr	are	be	0
for	for	p-acp	for	for	0
Heaven	Heaven	n1	Heaven	heaven	0
,	,	,	,	,	0
and	and	cc	and	and	0
some	some	d	some	some	0
for	for	p-acp	for	for	0
Earth	Earth	n1	Earth	earth	0
:	:	:	:	:	0
some	some	d	some	some	0
love	love	n1	love	love	0
a	a	dt	a	a	0
holy	holy	j	holy	holy	0
diligent	diligent	j	diligent	diligent	0
life	life	n1	life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
hate	hate	vvb	hate	hate	0
it	it	pn31	it	it	0
:	:	:	:	:	0
some	some	d	some	some	0
pray	pray	vvb	pray	pray	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
Fa	Fa	fw-it	Fa	fa	0
∣	∣	sy	∣	∣	0
milies	milies	n2	milies	mily	0
,	,	,	,	,	0
and	and	cc	and	and	0
teath	teath	vvi	teath	teath	0
them	them	pno32	them	they	0
the	the	dt	the	the	0
word	word	n1	word	word	0
and	and	cc	and	and	0
fear	fear	n1	fear	fear	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
:	:	:	:	:	0
some	some	d	some	some	0
spend	spend	vvb	spend	spend	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
Day	Day	n1	Day	day	0
in	in	p-acp	in	in	0
holy	holy	j	holy	holy	0
exercises	exercises	n2	exercises	exercise	0
,	,	,	,	,	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
spend	spend	vvb	spend	spend	0
much	much	d	much	much	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
idle	idle	j	idle	idle	0
∣	∣	sy	∣	∣	0
ness	ness	n1	ness	ness	0
and	and	cc	and	and	0
vanity	vanity	n1	vanity	vanity	0
:	:	:	:	:	0
some	some	d	some	some	0
take	take	vvb	take	take	0
the	the	dt	the	the	0
service	service	n1	service	service	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
delight	delight	n1	delight	delight	0
;	;	;	;	;	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
are	are	vbr	are	be	0
weary	weary	j	weary	weary	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
;	;	;	;	;	0
and	and	cc	and	and	0
live	live	vvb	live	live	0
in	in	p-acp	in	in	0
ignorance	ignorance	n1	ignorance	ignorance	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
pains	pains	n2	pains	pain	0
to	to	pc-acp	to	to	0
learn	learn	vvi	learn	learn	0
.	.	.	.	.	1
Some	Some	d	Some	some	0
make	make	vvb	make	make	0
it	it	pn31	it	it	0
the	the	dt	the	the	0
principal	principal	j-jn	principal	principal	0
care	care	n1	care	care	0
and	and	cc	and	and	0
business	business	n1	business	business	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
lives	lives	n2	lives	life	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
prepare	prepare	vvi	prepare	prepare	0
for	for	p-acp	for	for	0
death	death	n1	death	death	0
,	,	,	,	,	0
and	and	cc	and	and	0
make	make	vvi	make	make	0
sure	sure	j	sure	sure	0
of	of	pp-f	of	of	0
ever	ever	av	ever	ever	0
∣	∣	sy	∣	∣	0
lasting	lasting	vvg	lasting	last	0
life	life	n1	life	life	0
;	;	;	;	;	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
will	will	vmb	will	will	0
venture	venture	vvi	venture	venture	0
their	their	po32	their	their	0
souls	souls	n2	souls	soul	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
wrath	wrath	n1	wrath	wrath	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
cheat	cheat	vvi	cheat	cheat	0
themselves	themselves	px32	themselves	themselves	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
own	own	d	own	own	0
pre	pre	fw-es	pre	pre	0
∣	∣	sy	∣	∣	0
sumption	sumption	n1	sumption	sumption	0
,	,	,	,	,	0
rather	rather	av-c	rather	rather	0
then	then	cs	then	than	0
be	be	vbi	be	be	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
sweet	sweet	j	sweet	sweet	0
and	and	cc	and	and	0
necessary	necessary	j	necessary	necessary	0
la	la	fw-fr	la	la	0
∣	∣	sy	∣	∣	0
bour	bour	uh	bour	bour	0
to	to	p-acp	to	to	0
be	be	vbi	be	be	0
saved	saved	vvn	saved	save	0
.	.	.	.	.	1
Some	Some	d	Some	some	0
hate	hate	n1	hate	hate	0
sin	sin	n1	since	sin	0
,	,	,	,	,	0
and	and	cc	and	and	0
make	make	vvi	make	make	0
it	it	pn31	it	it	0
their	their	po32	their	their	0
dayly	dayly	j	daily	daily	0
work	work	n1	work	work	0
to	to	pc-acp	to	to	0
root	root	vvi	root	root	0
out	out	av	out	out	0
the	the	dt	the	the	0
relicts	relicts	n2	relicts	relic	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
from	from	p-acp	from	from	0
their	their	po32	their	their	0
hearts	hearts	n2	hearts	heart	0
and	and	cc	and	and	0
lives	lives	n2	lives	life	0
:	:	:	:	:	0
and	and	cc	and	and	0
others	others	ng2-jn	others	other	0
love	love	vvb	love	love	0
it	it	pn31	it	it	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
leave	leave	vvi	leave	leave	0
it	it	pn31	it	it	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
hate	hate	vvb	hate	hate	0
those	those	d	those	those	0
that	that	cst	that	that	0
reprove	reprove	vvb	reprove	reprove	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
endea	endea	n1	endea	endea	0
∣	∣	sy	∣	∣	0
vour	vour	zz	vour	vour	0
their	their	po32	their	their	0
salvation	salvation	n1	salvation	salvation	0
.	.	.	.	.	1
And	And	cc	And	and	0
as	as	c-acp	as	as	0
long	long	av-j	long	long	0
as	as	c-acp	as	as	0
this	this	d	this	this	0
great	great	j	great	great	0
di	di	zz	di	di	0
∣	∣	sy	∣	∣	0
vision	vision	n1	vision	vision	0
is	is	vbz	is	be	0
unhealed	unhealed	j	unhealed	unhealed	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
other	other	j-jn	other	other	0
means	means	n2	means	mean	0
can	can	vmb	can	can	0
bring	bring	vvi	bring	bring	0
us	us	pno12	us	we	0
to	to	p-acp	to	to	0
