ALTHOVGH	ALTHOVGH	cs	ALTHOUGH	although	0
∣	∣	sy	∣	∣	0
uores	uores	fw-la	uores	uores	0
&	&	cc	&	and	0
mainteyners	mainteyners	n2	maintainers	maintainer	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
professions	professions	n2	professions	profession	0
.	.	.	.	.	1
Wherfore	Wherfore	q-crq	Wherefore	wherefore	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
most	most	av-ds	most	most	0
assured	assured	vvn	assured	assure	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
by	by	p-acp	by	by	0
common	common	j	common	common	0
report	report	n1	report	report	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
by	by	p-acp	by	by	0
certaine	certaine	j	certain	certain	0
knowledge	knowledge	n1	knowledge	knowledge	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
honorable	honorable	j	honourable	honourable	0
)	)	)	)	)	0
that	that	cst	that	that	0
those	those	d	those	those	0
good	good	j	good	good	0
and	and	cc	and	and	0
commendable	commendable	j	commendable	commendable	0
exercises	exercises	n2	exercises	exercise	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
Country	Country	n1	Country	country	0
bene	bene	vbn	be	be	0
∣	∣	sy	∣	∣	0
ficiall	ficiall	j	ficiall	ficiall	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
bodies	bodies	n2	bodies	body	0
needefull	needefull	j	needful	needful	0
,	,	,	,	,	0
are	are	vbr	are	be	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
especially	especially	av-j	especially	especial	0
commended	commended	vvn	commended	commend	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
the	the	dt	the	the	0
bolder	bolder	jc	bolder	bold	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
the	the	dt	the	the	0
fruits	fruits	n2	fruits	fruit	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
weake	weake	j	weak	weak	0
paines	paines	n2	pains	pain	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
simple	simple	j	simple	simple	0
trauaile	trauaile	n1	travail	travail	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
honorable	honorable	j	honourable	honourable	0
patronage	patronage	n1	patronage	patronage	0
and	and	cc	and	and	0
defence	defence	n1	defence	defence	0
.	.	.	.	.	1
An	An	dt	And	a	0
olde	olde	j	old	old	0
rule	rule	n1	rule	rule	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
read	read	vvb	read	read	0
(	(	(	(	(	0
my	my	po11	my	my	0
good	good	j	good	good	0
Lord	Lord	n1	Lord	lord	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
Cicero	Cicero	np1	Cicero	Cicero	0
,	,	,	,	,	0
being	being	vbg	being	be	0
a	a	dt	a	a	0
yong	yong	j	young	young	0
scholer	scholer	n1	scholar	scholar	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
accommodare	accommodare	fw-la	accommodare	accommodare	0
sermonē	sermonē	fw-la	sermonē	sermonē	0
ad	ad	fw-la	ad	ad	0
personam	personam	fw-la	personam	personam	0
,	,	,	,	,	0
maketh	maketh	vvz	makes	make	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
cut	cut	vvi	cut	cut	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
my	my	po11	my	my	0
ynckhorne	ynckhorne	n1	ynckhorne	ynckhorne	0
termes	termes	n2	terms	term	0
,	,	,	,	,	0
&	&	cc	&	and	0
flattering	flattering	vvg	flattering	flatter	0
insinua	insinua	fw-la	insinua	insinua	0
∣	∣	sy	∣	∣	0
tions	tions	n1	tions	tions	0
in	in	p-acp	in	in	0
wryting	wryting	vvg	writing	write	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
honor	honor	n1	honour	honour	0
,	,	,	,	,	0
knowing	knowing	vvg	knowing	know	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
a	a	dt	a	a	0
one	one	pi	one	one	0
as	as	a-acp	as	as	0
hath	hath	vhz	hath	have	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Christes	Christes	npg1	Christes	Christ	0
precepts	precepts	n2	precepts	precept	0
lear	lear	vvb	lear	lear	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
to	to	p-acp	to	to	0
seeke	seeke	vvi	seek	seek	0
for	for	p-acp	for	for	0
veritie	veritie	n1	verity	verity	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
for	for	p-acp	for	for	0
vanity	vanity	n1	vanity	vanity	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
substance	substance	n1	substance	substance	0
of	of	pp-f	of	of	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
for	for	p-acp	for	for	0
superfluous	superfluous	j	superfluous	superfluous	0
eloquence	eloquence	n1	eloquence	eloquence	0
in	in	p-acp	in	in	0
words	words	n2	words	word	0
.	.	.	.	.	1
I	I	pns11	I	i	0
had	had	vhd	had	have	0
rather	rather	av-c	rather	rather	0
(	(	(	(	(	0
my	my	po11	my	my	0
singuler	singuler	j	singular	singular	0
good	good	j	good	good	0
Lorde	Lorde	n1	Lord	lord	0
)	)	)	)	)	0
too	too	av	too	too	0
bee	bee	vbi	be	be	0
somewhat	somewhat	av	somewhat	somewhat	0
colde	colde	j-jn	cold	cold	0
in	in	p-acp	in	in	0
praysing	praysing	vvg	praising	praise	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
adiudged	adiudged	vvn	adjudged	adjudge	0
ingratefull	ingratefull	j	ingrateful	ingrateful	0
,	,	,	,	,	0
then	then	cs	then	than	0
your	your	po22	your	your	0
honor	honor	n1	honour	honour	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
to	to	p-acp	to	to	0
whot	whot	j	hot	hot	0
in	in	p-acp	in	in	0
reading	reading	vvg	reading	read	0
,	,	,	,	,	0
and	and	cc	and	and	0
condemne	condemne	vvb	condemn	condemn	0
me	me	pno11	me	i	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
byting	byting	j-vvg	biting	bite	0
flatterer	flatterer	n1	flatterer	flatterer	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
deale	deale	vvi	deal	deal	0
with	with	p-acp	with	with	0
me	me	pno11	me	i	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
read	read	vvn	read	read	0
that	that	d	that	that	0
Noble	Noble	j	Noble	noble	0
Emperour	Emperour	n1	Emperor	emperor	0
Sigismond	Sigismond	np1	Sigismond	Sigismond	0
sometime	sometime	av	sometime	sometime	0
dealt	dealt	vvd	dealt	deal	0
with	with	p-acp	with	with	0
hys	hys	po31	his	his	0
kingly	kingly	j	kingly	kingly	0
Dog	Dog	n1	Dog	dog	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
he	he	pns31	he	he	0
gaue	gaue	vvd	gave	give	0
a	a	dt	a	a	0
good	good	j	good	good	0
rounde	rounde	j	round	round	0
box	box	n1	box	box	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
eare	eare	n1	ear	ear	0
,	,	,	,	,	0
bicause	bicause	c-acp	because	because	0
he	he	pns31	he	he	0
flattered	flattered	vvd	flattered	flatter	0
him	him	pno31	him	he	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
face	face	n1	face	face	0
:	:	:	:	:	0
the	the	dt	the	the	0
Parasite	Parasite	n1	Parasite	parasite	0
saying	saying	vvg	saying	say	0
,	,	,	,	,	0
why	why	q-crq	why	why	0
strike	strike	vvb	strike	strike	0
you	you	pn22	you	you	0
me	me	pno11	me	i	0
Emperour	Emperour	n1	Emperor	emperor	0
?	?	?	?	?	0
the	the	dt	the	the	0
Noble	Noble	j	Noble	noble	0
Prince	Prince	n1	Prince	prince	0
aunswered	aunswered	vvd	answered	answer	0
,	,	,	,	,	0
why	why	q-crq	why	why	0
bytest	bytest	vv2	bytest	byte	0
thou	thou	pns21	thou	thou	0
me	me	pno11	me	i	0
flatterer	flatterer	n1	flatterer	flatterer	0
?	?	?	?	?	1
There	There	pc-acp	There	there	0
be	be	vbi	be	be	0
my	my	po11	my	my	0
very	very	av	very	very	0
good	good	j	good	good	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
many	many	d	many	many	0
such	such	d	such	such	0
nippers	nippers	n2	nippers	nipper	0
,	,	,	,	,	0
nay	nay	uh-x	nay	nay	0
rather	rather	av-c	rather	rather	0
byters	byters	n2	biters	biter	0
in	in	p-acp	in	in	0
Princes	Princes	n2	Princes	prince	0
and	and	cc	and	and	0
noble	noble	j	noble	noble	0
houses	houses	n2	houses	house	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
dayes	dayes	n2	days	day	0
,	,	,	,	,	0
that	that	cst	that	that	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
Si	Si	fw-mi	Si	si	0
∣	∣	sy	∣	∣	0
gismonds	gismonds	n1	gismonds	gismonds	0
reward	reward	n1	reward	reward	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
buffet	buffet	n1	buffet	buffet	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
adulation	adulation	n1	adulation	adulation	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
rather	rather	av-c	rather	rather	0
yerely	yerely	av-j	yearly	yearly	0
stipends	stipends	vvz	stipends	stipend	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
doggishe	doggishe	j	doggish	doggish	0
fawning	fawning	n-vvg	fawning	fawn	0
and	and	cc	and	and	0
flattering	flattering	vvg	flattering	flatter	0
of	of	pp-f	of	of	0
Noble	Noble	j	Noble	noble	0
personages	personages	n2	personages	personage	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
these	these	d	these	these	0
Regios	Regios	npg1	Regios	regios	0
Canes	Canes	n2	Canes	cane	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
so	so	av	so	so	0
the	the	dt	the	the	0
Philosopher	Philosopher	n1	Philosopher	philosopher	0
termeth	termeth	vvz	termeth	term	0
them	them	pno32	them	they	0
,	,	,	,	,	0
I	I	pns11	I	i	0
commit	commit	vvb	commit	commit	0
eyther	eyther	d	either	either	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
mer	mer	n1	mere	mere	0
∣	∣	sy	∣	∣	0
cie	cie	n1	cie	eye	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
conuert	conuert	vvi	convert	convert	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
iustices	iustices	n2	justices	justice	0
as	as	p-acp	as	as	0
byting	byting	j-vvg	biting	bite	0
Dogges	Dogges	n2	Dogs	dog	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
entreated	entreated	vvn	entreated	entreat	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
the	the	dt	the	the	0
dedication	dedication	n1	dedication	dedication	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
my	my	po11	my	my	0
rude	rude	j	rude	rude	0
tran	tran	vvd	tran	tran	0
∣	∣	sy	∣	∣	0
slation	slation	n1	slation	slation	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
honor	honor	n1	honour	honour	0
,	,	,	,	,	0
I	I	pns11	I	i	0
seke	seke	vvi	seek	seek	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
illustrate	illustrate	vvi	illustrate	illustrate	0
your	your	po22	your	your	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
cellent	cellent	uh-j	cellent	cellent	0
vertues	vertues	n2	virtues	virtue	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
an	an	dt	and	a	0
infinite	infinite	j	infinite	infinite	0
trauayle	trauayle	n1	travail	travail	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	pc-acp	to	to	0
paint	paint	vvi	paint	paint	0
out	out	av	out	out	0
mine	mine	po11	mine	my	0
owne	owne	d	own	own	0
skill	skill	n1	skill	skill	0
or	or	cc	or	or	0
cunning	cunning	n-jn	cunning	cunning	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
vaine	vaine	j	vain	vain	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
rather	rather	av-c	rather	rather	0
to	to	p-acp	to	to	0
benefite	benefite	n1	benefit	benefit	0
my	my	po11	my	my	0
Country	Country	n1	Country	country	0
,	,	,	,	,	0
&	&	cc	&	and	0
to	to	pc-acp	to	to	0
ease	ease	vvi	ease	ease	0
my	my	po11	my	my	0
Coun	Coun	fw-mi	Coun	coun	0
∣	∣	sy	∣	∣	0
trymen	trymen	n1	trymen	trymen	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
griefes	griefes	n2	griefs	grief	0
and	and	cc	and	and	0
maladies	maladies	n2	maladies	malady	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
conuerting	conuerting	vvg	converting	convert	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
before	before	a-acp	before	before	0
was	was	vbds	was	be	0
onely	onely	av-j	only	only	0
knowne	knowne	vvn	known	know	0
vnto	vnto	p-acp	unto	unto	0
Phisitians	Phisitians	n2	Physicians	physician	0
and	and	cc	and	and	0
Ita	Ita	fw-la	Ita	ita	0
∣	∣	sy	∣	∣	0
lians	lians	n2-jn	lians	lian	0
into	into	p-acp	into	into	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
natiue	natiue	j-jn	native	native	0
speeche	speeche	n1	speech	speech	0
and	and	cc	and	and	0
mother	mother	n1	mother	mother	0
tongue	tongue	n1	tongue	tongue	0
.	.	.	.	.	1
Although	Although	cs	Although	although	0
the	the	dt	the	the	0
translator	translator	n1	translator	translator	0
be	be	vbb	be	be	0
simple	simple	j	simple	simple	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
knowledge	knowledge	n1	knowledge	knowledge	0
not	not	xx	not	not	0
great	great	j	great	great	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
doubt	doubt	vvb	doubt	doubt	0
not	not	xx	not	not	0
but	but	p-acp	but	but	0
the	the	dt	the	the	0
worthynesse	worthynesse	n1	worthiness	worthiness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
shall	shall	vmb	shall	shall	0
counteruayle	counteruayle	vvi	countervail	countervail	0
the	the	dt	the	the	0
simplicitie	simplicitie	n1	simplicity	simplicity	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
person	person	n1	person	person	0
,	,	,	,	,	0
if	if	cs	if	if	0
there	there	pc-acp	there	there	0
be	be	vbb	be	be	0
any	any	d	any	any	0
carping	carping	j-vvg	carping	carp	0
Momus	Momus	np1	Momus	Momus	0
that	that	cst	that	that	0
will	will	vmb	will	will	0
sooner	sooner	av-c	sooner	soon	0
reprehend	reprehend	vvi	reprehend	reprehend	0
,	,	,	,	,	0
then	then	av	then	then	0
take	take	vvb	take	take	0
paines	paines	n2	pains	pain	0
to	to	pc-acp	to	to	0
amend	amend	vvi	amend	amend	0
this	this	d	this	this	0
my	my	po11	my	my	0
simple	simple	j	simple	simple	0
exercise	exercise	n1	exercise	exercise	0
,	,	,	,	,	0
let	let	vvb	let	let	0
him	him	pno31	him	he	0
remember	remember	vvi	remember	remember	0
the	the	dt	the	the	0
olde	olde	j	old	old	0
Prouerb	Prouerb	n1	Proverb	proverb	0
.	.	.	.	.	1
Ne	Ne	ccx	Ne	ne	0
sutor	sutor	n1	suitor	suitor	0
vltra	vltra	fw-la	vltra	ultra	0
crepidam	crepidam	fw-la	crepidam	crepidam	0
.	.	.	.	.	1
I	I	pns11	I	i	0
beseech	beseech	vvb	beseech	beseech	0
your	your	po22	your	your	0
honor	honor	n1	honour	honour	0
to	to	pc-acp	to	to	0
accept	accept	vvi	accept	accept	0
and	and	cc	and	and	0
receyue	receyue	vvi	receive	receive	0
this	this	d	this	this	0
my	my	po11	my	my	0
small	small	j	small	small	0
trauayle	trauayle	n1	travail	travail	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
testification	testification	n1	testification	testification	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
singuler	singuler	j	singular	singular	0
good	good	j	good	good	0
affection	affection	n1	affection	affection	0
I	I	pns11	I	i	0
beare	beare	vvb	bear	bear	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
onely	onely	j	only	only	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
uoke	uoke	vvb	uoke	uoke	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
paines	paines	n2	pains	pain	0
and	and	cc	and	and	0
occupie	occupie	vvi	occupy	occupy	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
in	in	p-acp	in	in	0
weightier	weightier	jc	weightier	weighty	0
matters	matters	n2	matters	matter	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
binde	binde	vvb	bind	bind	0
me	me	pno11	me	i	0
continually	continually	av-j	continually	continual	0
to	to	pc-acp	to	to	0
pray	pray	vvi	pray	pray	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
almightie	almightie	j-jn	almighty	almighty	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
preseruation	preseruation	n1	preservation	preservation	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Lord	Lord	n1	Lord	lord	0
∣	∣	sy	∣	∣	0
ships	ships	n2	ships	ship	0
helth	helth	n1	health	health	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
dayly	dayly	j	daily	daily	0
encrease	encrease	n1	increase	increase	0
of	of	pp-f	of	of	0
vertue	vertue	n1	virtue	virtue	0
and	and	cc	and	and	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
heauenly	heauenly	j	heavenly	heavenly	0
pleasure	pleasure	n1	pleasure	pleasure	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
singuler	singuler	j	singular	singular	0
contentation	contentation	n1	contentation	contentation	0
.	.	.	.	.	1
