CHildren	CHildren	n2	CHildren	child	0
would	would	vmd	would	will	0
see	see	vvi	see	see	0
as	as	p-acp	as	as	0
much	much	d	much	much	0
cause	cause	n1	cause	cause	0
for	for	p-acp	for	for	0
Sorrow	Sorrow	n1	Sorrow	sorrow	0
as	as	p-acp	as	as	0
Joy	Joy	n1	Joy	joy	0
,	,	,	,	,	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
to	to	pc-acp	to	to	0
mourn	mourn	vvi	mourn	mourn	0
over	over	p-acp	over	over	0
them	them	pno32	them	they	0
,	,	,	,	,	0
while	while	cs	while	while	0
dead	dead	j	dead	dead	0
in	in	p-acp	in	in	0
Si	Si	fw-mi	Si	si	0
than	than	zz	than	than	0
when	when	c-crq	when	when	0
dead	dead	j	dead	dead	0
in	in	p-acp	in	in	0
Nature	Nature	n1	Nature	nature	0
:	:	:	:	:	0
a	a	pns31	a	he	0
would	would	vmd	would	will	0
they	they	pns32	they	they	0
consider	consider	vvi	consider	consider	0
how	how	c-crq	how	how	0
far	far	av-j	far	far	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
instrumental	instrumental	j	instrumental	instrumental	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
,	,	,	,	,	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
see	see	vvi	see	see	0
as	as	p-acp	as	as	0
much	much	d	much	much	0
reason	reason	n1	reason	reason	0
to	to	pc-acp	to	to	0
prevent	prevent	vvi	prevent	prevent	0
the	the	dt	the	the	0
misery	misery	n1	misery	misery	0
that	that	cst	that	that	0
at	at	p-acp	at	at	0
∣	∣	sy	∣	∣	0
tends	tends	vvz	tends	tend	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Had	Had	vhd	Had	have	0
they	they	pns32	they	they	0
contributed	contributed	vvn	contributed	contribute	0
no	no	uh-dx	no	no	0
∣	∣	sy	∣	∣	0
thing	thing	n1	thing	thing	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
the	the	dt	the	the	0
hazard	hazard	n1	hazard	hazard	0
and	and	cc	and	and	0
danger	danger	n1	danger	danger	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
perish	perish	vvb	perish	perish	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
being	being	vbg	being	be	0
great	great	j	great	great	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
great	great	j	great	great	0
fear	fear	n1	fear	fear	0
should	should	vmd	should	shall	0
possess	possess	vvi	possess	possess	0
them	them	pno32	them	they	0
,	,	,	,	,	0
lest	lest	cs	lest	lest	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
perish	perish	vvi	perish	perish	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	p-acp	as	as	0
great	great	j	great	great	0
care	care	n1	care	care	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
.	.	.	.	.	1
The	The	dt	The	the	0
Heathens	Heathens	n2-jn	Heathens	heathens	0
knew	knew	vvd	knew	know	0
nothing	nothing	pix	nothing	nothing	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
made	made	vvd	made	make	0
it	it	pn31	it	it	0
their	their	po32	their	their	0
first	first	ord	first	first	0
and	and	cc	and	and	0
principal	principal	j-jn	principal	principal	0
care	care	n1	care	care	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
provide	provide	vvi	provide	provide	0
Instructers	Instructers	n2	Instructers	instructer	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
Chil	Chil	pns11|vmb	Chil	I|will	0
∣	∣	sy	∣	∣	0
dren	dren	n2	dren	dren	0
in	in	p-acp	in	in	0
Principles	Principles	n2	Principles	principle	0
of	of	pp-f	of	of	0
Learning	Learning	n1	Learning	learning	0
,	,	,	,	,	0
and	and	cc	and	and	0
Rules	Rules	n2	Rules	rule	0
of	of	pp-f	of	of	0
Life	Life	n1	Life	life	0
,	,	,	,	,	0
wisely	wisely	av-j	wisely	wise	0
prevent	prevent	vvb	prevent	prevent	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
Nature	Nature	n1	Nature	nature	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
Discipline	Discipline	n1	Discipline	discipline	0
,	,	,	,	,	0
accompanying	accompanying	vvg	accompanying	accompany	0
their	their	po32	their	their	0
increase	increase	n1	increase	increase	0
of	of	pp-f	of	of	0
Years	Years	n2	Years	year	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
growth	growth	n1	growth	growth	0
of	of	pp-f	of	of	0
Vertue	Vertue	n1	Virtue	virtue	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
become	become	vvi	become	become	0
men	men	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
good	good	j	good	good	0
together	together	av	together	together	0
:	:	:	:	:	0
and	and	cc	and	and	0
what	what	q-crq	what	what	0
a	a	dt	a	a	0
shame	shame	n1	shame	shame	0
will	will	vmb	will	will	0
it	it	pn31	it	it	0
be	be	vbi	be	be	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Pagan	Pagan	j-jn	Pagan	pagan	0
World	World	n1	World	world	0
af	af	pp-f	of	of	0
∣	∣	sy	∣	∣	0
ford	ford	n1	ford	ford	0
better	better	j	better	better	0
Parents	Parents	n2	Parents	parent	0
and	and	cc	and	and	0
Children	Children	n2	Children	child	0
than	than	cs	than	than	0
the	the	dt	the	the	0
Christian	Christian	njp	Christian	christian	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
at	at	p-acp	at	at	0
first	first	ord	first	first	0
was	was	vbds	was	be	0
principally	principally	av-j	principally	principal	0
design'd	design'd	vvn	designed	design	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Children	Children	n2	Children	child	0
(	(	(	(	(	0
viz.	viz.	n1	viz.	viz.	0
my	my	po11	my	my	0
two	two	crd	two	two	0
Sons	Sons	n2	Sons	son	0
born	born	vvn	born	bear	0
in	in	p-acp	in	in	0
Bristol	Bristol	np1	Bristol	Bristol	0
)	)	)	)	)	0
is	is	vbz	is	be	0
now	now	av	now	now	0
dedi	dedi	fw-la	dedi	dedi	0
∣	∣	sy	∣	∣	0
cated	cated	vvn	cated	cate	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
use	use	n1	use	use	0
of	of	pp-f	of	of	0
yours	yours	png22	yours	you	0
;	;	;	;	;	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
judg'd	judg'd	vvn	judged	judge	0
necessa	necessa	fw-la	necessa	necessa	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
as	as	c-acp	as	as	0
oblig'd	oblig'd	vvn	obliged	oblige	0
by	by	p-acp	by	by	0
Duty	Duty	n1	Duty	duty	0
,	,	,	,	,	0
and	and	cc	and	and	0
this	this	d	this	this	0
not	not	xx	not	not	0
improper	improper	j	improper	improper	0
since	since	c-acp	since	since	0
ye	ye	pn22	you	you	0
are	are	vbr	are	be	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
married	married	j-vvn	married	marry	0
state	state	n1	state	state	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
Children	Children	n2	Children	child	0
.	.	.	.	.	1
It	It	pn31	It	it	0
was	was	vbds	was	be	0
cal	cal	vvi	call	call	0
∣	∣	sy	∣	∣	0
culated	culated	vvn	culated	culate	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
Meridian	Meridian	n1	Meridian	meridian	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
will	will	vmb	will	will	0
serve	serve	vvi	serve	serve	0
yours	yours	png22	yours	you	0
:	:	:	:	:	0
and	and	cc	and	and	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
,	,	,	,	,	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
sincere	sincere	j	sincere	sincere	0
desire	desire	n1	desire	desire	0
of	of	pp-f	of	of	1
