INgratitude	INgratitude	n1	INgratitude	ingratitude	0
of	of	pp-f	of	of	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
shewed	shewed	vvn	showed	show	0
themselues	themselues	px32	themselves	themselves	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
respect	respect	n1	respect	respect	0
)	)	)	)	)	0
more	more	av-dc	more	more	0
indifferent	indifferent	j	indifferent	indifferent	0
then	then	cs	then	than	0
some	some	d	some	some	0
men	men	n2	men	man	0
:	:	:	:	:	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
reported	reported	vvn	reported	report	0
in	in	p-acp	in	in	0
Gueuarra	Gueuarra	np1	Gueuarra	Gueuarra	0
his	his	po31	his	his	0
workes	workes	n2	works	work	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Lion	Lion	n1	Lion	lion	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
finding	finding	vvg	finding	find	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
den	den	n1	den	den	0
a	a	dt	a	a	0
fugitiue	fugitiue	n-jn	fugitive	fugitive	0
bondman	bondman	n1	bondman	bondman	0
that	that	cst	that	that	0
was	was	vbds	was	be	0
fled	fled	vvn	fled	flee	0
from	from	p-acp	from	from	0
his	his	po31	his	his	0
mai	mai	fw-gr	mai	mai	0
∣	∣	sy	∣	∣	0
ster	ster	vvz	ster	star	0
,	,	,	,	,	0
a	a	dt	a	a	0
Romaine	Romaine	jp	Roman	roman	0
Proconsul	Proconsul	n1	Proconsul	proconsul	0
,	,	,	,	,	0
dwelling	dwelling	vvg	dwelling	dwell	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
confines	confines	n2	confines	confine	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
desarts	desarts	n2	deserts	desert	0
of	of	pp-f	of	of	0
Aegipt	Aegipt	np1	Aegipt	Egypt	0
,	,	,	,	,	0
hauing	hauing	vhg	having	have	0
hurt	hurt	vvn	hurt	hurt	0
his	his	po31	his	his	0
foote	foote	n1	foot	foot	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
thorne	thorne	n1	thorn	thorn	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
gotten	gotten	vvn	got	get	0
roming	roming	vvg	roaming	roam	0
vp	vp	a-acp	up	up	0
and	and	cc	and	and	0
downe	downe	a-acp	down	down	0
seeking	seeking	vvg	seeking	seek	0
his	his	po31	his	his	0
praie	praie	vvb	pray	pray	0
,	,	,	,	,	0
suffered	suffered	vvd	suffered	suffer	0
the	the	dt	the	the	0
same	same	d	same	same	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
lanced	lanced	vvn	lanced	lance	0
,	,	,	,	,	0
cut	cut	vvn	cut	cut	0
,	,	,	,	,	0
and	and	cc	and	and	0
cured	cured	vvn	cured	cure	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
fugitiue	fugitiue	n-jn	fugitive	fugitive	0
,	,	,	,	,	0
so	so	av	so	so	0
that	that	cst	that	that	0
within	within	p-acp	within	within	0
short	short	j	short	short	0
space	space	n1	space	space	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
throughlie	throughlie	a-acp	throughly	through	0
whole	whole	j-jn	whole	whole	0
and	and	cc	and	and	0
well	well	av	well	well	0
.	.	.	.	.	1
This	This	d	This	this	0
poore	poore	j	poor	poor	0
man	man	n1	man	man	0
although	although	cs	although	although	0
he	he	pns31	he	he	0
dwelt	dwelt	vvd	dwelled	dwell	0
quietlie	quietlie	av-jn	quietly	quiet	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
new	new	j	new	new	0
found	found	vvn	found	find	0
hoast	hoast	n1	host	host	0
,	,	,	,	,	0
and	and	cc	and	and	0
might	might	vmd	might	may	0
also	also	av	also	also	0
vse	vse	vvi	use	use	0
and	and	cc	and	and	0
take	take	vvi	take	take	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
got	got	vvd	god	get	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
wil	wil	n1	will	will	0
∣	∣	sy	∣	∣	0
dernesse	dernesse	n1	dernesse	dernesse	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
louing	louing	vvg	loving	love	0
libertie	libertie	n1	liberty	liberty	0
,	,	,	,	,	0
on	on	p-acp	on	on	0
a	a	dt	a	a	0
time	time	n1	time	time	0
gt	gt	fw-fr	gt	gt	0
foorth	foorth	av	forth	forth	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
den	den	n1	den	den	0
,	,	,	,	,	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
seene	seene	vvn	seen	see	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
espials	espials	n2	espials	espial	0
which	which	r-crq	which	which	0
his	his	po31	his	his	0
maister	maister	n1	master	master	0
had	had	vhd	had	have	0
laide	laide	vvn	laid	lay	0
for	for	p-acp	for	for	0
him	him	pno31	him	he	0
,	,	,	,	,	0
was	was	vbds	was	be	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
taken	taken	vvn	taken	take	0
and	and	cc	and	and	0
brought	brought	vvn	brought	bring	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
caused	caused	vvd	caused	cause	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
sent	sent	vvn	sent	send	0
to	to	pc-acp	to	to	0
Rome	Rome	vvi	Room	roam	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
tor	tor	c-acp	tor	for	0
∣	∣	sy	∣	∣	0
mented	mented	n1	mented	mented	0
among	among	p-acp	among	among	0
other	other	j-jn	other	other	0
condemned	condemned	j-vvn	condemned	condemn	0
men	men	n2	men	man	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
such	such	d	such	such	0
time	time	n1	time	time	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
should	should	vmd	should	shall	0
make	make	vvi	make	make	0
anie	anie	d	any	any	0
solemne	solemne	j	solemn	solemn	0
feast	feast	n1	feast	feast	0
or	or	cc	or	or	0
tri	tri	fw-la	tri	tri	0
∣	∣	sy	∣	∣	0
umph	umph	uh	umph	umph	0
.	.	.	.	.	1
It	It	pn31	It	it	0
fortuned	fortuned	vvd	fortuned	fortune	0
afterward	afterward	av	afterwards	afterward	0
,	,	,	,	,	0
this	this	d	this	this	0
same	same	d	same	same	0
Lion	Lion	n1	Lion	lion	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
ta	ta	dt	ta	a	0
∣	∣	sy	∣	∣	0
ken	ken	n1	ken	ken	0
and	and	cc	and	and	0
sent	sent	vvd	sent	send	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
Rome	Rome	vvi	Room	roam	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
there	there	a-acp	there	there	0
kept	kept	vvn	kept	keep	0
among	among	p-acp	among	among	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
sauadge	sauadge	j-jn	savage	savage	0
and	and	cc	and	and	0
wilde	wilde	j	wild	wild	0
beasts	beasts	n2	beasts	beast	0
.	.	.	.	.	1
Not	Not	xx	Not	not	0
long	long	av-j	long	long	0
after	after	p-acp	after	after	0
this	this	d	this	this	0
,	,	,	,	,	0
the	the	dt	the	the	0
same	same	d	same	same	0
condemned	condemned	j-vvn	condemned	condemn	0
bondman	bondman	n1	bondman	bondman	0
,	,	,	,	,	0
was	was	vbds	was	be	0
amongst	amongst	p-acp	among	among	0
others	others	ng1-jn	others	other	0
ap	ap	fw-mi	ap	ap	0
∣	∣	sy	∣	∣	0
pointed	pointed	j-vvn	pointed	point	0
also	also	av	also	also	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
slaughter	slaughter	n1	slaughter	slaughter	0
,	,	,	,	,	0
&	&	cc	&	and	0
brought	brought	vvd	brought	bring	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
field	field	n1	field	field	0
called	called	vvn	called	call	0
Campus	Campus	np1	Campus	Campus	0
Circulus	Circulus	fw-la	Circulus	circulus	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
trie	trie	vvi	try	try	0
his	his	po31	his	his	0
fortune	fortune	n1	fortune	fortune	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
wild	wild	j	wild	wild	0
beast	beast	n1	beast	beast	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
conclude	conclude	vvi	conclude	conclude	0
,	,	,	,	,	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
his	his	po31	his	his	0
good	good	j	good	good	0
hap	hap	n1	hap	hap	0
to	to	p-acp	to	to	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
counter	counter	n1	counter	counter	0
with	with	p-acp	with	with	0
that	that	d	that	that	0
Lion	Lion	n1	Lion	lion	0
which	which	r-crq	which	which	0
hee	hee	pns31	he	he	0
before	before	a-acp	before	before	0
had	had	vhd	had	have	0
cured	cured	vvn	cured	cure	0
:	:	:	:	:	0
Assoone	Assoone	av	Assoon	assoon	0
as	as	c-acp	as	as	0
this	this	d	this	this	0
hungrie	hungrie	j	hungry	hungry	0
ramping	ramping	j-vvg	ramping	ramp	0
Lion	Lion	n1	Lion	lion	0
had	had	vhd	had	have	0
espied	espied	vvn	espied	espy	0
that	that	d	that	that	0
man	man	n1	man	man	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
one	one	pi	one	one	0
desirous	desirous	j	desirous	desirous	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
praie	praie	vvb	pray	pray	0
,	,	,	,	,	0
he	he	pns31	he	he	0
ran	ran	vvd	ran	run	0
towards	towards	p-acp	towards	towards	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
deuoured	deuoured	vvn	devoured	devour	0
him	him	pno31	him	he	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
when	when	c-crq	when	when	0
hee	hee	pns31	he	he	0
perceiued	perceiued	vvd	perceived	perceive	0
well	well	av	well	well	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
verie	verie	j	very	very	0
man	man	n1	man	man	0
that	that	cst	that	that	0
had	had	vhd	had	have	0
lodged	lodged	vvn	lodged	lodge	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
den	den	n1	den	den	0
,	,	,	,	,	0
and	and	cc	and	and	0
done	done	vdn	done	do	0
him	him	pno31	him	he	0
good	good	j	good	good	0
,	,	,	,	,	0
he	he	pns31	he	he	0
straightwaie	straightwaie	av	straightway	straightway	0
stood	stood	vvd	stood	stand	0
ouer	ouer	p-acp	over	over	0
the	the	dt	the	the	0
man	man	n1	man	man	0
,	,	,	,	,	0
defending	defending	vvg	defending	defend	0
him	him	pno31	him	he	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
crueltie	crueltie	n1	cruelty	cruelty	0
of	of	pp-f	of	of	0
anie	anie	d	any	any	0
other	other	j-jn	other	other	0
beast	beast	n1	beast	beast	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
the	the	dt	the	the	0
man	man	n1	man	man	0
who	who	r-crq	who	who	0
exspected	exspected	vvd	expected	expect	0
nothing	nothing	pix	nothing	nothing	0
but	but	cc-acp	but	but	0
death	death	n1	death	death	0
,	,	,	,	,	0
had	had	vhd	had	have	0
well	well	av	well	well	0
considered	considered	vvn	considered	consider	0
the	the	dt	the	the	0
humanitie	humanitie	n1	humanity	humanity	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
beast	beast	n1	beast	beast	0
,	,	,	,	,	0
and	and	cc	and	and	0
throughlie	throughlie	av-j	throughly	through	0
regarded	regarded	vvd	regarded	regard	0
him	him	pno31	him	he	0
,	,	,	,	,	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
then	then	av	then	then	0
assu	assu	fw-fr	assu	assu	0
∣	∣	sy	∣	∣	0
red	red	n-jn	read	red	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
his	his	po31	his	his	0
quondam	quondam	j	quondam	quondam	0
hoste	hoste	n1	host	host	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
deserts	deserts	n2	deserts	desert	0
,	,	,	,	,	0
and	and	cc	and	and	0
therevpon	therevpon	av	thereupon	thereupon	0
made	made	vvd	made	make	0
the	the	dt	the	the	0
bolder	bolder	jc	bolder	bold	0
to	to	pc-acp	to	to	0
touch	touch	vvi	touch	touch	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
stro	stro	fw-la	stro	stro	0
∣	∣	sy	∣	∣	0
ked	ked	j	ked	ked	0
and	and	cc	and	and	0
cherished	cherished	vvd	cherished	cherish	0
him	him	pno31	him	he	0
.	.	.	.	.	1
The	The	dt	The	the	0
Emperour	Emperour	n1	Emperor	emperor	0
and	and	cc	and	and	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
state	state	n1	state	state	0
of	of	pp-f	of	of	0
Rome	Rome	np1	Rome	Rome	0
stood	stood	vvd	stood	stand	0
still	still	av	still	still	0
,	,	,	,	,	0
abashed	abashed	vvn	abashed	abash	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
strange	strange	j	strange	strange	0
&	&	cc	&	and	0
rare	rare	j	rare	rare	0
sight	sight	n1	sighed	sight	0
,	,	,	,	,	0
and	and	cc	and	and	0
after	after	p-acp	after	after	0
a	a	dt	a	a	0
little	little	j	little	little	0
staie	staie	vvi	stay	stay	0
made	made	vvn	made	make	0
,	,	,	,	,	0
caused	caused	vvd	caused	cause	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
inquired	inquired	vvn	inquired	inquire	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
man	man	n1	man	man	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
he	he	pns31	he	he	0
were	were	vbdr	were	be	0
a	a	dt	a	a	0
Nigromancer	Nigromancer	n1	Nigromancer	necromancer	0
,	,	,	,	,	0
or	or	cc	or	or	0
whe	whe	c-crq	when	when	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
inchanted	inchanted	vvn	enchanted	enchant	0
the	the	dt	the	the	0
Lion	Lion	n1	Lion	lion	0
,	,	,	,	,	0
seeing	seeing	vvg	seeing	see	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
hunger-prickt	hunger-prickt	j	hunger-prickt	hunger-prickt	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
had	had	vhd	had	have	0
no	no	dx	no	no	0
power	power	n1	power	power	0
to	to	pc-acp	to	to	0
hurt	hurt	vvi	hurt	hurt	0
him	him	pno31	him	he	0
:	:	:	:	:	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
he	he	pns31	he	he	0
answered	answered	vvd	answered	answer	0
,	,	,	,	,	0
that	that	cst	that	that	0
his	his	po31	his	his	0
safetie	safetie	n1	safety	safety	0
came	came	vvd	came	come	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
gentle	gentle	j	gentle	gentle	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
beast	beast	n1	beast	beast	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
anie	anie	d	any	any	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
,	,	,	,	,	0
and	and	cc	and	and	0
reported	reported	vvn	reported	report	0
at	at	p-acp	at	at	0
large	large	j	large	large	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
clemencie	clemencie	n1	clemency	clemency	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
fore	fore	a-acp	before	fore	0
is	is	vbz	is	be	0
expressed	expressed	vvn	expressed	express	0
.	.	.	.	.	1
To	To	pc-acp	To	to	0
be	be	vbi	be	be	0
short	short	j	short	short	0
,	,	,	,	,	0
the	the	dt	the	the	0
man	man	n1	man	man	0
had	had	vhd	had	have	0
his	his	po31	his	his	0
life	life	n1	life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
licence	licence	n1	licence	licence	0
to	to	pc-acp	to	to	0
beg	beg	vvi	beg	beg	0
vp	vp	a-acp	up	up	0
and	and	cc	and	and	0
downe	downe	a-acp	down	down	0
the	the	dt	the	the	0
streets	streets	n2	streets	street	0
of	of	pp-f	of	of	0
Rome	Rome	n1	Room	room	0
,	,	,	,	,	0
leading	leading	vvg	leading	lead	0
the	the	dt	the	the	0
Lion	Lion	n1	Lion	lion	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
vpon	vpon	p-acp	upon	upon	0
whose	whose	rg-crq	whose	who	0
breast	breast	n1	breast	breast	0
was	was	vbds	was	be	0
written	written	vvn	written	write	0
as	as	p-acp	as	as	0
followeth	followeth	vvz	follows	follow	0
.	.	.	.	.	1
Hic	Hic	fw-la	Hic	hic	0
Leo	Leo	fw-la	Leo	leo	0
est	est	fw-la	est	est	0
hospes	hospes	n2	hospes	hospe	0
,	,	,	,	,	0
huius	huius	fw-la	huius	huius	0
hominis	hominis	fw-la	hominis	hominis	0
.	.	.	.	.	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
forepart	forepart	n1	forepart	forepart	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
coate	coate	n1	coat	coat	0
was	was	vbds	was	be	0
set	set	vvn	set	set	0
downe	downe	a-acp	down	down	0
,	,	,	,	,	0
Hic	Hic	fw-la	Hic	hic	0
homo	homo	fw-la	homo	homo	0
est	est	fw-la	est	est	0
medicus	medicus	fw-la	medicus	medice	0
huius	huius	fw-la	huius	huius	0
Leonis	Leonis	np1	Leonis	Leonis	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
auoid	auoid	vvi	avoid	avoid	0
this	this	d	this	this	0
horrible	horrible	j	horrible	horrible	0
sinne	sinne	n1	sin	sin	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
worshipfull	worshipfull	j	worshipful	worshipful	0
)	)	)	)	)	0
presumed	presumed	vvd	presumed	presume	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
worship	worship	n1	worship	worship	0
,	,	,	,	,	0
the	the	dt	the	the	0
true	true	j	true	true	0
reports	reports	n2	reports	report	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
troubles	troubles	n2	troubles	trouble	0
,	,	,	,	,	0
&	&	cc	&	and	0
of	of	pp-f	of	of	0
certeine	certeine	j	certain	certain	0
others	others	n2-jn	others	other	0
in	in	p-acp	in	in	0
Turkie	Turkie	n1	Turkey	turquoise	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
although	although	cs	although	although	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
set	set	vvn	set	set	0
out	out	av	out	out	0
with	with	p-acp	with	with	0
braue	braue	j	brave	brave	0
termes	termes	n2	terms	term	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
set	set	vvd	set	set	0
downe	downe	a-acp	down	down	0
nothing	nothing	pix	nothing	nothing	0
but	but	cc-acp	but	but	0
plaine	plaine	j	plain	plain	0
troth	troth	n1	troth	troth	0
,	,	,	,	,	0
easie	easie	j	easy	easy	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
told	told	vvn	told	tell	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
hard	hard	av-j	hard	hard	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
tollera	tollera	fw-la	tollera	tollera	0
∣	∣	sy	∣	∣	0
ted	ted	n1	ted	ted	0
:	:	:	:	:	0
beseeching	beseeching	vvg	beseeching	beseech	0
your	your	po22	your	your	0
worship	worship	n1	worship	worship	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
frēdlie	frēdlie	j	friendly	friendly	0
to	to	pc-acp	to	to	0
accept	accept	vvi	accept	accept	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
willinglie	willinglie	av-j	willingly	willing	0
present	present	vvb	present	present	0
it	it	pn31	it	it	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
answe	answe	vvn	answer	answer	0
∣	∣	sy	∣	∣	0
rable	rable	n1	rabble	rabble	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
desires	desires	n2	desires	desire	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
then	then	av	then	then	0
signifie	signifie	vvi	signify	signify	0
what	what	r-crq	what	what	0
heart	heart	n1	heart	heart	0
I	I	pns11	I	i	0
carrie	carrie	vvb	carry	carry	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
worship	worship	n1	worship	worship	0
,	,	,	,	,	0
vnto	vnto	p-acp	unto	unto	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
confesse	confesse	vvb	confess	confess	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
most	most	av-ds	most	most	0
wholie	wholie	av-jn	wholly	whole	0
bounden	bounden	vvn	bounden	bind	0
,	,	,	,	,	0
and	and	cc	and	and	0
least	least	cs	lest	lest	0
my	my	po11	my	my	0
rude	rude	j	rude	rude	0
speeches	speeches	n2	speeches	speech	0
should	should	vmd	should	shall	0
sauor	sauor	n1	savour	savour	0
of	of	pp-f	of	of	0
flatterie	flatterie	n1	flattery	flattery	0
.	.	.	.	.	1
I	I	pns11	I	i	0
here	here	av	here	here	0
leaue	leaue	vvb	leave	leave	0
your	your	po22	your	your	0
worship	worship	n1	worship	worship	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Almigh	Almigh	n1	Almigh	almigh	0
∣	∣	sy	∣	∣	0
tie	tie	n1	tie	tie	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
send	send	vvb	send	send	0
you	you	pn22	you	you	0
health	health	n1	health	health	0
and	and	cc	and	and	0
heauen	heauen	n1	heaven	heaven	0
.	.	.	.	.	1
