FOrasmuch	FOrasmuch	av	FOrasmuch	forasmuch	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
euer	euer	av	ever	ever	0
hath	hath	vhz	hath	have	0
bin	bin	vbn	been	be	0
,	,	,	,	,	0
so	so	av	so	so	0
must	must	vmb	must	must	0
it	it	pn31	it	it	0
euer	euer	av	ever	ever	0
be	be	vbi	be	be	0
vnder	vnder	p-acp	under	under	0
the	the	dt	the	the	0
crosse	crosse	n1	cross	cross	0
.	.	.	.	.	1
And	And	cc	And	and	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
fore	fore	av	before	fore	0
if	if	cs	if	if	0
wee	wee	pns12	we	we	0
will	will	vmb	will	will	0
bee	bee	vbi	be	be	0
compted	compted	vvn	counted	count	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
indeede	indeede	av	indeed	indeed	0
,	,	,	,	,	0
and	and	cc	and	and	0
glorie	glorie	n1	glory	glory	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
excellent	excellent	j	excellent	excellent	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Christian	Christian	njp	Christian	christian	0
,	,	,	,	,	0
let	let	vvb	let	let	0
vs	vs	pno12	us	we	0
knowe	knowe	vvi	know	know	0
assuredlie	assuredlie	av-vvn	assuredly	assure	0
,	,	,	,	,	0
that	that	cst	that	that	0
vnto	vnto	p-acp	unto	unto	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
euen	euen	av	even	even	0
vnto	vnto	p-acp	unto	unto	0
vs	vs	pno12	us	we	0
(	(	(	(	(	0
that	that	cst	that	that	0
haue	haue	vhb	have	have	0
so	so	av	so	so	0
long	long	av-j	long	long	0
liued	liued	vvn	lived	live	0
in	in	p-acp	in	in	0
rest	rest	n1	rest	rest	0
and	and	cc	and	and	0
pleasure	pleasure	n1	pleasure	pleasure	0
,	,	,	,	,	0
if	if	cs	if	if	0
wee	wee	pns12	we	we	0
be	be	vbb	be	be	0
the	the	dt	the	the	0
chil	chil	fw-la	chil	chil	0
∣	∣	sy	∣	∣	0
dren	dren	n1	dren	dren	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
sort	sort	n1	sort	sort	0
and	and	cc	and	and	0
mea	mea	zz	mea	mea	0
∣	∣	sy	∣	∣	0
sure	sure	j	sure	sure	0
a	a	dt	a	a	0
triall	triall	n1	trial	trial	0
must	must	vmb	must	must	0
come	come	vvi	come	come	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
,	,	,	,	,	0
if	if	cs	if	if	0
God	God	np1	God	God	0
chastise	chastise	vvb	chastise	chastise	0
euerie	euerie	d	every	every	0
sonne	sonne	n1	son	son	0
whom	whom	r-crq	whom	who	0
he	he	pns31	he	he	0
re	re	fw-mi	re	re	0
∣	∣	sy	∣	∣	0
ceiueth	ceiueth	vvz	ceiueth	ceiu	0
,	,	,	,	,	0
and	and	cc	and	and	0
euery	euery	d	every	every	0
member	member	n1	member	member	0
of	of	pp-f	of	of	0
Chri	Chri	np1	Chri	Chri	0
∣	∣	sy	∣	∣	0
stes	stes	n1	stes	stes	0
body	body	n1	body	body	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
fashioned	fashioned	vvn	fashioned	fashion	0
like	like	av-j	like	like	0
vn	vn	zz	vn	vn	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
head	head	n1	head	head	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
afflictions	afflictions	n2	afflictions	affliction	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
world	world	n1	world	world	0
are	are	vbr	are	be	0
manifest	manifest	j	manifest	manifest	0
tokens	tokens	n2	tokens	token	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
children	children	n2	children	child	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
fauour	fauour	n1	favour	favour	0
and	and	cc	and	and	0
loue	loue	vvi	love	love	0
towards	towards	p-acp	towards	towards	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
sure	sure	j	sure	sure	0
pledges	pledges	n2	pledges	pledge	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
adoptiō	adoptiō	n1	adoption	adoption	0
:	:	:	:	:	0
how	how	c-crq	how	how	0
can	can	vmb	can	can	0
we	we	pns12	we	we	0
looke	looke	vvi	look	look	0
,	,	,	,	,	0
or	or	cc	or	or	0
how	how	q-crq	how	how	0
can	can	vmb	can	can	0
we	we	pns12	we	we	0
desire	desire	vvi	desire	desire	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
exemp	exemp	j	exempt	exempt	0
∣	∣	sy	∣	∣	0
ted	ted	n1	ted	ted	0
from	from	p-acp	from	from	0
this	this	d	this	this	0
common	common	j	common	common	0
condition	condition	n1	condition	condition	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
children	children	n2	children	child	0
and	and	cc	and	and	0
house	house	n1	house	house	0
∣	∣	sy	∣	∣	0
hold	hold	vvb	hold	hold	0
?	?	?	?	?	1
To	To	p-acp	To	to	0
this	this	d	this	this	0
end	end	n1	end	end	0
therefore	therefore	av	therefore	therefore	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
Honorable	Honorable	j	Honourable	honourable	0
Ladie	Ladie	n1	Lady	lady	0
)	)	)	)	)	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
translated	translated	vvn	translated	translate	0
this	this	d	this	this	0
little	little	j	little	little	0
booke	booke	n1	book	book	0
,	,	,	,	,	0
first	first	ord	first	first	0
to	to	pc-acp	to	to	0
admonish	admonish	vvi	admonish	admonish	0
some	some	d	some	some	0
(	(	(	(	(	0
who	who	r-crq	who	who	0
for	for	p-acp	for	for	0
lacke	lacke	n1	lack	lack	0
of	of	pp-f	of	of	0
experience	experience	n1	experience	experience	0
,	,	,	,	,	0
neuer	neuer	av-x	never	never	0
feeling	feeling	vvg	feeling	feel	0
other	other	j-jn	other	other	0
daies	daies	n2	days	day	0
than	than	cs	than	than	0
these	these	d	these	these	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
peace	peace	n1	peace	peace	0
and	and	cc	and	and	0
quietnes	quietnes	n1	quietness	quietness	0
)	)	)	)	)	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
learne	learne	vvb	learn	learn	0
to	to	pc-acp	to	to	0
applie	applie	vvi	apply	apply	0
vnto	vnto	p-acp	unto	unto	0
themselues	themselues	px32	themselves	themselves	0
whatsoeuer	whatsoeuer	q-crq	whatsoever	whatsoever	0
they	they	pns32	they	they	0
heare	heare	vvb	hear	hear	0
or	or	cc	or	or	0
reade	reade	vvi	read	read	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
triall	triall	n1	trial	trial	0
of	of	pp-f	of	of	0
GOD	GOD	np1	GOD	God	0
his	his	po31	his	his	0
children	children	n2	children	child	0
,	,	,	,	,	0
least	least	ds	least	least	0
falselie	falselie	av-j	falsely	false	0
imagining	imagining	vvg	imagining	imagine	0
it	it	pn31	it	it	0
to	to	pc-acp	to	to	0
appertaine	appertaine	vvi	appertain	appertain	0
either	either	d	either	either	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
times	times	n2	times	time	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
past	past	j	past	past	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	p-acp	to	to	0
other	other	j-jn	other	other	0
Nations	Nations	n2	Nations	nation	0
,	,	,	,	,	0
it	it	pn31	it	it	0
fall	fall	vvi	fallen	fall	0
sodainlie	sodainlie	av-j	suddenly	sudden	0
vpon	vpon	p-acp	upon	upon	0
them	them	pno32	them	they	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
theefe	theefe	n1	thief	thief	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
night	night	n1	night	night	0
,	,	,	,	,	0
&	&	cc	&	and	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
destitute	destitute	j	destitute	destitute	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
hope	hope	n1	hope	hope	0
and	and	cc	and	and	0
comfort	comfort	n1	comfort	comfort	0
.	.	.	.	.	1
Secondlie	Secondlie	ord	Secondlie	secondlie	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
awake	awake	vvi	awake	awake	0
others	others	n2-jn	others	other	0
aboun	aboun	n1	aboum	aboum	0
∣	∣	sy	∣	∣	0
ding	ding	uh	ding	ding	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
knowledge	knowledge	n1	knowledge	knowledge	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
graces	graces	n2	graces	grace	0
,	,	,	,	,	0
whom	whom	r-crq	whom	who	0
notwithstanding	notwithstanding	a-acp	notwithstanding	notwithstanding	0
,	,	,	,	,	0
sa	sa	uh	sa	sa	0
∣	∣	sy	∣	∣	0
tan	tan	uh	tan	tan	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
deceaueable	deceaueable	j	deceaueable	deceaueable	0
lusts	lusts	n2	lustest	lust	0
&	&	cc	&	and	0
vaine	vaine	j	vain	vain	0
pleasures	pleasures	n2	pleasures	pleasure	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
wicked	wicked	j	wicked	wicked	0
world	world	n1	world	world	0
)	)	)	)	)	0
hath	hath	vhz	hath	have	0
so	so	av	so	so	0
rockt	rockt	vvd	rocked	rock	0
a	a	dt	a	a	0
sleepe	sleepe	n1	sleep	sleep	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
seeme	seeme	vvb	seem	seem	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
most	most	av-ds	most	most	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
diseased	diseased	vvn	diseased	disease	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Lethargie	Lethargie	n1	Lethargy	lethargy	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
forgottē	forgottē	vvn	forgotten	forget	0
both	both	av-d	both	both	0
themselues	themselues	px32	themselves	themselves	0
,	,	,	,	,	0
their	their	po32	their	their	0
holie	holie	j	holy	holy	0
calling	calling	n-vvg	calling	call	0
and	and	cc	and	and	0
profession	profession	n1	profession	profession	0
.	.	.	.	.	1
Last	Last	ord	Last	last	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
comfort	comfort	vvi	comfort	comfort	0
an	an	dt	and	a	0
other	other	j-jn	other	other	0
sort	sort	n1	sort	sort	0
,	,	,	,	,	0
whome	whome	ro-crq	whom	who	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
pleased	pleased	vvn	pleased	please	0
GOD	GOD	np1	GOD	God	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
presse	presse	vvi	press	press	0
downe	downe	a-acp	down	down	0
with	with	p-acp	with	with	0
sor	sor	p-acp	sor	for	0
∣	∣	sy	∣	∣	0
rowes	rowes	n2	rows	row	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
exercise	exercise	vvi	exercise	exercise	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
tinuall	tinuall	j	tinuall	tinuall	0
afflictions	afflictions	n2	afflictions	affliction	0
and	and	cc	and	and	0
calamities	calamities	n2	calamities	calamity	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
mortall	mortall	j-jn	mortal	mortal	0
life	life	n1	life	life	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
no	no	dx	no	no	0
times	times	n2	times	time	0
seeming	seeming	vvg	seeming	seem	0
fauourable	fauourable	j	favourable	favourable	0
vnto	vnto	p-acp	unto	unto	0
thē	thē	pno32	them	they	0
,	,	,	,	,	0
they	they	pns32	they	they	0
can	can	vmb	can	can	0
scarse	scarse	av-j	scarce	scarce	0
receiue	receiue	vvi	receive	receive	0
the	the	dt	the	the	0
words	words	n2	words	word	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
comfort	comfort	n1	comfort	comfort	0
.	.	.	.	.	1
And	And	cc	And	and	0
because	because	c-acp	because	because	0
your	your	po22	your	your	0
Honor	Honor	n1	Honour	honour	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
of	of	pp-f	of	of	0
long	long	j	long	long	0
time	time	n1	time	time	0
,	,	,	,	,	0
not	not	xx	not	not	0
onlie	onlie	av-j	only	only	0
a	a	dt	a	a	0
professour	professour	n1	professor	professor	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
a	a	dt	a	a	0
louer	louer	n1	lover	lover	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
trueth	trueth	n1	truth	truth	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
(	(	(	(	(	0
exalting	exalting	vvg	exalting	exalt	0
to	to	p-acp	to	to	0
an	an	dt	and	a	0
higher	higher	jc	higher	high	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
dignitie	dignitie	n1	dignity	dignity	0
than	than	cs	than	than	0
many	many	d	many	many	0
other	other	n-jn	other	other	0
)	)	)	)	)	0
hath	hath	vhz	hath	have	0
set	set	vvn	set	set	0
vp	vp	a-acp	up	up	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
a	a	dt	a	a	0
light	light	n1	light	light	0
vpō	vpō	p-acp	upon	upon	0
an	an	dt	and	a	0
high	high	j	high	high	0
candlesticke	candlesticke	n1	candlestick	candlestick	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
light	light	n1	light	light	0
vnto	vnto	p-acp	unto	unto	0
ma	ma	fw-fr	ma	ma	0
∣	∣	sy	∣	∣	0
nie	nie	av-j	nigh	nigh	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
especiallie	especiallie	av-j	especially	especial	0
dedicated	dedicated	vvn	dedicated	dedicate	0
vn	vn	p-acp	un	unto	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
this	this	d	this	this	0
my	my	po11	my	my	0
poore	poore	j	poor	poor	0
tra	tra	fw-la	tra	tra	0
∣	∣	sy	∣	∣	0
uaile	uaile	n1	vail	vail	0
,	,	,	,	,	0
humblie	humblie	av-j	humbly	humble	0
beseeching	beseeching	vvg	beseeching	beseech	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
it	it	pn31	it	it	0
no	no	av-dx	no	no	0
lesse	lesse	av-dc	less	less	0
comfortable	comfortable	j	comfortable	comfortable	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
those	those	d	those	those	0
that	that	cst	that	that	0
shall	shall	vmb	shall	shall	0
reade	reade	vvi	read	read	0
it	it	pn31	it	it	0
,	,	,	,	,	0
than	than	cs	than	than	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
vnto	vnto	p-acp	unto	unto	0
me	me	pno11	me	i	0
who	who	r-crq	who	who	0
haue	haue	vhb	have	have	0
translated	translated	vvn	translated	translate	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Euerie	Euerie	d	Every	every	0
one	one	crd	one	one	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
calling	calling	n-vvg	calling	call	0
is	is	vbz	is	be	0
bound	bound	vvn	bound	bind	0
to	to	pc-acp	to	to	0
doo	doo	vdi	do	do	0
some	some	d	some	some	0
∣	∣	sy	∣	∣	0
what	what	q-crq	what	what	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
furtherance	furtherance	n1	furtherance	furtherance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
holie	holie	j	holy	holy	0
building	building	n-vvg	building	build	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
because	because	c-acp	because	because	0
great	great	j	great	great	0
things	things	n2	things	thing	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
sex	sex	n1	sex	sex	0
,	,	,	,	,	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
doo	doo	vdi	do	do	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
,	,	,	,	,	0
I	I	pns11	I	i	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
doo	doo	vdi	do	do	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
duetie	duetie	n1	duty	duty	0
,	,	,	,	,	0
brought	brought	vvd	brought	bring	0
my	my	po11	my	my	0
poore	poore	j	poor	poor	0
basket	basket	n1	basket	basket	0
of	of	pp-f	of	of	0
stones	stones	n2	stones	stone	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
strengthning	strengthning	vvg	strengthening	strengthen	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
walles	walles	n2	walls	wall	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Ierusalem	Ierusalem	np1	Ierusalem	Jerusalem	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
grace	grace	n1	grace	grace	0
)	)	)	)	)	0
wee	wee	pns12	we	we	0
are	are	vbr	are	be	0
all	all	d	all	all	0
both	both	d	both	both	0
Citizens	Citizens	n2	Citizens	citizen	0
and	and	cc	and	and	0
mem	mem	n1	man	man	0
∣	∣	sy	∣	∣	0
bers	bers	zz	bers	bers	0
.	.	.	.	.	1
And	And	cc	And	and	0
now	now	av	now	now	0
to	to	pc-acp	to	to	0
returne	returne	vvi	return	return	0
to	to	p-acp	to	to	0
those	those	d	those	those	0
whō	whō	ro-crq	whom	who	0
experience	experience	n1	experience	experience	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
yet	yet	av	yet	yet	0
taught	taught	vvn	taught	teach	0
,	,	,	,	,	0
and	and	cc	and	and	0
whom	whom	r-crq	whom	who	0
prosperitie	prosperitie	n1	prosperity	prosperity	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
suf	suf	fw-fr	suf	suf	0
∣	∣	sy	∣	∣	0
fer	fer	fw-fr	fer	fer	0
to	to	pc-acp	to	to	0
awake	awake	vvi	awake	awake	0
:	:	:	:	:	0
I	I	pns11	I	i	0
earnestlie	earnestlie	av-j	earnestly	earnest	0
beseech	beseech	vvb	beseech	beseech	0
them	them	pno32	them	they	0
both	both	d	both	both	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
no	no	av-dx	no	no	0
longer	longer	av-jc	longer	long	0
to	to	pc-acp	to	to	0
deceiue	deceiue	vvi	deceive	deceive	0
themselues	themselues	px32	themselves	themselves	0
with	with	p-acp	with	with	0
vaine	vaine	j	vain	vain	0
ima	ima	n2	ima	ima	0
∣	∣	sy	∣	∣	0
ginations	ginations	n2	ginations	gination	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
to	to	pc-acp	to	to	0
suffer	suffer	vvi	suffer	suffer	0
their	their	po32	their	their	0
hearts	hearts	n2	hearts	heart	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
tied	tied	vvn	tied	tie	0
to	to	p-acp	to	to	0
earthlie	earthlie	j	earthly	earthly	0
vani	vani	fw-la	vani	vani	0
∣	∣	sy	∣	∣	0
ties	ties	vvz	ties	tie	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
despise	despise	vvi	despise	despise	0
or	or	cc	or	or	0
neg	neg	n1	neg	neg	0
∣	∣	sy	∣	∣	0
lect	lect	vvb	lect	lect	0
those	those	d	those	those	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
cā	cā	vmb	can	can	0
truely	truely	av-j	truly	true	0
make	make	vvi	make	make	0
them	them	pno32	them	they	0
happie	happie	j	happy	happy	0
indeed	indeed	av	indeed	indeed	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
please	please	vvi	please	please	0
GOD	GOD	np1	GOD	God	0
to	to	pc-acp	to	to	0
open	open	vvi	open	open	0
their	their	po32	their	their	0
eyes	eyes	n2	eyes	eye	0
to	to	pc-acp	to	to	0
discerne	discerne	vvi	discern	discern	0
betweene	betweene	p-acp	between	between	0
heauenlie	heauenlie	j	heavenly	heavenly	0
and	and	cc	and	and	0
earthly	earthly	j	earthly	earthly	0
,	,	,	,	,	0
betweene	betweene	p-acp	between	between	0
things	things	n2	things	thing	0
transitorie	transitorie	j	transitory	transitory	0
,	,	,	,	,	0
and	and	cc	and	and	0
things	things	n2	things	thing	0
euerlasting	euerlasting	j	everlasting	everlasting	0
,	,	,	,	,	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
of	of	pp-f	of	of	0
themselues	themselues	px32	themselves	themselves	0
bee	bee	vbi	be	be	0
ashamed	ashamed	j-vvn	ashamed	ashamed	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
