Friends	Friends	ng1	Friends	friend	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
favour	favour	n1	favour	favour	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
to	to	pc-acp	to	to	0
leave	leave	vvi	leave	leave	0
all	all	d	all	all	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
own	own	d	own	own	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
was	was	vbds	was	be	0
;	;	;	;	;	0
and	and	cc	and	and	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
manifest	manifest	j	manifest	manifest	0
in	in	p-acp	in	in	0
due	due	j-jn	due	due	0
time	time	n1	time	time	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
men	men	n2	men	man	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
and	and	cc	and	and	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
ready	ready	j	ready	ready	0
to	to	pc-acp	to	to	0
serve	serve	vvi	serve	serve	0
all	all	d	all	all	0
men	men	n2	men	man	0
in	in	p-acp	in	in	0
love	love	n1	love	love	0
,	,	,	,	,	0
while	while	cs	while	while	0
he	he	pns31	he	he	0
is	is	vbz	is	be	1
