HIpponicus	HIpponicus	np1	HIpponicus	HIpponicus	0
in	in	p-acp	in	in	0
doing	doing	vdg	doing	do	0
so	so	av	so	so	0
,	,	,	,	,	0
he	he	pns31	he	he	0
should	should	vmd	should	shall	0
exhibit	exhibit	vvi	exhibit	exhibit	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
eyes	eyes	n2	eyes	eye	0
of	of	pp-f	of	of	0
Athens	Athens	np1	Athens	Athens	0
,	,	,	,	,	0
an	an	dt	and	a	0
image	image	n1	image	image	0
or	or	cc	or	or	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
presentation	presentation	n1	presentation	presentation	0
,	,	,	,	,	0
rather	rather	av-c	rather	rather	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
excel	excel	vvi	excel	excel	0
∣	∣	sy	∣	∣	0
lent	lent	np1	lent	Lent	0
Art	Art	n1	Art	art	0
of	of	pp-f	of	of	0
Polycletus	Polycletus	np1	Polycletus	Polycletus	0
,	,	,	,	,	0
the	the	dt	the	the	0
Image	Image	n1	Image	image	0
maker	maker	n1	maker	maker	0
,	,	,	,	,	0
then	then	av	then	then	0
(	(	(	(	(	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
tention	tention	n1	tention	tention	0
)	)	)	)	)	0
the	the	dt	the	the	0
image	image	n1	image	image	0
&	&	cc	&	and	0
manifesta	manifesta	fw-la	manifesta	manifesta	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
regard	regard	n1	regard	regard	0
,	,	,	,	,	0
and	and	cc	and	and	0
affection	affection	n1	affection	affection	0
;	;	;	;	;	0
&	&	cc	&	and	0
that	that	cst	that	that	0
likewise	likewise	av	likewise	likewise	0
it	it	pn31	it	it	0
might	might	vmd	might	may	0
bee	bee	vbi	be	be	0
that	that	cst	that	that	0
Athens	Athens	np1	Athens	Athens	0
so	so	av	so	so	0
should	should	vmd	should	shall	0
rather	rather	av-c	rather	rather	0
respect	respect	vvi	respect	respect	0
the	the	dt	the	the	0
one	one	pi	one	one	0
,	,	,	,	,	0
then	then	av	then	then	0
perceiue	perceiue	vvb	perceive	perceive	0
so	so	av	so	so	0
well	well	av	well	well	0
or	or	cc	or	or	0
regard	regard	vvi	regard	regard	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
:	:	:	:	:	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
hee	hee	pns31	he	he	0
had	had	vhd	had	have	0
decreed	decreed	vvn	decreed	decree	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
ma	ma	n1	ma	man	0
∣	∣	sy	∣	∣	0
nifest	nifest	j	nifest	nife	0
his	his	po31	his	his	0
own	own	d	own	own	0
affection	affection	n1	affection	affection	0
or	or	cc	or	or	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
perswading	perswading	vvg	persuading	persuade	0
himselfe	himselfe	px31	himself	himself	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
wit	wit	vvi	wit	wit	0
,	,	,	,	,	0
the	the	dt	the	the	0
manifestation	manifestation	n1	manifestation	manifestation	0
howsoeuer	howsoeuer	c-acp	howsoever	howsoever	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
his	his	po31	his	his	0
loue	loue	n1	love	love	0
manifested	manifested	vvn	manifested	manifest	0
,	,	,	,	,	0
proceeding	proceeding	vvg	proceeding	proceed	0
both	both	d	both	both	0
from	from	p-acp	from	from	0
himselfe	himselfe	px31	himself	himself	0
,	,	,	,	,	0
would	would	vmd	would	will	0
bee	bee	vbi	be	be	0
more	more	av-dc	more	more	0
acceptable	acceptable	j	acceptable	acceptable	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Atheni	Atheni	np1	Atheni	Atheni	0
∣	∣	sy	∣	∣	0
ans	ans	fw-fr	ans	ans	0
,	,	,	,	,	0
then	then	cs	then	than	0
the	the	dt	the	the	0
exact	exact	j	exact	exact	0
arte	arte	n1	art	art	0
of	of	pp-f	of	of	0
expert	expert	j	expert	expert	0
Polycletus	Polycletus	np1	Polycletus	Polycletus	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
not	not	xx	not	not	0
hauing	hauing	vhg	having	have	0
great	great	j	great	great	0
occasion	occasion	n1	occasion	occasion	0
to	to	pc-acp	to	to	0
fixe	fixe	vvi	fix	fix	0
their	their	po32	their	their	0
eyes	eyes	n2	eyes	eye	0
onely	onely	av-j	only	only	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
exquisite	exquisite	j	exquisite	exquisite	0
worke	worke	n1	work	work	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
image	image	n1	image	image	0
or	or	cc	or	or	0
representation	representation	n1	representation	representation	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
wrought	wrought	vvd	wrought	wrought	0
it	it	pn31	it	it	0
?	?	?	?	?	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
onely	onely	av-j	only	only	0
behold	behold	vvi	behold	behold	0
the	the	dt	the	the	0
ardent	ardent	j	ardent	ardent	0
affecti	affecti	n1	affection	affection	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
represented	represented	vvn	represented	represent	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
who	who	r-crq	who	who	0
dedi	dedi	fw-la	dedi	dedi	0
∣	∣	sy	∣	∣	0
cated	cated	vvd	cated	cate	0
the	the	dt	the	the	0
same	same	d	same	same	0
:	:	:	:	:	0
So	So	av	So	so	0
likewise	likewise	av	likewise	likewise	0
with	with	p-acp	with	with	0
Hipponicus	Hipponicus	np1	Hipponicus	Hipponicus	0
,	,	,	,	,	0
after	after	p-acp	after	after	0
long	long	j	long	long	0
and	and	cc	and	and	0
earnest	earnest	j	earnest	earnest	0
wishing	wishing	vvg	wishing	wish	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
occasion	occasion	n1	occasion	occasion	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
sort	sort	n1	sort	sort	0
also	also	av	also	also	0
,	,	,	,	,	0
mani	mani	fw-la	mani	mani	0
∣	∣	sy	∣	∣	0
fest	fest	n1	fist	fist	0
and	and	cc	and	and	0
testifie	testifie	vvi	testify	testify	0
my	my	po11	my	my	0
dutifull	dutifull	j	dutiful	dutiful	0
affec	affec	fw-la	affec	affec	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
,	,	,	,	,	0
regard	regard	n1	regard	regard	0
,	,	,	,	,	0
remembrance	remembrance	n1	remembrance	remembrance	0
,	,	,	,	,	0
and	and	cc	and	and	0
gratitude	gratitude	n1	gratitude	gratitude	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
owe	owe	vvb	owe	owe	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Athens	Athens	np1	Athens	Athens	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
birth	birth	n1	birth	birth	0
&	&	cc	&	and	0
education	education	n1	education	education	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
small	small	j	small	small	0
riuer	riuer	n1	river	river	0
returning	returning	vvg	returning	return	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Ocean	Ocean	n1	Ocean	ocean	0
.	.	.	.	.	1
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
decreed	decreed	vvn	decreed	decree	0
to	to	pc-acp	to	to	0
erect	erect	vvi	erect	erect	0
and	and	cc	and	and	0
dedicate	dedicate	vvi	dedicate	dedicate	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
an	an	dt	and	a	0
image	image	n1	image	image	0
and	and	cc	and	and	0
plainer	plainer	jc	plainer	plain	0
manifestation	manifestation	n1	manifestation	manifestation	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
(	(	(	(	(	0
being	being	vbg	being	be	0
a	a	dt	a	a	0
young	young	j	young	young	0
man	man	n1	man	man	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
)	)	)	)	)	0
this	this	d	this	this	0
image	image	n1	image	image	0
and	and	cc	and	and	0
repre	repre	n2	repre	repre	0
∣	∣	sy	∣	∣	0
sentation	sentation	n1	sentation	sentation	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
godly	godly	j	godly	godly	0
and	and	cc	and	and	0
Chri	Chri	fw-la	Chri	chri	0
∣	∣	sy	∣	∣	0
stian	stian	j	stian	stian	0
young	young	j	young	young	0
man	man	n1	man	man	0
,	,	,	,	,	0
trying	trying	vvg	trying	try	0
his	his	po31	his	his	0
waies	waies	n2	ways	way	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
earnest	earnest	j	earnest	earnest	0
inquiring	inquiring	vvg	inquiring	inquire	0
in	in	p-acp	in	in	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
solatiō	solatiō	n1	solation	solation	0
with	with	p-acp	with	with	0
God	God	np1	God	God	0
,	,	,	,	,	0
shewing	shewing	vvg	showing	show	0
where	where	c-crq	where	where	0
∣	∣	sy	∣	∣	0
by	by	p-acp	by	by	0
or	or	cc	or	or	0
how	how	c-crq	how	how	0
to	to	pc-acp	to	to	0
redresse	redresse	vvi	redress	redress	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
wit	wit	vvi	wit	wit	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
taking	taking	vvg	taking	take	0
heede	heede	n1	heed	heed	0
thereto	thereto	av	thereto	thereto	0
,	,	,	,	,	0
accor	accor	n1	accor	accor	0
∣	∣	sy	∣	∣	0
ding	ding	uh	ding	ding	0
to	to	p-acp	to	to	0
Gods	Gods	ng1	Gods	god	0
word	word	n1	word	word	0
.	.	.	.	.	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
examplar	examplar	n1	exemplar	exemplar	0
,	,	,	,	,	0
I	I	pns11	I	i	0
wish	wish	vvb	wish	wish	0
that	that	cst	that	that	0
euery	euery	d	every	every	0
yong	yong	j	young	young	0
man	man	n1	man	man	0
may	may	vmb	may	may	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
should	should	vmd	should	shall	0
)	)	)	)	)	0
cōforme	cōforme	vvi	conform	conform	0
himselfe	himselfe	px31	himself	himself	0
;	;	;	;	;	0
&	&	cc	&	and	0
being	being	vbg	being	be	0
inuaded	inuaded	vvn	invaded	invade	0
or	or	cc	or	or	0
ne	ne	zz	ne	ne	0
∣	∣	sy	∣	∣	0
uer	uer	p-acp	ver	for	0
so	so	av	so	so	0
little	little	av-j	little	little	0
stung	stung	vvn	stung	sting	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
poiso	poiso	n1	poiso	poiso	0
∣	∣	sy	∣	∣	0
nable	nable	j	nable	nable	0
&	&	cc	&	and	0
serpentine	serpentine	j	serpentine	serpentine	0
lusts	lusts	n2	lustest	lust	0
of	of	pp-f	of	of	0
youth	youth	n1	youth	youth	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
this	this	d	this	this	0
wildernesse	wildernesse	n1	wilderness	wilderness	0
is	is	vbz	is	be	0
so	so	av	so	so	0
ful	ful	j	full	full	0
,	,	,	,	,	0
he	he	pns31	he	he	0
may	may	vmb	may	may	0
vnto	vnto	p-acp	unto	unto	0
this	this	d	this	this	0
image	image	n1	image	image	0
,	,	,	,	,	0
erected	erected	vvn	erected	erect	0
in	in	p-acp	in	in	0
Gods	Gods	npg1	Gods	God	0
word	word	n1	word	word	0
,	,	,	,	,	0
lift	lift	vvb	lift	lift	0
vp	vp	a-acp	up	up	0
his	his	po31	his	his	0
eyes	eyes	n2	eyes	eye	0
,	,	,	,	,	0
thereby	thereby	av	thereby	thereby	0
&	&	cc	&	and	0
therein	therein	av	therein	therein	0
beholding	beholding	vvg	beholding	behold	0
his	his	po31	his	his	0
dutie	dutie	n1	duty	duty	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
safetie	safetie	n1	safety	safety	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
soule	soule	n1	soul	soul	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
(	(	(	(	(	0
with	with	p-acp	with	with	0
Hipponicus	Hipponicus	np1	Hipponicus	Hipponicus	0
)	)	)	)	)	0
I	I	pns11	I	i	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
swade	swade	vvi	suade	suade	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
likewise	likewise	av	likewise	likewise	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
so	so	av	so	so	0
in	in	p-acp	in	in	0
loue	loue	n1	love	love	0
accepted	accepted	vvn	accepted	accept	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
natiue	natiue	j-jn	native	native	0
Athens	Athens	np1	Athens	Athens	0
and	and	cc	and	and	0
Athenians	Athenians	njp2	Athenians	athenian	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
testimonie	testimonie	n1	testimony	testimony	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
I	I	pns11	I	i	0
dedicate	dedicate	vvb	dedicate	dedicate	0
the	the	dt	the	the	0
same	same	d	same	same	0
vnto	vnto	p-acp	unto	unto	0
them	them	pno32	them	they	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
the	the	dt	the	the	0
framing	framing	vvg	framing	frame	0
whereof	whereof	c-crq	whereof	whereof	0
,	,	,	,	,	0
albeit	albeit	cs	albeit	albeit	0
the	the	dt	the	the	0
exact	exact	j	exact	exact	0
arte	arte	n1	art	art	0
of	of	pp-f	of	of	0
Polycletus	Polycletus	np1	Polycletus	Polycletus	0
be	be	vbi	be	be	0
wanting	wanting	vvg	wanting	want	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
pected	pected	j-vvn-u	pected	pect	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
suspecting	suspecting	vvg	suspecting	suspect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
contrarie	contrarie	n-jn	contrary	contrary	0
,	,	,	,	,	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
assure	assure	vvi	assure	assure	0
and	and	cc	and	and	0
perswade	perswade	vvi	persuade	persuade	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
loue	loue	n1	love	love	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Dedicatour	Dedicatour	n1	Dedicatour	dedicatour	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
intention	intention	n1	intention	intention	0
to	to	pc-acp	to	to	0
manifest	manifest	vvi	manifest	manifest	0
&	&	cc	&	and	0
testifie	testifie	vvi	testify	testify	0
hereby	hereby	av	hereby	hereby	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
will	will	vmb	will	will	0
bee	bee	vbi	be	be	0
more	more	av-dc	more	more	0
respected	respected	vvn	respected	respect	0
and	and	cc	and	and	0
weighed	weighed	vvn	weighed	weigh	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
ballance	ballance	n1	balance	balance	0
of	of	pp-f	of	of	0
reciprocall	reciprocall	j	reciprocal	reciprocal	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
couereth	couereth	vvz	covereth	cover	0
many	many	d	many	many	0
infirmi	infirmi	fw-fr	infirmi	infirmi	0
∣	∣	sy	∣	∣	0
ties	ties	vvz	ties	tie	0
)	)	)	)	)	0
then	then	av	then	then	0
the	the	dt	the	the	0
Image	Image	n1	Image	image	0
thereof	thereof	av	thereof	thereof	0
dedi	dedi	fw-la	dedi	dedi	0
∣	∣	sy	∣	∣	0
cated	cated	n-vvn	cated	cate	0
,	,	,	,	,	0
or	or	cc	or	or	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
testification	testification	n1	testification	testification	0
howsoeuer	howsoeuer	c-acp	howsoever	howsoever	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
assu	assu	fw-fr	assu	assu	0
∣	∣	sy	∣	∣	0
rance	rance	n1	rance	rance	0
and	and	cc	and	and	0
perswasion	perswasion	n1	persuasion	persuasion	0
,	,	,	,	,	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
rest	rest	vvi	rest	rest	0
,	,	,	,	,	0
repose	repose	vvb	repose	repose	0
,	,	,	,	,	0
secure	secure	j	secure	secure	0
&	&	cc	&	and	0
satisfie	satisfie	vvi	satisfy	satisfy	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
;	;	;	;	;	0
desiring	desiring	vvg	desiring	desire	0
withall	withall	av	withal	withal	0
,	,	,	,	,	0
and	and	cc	and	and	0
earnestly	earnestly	av-j	earnestly	earnest	0
wishing	wishing	vvg	wishing	wish	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
almightie	almightie	j-jn	almighty	almighty	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
Israel	Israel	np1	Israel	Israel	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
neither	neither	dx	neither	neither	0
slumbe	slumbe	n1	slumbe	slumbe	0
∣	∣	sy	∣	∣	0
reth	reth	n1	reth	reth	0
nor	nor	ccx	nor	nor	0
sleepeth	sleepeth	vvz	sleepeth	sleep	0
,	,	,	,	,	0
may	may	vmb	may	may	0
euer	euer	av	ever	ever	0
bee	bee	vbi	be	be	0
the	the	dt	the	the	0
watch-man	watch-man	n1	watchman	watchman	0
and	and	cc	and	and	0
wall	wall	n1	wall	wall	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Citie	Citie	n1	City	city	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
snne	snne	n1	son	son	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
sincere	sincere	j	sincere	sincere	0
trueth	trueth	n1	truth	truth	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Sonne	Sonne	n1	Son	son	0
,	,	,	,	,	0
that	that	cst	that	that	0
hee	hee	pns31	he	he	0
may	may	vmb	may	may	0
euer	euer	av	ever	ever	0
shine	shine	vvi	shine	shine	0
in	in	p-acp	in	in	0
and	and	cc	and	and	0
vpon	vpon	p-acp	upon	upon	0
it	it	pn31	it	it	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Candlesticke	Candlesticke	n1	Candlestick	candlestick	0
thereof	thereof	av	thereof	thereof	0
may	may	vmb	may	may	0
neuer	neuer	av-x	never	never	0
bee	bee	vbi	be	be	0
remoued	remoued	vvn	removed	remove	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
the	the	dt	the	the	0
Chariots	Chariots	n2	Chariots	chariot	0
and	and	cc	and	and	0
Horsemen	Horsemen	n2	Horsemen	horseman	0
thereof	thereof	av	thereof	thereof	0
taken	taken	vvn	taken	take	0
away	away	av	away	away	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
his	his	po31	his	his	0
bles	bles	n2	bles	ble	0
∣	∣	sy	∣	∣	0
sings	sings	vvz	sings	sing	0
may	may	vmb	may	may	0
bee	bee	vbi	be	be	0
vpon	vpon	p-acp	upon	upon	0
his	his	po31	his	his	0
peo	peo	fw-la	peo	peo	0
∣	∣	sy	∣	∣	0
ple	ple	n1	ple	ple	0
externally	externally	av-j	externally	external	0
,	,	,	,	,	0
internal	internal	j	internal	internal	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
,	,	,	,	,	0
eternally	eternally	av-j	eternally	eternal	0
,	,	,	,	,	0
Amen	Amen	uh-n	Amen	amen	0
.	.	.	.	.	1
