Honored	Honored	j-vvn	Honoured	honour	0
And	And	cc	And	and	0
an	an	dt	and	a	0
Heroick	Heroick	j	Heroic	heroic	0
Experience	Experience	n1	Experience	experience	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
said	said	vvd	said	say	0
,	,	,	,	,	0
If	If	cs	If	if	0
any	any	d	any	any	0
man	man	n1	man	man	0
would	would	vmd	would	will	0
ride	ride	vvi	ride	ride	0
post	post	n1	post	post	0
to	to	p-acp	to	to	0
Heaven	Heaven	n1	Heaven	heaven	0
,	,	,	,	,	0
let	let	vvb	let	let	0
him	him	pno31	him	he	0
get	get	vvi	get	get	0
up	up	a-acp	up	up	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Cross	Cross	n1	Cross	cross	0
.	.	.	.	.	1
The	The	dt	The	the	0
truth	truth	n1	truth	truth	0
is	is	vbz	is	be	0
,	,	,	,	,	0
every	every	d	every	every	0
affliction	affliction	n1	affliction	affliction	0
is	is	vbz	is	be	0
Gods	Gods	ng1	Gods	god	0
Messenger	Messenger	n1	Messenger	messenger	0
,	,	,	,	,	0
and	and	cc	and	and	0
eve	eve	n1	eve	eve	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Messengers	Messengers	n2	Messengers	messenger	0
have	have	vhb	have	have	0
their	their	po32	their	their	0
Errand	Errand	n1	Errand	errand	0
to	to	pc-acp	to	to	0
deliver	deliver	vvi	deliver	deliver	0
:	:	:	:	:	0
The	The	dt	The	the	0
Rod	Rod	n1	Rod	rod	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
heard	heard	vvn	herd	hear	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
Word	Word	n1	Word	word	0
will	will	vmb	will	will	0
never	never	av-x	never	never	0
be	be	vbi	be	be	0
felt	felt	vvn	felt	feel	0
:	:	:	:	:	0
Though	Though	cs	Though	though	0
all	all	d	all	all	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
corrected	corrected	vvn	corrected	correct	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
Gods	Gods	n2	Gods	god	0
children	children	n2	children	child	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
all	all	d	all	all	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
Gods	Gods	n2	Gods	god	0
children	children	n2	children	child	0
are	are	vbr	are	be	0
corrected	corrected	vvn	corrected	correct	0
.	.	.	.	.	1
Afflictions	Afflictions	n2	Afflictions	affliction	0
are	are	vbr	are	be	0
favors	favors	n2	favors	favor	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
when	when	c-crq	when	when	0
God	God	np1	God	God	0
threatens	threatens	vvz	threatens	threaten	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
shew	shew	vvi	show	show	0
mercy	mercy	n1	mercy	mercy	0
no	no	av-dx	no	no	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
he	he	pns31	he	he	0
threatens	threatens	vvz	threatens	threaten	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
af	af	pp-f	of	of	0
∣	∣	sy	∣	∣	0
flict	flict	vvi	flict	flict	0
no	no	av-dx	no	no	0
more	more	av-dc	more	more	0
.	.	.	.	.	1
Ephraim	Ephraim	np1	Ephraim	Ephraim	0
is	is	vbz	is	be	0
joyned	joyned	vvn	joined	join	0
to	to	p-acp	to	to	0
Idols	Idols	n2	Idols	idol	0
,	,	,	,	,	0
let	let	vvb	let	let	0
him	him	pno31	him	he	0
alone	alone	av-j	alone	alone	0
.	.	.	.	.	1
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
rather	rather	av-c	rather	rather	0
(	(	(	(	(	0
let	let	vvd	let	let	0
every	every	d	every	every	0
gracious	gracious	j	gracious	gracious	0
heart	heart	n1	heart	heart	0
say	say	vvb	say	say	0
)	)	)	)	)	0
let	let	vvb	let	let	0
thine	thine	po21	thine	thy	0
hand	hand	n1	hand	hand	0
be	be	vbi	be	be	0
laid	laid	vvn	laid	lay	0
on	on	p-acp	on	on	0
me	me	pno11	me	i	0
,	,	,	,	,	0
then	then	av	then	then	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
cast	cast	vvn	cast	cast	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
hand	hand	n1	hand	hand	0
;	;	;	;	;	0
rather	rather	av-c	rather	rather	0
frown	frown	vvb	frown	frown	0
on	on	p-acp	on	on	0
me	me	pno11	me	i	0
,	,	,	,	,	0
then	then	av	then	then	0
that	that	cst	that	that	0
thou	thou	pns21	thou	thou	0
shouldst	shouldst	vmd2	shouldst	shall	0
turn	turn	vvi	turn	turn	0
thy	thy	po21	thy	thy	0
Face	Face	n1	Face	face	0
from	from	p-acp	from	from	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
look	look	vvi	look	look	0
on	on	p-acp	on	on	0
me	me	pno11	me	i	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
the	the	dt	the	the	0
great	great	j	great	great	0
Advantage	Advantage	n1	Advantage	advantage	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
tryal	tryal	n1	trial	trial	0
,	,	,	,	,	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
;	;	;	;	;	0
here	here	av	here	here	0
the	the	dt	the	the	0
Language	Language	n1	Language	language	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
rod	rod	n1	rod	rod	0
is	is	vbz	is	be	0
easie	easie	j	easy	easy	0
and	and	cc	and	and	0
plain	plain	j	plain	plain	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
Dialect	Dialect	n1	Dialect	dialect	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Language	Language	n1	Language	language	0
is	is	vbz	is	be	0
hard	hard	j	hard	hard	0
and	and	cc	and	and	0
difficult	difficult	j	difficult	difficult	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
known	known	vvn	known	know	0
;	;	;	;	;	0
conformity	conformity	n1	conformity	conformity	0
and	and	cc	and	and	0
self-denyal	self-denyal	n1	self-denial	self-denial	0
,	,	,	,	,	0
are	are	vbr	are	be	0
indisputably	indisputably	av-j	indisputably	indisputable	0
the	the	dt	the	the	0
mean	mean	n1	mean	mean	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
of	of	pp-f	of	of	0
every	every	d	every	every	0
blow	blow	n1	blow	blow	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
disposed	disposed	vvn	disposed	dispose	0
to	to	pc-acp	to	to	0
misconter	misconter	vvi	misconter	misconter	0
Providence	Providence	n1	Providence	providence	0
in	in	p-acp	in	in	0
Particu	Particu	n1	Particu	particu	0
∣	∣	sy	∣	∣	0
lar	lar	n1	lar	lar	0
;	;	;	;	;	0
what	what	r-crq	what	what	0
God	God	np1	God	God	0
intends	intends	vvz	intends	intend	0
onely	onely	av-j	only	only	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
exercise	exercise	n1	exercise	exercise	0
,	,	,	,	,	0
we	we	pns12	we	we	0
pretend	pretend	vvb	pretend	pretend	0
is	is	vbz	is	be	0
done	done	vdn	done	do	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
anger	anger	n1	anger	anger	0
:	:	:	:	:	0
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
where	where	c-crq	where	where	0
the	the	dt	the	the	0
Text	Text	n1	Text	text	0
is	is	vbz	is	be	0
obscure	obscure	j	obscure	obscure	0
,	,	,	,	,	0
we	we	pns12	we	we	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
wary	wary	j	wary	wary	0
in	in	p-acp	in	in	0
writing	writing	vvg	writing	write	0
Cōmentaries	Cōmentaries	n2	Commentaries	commentary	0
,	,	,	,	,	0
we	we	pns12	we	we	0
must	must	vmb	must	must	0
take	take	vvi	take	take	0
heed	heed	n1	heed	heed	0
of	of	pp-f	of	of	0
turning	turning	vvg	turning	turn	0
his	his	po31	his	his	0
Reubarb	Reubarb	n1	Reubarb	reubarb	0
into	into	p-acp	into	into	0
Ratsbane	Ratsbane	n1	Ratsbane	ratsbane	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
reading	reading	vvg	reading	read	0
wrath	wrath	n1	wrath	wrath	0
where	where	c-crq	where	where	0
God	God	np1	God	God	0
never	never	av-x	never	never	0
wrote	wrote	vvd	wrote	write	0
it	it	pn31	it	it	0
:	:	:	:	:	0
There	There	pc-acp	There	there	0
will	will	vmb	will	will	0
come	come	vvi	come	come	0
a	a	dt	a	a	0
time	time	n1	time	time	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
God	God	np1	God	God	0
will	will	vmb	will	will	0
interpret	interpret	vvi	interpret	interpret	0
his	his	po31	his	his	0
own	own	d	own	own	0
minde	minde	n1	mind	mind	0
,	,	,	,	,	0
and	and	cc	and	and	0
sa	sa	uh	sa	sa	0
∣	∣	sy	∣	∣	0
tisfie	tisfie	vvb	tisfie	tisfie	0
us	us	pno12	us	we	0
,	,	,	,	,	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Regulari	Regulari	np1	Regulari	Regulari	0
∣	∣	sy	∣	∣	0
ty	ty	zz	ty	ty	0
and	and	cc	and	and	0
justice	justice	n1	justice	justice	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Rods	Rods	n2	Rods	rod	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Reason	Reason	n1	Reason	reason	0
and	and	cc	and	and	0
suitableness	suitableness	n1	suitableness	suitableness	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
;	;	;	;	;	0
why	why	c-crq	why	why	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
almost	almost	av	almost	almost	0
burned	burned	vvn	burned	burn	0
and	and	cc	and	and	0
consu	consu	uh-np	consu	consu	0
∣	∣	sy	∣	∣	0
med	med	fw-mi	med	med	0
,	,	,	,	,	0
while	while	cs	while	while	0
others	others	n2-jn	others	other	0
were	were	vbr	were	be	0
but	but	p-acp	but	but	0
singed	singed	vvn	singed	singe	0
;	;	;	;	;	0
why	why	c-crq	why	why	0
he	he	pns31	he	he	0
drew	drew	vvd	drew	draw	0
so	so	av	so	so	0
much	much	d	much	much	0
blood	blood	n1	blood	blood	0
from	from	p-acp	from	from	0
us	us	pno12	us	we	0
,	,	,	,	,	0
more	more	dc	more	more	0
then	then	cs	then	than	0
from	from	p-acp	from	from	0
others	others	n2-jn	others	other	0
that	that	cst	that	that	0
seemed	seemed	vvd	seemed	seem	0
more	more	av-dc	more	more	0
exorbitant	exorbitant	j	exorbitant	exorbitant	0
:	:	:	:	:	0
God	God	np1	God	God	0
loves	loves	vvz	loves	love	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
sting	sting	zz	sting	sting	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
,	,	,	,	,	0
like	like	av-j	like	like	0
the	the	dt	the	the	0
Bee	Bee	n1	Bee	bee	0
,	,	,	,	,	0
he	he	pns31	he	he	0
exhibits	exhibits	vvz	exhibits	exhibit	0
honey	honey	n1	honey	honey	0
freely	freely	av-j	freely	free	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
he	he	pns31	he	he	0
stings	stings	vvz	stings	sting	0
upon	upon	p-acp	upon	upon	0
provocation	provocation	n1	provocation	provocation	0
;	;	;	;	;	0
his	his	po31	his	his	0
wisdom	wisdom	n1	wisdom	wisdom	0
and	and	cc	and	and	0
our	our	po12	our	our	0
necessity	necessity	n1	necessity	necessity	0
,	,	,	,	,	0
weigh	weigh	vvb	weigh	weigh	0
and	and	cc	and	and	0
prescribe	prescribe	vvi	prescribe	prescribe	0
every	every	d	every	every	0
drop	drop	n1	drop	drop	0
of	of	pp-f	of	of	0
gall	gall	n1	gall	gall	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
put	put	vvn	put	put	0
into	into	p-acp	into	into	0
our	our	po12	our	our	0
Cups	Cups	n2	Cups	cup	0
,	,	,	,	,	0
and	and	cc	and	and	0
every	every	d	every	every	0
lash	lash	n1	lash	lash	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Rod	Rod	n1	Rod	rod	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
laid	laid	vvn	laid	lay	0
on	on	p-acp	on	on	0
our	our	po12	our	our	0
backs	backs	n2	backs	back	0
.	.	.	.	.	1
A	A	dt	A	a	0
Cordial	Cordial	j	Cordial	cordial	0
is	is	vbz	is	be	0
fitter	fitter	jc	fitter	fit	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
man	man	n1	man	man	0
,	,	,	,	,	0
a	a	dt	a	a	0
Cor	Cor	np1	Cor	Cor	0
∣	∣	sy	∣	∣	0
rasive	rasive	n-jn	rasive	rasive	0
fitter	fitter	n1	fitter	fit	0
for	for	p-acp	for	for	0
another	another	j-jn	another	another	0
:	:	:	:	:	0
Such	Such	d	Such	such	0
a	a	dt	a	a	0
Christian	Christian	njp	Christian	christian	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
wakned	wakned	vvn	wakened	waken	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
light	light	n1	light	light	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Candle	Candle	n1	Candle	candle	0
,	,	,	,	,	0
another	another	j-jn	another	another	0
stands	stands	vvz	stands	stand	0
in	in	p-acp	in	in	0
need	need	n1	need	need	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Clap	Clap	n1	Clap	clap	0
of	of	pp-f	of	of	0
