SOlomon	SOlomon	np1	SOlomon	SOlomon	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
ready	ready	j	ready	ready	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
(	(	(	(	(	0
so	so	av	so	so	0
eloquent	eloquent	j	eloquent	eloquent	0
)	)	)	)	)	0
thought	thought	vvn	thought	think	0
themselues	themselues	px32	themselves	themselves	0
vnready	vnready	j	unready	unready	0
to	to	pc-acp	to	to	0
speake	speake	vvi	speak	speak	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
weighty	weighty	j	weighty	weighty	0
matters	matters	n2	matters	matter	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
then	then	av	then	then	0
can	can	vmb	can	can	0
I	I	pns11	I	i	0
(	(	(	(	(	0
so	so	av	so	so	0
rude	rude	j	rude	rude	0
)	)	)	)	)	0
with	with	p-acp	with	with	0
modesty	modesty	n1	modesty	modesty	0
be	be	vbb	be	be	0
so	so	av	so	so	0
ready	ready	j	ready	ready	0
to	to	pc-acp	to	to	0
speake	speake	vvi	speak	speak	0
(	(	(	(	(	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
print	print	n1	print	print	0
too	too	av	too	too	0
)	)	)	)	)	0
about	about	a-acp	about	about	0
more	more	av-dc	more	more	0
weighty	weighty	j	weighty	weighty	0
mat	mat	n1	mat	mat	0
∣	∣	sy	∣	∣	0
ters	ters	n1	ters	ters	0
than	than	cs	than	than	0
any	any	d	any	any	0
whereof	whereof	c-crq	whereof	whereof	0
they	they	pns32	they	they	0
could	could	vmd	could	can	0
speake	speake	vvi	speak	speak	0
?	?	?	?	?	1
Againe	Againe	av	Again	again	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
prouision	prouision	n1	provision	provision	0
before	before	p-acp	before	before	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
I	I	pns11	I	i	0
answer	answer	vvb	answer	answer	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
wise	wise	j	wise	wise	0
Virgins	Virgins	n2	Virgins	virgin	0
did	did	vdd	did	do	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
confession	confession	n1	confession	confession	0
,	,	,	,	,	0
,	,	,	,	,	0
There	There	pc-acp	There	there	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
enough	enough	av-d	enough	enough	0
for	for	p-acp	for	for	0
vs	vs	pno12	us	we	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
(	(	(	(	(	0
so	so	av	so	so	0
prudent	prudent	j	prudent	prudent	0
)	)	)	)	)	0
feared	feared	vvd	feared	fear	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
oyle	oyle	n1	oil	oil	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
plenty	plenty	n1	plenty	plenty	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
gratifie	gratifie	vvi	gratify	gratify	0
others	others	n2-jn	others	other	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
portion	portion	n1	portion	portion	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
then	then	av	then	then	0
can	can	vmb	can	can	0
I	I	pns11	I	i	0
(	(	(	(	(	0
so	so	av	so	so	0
ignorant	ignorant	j	ignorant	ignorant	0
)	)	)	)	)	0
with	with	p-acp	with	with	0
humility	humility	n1	humility	humility	0
thinke	thinke	vvi	think	think	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
such	such	d	such	such	0
store	store	n1	store	store	0
of	of	pp-f	of	of	0
stuffe	stuffe	n1	stuff	stuff	0
by	by	p-acp	by	by	0
me	me	pno11	me	i	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
proffer	proffer	vvi	proffer	proffer	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
light	light	n1	light	light	0
vnto	vnto	p-acp	unto	unto	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
already	already	av	already	already	0
better	better	av-jc	better	better	0
furnished	furnished	vvn	furnished	furnish	0
?	?	?	?	?	1
If	If	cs	If	if	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
prepared	prepared	vvn	prepared	prepare	0
any	any	d	any	any	0
worke	worke	n1	work	work	0
without	without	p-acp	without	without	0
,	,	,	,	,	0
(	(	(	(	(	0
inter	inter	fw-la	inter	inter	0
syluas	syluas	fw-la	syluas	syluas	0
Academiae	Academiae	np1	Academiae	Academiae	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
field	field	n1	field	field	0
,	,	,	,	,	0
I	I	pns11	I	i	0
meane	meane	vvb	mean	mean	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Vniuersitie	Vniuersitie	n1	University	university	0
)	)	)	)	)	0
surely	surely	av-j	surely	sure	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
fitted	fitted	vvn	fitted	fit	0
it	it	pn31	it	it	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
yet	yet	av	yet	yet	0
,	,	,	,	,	0
onely	onely	av-j	only	only	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
(	(	(	(	(	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
letter	letter	n1	letter	letter	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
aduice	aduice	n1	advice	advice	0
)	)	)	)	)	0
and	and	cc	and	and	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
build	build	vvi	built	build	0
an	an	dt	and	a	0
house	house	n1	house	house	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
City	City	n1	City	city	0
,	,	,	,	,	0
or	or	cc	or	or	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
common	common	j	common	common	0
roade	roade	n1	road	road	0
,	,	,	,	,	0
obuious	obuious	j	obvious	obvious	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
eies	eies	n2	eyes	eye	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
passengers	passengers	n2	passengers	passenger	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
quickly	quickly	av-j	quickly	quick	0
reply	reply	vvi	reply	reply	0
,	,	,	,	,	0
If	If	cs	If	if	0
your	your	po22	your	your	0
priuy	priuy	j	privy	privy	0
wants	wants	n2	wants	want	0
of	of	pp-f	of	of	0
preparation	preparation	n1	preparation	preparation	0
be	be	vbb	be	be	0
such	such	d	such	such	0
,	,	,	,	,	0
why	why	q-crq	why	why	0
take	take	vvb	take	take	0
you	you	pn22	you	you	0
this	this	d	this	this	0
publike	publike	j	public	public	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
edification	edification	n1	edification	edification	0
?	?	?	?	?	1
I	I	pns11	I	i	0
wil	wil	vmb	will	will	0
tell	tell	vvi	tell	tell	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
genuously	genuously	av-j	genuously	genuous	0
how	how	c-crq	how	how	0
the	the	dt	the	the	0
case	case	n1	case	case	0
stands	stands	vvz	stands	stand	0
with	with	p-acp	with	with	0
me	me	pno11	me	i	0
.	.	.	.	.	1
My	My	po11	My	my	0
reuerend	reuerend	j-jn	reverend	reverend	0
father	father	n1	father	father	0
desirous	desirous	j	desirous	desirous	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
triall	triall	n1	trial	trial	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Theologie	Theologie	n1	Theology	theology	0
,	,	,	,	,	0
required	required	vvd	required	require	0
mee	mee	pno11	me	i	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
this	this	d	this	this	0
Discourse	Discourse	n1	Discourse	discourse	0
,	,	,	,	,	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
hee	hee	pns31	he	he	0
had	had	vhd	had	have	0
heard	heard	vvn	herd	hear	0
it	it	pn31	it	it	0
,	,	,	,	,	0
was	was	vbds	was	be	0
as	as	a-acp	as	as	0
desirous	desirous	j	desirous	desirous	0
that	that	cst	that	that	0
your	your	po22	your	your	0
Worships	Worships	n2	Worships	worship	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	n-jn	other	other	0
my	my	po11	my	my	0
worthy	worthy	j	worthy	worthy	0
Benefactors	Benefactors	n2	Benefactors	benefactor	0
might	might	vmd	might	may	0
bee	bee	vbi	be	be	0
partakers	partakers	n2	partakers	partaker	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
token	token	n1	token	token	0
of	of	pp-f	of	of	0
thankful	thankful	j	thankful	thankful	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
exhibition	exhibition	n1	exhibition	exhibition	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
whiles	whiles	cs	while	while	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
at	at	p-acp	at	at	0
Cambridge	Cambridge	np1	Cambridge	Cambridge	0
;	;	;	;	;	0
and	and	cc	and	and	0
this	this	d	this	this	0
desire	desire	n1	desire	desire	0
cooled	cooled	vvd	cooled	cool	0
not	not	xx	not	not	0
presently	presently	av-j	presently	present	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
continued	continued	vvd	continued	continue	0
with	with	p-acp	with	with	0
instant	instant	n-jn	instant	instant	0
importu	importu	n1	importu	importu	0
∣	∣	sy	∣	∣	0
nity	nity	n1	nity	nity	0
,	,	,	,	,	0
and	and	cc	and	and	0
encreased	encreased	vvd	increased	increase	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
diuers	diuers	j	diverse	diverse	0
considerati	considerati	fw-la	considerati	considerati	0
∣	∣	sy	∣	∣	0
ons	ons	pp-f|pno12	ons	of|we	0
of	of	pp-f	of	of	0
gratefull	gratefull	j	grateful	grateful	0
equity	equity	n1	equity	equity	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
how	how	q-crq	how	how	0
could	could	vmd	could	can	0
I	I	pns11	I	i	0
crosse	crosse	vvi	cross	cross	0
him	him	pno31	him	he	0
whose	whose	rg-crq	whose	who	0
desires	desires	n2	desires	desire	0
are	are	vbr	are	be	0
commands	commands	n2	commands	command	0
?	?	?	?	?	1
Or	Or	cc	Or	or	0
what	what	q-crq	what	what	0
could	could	vmd	could	can	0
I	I	pns11	I	i	0
oppose	oppose	vvi	oppose	oppose	0
against	against	p-acp	against	against	0
his	his	po31	his	his	0
reasonable	reasonable	j	reasonable	reasonable	0
perswasions	perswasions	n2	persuasions	persuasion	0
?	?	?	?	?	1
I	I	pns11	I	i	0
might	might	vmd	might	may	0
haue	haue	vhi	have	have	0
said	said	vvn	said	say	0
some	some	d	some	some	0
I	I	pns11	I	i	0
feare	feare	vvb	fear	fear	0
will	will	vmb	will	will	0
say	say	vvi	say	say	0
)	)	)	)	)	0
that	that	cst	that	that	0
this	this	d	this	this	0
seemes	seemes	vvz	seems	seem	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
way	way	n1	way	way	0
to	to	pc-acp	to	to	0
goe	goe	vvi	go	go	0
to	to	pc-acp	to	to	0
worke	worke	vvi	work	work	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
fall	fall	vvi	fallen	fall	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Presse	Presse	vvb	Press	press	0
as	as	a-acp	as	as	0
soone	soone	av	soon	soon	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
stand	stand	vvi	stand	stand	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Pulpit	Pulpit	n1	Pulpit	pulpit	0
.	.	.	.	.	1
Might	Might	vmd	Might	may	0
I	I	pns11	I	i	0
haue	haue	vhi	have	have	0
said	said	vvn	said	say	0
thus	thus	av	thus	thus	0
?	?	?	?	?	1
Nay	Nay	uh-x	Nay	nay	0
,	,	,	,	,	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
say	say	vvi	say	say	0
so	so	av	so	so	0
,	,	,	,	,	0
&	&	cc	&	and	0
so	so	av	so	so	0
long	long	av-j	long	long	0
withstood	withstood	vvd	withstood	withstand	0
his	his	po31	his	his	0
pleasure	pleasure	n1	pleasure	pleasure	0
,	,	,	,	,	0
till	till	c-acp	till	till	0
I	I	pns11	I	i	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
ceiued	ceiued	vvd	ceiued	ceiue	0
the	the	dt	the	the	0
gathering	gathering	vvg	gathering	gather	0
clouds	clouds	n2	clouds	cloud	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
discon	discon	n1	discon	discon	0
∣	∣	sy	∣	∣	0
tent	tent	n1	tent	tent	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
then	then	av	then	then	0
I	I	pns11	I	i	0
yeelded	yeelded	vvd	yielded	yield	0
,	,	,	,	,	0
(	(	(	(	(	0
though	though	cs	though	though	0
by	by	p-acp	by	by	0
yeel	yeel	vvi	yeel	yeel	0
∣	∣	sy	∣	∣	0
ding	ding	uh	ding	ding	0
I	I	pns11	I	i	0
runne	runne	vvb	run	run	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
pikes	pikes	n2	pikes	pike	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
sharpe	sharpe	j	sharp	sharp	0
censures	censures	n2	censures	censure	0
)	)	)	)	)	0
calling	calling	vvg	calling	call	0
to	to	pc-acp	to	to	0
minde	minde	vvi	mind	mind	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Poet	Poet	n1	Poet	poet	0
,	,	,	,	,	0
In	In	p-acp	In	in	0
vitium	vitium	fw-la	vitium	vitium	0
ducit	ducit	fw-la	ducit	ducit	0
culpae	culpae	fw-la	culpae	culpae	0
fuga	fuga	fw-la	fuga	fuga	0
:	:	:	:	:	0
by	by	p-acp	by	by	0
shunning	shunning	vvg	shunning	shun	0
the	the	dt	the	the	0
fault	fault	n1	fault	fault	0
of	of	pp-f	of	of	0
Vaine	Vaine	j	Vain	vain	0
glory	glory	n1	glory	glory	0
,	,	,	,	,	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
needs	needs	av	needs	needs	0
fall	fall	vvi	fallen	fall	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
vice	vice	n1	vice	vice	0
of	of	pp-f	of	of	0
disobedience	disobedience	n1	disobedience	disobedience	0
:	:	:	:	:	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
confident	confident	j	confident	confident	0
that	that	cst	that	that	0
(	(	(	(	(	0
what	what	r-crq	what	what	0
euer	euer	av	ever	ever	0
others	others	n2-jn	others	other	0
thinke	thinke	vvb	think	think	0
or	or	cc	or	or	0
speake	speake	vvi	speak	speak	0
)	)	)	)	)	0
yee	yee	pn22	ye	you	0
will	will	vmb	will	will	0
conceiue	conceiue	vvi	conceive	conceive	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
is	is	vbz	is	be	0
)	)	)	)	)	0
that	that	cst	that	that	0
my	my	po11	my	my	0
willingnesse	willingnesse	n1	willingness	willingness	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
my	my	po11	my	my	0
duty	duty	n1	duty	duty	0
,	,	,	,	,	0
ouercame	ouercame	vvd	overcame	overcome	0
much	much	d	much	much	0
vnwillingnesse	vnwillingnesse	n1	unwillingness	unwillingness	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
print	print	n1	print	print	0
.	.	.	.	.	1
Wherefore	Wherefore	q-crq	Wherefore	wherefore	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
Worship	Worship	n1	Worship	worship	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
imitation	imitation	n1	imitation	imitation	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Reuerend	Reuerend	j-jn	Reverend	reverend	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
many	many	d	many	many	0
yeares	yeares	n2	years	year	0
since	since	a-acp	since	since	0
,	,	,	,	,	0
dedicated	dedicated	vvd	dedicated	dedicate	0
a	a	dt	a	a	0
Cate	Cate	zz	Cate	cate	0
∣	∣	sy	∣	∣	0
chisme	chisme	n1	chisme	chisme	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Company	Company	n1	Company	company	0
,	,	,	,	,	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
like	like	j	like	like	0
respects	respects	n2	respects	respect	0
,	,	,	,	,	0
I	I	pns11	I	i	0
here	here	av	here	here	0
present	present	vvb	present	present	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
poore	poore	j	poor	poor	0
modell	modell	n1	model	model	0
,	,	,	,	,	0
my	my	po11	my	my	0
first	first	ord	first	first	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
kinde	kinde	n1	kind	kind	0
,	,	,	,	,	0
wishing	wishing	vvg	wishing	wish	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
wor	wor	zz	wor	wor	0
∣	∣	sy	∣	∣	0
thy	thy	po21	thy	thy	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
an	an	dt	and	a	0
encouragement	encouragement	n1	encouragement	encouragement	0
vnto	vnto	p-acp	unto	unto	0
that	that	d	that	that	0
pious	pious	j	pious	pious	0
charity	charity	n1	charity	charity	0
which	which	r-crq	which	which	0
ye	ye	pn22	you	you	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
extended	extended	vvn	extended	extend	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
Father	Father	n1	Father	father	0
before	before	p-acp	before	before	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
others	others	n2-jn	others	other	0
with	with	p-acp	with	with	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
(	(	(	(	(	0
I	I	pns11	I	i	0
doubt	doubt	vvb	doubt	doubt	0
not	not	xx	not	not	0
)	)	)	)	)	0
to	to	p-acp	to	to	0
many	many	d	many	many	0
after	after	c-acp	after	after	0
mee	mee	pno11	me	i	0
;	;	;	;	;	0
That	That	cst	That	that	0
so	so	av	so	so	0
ye	ye	pn22	you	you	0
may	may	vmb	may	may	0
helpe	helpe	vvi	help	help	0
to	to	pc-acp	to	to	0
traine	traine	vvi	train	train	0
vp	vp	a-acp	up	up	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
able	able	j	able	able	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
to	to	pc-acp	to	to	0
shew	shew	vvi	show	show	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
way	way	n1	way	way	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
point	point	vvi	point	point	0
out	out	av	out	out	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
comfort	comfort	vvi	comfort	comfort	0
and	and	cc	and	and	0
strengthen	strengthen	vvi	strengthen	strengthen	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
,	,	,	,	,	0
till	till	c-acp	till	till	0
yee	yee	pn22	ye	you	0
receiue	receiue	vvb	receive	receive	0
the	the	dt	the	the	0
glori	glori	fw-la	glori	glori	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
reward	reward	n1	reward	reward	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
in	in	p-acp	in	in	0
meane	meane	j	mean	mean	0
time	time	n1	time	time	0
,	,	,	,	,	0
how	how	q-crq	how	how	0
doe	doe	vdb	do	do	0
I	I	pns11	I	i	0
shew	shew	vvi	show	show	0
the	the	dt	the	the	0
way	way	n1	way	way	0
?	?	?	?	?	1
I	I	pns11	I	i	0
confesse	confesse	vvb	confess	confess	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
reared	reared	vvn	reared	rear	0
so	so	av	so	so	0
faire	faire	j	fair	fair	0
a	a	dt	a	a	0
structure	structure	n1	structure	structure	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
large	large	j	large	large	0
foun	foun	n1	foum	foum	0
∣	∣	sy	∣	∣	0
dation	dation	n1	dation	dation	0
would	would	vmd	would	will	0
haue	haue	vhi	have	have	0
borne	borne	vvn	born	bear	0
vp	vp	a-acp	up	up	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
shall	shall	vmb	shall	shall	0
you	you	pn22	you	you	0
finde	finde	vvb	find	find	0
(	(	(	(	(	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
)	)	)	)	)	0
firmnesse	firmnesse	n1	firmness	firmness	0
ioyned	ioyned	vvn	joined	join	0
with	with	p-acp	with	with	0
plaine	plaine	j	plain	plain	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
little	little	j	little	little	0
Frame	Frame	n1	Frame	frame	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
plainnesse	plainnesse	n1	plainness	plainness	0
I	I	pns11	I	i	0
vse	vse	vvb	use	use	0
,	,	,	,	,	0
both	both	av-d	both	both	0
to	to	pc-acp	to	to	0
shew	shew	vvi	show	show	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
,	,	,	,	,	0
(	(	(	(	(	0
a	a	dt	a	a	0
Carpenter	Carpenter	n1	Carpenter	carpenter	0
,	,	,	,	,	0
not	not	xx	not	not	0
a	a	dt	a	a	0
Caruer	Caruer	n1	Carver	carver	0
,	,	,	,	,	0
