KInde	KInde	j	Kind	kind	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
haue	haue	vhi	have	have	0
done	done	vdn	done	do	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
what	what	q-crq	what	what	0
is	is	vbz	is	be	0
past	past	vvn	passed	pass	0
cannot	cannot	vmbx	cannot	can	0
bee	bee	vbi	be	be	0
recalled	recalled	vvn	recalled	recall	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
too	too	av	too	too	0
late	late	j	late	late	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
old	old	j	old	old	0
omittings	omittings	n2-vvg	omittings	omitting	0
to	to	p-acp	to	to	0
new	new	j	new	new	0
committings	committings	n2-vvg	committings	committing	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
,	,	,	,	,	0
my	my	po11	my	my	0
noble	noble	j	noble	noble	0
and	and	cc	and	and	0
thrice	thrice	av	thrice	thrice	0
worthy	worthy	j	worthy	worthy	0
Oast	Oast	n1	Oast	oast	0
of	of	pp-f	of	of	0
Oasts	Oasts	n2	Oasts	oast	0
,	,	,	,	,	0
I	I	pns11	I	i	0
omit	omit	vvb	omit	omit	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
commit	commit	vvi	commit	commit	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
yours	yours	png22	yours	you	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
protection	protection	n1	protection	protection	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
made	made	vvd	made	make	0
you	you	pn22	you	you	0
,	,	,	,	,	0
desiring	desiring	vvg	desiring	desire	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
this	this	d	this	this	0
merry	merry	j	merry	merry	0
Pamphlet	Pamphlet	n1	Pamphlet	pamphlet	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
part	part	n1	part	part	0
,	,	,	,	,	0
or	or	cc	or	or	0
in	in	p-acp	in	in	0
earnest	earnest	n1	earnest	earnest	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
better	better	jc	better	better	0
amends	amends	n2	amends	amends	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
qualifier	qualifier	n1	qualifier	qualifier	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
iust	iust	j	just	just	0
anger	anger	n1	anger	anger	0
.	.	.	.	.	1
