RIghte	RIghte	av-jn	Right	right	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
more	more	av-dc	more	more	0
offensiue	offensiue	j	offensive	offensive	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
eyes	eyes	n2	eyes	eye	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
then	then	av	then	then	0
that	that	cst	that	that	0
popish	popish	j	popish	popish	0
Idolatrie	Idolatrie	n1	Idolatry	idolatry	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
mitted	mitted	vvn	mitted	mit	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
land	land	n1	land	land	0
,	,	,	,	,	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
euerie	euerie	d	every	every	0
place	place	n1	place	place	0
,	,	,	,	,	0
countrie	countrie	n1	country	country	0
and	and	cc	and	and	0
Citie	Citie	n1	City	city	0
is	is	vbz	is	be	0
horriblie	horriblie	av-j	horribly	horrible	0
de	de	dt	the	the	0
∣	∣	sy	∣	∣	0
filed	filed	vvn	filed	file	0
;	;	;	;	;	0
though	though	cs	though	though	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
prophet	prophet	n1	prophet	prophet	0
speaketh	speaketh	vvz	speaks	speak	0
,	,	,	,	,	0
Ezek.	Ezek.	np1	Ezek.	Ezek.	1
8.12	8.12	crd	8.12	8.12	0
.	.	.	.	.	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
but	but	p-acp	but	but	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
darke	darke	j	dark	dark	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
chamber	chamber	n1	chamber	chamber	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
imagery	imagery	n1	imagery	imagery	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
was	was	vbds	was	be	0
an	an	dt	and	a	0
occasion	occasion	n1	occasion	occasion	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
beeing	beeing	vbg	being	be	0
called	called	vvn	called	call	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
stage	stage	n1	stage	stage	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
land	land	n1	land	land	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
act	act	vvi	act	act	0
this	this	d	this	this	0
part	part	n1	part	part	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
done	done	vdn	done	do	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
:	:	:	:	:	0
namely	namely	av	namely	namely	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
perswade	perswade	vvi	persuade	persuade	0
euerie	euerie	d	every	every	0
man	man	n1	man	man	0
to	to	pc-acp	to	to	0
iudge	iudge	vvi	judge	judge	0
himselfe	himselfe	px31	himself	himself	0
;	;	;	;	;	0
and	and	cc	and	and	0
them	them	pno32	them	they	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
sword	sword	n1	sword	sword	0
of	of	pp-f	of	of	0
iustice	iustice	n1	justice	justice	0
is	is	vbz	is	be	0
committed	committed	vvn	committed	commit	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
iudge	iudge	vvi	judge	judge	0
other	other	j-jn	other	other	0
malefactors	malefactors	n2	malefactors	malefactor	0
,	,	,	,	,	0
specially	specially	av-j	specially	special	0
Romish	Romish	np1	Romish	Romish	0
Ido	Ido	uh	Ido	ido	0
∣	∣	sy	∣	∣	0
laters	laters	n2	laters	later	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
execute	execute	vvi	execute	execute	0
the	the	dt	the	the	0
iust	iust	j	just	just	0
lawes	lawes	n2	laws	law	0
vpon	vpon	p-acp	upon	upon	0
them	them	pno32	them	they	0
;	;	;	;	;	0
because	because	c-acp	because	because	0
God	God	np1	God	God	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
iudge	iudge	vvi	judge	judge	0
when	when	c-crq	when	when	0
man	man	n1	man	man	0
doth	doth	vdz	does	do	0
iudge	iudge	vvi	judge	judge	0
before	before	a-acp	before	before	0
:	:	:	:	:	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Iudges	Iudges	n2	Judges	judge	0
of	of	pp-f	of	of	0
assile	assile	n1	assile	assile	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
censure	censure	vvi	censure	censure	0
againe	againe	av	again	again	0
those	those	d	those	those	0
male	male	n1	male	mail	0
∣	∣	sy	∣	∣	0
factors	factors	n2	factors	factor	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
Iustices	Iustices	n2	Justices	justice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sessions	sessions	n2	sessions	session	0
haue	haue	vhb	have	have	0
formerly	formerly	av-j	formerly	former	0
punished	punished	vvn	punished	punish	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
when	when	c-crq	when	when	0
this	this	d	this	this	0
is	is	vbz	is	be	0
neglected	neglected	vvn	neglected	neglect	0
,	,	,	,	,	0
God	God	np1	God	God	0
will	will	vmb	will	will	0
,	,	,	,	,	0
and	and	cc	and	and	0
can	can	vmb	can	can	0
not	not	xx	not	not	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
his	his	po31	his	his	0
iustice	iustice	n1	justice	justice	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
he	he	pns31	he	he	0
must	must	vmb	must	must	0
bring	bring	vvi	bring	bring	0
this	this	d	this	this	0
&	&	cc	&	and	0
the	the	dt	the	the	0
like	like	j	like	like	0
fearefull	fearefull	j	fearful	fearful	0
iudgementes	iudgementes	n2	judgements	judgement	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
land	land	n1	land	land	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
occasion	occasion	n1	occasion	occasion	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
preaching	preaching	vvg	preaching	preach	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
doctrine	doctrine	n1	doctrine	doctrine	0
,	,	,	,	,	0
so	so	av	so	so	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
some	some	d	some	some	0
causes	causes	n2	causes	cause	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
publishing	publishing	vvg	publishing	publish	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
wri	wri	fw-la	wri	wri	0
∣	∣	sy	∣	∣	0
ting	ting	zf	ting	thing	0
:	:	:	:	:	0
to	to	pc-acp	to	to	0
trie	trie	vvi	try	try	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
meanes	meanes	n2	means	mean	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
uoke	uoke	n1	uoke	uoke	0
euery	euery	d	every	every	0
man	man	n1	man	man	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
seuerall	seuerall	j	several	several	0
place	place	n1	place	place	0
and	and	cc	and	and	0
condition	condition	n1	condition	condition	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
preuenting	preuenting	vvg	preventing	prevent	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
iudgementes	iudgementes	n2	judgements	judgement	0
;	;	;	;	;	0
At	At	p-acp	At	at	0
the	the	dt	the	the	0
least	least	ds	least	least	0
,	,	,	,	,	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
haue	haue	vhi	have	have	0
my	my	po11	my	my	0
owne	owne	d	own	own	0
discharge	discharge	n1	discharge	discharge	0
by	by	p-acp	by	by	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
presumed	presumed	vvn	presumed	presume	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
it	it	pn31	it	it	0
forth	forth	av	forth	forth	0
into	into	p-acp	into	into	0
pub	pub	fw-la	pub	pub	0
∣	∣	sy	∣	∣	0
like	like	vvb	like	like	0
vnder	vnder	p-acp	under	under	0
your	your	po22	your	your	0
name	name	n1	name	name	0
and	and	cc	and	and	0
countenaunce	countenaunce	n1	countenance	countenance	0
for	for	p-acp	for	for	0
diuerse	diuerse	j	diverse	diverse	0
both	both	d	both	both	0
publike	publike	j	public	public	0
,	,	,	,	,	0
and	and	cc	and	and	0
priuate	priuate	j	private	private	0
rea	rea	fw-la	rea	rea	0
∣	∣	sy	∣	∣	0
sons	sons	n2	sons	son	0
and	and	cc	and	and	0
respectes	respectes	n2	respects	respect	0
:	:	:	:	:	0
Publike	Publike	j	Public	public	0
,	,	,	,	,	0
first	first	ord	first	first	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
now	now	av	now	now	0
aduanced	aduanced	vvd	advanced	advance	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
speciall	speciall	j	special	special	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
go	go	vvi	go	go	0
∣	∣	sy	∣	∣	0
uernment	uernment	n1	uernment	uernment	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
haue	haue	vhb	have	have	0
that	that	d	that	that	0
authoritie	authoritie	n1	authority	authority	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
cause	cause	vvi	cause	cause	0
&	&	cc	&	and	0
effect	effect	vvi	effect	effect	0
great	great	j	great	great	0
reformation	reformation	n1	reformation	reformation	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
∣	∣	sy	∣	∣	0
ners	ners	zz	ners	ners	0
and	and	cc	and	and	0
redresse	redresse	n1	redress	redress	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
things	things	n2	things	thing	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
highly	highly	av-j	highly	high	0
displeasing	displeasing	vvg	displeasing	displease	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
which	which	r-crq	which	which	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
any	any	d	any	any	0
occasion	occasion	n1	occasion	occasion	0
to	to	pc-acp	to	to	0
excite	excite	vvi	excite	excite	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
,	,	,	,	,	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
thinke	thinke	vvi	think	think	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
effected	effected	vvn	effected	effect	0
some	some	d	some	some	0
great	great	j	great	great	0
good	good	j	good	good	0
:	:	:	:	:	0
because	because	c-acp	because	because	0
your	your	po22	your	your	0
example	example	n1	example	example	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
might	might	vmd	might	may	0
prouoke	prouoke	vvi	provoke	provoke	0
others	others	n2-jn	others	other	0
in	in	p-acp	in	in	0
authoritie	authoritie	n1	authority	authority	0
,	,	,	,	,	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
Church	Church	n1	Church	church	0
and	and	cc	and	and	0
common	common	j	common	common	0
wealth	wealth	n1	wealth	wealth	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
the	the	dt	the	the	0
like	like	av-j	like	like	0
;	;	;	;	;	0
so	so	av	so	so	0
it	it	pn31	it	it	0
might	might	vmd	might	may	0
animate	animate	vvi	animate	animate	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
goe	goe	vvi	go	go	0
forward	forward	av-j	forward	forward	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
hope	hope	n1	hope	hope	0
it	it	pn31	it	it	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
well	well	av	well	well	0
accepted	accepted	vvn	accepted	accept	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
highnes	highnes	n1	highness	highness	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
see	see	vvi	see	see	0
you	you	pn22	you	you	0
,	,	,	,	,	0
(	(	(	(	(	0
who	who	r-crq	who	who	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
so	so	av	so	so	0
continually	continually	av-j	continually	continual	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
presence	presence	n1	presence	presence	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
daily	daily	av-j	daily	daily	0
conuersant	conuersant	j	conversant	conversant	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
can	can	vmb	can	can	0
not	not	xx	not	not	0
but	but	cc-acp	but	but	0
knowe	knowe	vvi	know	know	0
his	his	po31	his	his	0
heart	heart	n1	heart	heart	0
&	&	cc	&	and	0
affection	affection	n1	affection	affection	0
)	)	)	)	)	0
take	take	vvb	take	take	0
some	some	d	some	some	0
round	round	j	round	round	0
and	and	cc	and	and	0
constant	constant	j	constant	constant	0
courses	courses	n2	courses	course	0
in	in	p-acp	in	in	0
reforming	reforming	vvg	reforming	reform	0
of	of	pp-f	of	of	0
abuses	abuses	n2	abuses	abuse	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
manners	manners	n2	manners	manner	0
and	and	cc	and	and	0
doctrine	doctrine	n1	doctrine	doctrine	0
.	.	.	.	.	1
Secondly	Secondly	ord	Secondly	second	0
,	,	,	,	,	0
your	your	po22	your	your	0
place	place	n1	place	place	0
you	you	pn22	you	you	0
yet	yet	av	yet	yet	0
enioy	enioy	vvi	enjoy	enjoy	0
so	so	av	so	so	0
nigh	nigh	av-j	nigh	nigh	0
vnto	vnto	p-acp	unto	unto	0
his	his	po31	his	his	0
Maiesties	Maiesties	ng1	Majesties	majesty	0
person	person	n1	person	person	0
;	;	;	;	;	0
whereby	whereby	c-crq	whereby	whereby	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
done	done	vdn	done	do	0
hitherto	hitherto	av	hitherto	hitherto	0
good	good	j	good	good	0
offices	offices	n2	offices	office	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
The	The	dt	The	the	0
Eng	Eng	np1	Eng	Eng	0
∣	∣	sy	∣	∣	0
lish	lish	uh	lish	lish	0
de	de	uh	de	de	0
∣	∣	sy	∣	∣	0
sence	sence	n1	sense	sense	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Popes	Popes	ng1	Popes	pope	0
Breeues	Breeues	vvz	Breeues	breeue	0
,	,	,	,	,	0
&	&	cc	&	and	0
Bellar.	Bellar.	np1	Bellar.	Bellar.	0
Letter	Letter	n1	Letter	letter	0
.	.	.	.	.	1
(	(	(	(	(	0
her	her	po31	her	her	0
enemies	enemies	n2	enemies	enemy	0
being	being	vbg	being	be	0
witnes	witnes	n1	witness	witness	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
iustly	iustly	av-j	justly	just	0
and	and	cc	and	and	0
wisely	wisely	av-j	wisely	wise	0
exasperating	exasperating	vvg	exasperating	exasperate	0
his	his	po31	his	his	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
iesties	iesties	ng1	iesties	iesties	0
heart	heart	n1	heart	heart	0
against	against	p-acp	against	against	0
these	these	d	these	these	0
foxes	foxes	n2	foxes	fox	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
would	would	vmd	would	will	0
destroy	destroy	vvi	destroy	destroy	0
her	her	po31	her	her	0
vines	vines	n2	vines	vine	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
bee	bee	vbi	be	be	0
anie	anie	d	any	any	0
meanes	meanes	n2	means	mean	0
to	to	p-acp	to	to	0
further	further	jc	further	further	0
your	your	po22	your	your	0
willing	willing	j	willing	willing	0
minde	minde	n1	mind	mind	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
constāt	constāt	j	constant	constant	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
dutie	dutie	n1	duty	duty	0
,	,	,	,	,	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
iudge	iudge	vvi	judge	judge	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
a	a	dt	a	a	0
good	good	j	good	good	0
seruice	seruice	n1	service	service	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
glori	glori	fw-la	glori	glori	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
seruice	seruice	n1	service	service	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Kings	Kings	n2	Kings	king	0
;	;	;	;	;	0
honou	honou	j	honou	honou	0
∣	∣	sy	∣	∣	0
rable	rable	n1	rabble	rabble	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
highnes	highnes	n1	highness	highness	0
,	,	,	,	,	0
profitable	profitable	j	profitable	profitable	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
comfortable	comfortable	j	comfortable	comfortable	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
her	her	po31	her	her	0
friendes	friendes	n2	friends	friend	0
,	,	,	,	,	0
and	and	cc	and	and	0
bring	bring	vvb	bring	bring	0
you	you	pn22	you	you	0
great	great	j	great	great	0
honour	honour	n1	honour	honour	0
from	from	p-acp	from	from	0
God	God	np1	God	God	0
and	and	cc	and	and	0
good	good	j	good	good	0
men	men	n2	men	man	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
pointe	pointe	n1	point	point	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
here	here	av	here	here	0
much	much	av-d	much	much	0
presse	presse	vvi	press	press	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
particular	particular	j	particular	particular	0
,	,	,	,	,	0
see	see	vvi	see	see	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
treatise	treatise	n1	treatise	treatise	0
following	following	vvg	following	follow	0
don	don	n1	dONE	don	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
generall	generall	n1	general	general	0
;	;	;	;	;	0
though	though	cs	though	though	0
to	to	pc-acp	to	to	0
vse	vse	vvi	use	use	0
Bernards	Bernards	npg1	Bernards	bernards	0
words	words	n2	words	word	0
in	in	p-acp	in	in	0
another	another	j-jn	another	another	0
case	case	n1	case	case	0
,	,	,	,	,	0
De	De	fw-fr	De	de	0
diligē	diligē	j	diligent	diligent	0
∣	∣	sy	∣	∣	0
do	do	n1	doe	do	0
Deo.	Deo.	np1	Deo.	Deo.	1
Non	Non	np1	Non	Non	0
prout	prout	n1	prout	prout	0
dignum	dignum	fw-la	dignum	dignum	0
rei	rei	fw-la	rei	rei	0
,	,	,	,	,	0
sed	sed	fw-la	sed	sed	0
prout	prout	n1	prout	prout	0
datum	datum	fw-la	datum	datum	0
mihi	mihi	fw-la	mihi	mihi	0
.	.	.	.	.	1
Yet	Yet	av	Yet	yet	0
let	let	vvb	let	let	0
me	me	pno11	me	i	0
intreat	intreat	vvi	entreat	entreat	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
,	,	,	,	,	0
or	or	cc	or	or	0
rather	rather	av-c	rather	rather	0
adiure	adiure	vvb	adjure	adjure	0
you	you	pn22	you	you	0
by	by	p-acp	by	by	0
that	that	d	that	that	0
honour	honour	n1	honour	honour	0
and	and	cc	and	and	0
sauour	sauour	vvb	savour	savour	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
giuen	giuen	vvn	given	give	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
Soueraigne	Soueraigne	n-jn	Sovereign	sovereign	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
that	that	d	that	that	0
account	account	n1	account	account	0
you	you	pn22	you	you	0
must	must	vmb	must	must	0
giue	giue	vvi	give	give	0
for	for	p-acp	for	for	0
the	the	pno32	thee	they	0
im	im	p-acp	im	in	0
∣	∣	sy	∣	∣	0
ployment	ployment	n1	ployment	ployment	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
great	great	j	great	great	0
King	King	n1	King	king	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
great	great	j	great	great	0
day	day	n1	day	day	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
would	would	vmd	would	will	0
goe	goe	vvi	go	go	0
on	on	a-acp	on	on	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
so	so	av	so	so	0
religious	religious	j	religious	religious	0
and	and	cc	and	and	0
profitable	profitable	j	profitable	profitable	0
a	a	dt	a	a	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
namely	namely	av	namely	namely	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
excite	excite	vvi	excite	excite	0
his	his	po31	his	his	0
Maiestie	Maiestie	n1	Majesty	majesty	0
to	to	p-acp	to	to	0
wakē	wakē	vvb	waken	wake	0
his	his	po31	his	his	0
sleeping	sleeping	j-vvg	sleeping	sleep	0
lawes	lawes	n2	laws	law	0
,	,	,	,	,	0
that	that	cst	that	that	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
long	long	av-j	long	long	0
sung	sung	vvn	sung	sing	0
mercie	mercie	n1	mercy	mercy	0
,	,	,	,	,	0
he	he	pns31	he	he	0
would	would	vmd	would	will	0
at	at	p-acp	at	at	0
length	length	n1	length	length	0
tune	tune	n1	tune	tune	0
iustice	iustice	n1	justice	justice	0
;	;	;	;	;	0
and	and	cc	and	and	0
command	command	vvb	command	command	0
indeed	indeed	av	indeed	indeed	0
that	that	cst	that	that	0
his	his	po31	his	his	0
lawes	lawes	n2	laws	law	0
may	may	vmb	may	may	0
haue	haue	vhi	have	have	0
their	their	po32	their	their	0
course	course	n1	course	course	0
,	,	,	,	,	0
Psal.	Psal.	np1	Psal.	Psal.	1
101.8	101.8	crd	101.8	101.8	0
.	.	.	.	.	0
that	that	cst	that	that	0
betimes	betimes	av	betimes	betimes	0
he	he	pns31	he	he	0
would	would	vmd	would	will	0
de	de	fw-la	de	de	0
∣	∣	sy	∣	∣	0
stroy	stroy	vvi	stroy	destroy	0
the	the	dt	the	the	0
wicked	wicked	j	wicked	wicked	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
lād	lād	n1	land	land	0
,	,	,	,	,	0
&	&	cc	&	and	0
that	that	cst	that	that	0
such	such	d	such	such	0
