THO'	THO'	cs	THOUGH	though	0
rather	rather	av-c	rather	rather	0
honour	honour	vvi	honour	honour	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
self	self	n1	self	self	0
,	,	,	,	,	0
than	than	cs	than	than	0
Service	Service	n1	Service	service	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
,	,	,	,	,	0
Madam	Madam	n1	Madam	madam	0
,	,	,	,	,	0
let	let	vvb	let	let	0
not	not	xx	not	not	0
the	the	dt	the	the	0
happy	happy	j	happy	happy	0
Necessity	Necessity	n1	Necessity	necessity	0
I	I	pns11	I	i	0
lie	lie	vvb	lie	lie	0
under	under	p-acp	under	under	0
of	of	pp-f	of	of	0
advantaging	advantaging	vvg	advantaging	advantage	0
my	my	po11	my	my	0
own	own	d	own	own	0
Credit	Credit	n1	Credit	credit	0
,	,	,	,	,	0
while	while	cs	while	while	0
I	I	pns11	I	i	0
serve	serve	vvb	serve	serve	0
You	You	pn22	You	you	0
,	,	,	,	,	0
prejudice	prejudice	n1	prejudice	prejudice	0
the	the	dt	the	the	0
sincerity	sincerity	n1	sincerity	sincerity	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Intentions	Intentions	n2	Intentions	intention	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
'tis	'tis	pn31|vbz	it's	it|be	0
the	the	dt	the	the	0
constant	constant	j	constant	constant	0
Fate	Fate	n1	Fate	fate	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
Votaries	Votaries	n2	Votaries	votary	0
of	of	pp-f	of	of	0
Greatness	Greatness	n1	Greatness	greatness	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
engag'd	engag'd	vvn	engaged	engage	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
a	a	dt	a	a	0
Necessity	Necessity	n1	Necessity	necessity	0
.	.	.	.	.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
encourag'd	encourag'd	vvn	encouraged	encourage	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Matter	Matter	n1	Matter	matter	0
I	I	pns11	I	i	0
relate	relate	vvb	relate	relate	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
altogether	altogether	av	altogether	altogether	0
un	un	j	un	unacustomated	0
∣	∣	sy	∣	∣	0
known	known	vvn	known	know	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
Ladyship	Ladyship	n1	Ladyship	ladyship	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
make	make	vvi	make	make	0
frequent	frequent	j	frequent	frequent	0
and	and	cc	and	and	0
honourable	honourable	j	honourable	honourable	0
Mention	Mention	n1	Mention	mention	0
of	of	pp-f	of	of	0
You	You	pn22	You	you	0
and	and	cc	and	and	0
your	your	po22	your	your	0
most	most	av-ds	most	most	0
Noble	Noble	j	Noble	noble	0
Family	Family	n1	Family	family	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
acknow	acknow	vvi	acknow	acknow	0
∣	∣	sy	∣	∣	0
ledge	ledge	n1	ledge	ledge	0
,	,	,	,	,	0
notwithstanding	notwithstanding	p-acp	notwithstanding	notwithstanding	0
my	my	po11	my	my	0
Innocence	Innocence	n1	Innocence	innocence	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Justice	Justice	n1	Justice	justice	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Cause	Cause	n1	Cause	cause	0
,	,	,	,	,	0
had	had	vhd	had	have	0
I	I	pns11	I	i	0
not	not	xx	not	not	0
been	been	vbn	been	be	0
supported	supported	vvn	supported	support	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
Goodness	Goodness	n1	Goodness	goodness	0
and	and	cc	and	and	0
Authority	Authority	n1	Authority	authority	0
,	,	,	,	,	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
have	have	vhi	have	have	0
sunk	sunk	vvn	sunk	sink	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
violence	violence	n1	violence	violence	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Fury	Fury	n1	Fury	fury	0
and	and	cc	and	and	0
Malice	Malice	n1	Malice	malice	0
,	,	,	,	,	0
that	that	cst	that	that	0
did	did	vdd	did	do	0
prosecute	prosecute	vvi	prosecute	prosecute	0
me	me	pno11	me	i	0
.	.	.	.	.	1
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
dam	dam	n1	dam	dam	0
,	,	,	,	,	0
I	I	pns11	I	i	0
wish	wish	vvb	wish	wish	0
you	you	pn22	you	you	0
could	could	vmd	could	can	0
find	find	vvi	find	find	0
as	as	p-acp	as	as	0
many	many	d	many	many	0
things	things	n2	things	thing	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Ensuing	Ensuing	j-vvg	Ensuing	ensue	0
Papers	Papers	n2	Papers	paper	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
would	would	vmd	would	will	0
deserve	deserve	vvi	deserve	deserve	0
your	your	po22	your	your	0
Patronage	Patronage	n1	Patronage	patronage	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
,	,	,	,	,	0
that	that	cst	that	that	0
need	need	vvb	need	need	0
it	it	pn31	it	it	0
.	.	.	.	.	1
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
your	your	po22	your	your	0
Goodness	Goodness	n1	Goodness	goodness	0
will	will	vmb	will	will	0
pardon	pardon	vvi	pardon	pardon	0
whatever	whatever	r-crq	whatever	whatever	0
your	your	po22	your	your	0
Judgment	Judgment	n1	Judgement	judgement	0
cannot	cannot	vmbx	cannot	can	0
approve	approve	vvi	approve	approve	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
mat	mat	n1	mat	mat	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Conduct	Conduct	vvb	Conduct	conduct	0
.	.	.	.	.	1
I	I	pns11	I	i	0
will	will	vmb	will	will	0
ever	ever	av	ever	ever	0
value	value	vvi	valve	value	0
your	your	po22	your	your	0
single	single	j	single	single	0
Approbation	Approbation	n1	Approbation	approbation	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
than	than	cs	than	than	0
the	the	dt	the	the	0
Applause	Applause	n1	Applause	applause	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Theatre	Theatre	n1	Theatre	theatre	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
miss	miss	vvb	miss	miss	0
both	both	d	both	both	0
,	,	,	,	,	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
give	give	vvi	give	give	0
me	me	pno11	me	i	0
leave	leave	n1	leave	leave	0
to	to	pc-acp	to	to	0
promise	promise	vvi	promise	promise	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
self	self	n1	self	self	0
pardon	pardon	vvb	pardon	pardon	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Presumption	Presumption	n1	Presumption	presumption	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Address	Address	n1	Address	address	0
;	;	;	;	;	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
assume	assume	vvi	assume	assume	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
self	self	n1	self	self	0
the	the	dt	the	the	0
honourable	honourable	j	honourable	honourable	0
Title	Title	n1	Title	title	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
Madam	Madam	n1	Madam	madam	0
,	,	,	,	,	1
