KINDNES	KINDNES	n1	KINDNES	kindness	0
to	to	p-acp	to	to	0
al	al	d	all	all	0
my	my	po11	my	my	0
cuntrymen	cuntrymen	n2	countrymen	countryman	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
publyk	publyk	j	public	public	0
good	good	j	good	good	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
not	not	xx	not	not	0
but	but	cc-acp	but	but	0
wish	wish	vvi	wish	wish	0
the	the	dt	the	the	0
best	best	js	best	best	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
benefit	benefit	n1	benefit	benefit	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
fruite	fruite	n1	fruit	fruit	0
of	of	pp-f	of	of	0
al	al	d	all	all	0
my	my	po11	my	my	0
labours	labours	n2	labours	labour	0
is	is	vbz	is	be	0
most	most	av-ds	most	most	0
due	due	j-jn	due	due	0
,	,	,	,	,	0
both	both	av-d	both	both	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
special	special	j	special	special	0
prerogatiue	prerogatiue	n1	prerogative	prerogative	0
of	of	pp-f	of	of	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
particular	particular	j	particular	particular	0
priuiledge	priuiledge	n1	privilege	privilege	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
owne	owne	d	own	own	0
desire	desire	n1	desire	desire	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
desert	desert	n1	desert	desert	0
.	.	.	.	.	1
Therfore	Therfore	av	Therefore	therefore	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
reape	reape	vvi	reap	reap	0
the	the	dt	the	the	0
benefit	benefit	n1	benefit	benefit	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
wish	wish	vvb	wish	wish	0
you	you	pn22	you	you	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
treatise	treatise	n1	treatise	treatise	0
,	,	,	,	,	0
you	you	pn22	you	you	0
shal	shal	vmb	shall	shall	0
vnderstand	vnderstand	vvi	understand	understand	0
,	,	,	,	,	0
that	that	cst	that	that	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
though	though	cs	though	though	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
subject	subject	n-jn	subject	subject	0
is	is	vbz	is	be	0
policy	policy	n1	policy	policy	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
my	my	po11	my	my	0
meaning	meaning	n1	meaning	meaning	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
animat	animat	vvi	animate	animate	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
study	study	n1	study	study	0
,	,	,	,	,	0
or	or	cc	or	or	0
practise	practise	vvi	practise	practise	0
therof	therof	av	thereof	thereof	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
many	many	d	many	many	0
yeres	yeres	n2	years	year	0
trauel	trauel	vvi	travel	travel	0
,	,	,	,	,	0
&	&	cc	&	and	0
seruice	seruice	n1	service	service	0
of	of	pp-f	of	of	0
forrayne	forrayne	j	foreign	foreign	0
princes	princes	n2	princes	prince	0
,	,	,	,	,	0
(	(	(	(	(	0
wherin	wherin	c-crq	wherein	wherein	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
obserued	obserued	vvn	observed	observe	0
the	the	dt	the	the	0
successe	successe	n1	success	success	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
,	,	,	,	,	0
great	great	j	great	great	0
negotiations	negotiations	n2	negotiations	negotiation	0
,	,	,	,	,	0
&	&	cc	&	and	0
bene	bene	vbn	be	be	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
emploied	emploied	vvn	employed	employ	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
)	)	)	)	)	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
learned	learned	vvn	learned	learn	0
by	by	p-acp	by	by	0
experience	experience	n1	experience	experience	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
old	old	j	old	old	0
prouerb	prouerb	n1	proverb	proverb	0
,	,	,	,	,	0
Of	Of	pp-f	Of	of	0
little	little	j	little	little	0
med	med	j-vvn	med	m	0
∣	∣	sy	∣	∣	0
ling	ling	n1	ling	ling	0
commeth	commeth	vvz	comes	come	0
great	great	j	great	great	0
ease	ease	n1	ease	ease	0
,	,	,	,	,	0
is	is	vbz	is	be	0
verified	verified	vvn	verified	verify	0
in	in	p-acp	in	in	0
nothing	nothing	pix	nothing	nothing	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
in	in	p-acp	in	in	0
matters	matters	n2	matters	matter	0
of	of	pp-f	of	of	0
state	state	n1	state	state	0
;	;	;	;	;	0
the	the	dt	the	the	0
practise	practise	n1	practice	practice	0
wherof	wherof	c-crq	whereof	whereof	0
may	may	vmb	may	may	0
wel	wel	av	well	well	0
be	be	vbb	be	be	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
pared	pared	vvn	pared	pare	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
vse	vse	n1	use	use	0
of	of	pp-f	of	of	0
fire	fire	n1	fire	fire	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
though	though	cs	though	though	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
most	most	av-ds	most	most	0
necessary	necessary	j	necessary	necessary	0
for	for	p-acp	for	for	0
man	man	n1	man	man	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
is	is	vbz	is	be	0
most	most	av-ds	most	most	0
dangerous	dangerous	j	dangerous	dangerous	0
to	to	pc-acp	to	to	0
deale	deale	vvi	deal	deal	0
with	with	p-acp	with	with	0
,	,	,	,	,	0
and	and	cc	and	and	0
doth	doth	vdz	does	do	0
men	men	n1	men	man	0
some	some	d	some	some	0
times	times	n2	times	time	0
irreparable	irreparable	j	irreparable	irreparable	0
dammages	dammages	n2	damages	damage	0
,	,	,	,	,	0
be	be	vbb	be	be	0
they	they	pns32	they	they	0
neuer	neuer	av-x	never	never	0
so	so	av	so	so	0
circumspect	circumspect	j	circumspect	circumspect	0
.	.	.	.	.	1
And	And	cc	And	and	0
this	this	d	this	this	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
knowne	knowne	vvn	known	know	0
very	very	av	very	very	0
many	many	d	many	many	0
stats-men	stats-men	n2	statesmen	statesman	0
of	of	pp-f	of	of	0
greate	greate	j	great	great	0
sufficiency	sufficiency	n1	sufficiency	sufficiency	0
,	,	,	,	,	0
much	much	av-d	much	much	0
perplexed	perplexed	vvn	perplexed	perplex	0
,	,	,	,	,	0
and	and	cc	and	and	0
diuers	diuers	av-j	diverse	diverse	0
ruined	ruined	vvn	ruined	ruin	0
,	,	,	,	,	0
not	not	xx	not	not	0
so	so	av	so	so	0
much	much	av-d	much	much	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
inconside	inconside	n1-an	inconside	inconside	0
∣	∣	sy	∣	∣	0
ration	ration	n1	ration	ration	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
difficulties	difficulties	n2	difficulties	difficulty	0
,	,	,	,	,	0
and	and	cc	and	and	0
dangers	dangers	n2	dangers	danger	0
incident	incident	j	incident	incident	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
handling	handling	n-vvg	handling	handle	0
of	of	pp-f	of	of	0
state-matters	state-matters	n2	state-matters	state-matter	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
subiect	subiect	j-jn	subject	subject	0
to	to	p-acp	to	to	0
infinit	infinit	j	infinite	infinite	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
cidents	cidents	n2	cidents	cident	0
,	,	,	,	,	0
and	and	cc	and	and	0
hazards	hazards	n2	hazards	hazard	0
,	,	,	,	,	0
impossible	impossible	j	impossible	impossible	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
fore-seene	fore-seene	vvn	foreseen	foresee	0
and	and	cc	and	and	0
pre	pre	fw-es	pre	pre	0
∣	∣	sy	∣	∣	0
uented	uented	vvd	vented	vent	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
witt	witt	n1	wit	wit	0
,	,	,	,	,	0
or	or	cc	or	or	0
industry	industry	n1	industry	industry	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
;	;	;	;	;	0
And	And	cc	And	and	0
therfore	therfore	av	therefore	therefore	0
the	the	dt	the	the	0
only	only	j	only	only	0
point	point	n1	point	point	0
of	of	pp-f	of	of	0
state	state	n1	state	state	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
wold	wold	vmd	would	will	0
haue	haue	vhi	have	have	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
learne	learne	vvi	learn	learn	0
,	,	,	,	,	0
or	or	cc	or	or	0
at	at	p-acp	at	at	0
least	least	ds	least	least	0
to	to	pc-acp	to	to	0
practise	practise	vvi	practise	practise	0
,	,	,	,	,	0
is	is	vbz	is	be	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
serue	serue	vvi	serve	serve	0
God	God	np1	God	God	0
and	and	cc	and	and	0
your	your	po22	your	your	0
prince	prince	n1	prince	prince	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
al	al	d	all	all	0
duty	duty	n1	duty	duty	0
and	and	cc	and	and	0
loyalty	loyalty	n1	loyalty	loyalty	0
,	,	,	,	,	0
yeelding	yeelding	vvg	yielding	yield	0
(	(	(	(	(	0
as	as	p-acp	as	as	0
our	our	po12	our	our	0
Sauiour	Sauiour	n1	Saviour	saviour	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
mandeth	mandeth	vvz	mandeth	mand	0
)	)	)	)	)	0
To	To	p-acp	To	to	0
Caesar	Caesar	np1	Caesar	Caesar	0
that	that	cst	that	that	0
vvhich	vvhich	r-crq	which	which	0
is	is	vbz	is	be	0
Caesars	Caesars	npg1	Caesars	Caesar	0
;	;	;	;	;	0
Matth.	Matth.	np1	Matth.	Matth.	1
22.	22.	crd	22.	22.	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
that	that	cst	that	that	0
vvhich	vvhich	r-crq	which	which	0
is	is	vbz	is	be	0
Gods	Gods	npg1	Gods	God	0
:	:	:	:	:	0
And	And	cc	And	and	0
euer	euer	av	ever	ever	0
to	to	pc-acp	to	to	0
perswade	perswade	vvi	persuade	persuade	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
that	that	cst	that	that	0
ho	ho	uh	ho	ho	0
∣	∣	sy	∣	∣	0
nesty	nesty	n1	nesty	nesty	0
ioyned	ioyned	vvn	joined	join	0
with	with	p-acp	with	with	0
piety	piety	n1	piety	piety	0
,	,	,	,	,	0
&	&	cc	&	and	0
prudent	prudent	j	prudent	prudent	0
simplicity	simplicity	n1	simplicity	simplicity	0
,	,	,	,	,	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
hig	hig	fw-mi	hig	hic	0
∣	∣	sy	∣	∣	0
hest	hest	n1	hest	hest	0
and	and	cc	and	and	0
surest	surest	js	surest	sure	0
policy	policy	n1	policy	policy	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
as	as	c-acp	as	as	0
Salomon	Salomon	np1	Salomon	Salomon	0
saith	saith	vvz	says	say	0
;	;	;	;	;	0
Qui	Qui	fw-la	Qui	qui	0
ambulat	ambulat	fw-la	ambulat	ambulat	0
simpliciter	simpliciter	fw-la	simpliciter	simpliciter	0
,	,	,	,	,	0
Pro.	Pro.	np1	Pro.	Pro.	1
10.	10.	crd	10.	10.	0
ambulat	ambulat	fw-la	ambulat	ambulat	0
confidenter	confidenter	jc	confidenter	confident	0
,	,	,	,	,	0
&	&	cc	&	and	0
qui	qui	fw-la	qui	qui	0
deprauat	deprauat	fw-la	deprauat	deprauat	0
vias	vias	fw-la	vias	vias	0
suas	suas	fw-la	suas	suas	0
manifestus	manifestus	fw-la	manifestus	manifestus	0
erit	erit	fw-la	erit	erit	0
.	.	.	.	.	1
He	He	pns31	He	he	0
vvhich	vvhich	r-crq	which	which	0
vvalketh	vvalketh	n1	walk	walk	0
simply	simply	av-j	simply	simple	0
and	and	cc	and	and	0
plainly	plainly	av-j	plainly	plain	0
,	,	,	,	,	0
vvalketh	vvalketh	vvb	walk	walk	0
cōfidently	cōfidently	av-j	confidently	confident	0
&	&	cc	&	and	0
surely	surely	av-j	surely	sure	0
,	,	,	,	,	0
&	&	cc	&	and	0
he	he	pns31	he	he	0
that	that	cst	that	that	0
rūneth	rūneth	vvz	runneth	run	0
an	an	dt	and	a	0
vndirect	vndirect	j	undirect	undirect	0
course	course	n1	course	course	0
shal	shal	vmb	shall	shall	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
manifest	manifest	j	manifest	manifest	0
.	.	.	.	.	1
And	And	cc	And	and	0
this	this	d	this	this	0
our	our	po12	our	our	0
Sauiour	Sauiour	n1	Saviour	saviour	0
also	also	av	also	also	0
taught	taught	vvd	taught	teach	0
his	his	po31	his	his	0
Apostles	Apostles	n2	Apostles	apostle	0
,	,	,	,	,	0
Natth	Natth	av	Natth	natth	0
.	.	.	.	.	1
10.	10.	crd	10.	10.	0
and	and	cc	and	and	0
vs	vs	pno12	us	we	0
al	al	d	all	all	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
said	said	vvd	said	say	0
.	.	.	.	.	1
Estote	Estote	fw-la	Estote	estote	0
Prudentes	Prudentes	fw-la	Prudentes	prudentes	0
sicut	sicut	fw-la	sicut	sicut	0
serpentes	serpentes	n2	serpents	serpent	0
,	,	,	,	,	0
&	&	cc	&	and	0
simplices	simplices	fw-la	simplices	simplices	0
sicut	sicut	fw-la	sicut	sicut	0
columba	columba	n1	columbam	columbam	0
.	.	.	.	.	1
Be	Be	vbb	Be	be	0
you	you	pn22	you	you	0
prudent	prudent	j	prudent	prudent	0
like	like	j	like	like	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ser	ser	zz	ser	ser	0
∣	∣	sy	∣	∣	0
pent	pent	vvn	penned	pen	0
,	,	,	,	,	0
and	and	cc	and	and	0
simple	simple	j	simple	simple	0
like	like	av-j	like	like	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
doue	doue	n1	dove	dove	0
;	;	;	;	;	0
whereof	whereof	c-crq	whereof	whereof	0
I	I	pns11	I	i	0
shal	shal	vmb	shall	shall	0
not	not	xx	not	not	0
neede	neede	vvi	need	need	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
more	more	av-dc	more	more	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
here	here	av	here	here	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
hādled	hādled	vvn	handled	handle	0
this	this	d	this	this	0
matter	matter	n1	matter	matter	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
treatise	treatise	n1	treatise	treatise	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
wold	wold	vmd	would	will	0
wish	wish	vvi	wish	wish	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
better	better	jc	better	better	0
instructiō	instructiō	n1	instruction	instruction	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
obserue	obserue	vvi	observe	observe	0
specially	specially	av-j	specially	special	0
these	these	d	these	these	0
points	points	n2	points	point	0
following	following	vvg	following	follow	0
.	.	.	.	.	1
The	The	dt	The	the	0
first	first	ord	first	first	0
is	is	vbz	is	be	0
;	;	;	;	;	0
The	The	dt	The	the	0
natural	natural	j	natural	natural	0
imbecillity	imbecillity	n1	imbecility	imbecility	0
of	of	pp-f	of	of	0
mans	mans	ng1	men	man	0
wit	wit	n1	wit	wit	0
;	;	;	;	;	0
the	the	dt	the	the	0
consideration	consideration	n1	consideration	consideration	0
wherof	wherof	c-crq	whereof	whereof	0
is	is	vbz	is	be	0
most	most	av-ds	most	most	0
necessary	necessary	j	necessary	necessary	0
for	for	p-acp	for	for	0
euery	euery	d	every	every	0
man	man	n1	man	man	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
he	he	pns31	he	he	0
end	end	vvb	end	end	0
he	he	pns31	he	he	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
beware	beware	vvi	beware	beware	0
of	of	pp-f	of	of	0
presumption	presumption	n1	presumption	presumption	0
,	,	,	,	,	0
and	and	cc	and	and	0
an	an	dt	and	a	0
uer-weening	uer-weening	j	uer-weening	uer-weening	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
wit	wit	n1	wit	wit	0
(	(	(	(	(	0
the	the	dt	the	the	0
danger	danger	n1	danger	danger	0
wherof	wherof	c-crq	whereof	whereof	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
eclared	eclared	vvn	eclared	eclare	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
first	first	ord	first	first	0
,	,	,	,	,	0
and	and	cc	and	and	0
second	second	ord	second	second	0
Chapter	Chapter	n1	Chapter	chapter	0
)	)	)	)	)	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
haue	haue	vhi	have	have	0
ecourse	ecourse	n1	ecourse	ecourse	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
remedies	remedies	n2	remedies	remedy	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
ordained	ordained	vvn	ordained	ordain	0
for	for	p-acp	for	for	0
ans	ans	fw-fr	ans	ans	0
infirmity	infirmity	n1	infirmity	infirmity	0
;	;	;	;	;	0
that	that	d	that	that	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
continual	continual	j	continual	continual	0
praier	praier	n1	prayer	prayer	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
for	for	c-acp	for	for	0
he	he	pns31	he	he	0
light	light	j	light	light	0
and	and	cc	and	and	0
helpe	helpe	n1	help	help	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
councel	councel	n1	council	council	0
of	of	pp-f	of	of	0
dis	dis	zf	dis	this	0
∣	∣	sy	∣	∣	0
creete	creete	zz	creete	creete	0
,	,	,	,	,	0
and	and	cc	and	and	0
wise	wise	j	wise	wise	0
frends	frends	n2	friends	friend	0
;	;	;	;	;	0
of	of	pp-f	of	of	0
both	both	d	both	both	0
which	which	r-crq	which	which	0
points	points	n2	points	point	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
trea	trea	vvb	trea	trea	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
at	at	p-acp	at	at	0
large	large	j	large	large	0
,	,	,	,	,	0
partlie	partlie	av	partly	partly	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
28.	28.	crd	28.	28.	1
Chapter	Chapter	n1	Chapter	chapter	0
,	,	,	,	,	0
and	and	cc	and	and	0
partly	partly	av	partly	partly	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
ules	ules	n2	ules	ule	0
for	for	p-acp	for	for	0
young	young	j	young	young	0
statists	statists	n2	statists	statist	0
;	;	;	;	;	0
wherto	wherto	c-crq	whereto	whereto	0
I	I	pns11	I	i	0
remit	remit	vvb	remit	remit	0
you	you	pn22	you	you	0
.	.	.	.	.	1
The	The	dt	The	the	0
second	second	ord	second	second	0
obseruation	obseruation	n1	observation	observation	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
wish	wish	vvb	wish	wish	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
,	,	,	,	,	0
is	is	vbz	is	be	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
prouidence	prouidence	n1	providence	providence	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
affaires	affaires	n2	affairs	affair	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
,	,	,	,	,	0
s	s	ng1	s	sister	0
how	how	c-crq	how	how	0
he	he	pns31	he	he	0
disposeth	disposeth	vvz	disposeth	dispose	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
of	of	pp-f	of	of	0
kingdomes	kingdomes	n2	kingdoms	kingdom	0
and	and	cc	and	and	0
states	states	n2	states	state	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
lso	lso	av	lso	lso	0
of	of	pp-f	of	of	0
particular	particular	j	particular	particular	0
mens	mens	ng2	men's	man	0
affaires	affaires	n2	affairs	affair	0
,	,	,	,	,	0
working	working	vvg	working	work	0
his	his	po31	his	his	0
wil	wil	n1	will	will	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
,	,	,	,	,	0
nd	nd	cc	and	and	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
,	,	,	,	,	0
some	some	d	some	some	0
times	times	n2	times	time	0
manifestlie	manifestlie	av-j	manifestly	manifest	0
,	,	,	,	,	0
and	and	cc	and	and	0
some	some	d	some	some	0
times	times	n2	times	time	0
y	y	p-acp	y	in	0
secret	secret	j-jn	secret	secret	0
operation	operation	n1	operation	operation	0
,	,	,	,	,	0
permitting	permitting	vvg	permitting	permit	0
euil	euil	j-jn	evil	evil	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
to	to	pc-acp	to	to	0
draw	draw	vvi	draw	draw	0
good	good	j	good	good	0
therof	therof	av	thereof	thereof	0
,	,	,	,	,	0
and	and	cc	and	and	0
seruing	seruing	vvg	serving	serve	0
him	him	pno31	him	he	0
selfe	selfe	n1	self	self	0
of	of	pp-f	of	of	0
mens	mens	ng2	men's	man	0
wills	wills	n2	wills	will	0
,	,	,	,	,	0
