HIS	HIS	po31	HIS	his	0
be	be	vbi	be	be	0
while	while	cs	while	while	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
)	)	)	)	)	0
always	always	av	always	always	0
active	active	j	active	active	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
Pens	Pens	n2	Pens	pen	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
utmost	utmost	j	utmost	utmost	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
Sphaer	Sphaer	n1	Sphaer	sphaer	0
.	.	.	.	.	1
And	And	cc	And	and	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
see	see	vvb	see	see	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
Publick	Publick	j	Public	public	0
Freedom	Freedom	n1	Freedom	freedom	0
,	,	,	,	,	0
so	so	av	so	so	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
doubted	doubted	vvn	doubted	doubt	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Princely	Princely	j	Princely	princely	0
so	so	av	so	so	0
Vniversal	Vniversal	j-u	Universal	universal	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
intends	intends	vvz	intends	intend	0
a	a	dt	a	a	0
Freedom	Freedom	n1	Freedom	freedom	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
side	side	n1	side	side	0
to	to	p-acp	to	to	0
an	an	dt	and	a	0
∣	∣	sy	∣	∣	0
swer	swer	n1	swer	swer	0
;	;	;	;	;	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
no	no	dx	no	no	0
Inequality	Inequality	n1	Inequality	inequality	0
in	in	p-acp	in	in	0
holding	holding	vvg	holding	hold	0
the	the	dt	the	the	0
Beam	Beam	n1	Beam	beam	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
alike	alike	av-j	alike	alike	0
incline	incline	vvi	incline	incline	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
specially	specially	av-j	specially	special	0
now	now	av	now	now	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
making	making	vvg	making	make	0
Credence	Credence	n1	Credence	credence	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
his	his	po31	his	his	0
Royal	Royal	j	Royal	royal	0
Favours	Favours	n2	Favours	favour	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
His	His	po31	His	his	0
Protestant	Protestant	n1	Protestant	protestant	0
Sub	Sub	fw-la	Sub	sub	0
∣	∣	sy	∣	∣	0
jects	jects	n2-jn	jects	ject	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
cannot	cannot	vmbx	cannot	can	0
but	but	p-acp	but	but	0
be	be	vbi	be	be	0
deeply	deeply	av-jn	deeply	deep	0
concern'd	concern'd	vvn	concerned	concern	0
at	at	p-acp	at	at	0
such	such	d	such	such	0
a	a	dt	a	a	0
Time	Time	n1	Time	time	0
as	as	c-acp	as	as	0
this	this	d	this	this	0
;	;	;	;	;	0
because	because	c-acp	because	because	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
great	great	j	great	great	0
Advantages	Advantages	n2	Advantages	advantage	0
,	,	,	,	,	0
the	the	dt	the	the	0
Interests	Interests	n2	Interests	interest	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Counter-Scale	Counter-Scale	n1	Counter-Scale	counter-scale	0
hope	hope	vvb	hope	hope	0
for	for	p-acp	for	for	0
from	from	p-acp	from	from	0
a	a	dt	a	a	0
Sove	Sove	av	Soon	soon	0
∣	∣	sy	∣	∣	0
reign	reign	n1	reign	reign	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
own	own	d	own	own	0
Sentiments	Sentiments	n2	Sentiments	sentiment	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
in	in	p-acp	in	in	0
no	no	dx	no	no	0
case	case	n1	case	case	0
is	is	vbz	is	be	0
this	this	d	this	this	0
Liberty	Liberty	n1	Liberty	liberty	0
more	more	av-dc	more	more	0
desirable	desirable	j	desirable	desirable	0
,	,	,	,	,	0
than	than	cs	than	than	0
when	when	c-crq	when	when	0
an	an	dt	and	a	0
Amphibious-Ambidextrous	Amphibious-Ambidextrous	j	Amphibious-Ambidextrous	amphibious-ambidextrous	0
Bishop	Bishop	n1	Bishop	bishop	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
assumes	assumes	vvz	assumes	assume	0
,	,	,	,	,	0
like	like	av-j	like	like	0
that	that	d	that	that	0
Angel	Angel	n1	Angel	angel	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Revelation	Revelation	n1	Revelation	revelation	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
one	one	crd	one	one	0
Foot	Foot	n1	Foot	foot	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
Sea	Sea	n1	Sea	sea	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
Earth	Earth	n1	Earth	earth	0
:	:	:	:	:	0
One	One	pi	One	one	0
Foot	Foot	n1	Foot	foot	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
Protes	Protes	n2	Protes	prote	0
∣	∣	sy	∣	∣	0
tant	tant	fw-fr	tant	tant	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
calls	calls	vvz	calls	call	0
one	one	pi	one	one	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
his	his	po31	his	his	0
self	self	n1	self	self	0
were	were	vbdr	were	be	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
)	)	)	)	)	0
and	and	cc	and	and	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
Roman	Roman	njp	Roman	roman	0
:	:	:	:	:	0
In	In	p-acp	In	in	0
favour	favour	n1	favour	favour	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
so	so	av	so	so	0
openly	openly	av-j	openly	open	0
appeareth	appeareth	vvz	appears	appear	0
(	(	(	(	(	0
to	to	pc-acp	to	to	0
speak	speak	vvi	speak	speak	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
ho	ho	zz	ho	ho	0
∣	∣	sy	∣	∣	0
nourably	nourably	av-j	nourably	nourable	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
conciliate	conciliate	vvi	conciliate	conciliate	0
toward	toward	p-acp	towards	towards	0
it	it	pn31	it	it	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
lest	lest	cs	lest	lest	0
a	a	dt	a	a	0
Cassandrian	Cassandrian	jp	Cassandrian	cassandrian	0
Temperament	Temperament	n1	Temperament	temperament	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
never	never	av-x	never	never	0
be	be	vbi	be	be	0
yielded	yielded	vvn	yielded	yield	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Protestant	Protestant	n1	Protestant	protestant	0
,	,	,	,	,	0
so	so	av	so	so	0
would	would	vmd	would	will	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
cepted	cepted	vvn	cepted	cept	0
,	,	,	,	,	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
offer'd	offer'd	vvn	offered	offer	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Papist	Papist	njp	Papist	papist	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
published	published	vvn	published	publish	0
(	(	(	(	(	0
with	with	p-acp	with	with	0
what	what	r-crq	what	what	0
intentions	intentions	n2	intentions	intention	0
is	is	vbz	is	be	0
best	best	av-js	best	best	0
known	known	vvn	known	know	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
own	own	d	own	own	0
Conscience	Conscience	n1	Conscience	conscience	0
)	)	)	)	)	0
a	a	dt	a	a	0
palliation	palliation	n1	palliation	palliation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
ir	ir	zz	ir	ir	0
∣	∣	sy	∣	∣	0
reconciliable	reconciliable	j	reconciliable	reconciliable	0
Points	Points	n2	Points	point	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Popish	Popish	j	Popish	popish	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
Tran	Tran	np1	Tran	Tran	0
∣	∣	sy	∣	∣	0
substantiation	substantiation	n1	substantiation	substantiation	0
,	,	,	,	,	0
the	the	dt	the	the	0
Sacrifice	Sacrifice	n1	Sacrifice	sacrifice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Mass	Mass	n1	Mass	mass	0
,	,	,	,	,	0
the	the	dt	the	the	0
Invoca	Invoca	np1	Invoca	Invoca	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
and	and	cc	and	and	0
Adoration	Adoration	n1	Adoration	adoration	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Virgin	Virgin	n1	Virgin	virgin	0
Mary	Mary	uh	Marry	mary	0
swoln	swoln	j-vvn	swollen	swell	0
to	to	p-acp	to	to	0
such	such	d	such	such	0
a	a	dt	a	a	0
Monstrosity	Monstrosity	n1	Monstrosity	monstrosity	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
other	other	j-jn	other	other	0
Saints	Saints	n2	Saints	saint	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
with	with	p-acp	with	with	0
Images	Images	n2	Images	image	0
too	too	av	too	too	0
;	;	;	;	;	0
Points	Points	n2	Points	point	0
wherein	wherein	c-crq	wherein	wherein	0
the	the	dt	the	the	0
Wisedom	Wisedom	n1	Wisdom	wisdom	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Nation	Nation	n1	Nation	nation	0
thought	thought	vvd	thought	think	0
fit	fit	j	fit	fit	0
to	to	pc-acp	to	to	0
fix	fix	vvi	fix	fix	0
the	the	dt	the	the	0
TEST	TEST	n1	TEST	test	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
security	security	n1	security	security	0
of	of	pp-f	of	of	0
Protestancy	Protestancy	n1	Protestancy	protestancy	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
Ima	Ima	np1	Ima	Ima	0
∣	∣	sy	∣	∣	0
ges	ges	n1	ges	guess	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
great	great	j	great	great	0
Infamy	Infamy	n1	Infamy	infamy	0
in	in	p-acp	in	in	0
Sacred	Sacred	j	Sacred	sacred	0
Writ	Writ	vvn	Writ	write	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
these	these	d	these	these	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
Multitude	Multitude	n1	Multitude	multitude	0
of	of	pp-f	of	of	0
Rampant	Rampant	j	Rampant	rampant	0
Words	Words	n2	Words	word	0
;	;	;	;	;	0
now	now	av	now	now	0
rather	rather	av-c	rather	rather	0
than	than	cs	than	than	0
a	a	dt	a	a	0
Multitude	Multitude	n1	Multitude	multitude	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
Words	Words	n2	Words	word	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
answe	answe	vvn	answer	answer	0
∣	∣	sy	∣	∣	0
red	red	j-jn	read	red	0
,	,	,	,	,	0
or	or	cc	or	or	0
a	a	dt	a	a	0
man	man	n1	man	man	0
of	of	pp-f	of	of	0
lips	lips	n2	lips	lip	0
be	be	vbb	be	be	0
justified	justified	vvn	justified	justify	0
,	,	,	,	,	0
even	even	av	even	even	0
the	the	dt	the	the	0
very	very	j	very	very	0
Stones	Stones	n2	Stones	stone	0
would	would	vmd	would	will	0
speak	speak	vvi	speak	speak	0
:	:	:	:	:	0
Such	Such	d	Such	such	0
Lies	Lies	vvz	Lies	lie	0
and	and	cc	and	and	0
Sophistry	Sophistry	n1	Sophistry	sophistry	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
suffer	suffer	vvi	suffer	suffer	0
Men	Men	n2	Men	man	0
to	to	pc-acp	to	to	0
hold	hold	vvi	hold	hold	0
their	their	po32	their	their	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
and	and	cc	and	and	0
while	while	cs	while	while	0
he	he	pns31	he	he	0
seems	seems	vvz	seems	seem	0
ra	ra	uh	ra	ra	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
to	to	p-acp	to	to	0
mock	mock	vvi	mock	mock	0
than	than	cs	than	than	0
argue	argue	vvi	argue	argue	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
every	every	d	every	every	0
one	one	pi	one	one	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
deavour	deavour	vvb	deavour	deavour	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
him	him	pno31	him	he	0
ashamed	ashamed	j	ashamed	ashamed	0
?	?	?	?	?	1
For	For	p-acp	For	for	0
,	,	,	,	,	0
certainly	certainly	av-j	certainly	certain	0
,	,	,	,	,	0
his	his	po31	his	his	0
ways	ways	n2	ways	way	0
of	of	pp-f	of	of	0
Discourse	Discourse	n1	Discourse	discourse	0
are	are	vbr	are	be	0
like	like	av-j	like	like	0
those	those	d	those	those	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Whorish	Whorish	j	Whorish	whorish	0
Wo	Wo	n1	Woe	woe	0
∣	∣	sy	∣	∣	0
man	man	n1	man	man	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Proverbs	Proverbs	n2	Proverbs	proverb	0
,	,	,	,	,	0
so	so	av	so	so	0
moveable	moveable	j	movable	movable	0
,	,	,	,	,	0
one	one	pi	one	one	0
cannot	cannot	vmbx	cannot	can	0
know	know	vvi	know	know	0
them	them	pno32	them	they	0
,	,	,	,	,	0
he	he	pns31	he	he	0
comes	comes	vvz	comes	come	0
out	out	av	out	out	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Time	Time	n1	Time	time	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
esteems	esteems	vvz	esteems	esteem	0
a	a	dt	a	a	0
Twilight	Twilight	n1	Twilight	twilight	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
prostituted	prostituted	vvn	prostituted	prostitute	0
Subtilty	Subtilty	n1	Subtlety	subtlety	0
he	he	pns31	he	he	0
treats	treats	vvz	treats	treat	0
of	of	pp-f	of	of	0
Sacred	Sacred	j	Sacred	sacred	0
things	things	n2	things	thing	0
:	:	:	:	:	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
loud	loud	j	loud	loud	0
and	and	cc	and	and	0
stubborn	stubborn	j	stubborn	stubborn	0
;	;	;	;	;	0
his	his	po31	his	his	0
feet	feet	n2	feet	foot	0
abide	abide	vvi	abide	abide	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
House	House	n1	House	house	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
own	own	d	own	own	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
his	his	po31	his	his	0
self	self	n1	self	self	0
styles	styles	vvz	styles	style	0
it	it	pn31	it	it	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
now	now	av	now	now	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Streets	Streets	n2	Streets	street	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Strange	Strange	j	Strange	strange	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
and	and	cc	and	and	0
layeth	layeth	vvz	layeth	lay	0
wait	wait	n1	wait	wait	0
in	in	p-acp	in	in	0
every	every	d	every	every	0
Corner	Corner	n1	Corner	corner	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
New	New	j	New	new	0
sort	sort	n1	sort	sort	0
of	of	pp-f	of	of	0
Ecclesiastical	Ecclesiastical	j	Ecclesiastical	ecclesiastical	0
Polity	Polity	n1	Polity	polity	0
,	,	,	,	,	0
or	or	cc	or	or	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
New	New	j	New	new	0
Edition	Edition	n1	Edition	edition	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
great	great	j	great	great	0
Temptation	Temptation	n1	Temptation	temptation	0
is	is	vbz	is	be	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
,	,	,	,	,	0
saith	saith	vvz	says	say	0
e	e	uh	e	e	0
Peace-Offerings	Peace-Offerings	n2	Peace-Offerings	peace-offering	0
with	with	p-acp	with	with	0
me	me	pno11	me	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
carry	carry	vvb	carry	carry	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
same	same	d	same	same	0
Time	Time	n1	Time	time	0
Reconciliableness	Reconciliableness	n1	Reconciliableness	reconciliableness	0
to	to	pc-acp	to	to	0
Rome	Rome	vvi	Room	roam	0
,	,	,	,	,	0
and	and	cc	and	and	0
likewise	likewise	av	likewise	likewise	0
a	a	dt	a	a	0
Blessing	Blessing	n1	Blessing	blessing	0
himself	himself	px31	himself	himself	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
design'd	design'd	vvn	designed	design	0
Indulgence	Indulgence	n1	Indulgence	indulgence	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
own	own	d	own	own	0
Genius	Genius	n1	Genius	genius	0
,	,	,	,	,	0
and	and	cc	and	and	0
caressing	caressing	j-vvg	caressing	caress	0
himself	himself	n1	himself	himself	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
thoughts	thoughts	n2	thoughts	thought	0
of	of	pp-f	of	of	0
his	his	png31	his	he	0
comforta	comforta	fw-la	comforta	comforta	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
Magdalen	Magdalen	np1	Magdalen	Magdalen	0
Importances	Importances	n2	Importances	importance	0
,	,	,	,	,	0
and	and	cc	and	and	0
though	though	cs	though	though	0
at	at	p-acp	at	at	0
a	a	dt	a	a	0
high	high	j	high	high	0
Wa	Wa	np1	Wa	Wa	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
of	of	pp-f	of	of	0
Papacy	Papacy	n1	Papacy	papacy	0
he	he	pns31	he	he	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
burnt	burnt	vvn	burned	burn	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
Heretick	Heretick	n1	Heretic	heretic	0
,	,	,	,	,	0
if	if	cs	if	if	0
he	he	pns31	he	he	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
speak	speak	vvi	speak	speak	0
more	more	av-dc	more	more	0
out	out	av	out	out	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
without	without	p-acp	without	without	0
doubt	doubt	n1	doubt	doubt	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
prepar'd	prepar'd	vvd	prepared	prepare	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
on	on	p-acp	on	on	0
congruous	congruous	j	congruous	congruous	0
Occasions	Occasions	n2	Occasions	occasion	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
so	so	av	so	so	0
much	much	av-d	much	much	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
seeming	seeming	j-vvg	seeming	seem	0
Return	Return	n1	Return	return	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Water	Water	n1	Water	water	0
,	,	,	,	,	0
is	is	vbz	is	be	0
enough	enough	av-d	enough	enough	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
atifie	atifie	vvi	atifie	atifie	0
and	and	cc	and	and	0
then	then	av	then	then	0
Canonize	Canonize	vvb	Canonise	canonize	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
present	present	j	present	present	0
Kalen	Kalen	np1	Kalen	Kalen	0
∣	∣	sy	∣	∣	0
der	der	fw-mi	der	der	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
,	,	,	,	,	0
I	I	pns11	I	i	0
doubt	doubt	vvb	doubt	doubt	0
not	not	xx	not	not	0
,	,	,	,	,	0
he	he	pns31	he	he	0
stands	stands	vvz	stands	stand	0
markt	markt	vvn	marked	mark	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
Red	Red	j-jn	Read	red	0
Letter	Letter	n1	Letter	letter	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
just	just	j	just	just	0
Reason	Reason	n1	Reason	reason	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
sincere	sincere	j	sincere	sincere	0
Pro	Pro	fw-la	Pro	pro	0
∣	∣	sy	∣	∣	0
testants	testants	n2	testants	testant	0
to	to	pc-acp	to	to	0
spue	spue	vvi	spue	spew	0
him	him	pno31	him	he	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Mouths	Mouths	n2	Mouths	mouth	0
:	:	:	:	:	0
The	The	dt	The	the	0
obser	obser	n1	obser	obser	0
∣	∣	sy	∣	∣	0
vation	vation	n1	vation	vation	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
double	double	j-jn	double	double	0
dealing	dealing	n-vvg	dealing	deal	0
and	and	cc	and	and	0
appearing	appearing	vvg	appearing	appear	0
more	more	av-dc	more	more	0
like	like	av-j	like	like	0
the	the	dt	the	the	0
Atheist	Atheist	n1	Atheist	atheist	0
than	than	cs	than	than	0
the	the	dt	the	the	0
Learned	Learned	j	Learned	learned	0
and	and	cc	and	and	0
Ingenuous	Ingenuous	j	Ingenuous	ingenuous	0
,	,	,	,	,	0
though	though	cs	though	though	0
mispersuaded	mispersuaded	vvn	mispersuade	mispersuade	0
,	,	,	,	,	0
Papist	Papist	njp	Papist	papist	0
,	,	,	,	,	0
sowetimes	sowetimes	av	sowetimes	sowetimes	0
transports	transports	vvz	transports	transport	0
my	my	po11	my	my	0
Style	Style	n1	Style	style	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
yond	yond	d	yond	yond	0
its	its	vbz	its	be	0
own	own	d	own	own	0
Intention	Intention	n1	Intention	intention	0
and	and	cc	and	and	0
Resolution	Resolution	n1	Resolution	resolution	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
first	first	ord	first	first	0
es	es	fw-la	es	es	0
∣	∣	sy	∣	∣	0
said	said	vvn	said	say	0
to	to	pc-acp	to	to	0
consider	consider	vvi	consider	consider	0
