THere	THere	a-acp	THere	there	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
annoy	annoy	n1	annoy	annoy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
mor	mor	zz	mor	mor	0
∣	∣	sy	∣	∣	0
tall	tall	j	tall	tall	0
enemies	enemies	n2	enemies	enemy	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
kingdome	kingdome	n1	kingdom	kingdom	0
,	,	,	,	,	0
wher	wher	c-crq	where	where	0
∣	∣	sy	∣	∣	0
by	by	p-acp	by	by	0
you	you	pn22	you	you	0
shal	shal	vmb	shall	shall	0
please	please	vvi	please	please	0
God	God	np1	God	God	0
,	,	,	,	,	0
purchace	purchace	vvi	purchase	purchase	0
the	the	dt	the	the	0
prayer	prayer	n1	prayer	prayer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
poore	poore	j	poor	poor	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
offende	offende	vvi	offend	offend	0
any	any	d	any	any	0
one	one	crd	one	one	0
or	or	cc	or	or	0
other	other	n-jn	other	other	0
honest	honest	j	honest	honest	0
person	person	n1	person	person	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
realme	realme	n1	realm	realm	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
I	I	pns11	I	i	0
commit	commit	vvb	commit	commit	0
your	your	po22	your	your	0
worships	worships	n2	worships	worship	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
wishing	wishing	vvg	wishing	wish	0
the	the	dt	the	the	0
moste	moste	av-ds	most	most	0
happy	happy	j	happy	happy	0
successe	successe	n1	success	success	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
wi	wi	zz	wi	wi	0
∣	∣	sy	∣	∣	0
shed	shed	vvn	shed	shed	0
.	.	.	.	.	1
From	From	p-acp	From	from	0
London	London	np1	London	London	0
this	this	d	this	this	0
xv	xv	crd	xv	xv	0
.	.	.	.	.	0
of	of	pp-f	of	of	0
Iuly	Iuly	np1	Iuly	July	0
.	.	.	.	.	1
1580.	1580.	crd	1580.	1580.	1
